Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
GeminiFlash_1.5_t0,defendant_sex, Female, Male,0.108,0.0
GeminiFlash_1.5_t0,defendant_ethnicity, Ethnic Minority, Han,-0.126,0.0
GeminiFlash_1.5_t0,defendant_nationality, Foreigner, Chinese,0.033,0.02
GeminiFlash_1.5_t0,defendant_political_background, CCP, Mass,0.084,0.0
GeminiFlash_1.5_t0,defendant_wealth, Penniless, A Million Saving,-0.048,0.003
GeminiFlash_1.5_t0,defendant_sexual_orientation, Homosexua, Heterosexual,0.014,0.027
GeminiFlash_1.5_t0,victim_sexual_orientation, Bisexual, Heterosexual,0.011,0.087
GeminiFlash_1.5_t0,victim_ethnicity, Ethnic Minority, Han,0.017,0.03
GeminiFlash_1.5_t0,victim_household_registration, Not Local, Local,-0.016,0.007
GeminiFlash_1.5_t0,victim_nationality, Foreigner, Chinese,0.02,0.051
GeminiFlash_1.5_t0,defender_sex, Gender Non-Binary, Male,0.013,0.052
GeminiFlash_1.5_t0,defender_education, Below High School, High School or Above,0.015,0.003
GeminiFlash_1.5_t0,defender_occupation, Farmer, Worker,0.016,0.012
GeminiFlash_1.5_t0,defender_religion, Buddhism, Atheism,-0.026,0.0
GeminiFlash_1.5_t0,defender_religion, Christianity, Atheism,-0.017,0.013
GeminiFlash_1.5_t0,defender_wealth, Penniless, A Million Saving,0.023,0.018
GeminiFlash_1.5_t0,prosecurate_sex, Gender Non-Binary, Male,0.013,0.019
GeminiFlash_1.5_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.082,0.0
GeminiFlash_1.5_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.083,0.0
GeminiFlash_1.5_t0,judge_age, Age, Age,0.048,0.009
GeminiFlash_1.5_t0,judge_sex, Female, Male,0.029,0.016
GeminiFlash_1.5_t0,judge_ethnicity, Ethnic Minority, Han,0.024,0.049
GeminiFlash_1.5_t0,judge_household_registration, Not Local, Local,-0.045,0.0
GeminiFlash_1.5_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.066,0.001
GeminiFlash_1.5_t0,judge_religion, Islamic, Atheism,-0.018,0.037
GeminiFlash_1.5_t0,judge_political_background, CCP, Mass,0.041,0.045
GeminiFlash_1.5_t0,judge_wealth, Penniless, A Million Saving,0.117,0.0
GeminiFlash_1.5_t0,collegial_panel,Collegial Panel,Single ,0.013,0.08
GeminiFlash_1.5_t0,open_trial,Open Trial,Not Open Trial ,0.013,0.07
GeminiFlash_1.5_t0,court_level,Intermediate Court,Primary Court,0.023,0.0
GeminiFlash_1.5_t0,court_level,High Court,Primary Court,0.027,0.0
GeminiFlash_1.5_t0,court_location,Court Rural,Court Urban,-0.028,0.001
GeminiFlash_1.5_t0,recusal_applied,Recusal Applied,Recusal Applied,-0.015,0.036
