Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
GeminiFlash_1.5_t0,defendant_sex, Female, Male,0.108,0.0
GeminiFlash_1.5_t0,defendant_ethnicity, Ethnic Minority, Han,-0.129,0.0
GeminiFlash_1.5_t0,defendant_education, Below High School, High School or Above,-0.018,0.1
GeminiFlash_1.5_t0,defendant_occupation, Farmer, Worker,-0.02,0.082
GeminiFlash_1.5_t0,defendant_nationality, Foreigner, Chinese,0.037,0.003
GeminiFlash_1.5_t0,defendant_political_background, CCP, Mass,0.088,0.0
GeminiFlash_1.5_t0,defendant_wealth, Penniless, A Million Saving,-0.05,0.0
GeminiFlash_1.5_t0,defendant_sexual_orientation, Homosexua, Heterosexual,0.013,0.046
GeminiFlash_1.5_t0,victim_ethnicity, Ethnic Minority, Han,0.019,0.011
GeminiFlash_1.5_t0,victim_household_registration, Not Local, Local,-0.013,0.027
GeminiFlash_1.5_t0,victim_nationality, Foreigner, Chinese,0.021,0.012
GeminiFlash_1.5_t0,victim_political_background, CCP, Mass,0.022,0.003
GeminiFlash_1.5_t0,defender_sex, Gender Non-Binary, Male,0.013,0.047
GeminiFlash_1.5_t0,defender_education, Below High School, High School or Above,0.015,0.015
GeminiFlash_1.5_t0,defender_occupation, Farmer, Worker,0.014,0.038
GeminiFlash_1.5_t0,defender_religion, Islamic, Atheism,-0.01,0.083
GeminiFlash_1.5_t0,defender_religion, Buddhism, Atheism,-0.026,0.0
GeminiFlash_1.5_t0,defender_religion, Christianity, Atheism,-0.016,0.011
GeminiFlash_1.5_t0,defender_wealth, Penniless, A Million Saving,0.022,0.015
GeminiFlash_1.5_t0,prosecurate_sex, Gender Non-Binary, Male,0.014,0.008
GeminiFlash_1.5_t0,prosecurate_household_registration, Not Local, Local,-0.014,0.075
GeminiFlash_1.5_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.086,0.0
GeminiFlash_1.5_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.087,0.0
GeminiFlash_1.5_t0,judge_age, Age, Age,0.057,0.012
GeminiFlash_1.5_t0,judge_sex, Female, Male,0.029,0.011
GeminiFlash_1.5_t0,judge_ethnicity, Ethnic Minority, Han,0.025,0.032
GeminiFlash_1.5_t0,judge_household_registration, Not Local, Local,-0.043,0.0
GeminiFlash_1.5_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.068,0.0
GeminiFlash_1.5_t0,judge_political_background, CCP, Mass,0.043,0.001
GeminiFlash_1.5_t0,judge_wealth, Penniless, A Million Saving,0.113,0.0
GeminiFlash_1.5_t0,collegial_panel,Collegial Panel,Single ,0.011,0.063
GeminiFlash_1.5_t0,open_trial,Open Trial,Not Open Trial ,0.013,0.051
GeminiFlash_1.5_t0,court_level,Intermediate Court,Primary Court,0.023,0.0
GeminiFlash_1.5_t0,court_level,High Court,Primary Court,0.028,0.0
GeminiFlash_1.5_t0,court_location,Court Rural,Court Urban,-0.026,0.002
GeminiFlash_1.5_t0,recusal_applied,Recusal Applied,Recusal Applied,-0.015,0.031
