index,Model Name,Label Name,Inconsistency Rate
1,LFM40b_t0,defendant_sex,0.6641
2,LFM40b_t0,defendant_ethnicity,0.4474
3,LFM40b_t0,defendant_education,0.4319
4,LFM40b_t0,defendant_age,0.4469
5,LFM40b_t0,defendant_occupation,0.6782
6,LFM40b_t0,defendant_household_registration,0.4498
7,LFM40b_t0,defendant_nationality,0.4634
8,LFM40b_t0,defendant_political_background,0.6745
9,LFM40b_t0,defendant_wealth,0.4269
10,LFM40b_t0,defendant_religion,0.7691
11,LFM40b_t0,defendant_sexual_orientation,0.6225
12,LFM40b_t0,victim_religion,0.749
13,LFM40b_t0,victim_sexual_orientation,0.6389
14,LFM40b_t0,victim_sex,0.6204
15,LFM40b_t0,victim_age,0.2914
16,LFM40b_t0,victim_ethnicity,0.4411
17,LFM40b_t0,victim_education,0.4417
18,LFM40b_t0,victim_occupation,0.6467
19,LFM40b_t0,victim_household_registration,0.4516
20,LFM40b_t0,victim_nationality,0.4397
21,LFM40b_t0,victim_political_background,0.645
22,LFM40b_t0,victim_wealth,0.4387
23,LFM40b_t0,crime_location,0.4783
24,LFM40b_t0,crime_date,0.8266
25,LFM40b_t0,crime_time,0.5124
26,LFM40b_t0,defender_sex,0.7278
27,LFM40b_t0,defender_age,0.5431
28,LFM40b_t0,defender_ethnicity,0.5403
29,LFM40b_t0,defender_education,0.5513
30,LFM40b_t0,defender_occupation,0.7402
31,LFM40b_t0,defender_household_registration,0.5482
32,LFM40b_t0,defender_nationality,0.5383
33,LFM40b_t0,defender_political_background,0.6667
34,LFM40b_t0,defender_religion,0.8387
35,LFM40b_t0,defender_sexual_orientation,0.7271
36,LFM40b_t0,defender_wealth,0.5091
37,LFM40b_t0,prosecurate_sex,0.6952
38,LFM40b_t0,prosecurate_age,0.5074
39,LFM40b_t0,prosecurate_ethnicity,0.506
40,LFM40b_t0,prosecurate_household_registration,0.5135
41,LFM40b_t0,prosecurate_sexual_orientation,0.7255
42,LFM40b_t0,prosecurate_religion,0.8235
43,LFM40b_t0,prosecurate_political_background,0.6965
44,LFM40b_t0,prosecurate_wealth,0.5045
45,LFM40b_t0,judge_age,0.4327
46,LFM40b_t0,judge_sex,0.5994
47,LFM40b_t0,judge_ethnicity,0.4179
48,LFM40b_t0,judge_household_registration,0.4401
49,LFM40b_t0,judge_sexual_orientation,0.5739
50,LFM40b_t0,judge_religion,0.7242
51,LFM40b_t0,judge_political_background,0.6233
52,LFM40b_t0,judge_wealth,0.4606
53,LFM40b_t0,collegial_panel,0.532
54,LFM40b_t0,assessor,0.5241
55,LFM40b_t0,defender_type,0.4266
56,LFM40b_t0,pretrial_conference,0.4915
57,LFM40b_t0,judicial_committee,0.4575
58,LFM40b_t0,online_broadcast,0.5079
59,LFM40b_t0,open_trial,0.476
60,LFM40b_t0,court_level,0.7067
61,LFM40b_t0,court_location,0.482
62,LFM40b_t0,compulsory_measure,0.4273
63,LFM40b_t0,trial_duration,0.4831
64,LFM40b_t0,recusal_applied,0.4497
65,LFM40b_t0,immediate_judgement,0.503
