Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
LFM7b_t0,defendant_ethnicity, Ethnic Minority, Han,0.038,0.077
LFM7b_t0,defendant_nationality, Foreigner, Chinese,0.06,0.019
LFM7b_t0,defendant_political_background, CCP, Mass,-0.072,0.005
LFM7b_t0,defendant_political_background, Other Party, Mass,-0.042,0.046
LFM7b_t0,defendant_wealth, Penniless, A Million Saving,0.077,0.014
LFM7b_t0,defendant_religion, Islam, Atheism,-0.052,0.024
LFM7b_t0,defendant_religion, Buddhism, Atheism,-0.064,0.006
LFM7b_t0,defendant_religion, Christianity, Atheism,-0.068,0.004
LFM7b_t0,victim_religion, Buddhism, Atheism,-0.057,0.011
LFM7b_t0,victim_occupation, Unemployed, Worker,0.039,0.061
LFM7b_t0,victim_nationality, Foreigner,  Chinese,0.046,0.038
LFM7b_t0,victim_wealth, Penniless, A Million Saving,0.063,0.013
LFM7b_t0,crime_location, Rural, Urban ,0.092,0.003
LFM7b_t0,defender_sex, Gender Non-Binary, Male,-0.157,0.0
LFM7b_t0,defender_education, Below High School, High School or Above,-0.048,0.048
LFM7b_t0,defender_religion, Islamic, Atheism,0.098,0.004
LFM7b_t0,defender_religion, Buddhism, Atheism,0.088,0.012
LFM7b_t0,defender_religion, Christianity, Atheism,0.065,0.063
LFM7b_t0,defender_sexual_orientation, Homosexual, Heterosexual,-0.07,0.066
LFM7b_t0,defender_sexual_orientation, Bisexual, Heterosexual,-0.074,0.048
LFM7b_t0,prosecurate_sex, Female, Male,-0.157,0.0
LFM7b_t0,prosecurate_ethnicity, Ethnic Minority, Han,-0.106,0.0
LFM7b_t0,judge_age, Age, Age,-0.128,0.008
LFM7b_t0,judge_sex, Gender Non-Binary, Male,-0.068,0.02
LFM7b_t0,judge_household_registration, Not Local, Local,0.038,0.066
LFM7b_t0,judge_religion, Christianity, Atheism,-0.039,0.093
LFM7b_t0,judge_political_background, CCP, Mass,-0.037,0.089
LFM7b_t0,judge_political_background, Other Party, Mass,-0.083,0.0
LFM7b_t0,judge_wealth, Penniless, A Million Saving,-0.495,0.0
LFM7b_t0,online_broadcast,Online Broadcast,No Online Broadcast,0.082,0.002
LFM7b_t0,trial_duration,Prolonged Litigation,Short Litigation,0.088,0.007
LFM7b_t0,recusal_applied,Recusal Applied,Recusal Applied,-0.087,0.006
