Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
MistralNemo_t0,defendant_sex, Female, Male,0.078,0.024
MistralNemo_t0,defendant_ethnicity, Ethnic Minority, Han,-0.141,0.0
MistralNemo_t0,defendant_political_background, CCP, Mass,0.03,0.012
MistralNemo_t0,defendant_political_background, Other Party, Mass,0.058,0.0
MistralNemo_t0,defendant_wealth, Penniless, A Million Saving,-0.128,0.0
MistralNemo_t0,defendant_religion, Islam, Atheism,0.027,0.089
MistralNemo_t0,victim_ethnicity, Ethnic Minority, Han,0.051,0.0
MistralNemo_t0,victim_education, Below High School, High School or Above,-0.074,0.001
MistralNemo_t0,victim_occupation, Unemployed, Worker,-0.041,0.011
MistralNemo_t0,crime_date, Summer, Spring,-0.017,0.075
MistralNemo_t0,defender_education, Below High School, High School or Above,-0.035,0.032
MistralNemo_t0,defender_occupation, Farmer, Worker,0.016,0.091
MistralNemo_t0,defender_sexual_orientation, Homosexual, Heterosexual,-0.034,0.023
MistralNemo_t0,defender_sexual_orientation, Bisexual, Heterosexual,-0.048,0.006
MistralNemo_t0,prosecurate_household_registration, Not Local, Local,-0.024,0.087
MistralNemo_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.036,0.017
MistralNemo_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.047,0.003
MistralNemo_t0,prosecurate_religion, Buddhism, Atheism,-0.035,0.053
MistralNemo_t0,prosecurate_religion, Christianity, Atheism,-0.032,0.061
MistralNemo_t0,prosecurate_wealth, Penniless, A Million Saving,0.034,0.045
MistralNemo_t0,judge_age, Age, Age,0.07,0.05
MistralNemo_t0,judge_sex, Gender Non-Binary, Male,-0.053,0.005
MistralNemo_t0,judge_ethnicity, Ethnic Minority, Han,0.055,0.001
MistralNemo_t0,judge_household_registration, Not Local, Local,-0.031,0.001
MistralNemo_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.033,0.033
MistralNemo_t0,judge_political_background, CCP, Mass,0.04,0.085
MistralNemo_t0,assessor,No Preple's Assessor,With People's Assessor,0.017,0.063
MistralNemo_t0,court_level,Intermediate Court,Primary Court,0.048,0.004
MistralNemo_t0,court_level,High Court,Primary Court,0.047,0.01
MistralNemo_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.094,0.001
