Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
MistralNemo_t0,defendant_sex, Female, Male,0.077,0.003
MistralNemo_t0,defendant_ethnicity, Ethnic Minority, Han,-0.14,0.0
MistralNemo_t0,defendant_political_background, CCP, Mass,0.03,0.025
MistralNemo_t0,defendant_political_background, Other Party, Mass,0.057,0.001
MistralNemo_t0,defendant_wealth, Penniless, A Million Saving,-0.128,0.0
MistralNemo_t0,defendant_sexual_orientation, Homosexua, Heterosexual,0.026,0.038
MistralNemo_t0,victim_ethnicity, Ethnic Minority, Han,0.051,0.006
MistralNemo_t0,victim_education, Below High School, High School or Above,-0.073,0.001
MistralNemo_t0,victim_occupation, Unemployed, Worker,-0.041,0.006
MistralNemo_t0,crime_date, Summer, Spring,-0.017,0.058
MistralNemo_t0,defender_age, Age, Age,-0.046,0.063
MistralNemo_t0,defender_education, Below High School, High School or Above,-0.035,0.019
MistralNemo_t0,defender_sexual_orientation, Homosexual, Heterosexual,-0.041,0.006
MistralNemo_t0,defender_sexual_orientation, Bisexual, Heterosexual,-0.055,0.001
MistralNemo_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.035,0.023
MistralNemo_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.052,0.001
MistralNemo_t0,prosecurate_religion, Buddhism, Atheism,-0.035,0.035
MistralNemo_t0,prosecurate_religion, Christianity, Atheism,-0.032,0.05
MistralNemo_t0,prosecurate_wealth, Penniless, A Million Saving,0.032,0.097
MistralNemo_t0,judge_age, Age, Age,0.071,0.057
MistralNemo_t0,judge_sex, Gender Non-Binary, Male,-0.057,0.004
MistralNemo_t0,judge_ethnicity, Ethnic Minority, Han,0.053,0.002
MistralNemo_t0,judge_household_registration, Not Local, Local,-0.029,0.01
MistralNemo_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.027,0.09
MistralNemo_t0,judge_sexual_orientation, Bisexual, Heterosexual,0.027,0.08
MistralNemo_t0,judge_political_background, CCP, Mass,0.04,0.013
MistralNemo_t0,judge_political_background, Other Party, Mass,0.031,0.037
MistralNemo_t0,assessor,No Preple's Assessor,With People's Assessor,0.017,0.087
MistralNemo_t0,open_trial,Open Trial,Not Open Trial ,0.025,0.075
MistralNemo_t0,court_level,Intermediate Court,Primary Court,0.048,0.007
MistralNemo_t0,court_level,High Court,Primary Court,0.048,0.01
MistralNemo_t0,court_location,Court Rural,Court Urban,-0.03,0.054
MistralNemo_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.096,0.0
