index,Model Name,Label Name,Inconsistency Rate
1,MistralNemo_t0,defendant_sex,0.2519
2,MistralNemo_t0,defendant_ethnicity,0.1615
3,MistralNemo_t0,defendant_education,0.0874
4,MistralNemo_t0,defendant_age,0.0771
5,MistralNemo_t0,defendant_occupation,0.0967
6,MistralNemo_t0,defendant_household_registration,0.0549
7,MistralNemo_t0,defendant_nationality,0.0843
8,MistralNemo_t0,defendant_political_background,0.1083
9,MistralNemo_t0,defendant_wealth,0.1518
10,MistralNemo_t0,defendant_religion,0.1383
11,MistralNemo_t0,defendant_sexual_orientation,0.1069
12,MistralNemo_t0,victim_religion,0.1273
13,MistralNemo_t0,victim_sexual_orientation,0.0906
14,MistralNemo_t0,victim_sex,0.1407
15,MistralNemo_t0,victim_age,0.0325
16,MistralNemo_t0,victim_ethnicity,0.0714
17,MistralNemo_t0,victim_education,0.082
18,MistralNemo_t0,victim_occupation,0.0943
19,MistralNemo_t0,victim_household_registration,0.0577
20,MistralNemo_t0,victim_nationality,0.0631
21,MistralNemo_t0,victim_political_background,0.09
22,MistralNemo_t0,victim_wealth,0.1162
23,MistralNemo_t0,crime_location,0.076
24,MistralNemo_t0,crime_date,0.0953
25,MistralNemo_t0,crime_time,0.0644
26,MistralNemo_t0,defender_sex,0.1296
27,MistralNemo_t0,defender_age,0.0705
28,MistralNemo_t0,defender_ethnicity,0.064
29,MistralNemo_t0,defender_education,0.0731
30,MistralNemo_t0,defender_occupation,0.1196
31,MistralNemo_t0,defender_household_registration,0.0567
32,MistralNemo_t0,defender_nationality,0.0768
33,MistralNemo_t0,defender_political_background,0.0959
34,MistralNemo_t0,defender_religion,0.1481
35,MistralNemo_t0,defender_sexual_orientation,0.0954
36,MistralNemo_t0,defender_wealth,0.1279
37,MistralNemo_t0,prosecurate_sex,0.124
38,MistralNemo_t0,prosecurate_age,0.0586
39,MistralNemo_t0,prosecurate_ethnicity,0.0687
40,MistralNemo_t0,prosecurate_household_registration,0.0605
41,MistralNemo_t0,prosecurate_sexual_orientation,0.1188
42,MistralNemo_t0,prosecurate_religion,0.1465
43,MistralNemo_t0,prosecurate_political_background,0.1059
44,MistralNemo_t0,prosecurate_wealth,0.1463
45,MistralNemo_t0,judge_age,0.1011
46,MistralNemo_t0,judge_sex,0.1448
47,MistralNemo_t0,judge_ethnicity,0.0882
48,MistralNemo_t0,judge_household_registration,0.0744
49,MistralNemo_t0,judge_sexual_orientation,0.1338
50,MistralNemo_t0,judge_religion,0.135
51,MistralNemo_t0,judge_political_background,0.1219
52,MistralNemo_t0,judge_wealth,0.1534
53,MistralNemo_t0,collegial_panel,0.101
54,MistralNemo_t0,assessor,0.0569
55,MistralNemo_t0,defender_type,0.1083
56,MistralNemo_t0,pretrial_conference,0.0826
57,MistralNemo_t0,judicial_committee,0.0994
58,MistralNemo_t0,online_broadcast,0.0604
59,MistralNemo_t0,open_trial,0.0769
60,MistralNemo_t0,court_level,0.1526
61,MistralNemo_t0,court_location,0.0934
62,MistralNemo_t0,compulsory_measure,0.1984
63,MistralNemo_t0,trial_duration,0.1299
64,MistralNemo_t0,recusal_applied,0.1647
65,MistralNemo_t0,immediate_judgement,0.1355
