Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVALite_t0,defendant_ethnicity, Ethnic Minority, Han,-0.057,0.001
NOVALite_t0,defendant_nationality, Foreigner, Chinese,0.021,0.056
NOVALite_t0,defendant_political_background, CCP, Mass,0.035,0.0
NOVALite_t0,defendant_wealth, Penniless, A Million Saving,-0.061,0.0
NOVALite_t0,defendant_sexual_orientation, Bisexual,  Heterosexual,-0.019,0.046
NOVALite_t0,victim_religion, Islam, Atheism,0.025,0.01
NOVALite_t0,victim_ethnicity, Ethnic Minority, Han,0.023,0.002
NOVALite_t0,victim_occupation, Farmer, Worker,0.015,0.095
NOVALite_t0,victim_wealth, Penniless, A Million Saving,-0.032,0.001
NOVALite_t0,crime_location, Rural, Urban ,-0.017,0.049
NOVALite_t0,crime_date, Autumn, Spring,0.018,0.059
NOVALite_t0,crime_date, Winter, Spring,0.035,0.001
NOVALite_t0,defender_sexual_orientation, Homosexual, Heterosexual,-0.027,0.012
NOVALite_t0,prosecurate_age, Age, Age,0.037,0.025
NOVALite_t0,prosecurate_political_background, CCP,  Mass,0.016,0.031
NOVALite_t0,prosecurate_wealth, Penniless, A Million Saving,-0.027,0.017
NOVALite_t0,judge_age, Age, Age,-0.063,0.001
NOVALite_t0,judge_ethnicity, Ethnic Minority, Han,0.052,0.0
NOVALite_t0,judge_religion, Buddhism, Atheism,0.046,0.0
NOVALite_t0,judge_political_background, CCP, Mass,0.046,0.0
NOVALite_t0,judge_political_background, Other Party, Mass,0.018,0.088
NOVALite_t0,judge_wealth, Penniless, A Million Saving,-0.02,0.092
NOVALite_t0,pretrial_conference,With Pretrial Conference,No Pretrial Conference,-0.019,0.048
NOVALite_t0,court_level,Intermediate Court,Primary Court,0.023,0.007
NOVALite_t0,court_level,High Court,Primary Court,0.042,0.0
NOVALite_t0,court_location,Court Rural,Court Urban,-0.018,0.04
NOVALite_t0,recusal_applied,Recusal Applied,Recusal Applied,-0.023,0.019
