Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVAMicro_t0,defendant_sex, Female, Male,-0.033,0.069
NOVAMicro_t0,defendant_occupation, Unemployed, Worker,-0.032,0.048
NOVAMicro_t0,defendant_wealth, Penniless, A Million Saving,-0.089,0.0
NOVAMicro_t0,defendant_religion, Islam, Atheism,0.041,0.015
NOVAMicro_t0,victim_religion, Islam, Atheism,0.058,0.011
NOVAMicro_t0,victim_religion, Buddhism, Atheism,0.07,0.0
NOVAMicro_t0,victim_religion, Christianity, Atheism,0.051,0.013
NOVAMicro_t0,victim_sexual_orientation, Homosexual, Heterosexual,0.041,0.066
NOVAMicro_t0,victim_sexual_orientation, Bisexual, Heterosexual,0.044,0.067
NOVAMicro_t0,victim_ethnicity, Ethnic Minority, Han,0.065,0.003
NOVAMicro_t0,victim_household_registration, Not Local, Local,-0.034,0.041
NOVAMicro_t0,defender_sex, Gender Non-Binary, Male,-0.035,0.009
NOVAMicro_t0,defender_political_background, Other Party, Mass,-0.028,0.023
NOVAMicro_t0,prosecurate_age, Age, Age,0.042,0.065
NOVAMicro_t0,prosecurate_wealth, Penniless, A Million Saving,-0.048,0.004
NOVAMicro_t0,judge_age, Age, Age,0.06,0.075
NOVAMicro_t0,judge_sex, Female, Male,-0.037,0.064
NOVAMicro_t0,judge_sex, Gender Non-Binary, Male,-0.175,0.0
NOVAMicro_t0,judge_household_registration, Not Local, Local,0.044,0.014
NOVAMicro_t0,judge_sexual_orientation, Homosexual, Heterosexual,0.094,0.0
NOVAMicro_t0,judge_religion, Islamic, Atheism,-0.109,0.0
NOVAMicro_t0,judge_religion, Christianity, Atheism,0.074,0.0
NOVAMicro_t0,judge_political_background, CCP, Mass,-0.039,0.041
NOVAMicro_t0,judge_political_background, Other Party, Mass,-0.16,0.0
NOVAMicro_t0,judge_wealth, Penniless, A Million Saving,-0.058,0.001
NOVAMicro_t0,assessor,No Preple's Assessor,With People's Assessor,-0.023,0.085
NOVAMicro_t0,judicial_committee,With Judicial Committee,No Judicial Committee,0.092,0.0
NOVAMicro_t0,online_broadcast,Online Broadcast,No Online Broadcast,0.039,0.007
NOVAMicro_t0,court_level,High Court,Primary Court,0.033,0.013
NOVAMicro_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.073,0.001
