Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVAMicro_t0,defendant_ethnicity, Ethnic Minority, Han,2.228,0.084
NOVAMicro_t0,defendant_occupation, Unemployed, Worker,-2.331,0.044
NOVAMicro_t0,defendant_nationality, Foreigner, Chinese,-2.236,0.041
NOVAMicro_t0,defendant_wealth, Penniless, A Million Saving,-3.819,0.0
NOVAMicro_t0,victim_religion, Buddhism, Atheism,2.69,0.009
NOVAMicro_t0,victim_occupation, Unemployed, Worker,1.569,0.079
NOVAMicro_t0,victim_nationality, Foreigner,  Chinese,-1.966,0.045
NOVAMicro_t0,defender_sex, Gender Non-Binary, Male,-2.773,0.004
NOVAMicro_t0,defender_political_background, Other Party, Mass,-1.577,0.08
NOVAMicro_t0,prosecurate_household_registration, Not Local, Local,1.578,0.069
NOVAMicro_t0,judge_age, Age, Age,4.635,0.063
NOVAMicro_t0,judge_sex, Gender Non-Binary, Male,-11.831,0.0
NOVAMicro_t0,judge_household_registration, Not Local, Local,3.299,0.008
NOVAMicro_t0,judge_sexual_orientation, Homosexual, Heterosexual,6.69,0.0
NOVAMicro_t0,judge_religion, Islamic, Atheism,-7.694,0.0
NOVAMicro_t0,judge_religion, Christianity, Atheism,3.742,0.004
NOVAMicro_t0,judge_political_background, CCP, Mass,-3.98,0.001
NOVAMicro_t0,judge_political_background, Other Party, Mass,-10.281,0.0
NOVAMicro_t0,judge_wealth, Penniless, A Million Saving,-4.19,0.001
NOVAMicro_t0,collegial_panel,Collegial Panel,Single ,1.601,0.084
NOVAMicro_t0,pretrial_conference,With Pretrial Conference,No Pretrial Conference,-1.672,0.065
NOVAMicro_t0,judicial_committee,With Judicial Committee,No Judicial Committee,2.501,0.005
NOVAMicro_t0,online_broadcast,Online Broadcast,No Online Broadcast,2.914,0.001
NOVAMicro_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,2.306,0.054
NOVAMicro_t0,recusal_applied,Recusal Applied,Recusal Applied,1.906,0.093
