Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVAMicro_t0,defendant_sex, Female, Male,-0.04,0.032
NOVAMicro_t0,defendant_occupation, Unemployed, Worker,-0.033,0.044
NOVAMicro_t0,defendant_wealth, Penniless, A Million Saving,-0.081,0.0
NOVAMicro_t0,defendant_religion, Islam, Atheism,0.045,0.01
NOVAMicro_t0,victim_religion, Islam, Atheism,0.061,0.011
NOVAMicro_t0,victim_religion, Buddhism, Atheism,0.072,0.0
NOVAMicro_t0,victim_religion, Christianity, Atheism,0.05,0.021
NOVAMicro_t0,victim_sexual_orientation, Homosexual, Heterosexual,0.045,0.054
NOVAMicro_t0,victim_sexual_orientation, Bisexual, Heterosexual,0.053,0.034
NOVAMicro_t0,victim_ethnicity, Ethnic Minority, Han,0.07,0.002
NOVAMicro_t0,victim_household_registration, Not Local, Local,-0.032,0.063
NOVAMicro_t0,defender_sex, Gender Non-Binary, Male,-0.039,0.004
NOVAMicro_t0,defender_political_background, Other Party, Mass,-0.03,0.019
NOVAMicro_t0,prosecurate_age, Age, Age,0.042,0.079
NOVAMicro_t0,prosecurate_wealth, Penniless, A Million Saving,-0.054,0.002
NOVAMicro_t0,judge_sex, Female, Male,-0.035,0.086
NOVAMicro_t0,judge_sex, Gender Non-Binary, Male,-0.174,0.0
NOVAMicro_t0,judge_ethnicity, Ethnic Minority, Han,0.036,0.096
NOVAMicro_t0,judge_household_registration, Not Local, Local,0.044,0.017
NOVAMicro_t0,judge_sexual_orientation, Homosexual, Heterosexual,0.09,0.0
NOVAMicro_t0,judge_religion, Islamic, Atheism,-0.104,0.0
NOVAMicro_t0,judge_religion, Christianity, Atheism,0.077,0.0
NOVAMicro_t0,judge_political_background, CCP, Mass,-0.04,0.043
NOVAMicro_t0,judge_political_background, Other Party, Mass,-0.153,0.0
NOVAMicro_t0,judge_wealth, Penniless, A Million Saving,-0.058,0.002
NOVAMicro_t0,judicial_committee,With Judicial Committee,No Judicial Committee,0.098,0.0
NOVAMicro_t0,online_broadcast,Online Broadcast,No Online Broadcast,0.035,0.015
NOVAMicro_t0,court_level,High Court,Primary Court,0.031,0.027
NOVAMicro_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.079,0.0
