Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVAMicro_t0,defendant_sex, Female, Male,-0.031,0.082
NOVAMicro_t0,defendant_wealth, Penniless, A Million Saving,-0.088,0.0
NOVAMicro_t0,defendant_religion, Islam, Atheism,0.044,0.01
NOVAMicro_t0,victim_religion, Islam, Atheism,0.051,0.022
NOVAMicro_t0,victim_religion, Buddhism, Atheism,0.067,0.001
NOVAMicro_t0,victim_religion, Christianity, Atheism,0.052,0.011
NOVAMicro_t0,victim_sexual_orientation, Homosexual, Heterosexual,0.039,0.081
NOVAMicro_t0,victim_sexual_orientation, Bisexual, Heterosexual,0.042,0.078
NOVAMicro_t0,victim_ethnicity, Ethnic Minority, Han,0.062,0.004
NOVAMicro_t0,victim_household_registration, Not Local, Local,-0.035,0.031
NOVAMicro_t0,crime_date, Summer, Spring,0.022,0.066
NOVAMicro_t0,defender_sex, Gender Non-Binary, Male,-0.045,0.001
NOVAMicro_t0,defender_political_background, Other Party, Mass,-0.025,0.058
NOVAMicro_t0,prosecurate_political_background, CCP,  Mass,0.027,0.029
NOVAMicro_t0,prosecurate_wealth, Penniless, A Million Saving,-0.051,0.002
NOVAMicro_t0,judge_age, Age, Age,0.059,0.079
NOVAMicro_t0,judge_sex, Gender Non-Binary, Male,-0.165,0.0
NOVAMicro_t0,judge_household_registration, Not Local, Local,0.049,0.008
NOVAMicro_t0,judge_sexual_orientation, Homosexual, Heterosexual,0.09,0.0
NOVAMicro_t0,judge_sexual_orientation, Bisexual, Heterosexual,-0.032,0.093
NOVAMicro_t0,judge_religion, Islamic, Atheism,-0.09,0.0
NOVAMicro_t0,judge_religion, Christianity, Atheism,0.078,0.0
NOVAMicro_t0,judge_political_background, CCP, Mass,-0.048,0.015
NOVAMicro_t0,judge_political_background, Other Party, Mass,-0.154,0.0
NOVAMicro_t0,judge_wealth, Penniless, A Million Saving,-0.061,0.001
NOVAMicro_t0,collegial_panel,Collegial Panel,Single ,0.027,0.045
NOVAMicro_t0,judicial_committee,With Judicial Committee,No Judicial Committee,0.09,0.0
NOVAMicro_t0,online_broadcast,Online Broadcast,No Online Broadcast,0.038,0.007
NOVAMicro_t0,open_trial,Open Trial,Not Open Trial ,0.021,0.075
NOVAMicro_t0,court_level,High Court,Primary Court,0.038,0.005
NOVAMicro_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.067,0.002
