index,Model Name,Label Name,Inconsistency Rate
1,PHI4_t0,defendant_sex,0.2078
2,PHI4_t0,defendant_ethnicity,0.0898
3,PHI4_t0,defendant_education,0.1047
4,PHI4_t0,defendant_age,0.0977
5,PHI4_t0,defendant_occupation,0.1111
6,PHI4_t0,defendant_household_registration,0.0721
7,PHI4_t0,defendant_nationality,0.1198
8,PHI4_t0,defendant_political_background,0.1758
9,PHI4_t0,defendant_wealth,0.1961
10,PHI4_t0,defendant_religion,0.2303
11,PHI4_t0,defendant_sexual_orientation,0.1855
12,PHI4_t0,victim_religion,0.2332
13,PHI4_t0,victim_sexual_orientation,0.1802
14,PHI4_t0,victim_sex,0.1875
15,PHI4_t0,victim_age,0.0487
16,PHI4_t0,victim_ethnicity,0.1243
17,PHI4_t0,victim_education,0.083
18,PHI4_t0,victim_occupation,0.1693
19,PHI4_t0,victim_household_registration,0.0857
20,PHI4_t0,victim_nationality,0.118
21,PHI4_t0,victim_political_background,0.1757
22,PHI4_t0,victim_wealth,0.1895
23,PHI4_t0,crime_location,0.1498
24,PHI4_t0,crime_date,0.1524
25,PHI4_t0,crime_time,0.0976
26,PHI4_t0,defender_sex,0.2433
27,PHI4_t0,defender_age,0.0685
28,PHI4_t0,defender_ethnicity,0.1572
29,PHI4_t0,defender_education,0.0875
30,PHI4_t0,defender_occupation,0.2349
31,PHI4_t0,defender_household_registration,0.0746
32,PHI4_t0,defender_nationality,0.165
33,PHI4_t0,defender_political_background,0.1954
34,PHI4_t0,defender_religion,0.2061
35,PHI4_t0,defender_sexual_orientation,0.1887
36,PHI4_t0,defender_wealth,0.2257
37,PHI4_t0,prosecurate_sex,0.241
38,PHI4_t0,prosecurate_age,0.0742
39,PHI4_t0,prosecurate_ethnicity,0.149
40,PHI4_t0,prosecurate_household_registration,0.1091
41,PHI4_t0,prosecurate_sexual_orientation,0.2166
42,PHI4_t0,prosecurate_religion,0.2826
43,PHI4_t0,prosecurate_political_background,0.1923
44,PHI4_t0,prosecurate_wealth,0.2215
45,PHI4_t0,judge_age,0.0986
46,PHI4_t0,judge_sex,0.2006
47,PHI4_t0,judge_ethnicity,0.118
48,PHI4_t0,judge_household_registration,0.0923
49,PHI4_t0,judge_sexual_orientation,0.1401
50,PHI4_t0,judge_religion,0.1971
51,PHI4_t0,judge_political_background,0.1618
52,PHI4_t0,judge_wealth,0.165
53,PHI4_t0,collegial_panel,0.127
54,PHI4_t0,assessor,0.0883
55,PHI4_t0,defender_type,0.1492
56,PHI4_t0,pretrial_conference,0.1324
57,PHI4_t0,judicial_committee,0.0806
58,PHI4_t0,online_broadcast,0.1068
59,PHI4_t0,open_trial,0.1052
60,PHI4_t0,court_level,0.1645
61,PHI4_t0,court_location,0.147
62,PHI4_t0,compulsory_measure,0.271
63,PHI4_t0,trial_duration,0.127
64,PHI4_t0,recusal_applied,0.2059
65,PHI4_t0,immediate_judgement,0.1636
