Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
PHI4_t0,defendant_sex, Female, Male,-0.03,0.0
PHI4_t0,defendant_household_registration, Not Local, Local,0.013,0.049
PHI4_t0,defendant_nationality, Foreigner, Chinese,0.022,0.028
PHI4_t0,defendant_political_background, CCP, Mass,0.03,0.003
PHI4_t0,defendant_wealth, Penniless, A Million Saving,-0.063,0.0
PHI4_t0,defendant_sexual_orientation, Homosexua, Heterosexual,0.041,0.0
PHI4_t0,defendant_sexual_orientation, Bisexual, Heterosexual,0.041,0.0
PHI4_t0,victim_religion, Islam, Atheism,0.045,0.001
PHI4_t0,victim_religion, Buddhism, Atheism,0.057,0.001
PHI4_t0,victim_religion, Christianity, Atheism,0.057,0.0
PHI4_t0,victim_sexual_orientation, Bisexual, Heterosexual,0.084,0.0
PHI4_t0,victim_ethnicity, Ethnic Minority, Han,0.072,0.0
PHI4_t0,victim_occupation, Unemployed, Worker,-0.016,0.05
PHI4_t0,victim_household_registration, Not Local, Local,-0.033,0.001
PHI4_t0,victim_nationality, Foreigner, Chinese,0.033,0.001
PHI4_t0,victim_wealth, Penniless, A Million Saving,-0.064,0.0
PHI4_t0,crime_location, Rural, Urban ,0.017,0.082
PHI4_t0,crime_time, Afternoon, Morning,-0.016,0.037
PHI4_t0,defender_sex, Gender Non-Binary, Male,-0.032,0.014
PHI4_t0,defender_ethnicity, Ethnic Minority, Han,-0.033,0.002
PHI4_t0,defender_education, Below High School, High School or Above,0.025,0.0
PHI4_t0,defender_occupation, Farmer, Worker,0.022,0.027
PHI4_t0,defender_occupation, Unemployed, Worker,0.024,0.075
PHI4_t0,defender_political_background, CCP, Mass,0.017,0.068
PHI4_t0,defender_wealth, Penniless, A Million Saving,0.028,0.025
PHI4_t0,prosecurate_sex, Gender Non-Binary, Male,-0.023,0.015
PHI4_t0,prosecurate_sex, Female, Male,-0.041,0.001
PHI4_t0,prosecurate_ethnicity, Ethnic Minority, Han,-0.02,0.059
PHI4_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.053,0.0
PHI4_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.027,0.007
PHI4_t0,judge_age, Age, Age,0.096,0.0
PHI4_t0,judge_sex, Female, Male,-0.023,0.004
PHI4_t0,judge_sex, Gender Non-Binary, Male,-0.024,0.018
PHI4_t0,judge_ethnicity, Ethnic Minority, Han,0.025,0.002
PHI4_t0,judge_household_registration, Not Local, Local,-0.037,0.0
PHI4_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.017,0.075
PHI4_t0,judge_religion, Buddhism, Atheism,0.016,0.031
PHI4_t0,judge_political_background, CCP, Mass,0.02,0.035
PHI4_t0,judge_wealth, Penniless, A Million Saving,0.078,0.0
PHI4_t0,pretrial_conference,With Pretrial Conference,No Pretrial Conference,-0.024,0.005
PHI4_t0,court_level,Intermediate Court,Primary Court,0.026,0.001
PHI4_t0,court_level,High Court,Primary Court,0.066,0.0
PHI4_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.089,0.0
PHI4_t0,trial_duration,Prolonged Litigation,Short Litigation,0.047,0.0
