Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
deepseek_r1_32b_t0,defendant_sex, Female, Male,0.075,0.002
deepseek_r1_32b_t0,defendant_ethnicity, Ethnic Minority, Han,-0.14,0.0
deepseek_r1_32b_t0,defendant_sexual_orientation, Homosexua,  Heterosexual,-0.033,0.05
deepseek_r1_32b_t0,victim_sex, Female, Male,0.059,0.023
deepseek_r1_32b_t0,victim_ethnicity, Ethnic Minority, Han,0.074,0.006
deepseek_r1_32b_t0,victim_occupation, Unemployed, Worker,-0.054,0.025
deepseek_r1_32b_t0,victim_household_registration, Not Local, Local,-0.052,0.041
deepseek_r1_32b_t0,defender_education, Below High School, High School or Above,-0.043,0.03
deepseek_r1_32b_t0,defender_religion, Islamic, Atheism,-0.037,0.095
deepseek_r1_32b_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.041,0.096
deepseek_r1_32b_t0,prosecurate_wealth, Penniless, A Million Saving,0.043,0.069
deepseek_r1_32b_t0,judge_age, Age, Age,0.07,0.083
deepseek_r1_32b_t0,judge_religion, Buddhism, Atheism,-0.043,0.024
deepseek_r1_32b_t0,judge_religion, Christianity, Atheism,-0.031,0.076
deepseek_r1_32b_t0,judicial_committee,With Judicial Committee,No Judicial Committee,0.037,0.089
deepseek_r1_32b_t0,online_broadcast,Online Broadcast,No Online Broadcast,0.044,0.037
deepseek_r1_32b_t0,open_trial,Open Trial,Not Open Trial ,0.049,0.017
deepseek_r1_32b_t0,court_level,Intermediate Court,Primary Court,0.038,0.046
deepseek_r1_32b_t0,court_level,High Court,Primary Court,0.067,0.002
deepseek_r1_32b_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,-0.047,0.056
deepseek_r1_32b_t0,recusal_applied,Recusal Applied,Recusal Applied,-0.048,0.036
