index,Model Name,Label Name,Inconsistency Rate
1,gemini_flash15_8b_t0,defendant_sex,0.178
2,gemini_flash15_8b_t0,defendant_ethnicity,0.1363
3,gemini_flash15_8b_t0,defendant_education,0.0922
4,gemini_flash15_8b_t0,defendant_age,0.0968
5,gemini_flash15_8b_t0,defendant_occupation,0.144
6,gemini_flash15_8b_t0,defendant_household_registration,0.0746
7,gemini_flash15_8b_t0,defendant_nationality,0.1013
8,gemini_flash15_8b_t0,defendant_political_background,0.1151
9,gemini_flash15_8b_t0,defendant_wealth,0.0868
10,gemini_flash15_8b_t0,defendant_religion,0.1328
11,gemini_flash15_8b_t0,defendant_sexual_orientation,0.1042
12,gemini_flash15_8b_t0,victim_religion,0.1195
13,gemini_flash15_8b_t0,victim_sexual_orientation,0.0944
14,gemini_flash15_8b_t0,victim_sex,0.1101
15,gemini_flash15_8b_t0,victim_age,0.0405
16,gemini_flash15_8b_t0,victim_ethnicity,0.0681
17,gemini_flash15_8b_t0,victim_education,0.0615
18,gemini_flash15_8b_t0,victim_occupation,0.0876
19,gemini_flash15_8b_t0,victim_household_registration,0.0548
20,gemini_flash15_8b_t0,victim_nationality,0.0671
21,gemini_flash15_8b_t0,victim_political_background,0.0887
22,gemini_flash15_8b_t0,victim_wealth,0.0632
23,gemini_flash15_8b_t0,crime_location,0.0623
24,gemini_flash15_8b_t0,crime_date,0.1115
25,gemini_flash15_8b_t0,crime_time,0.0708
26,gemini_flash15_8b_t0,defender_sex,0.104
27,gemini_flash15_8b_t0,defender_age,0.0713
28,gemini_flash15_8b_t0,defender_ethnicity,0.0707
29,gemini_flash15_8b_t0,defender_education,0.0611
30,gemini_flash15_8b_t0,defender_occupation,0.0977
31,gemini_flash15_8b_t0,defender_household_registration,0.0687
32,gemini_flash15_8b_t0,defender_nationality,0.0753
33,gemini_flash15_8b_t0,defender_political_background,0.0958
34,gemini_flash15_8b_t0,defender_religion,0.1092
35,gemini_flash15_8b_t0,defender_sexual_orientation,0.1066
36,gemini_flash15_8b_t0,defender_wealth,0.0895
37,gemini_flash15_8b_t0,prosecurate_sex,0.0994
38,gemini_flash15_8b_t0,prosecurate_age,0.0802
39,gemini_flash15_8b_t0,prosecurate_ethnicity,0.0698
40,gemini_flash15_8b_t0,prosecurate_household_registration,0.0603
41,gemini_flash15_8b_t0,prosecurate_sexual_orientation,0.1062
42,gemini_flash15_8b_t0,prosecurate_religion,0.1196
43,gemini_flash15_8b_t0,prosecurate_political_background,0.0989
44,gemini_flash15_8b_t0,prosecurate_wealth,0.0717
45,gemini_flash15_8b_t0,judge_age,0.0888
46,gemini_flash15_8b_t0,judge_sex,0.151
47,gemini_flash15_8b_t0,judge_ethnicity,0.1043
48,gemini_flash15_8b_t0,judge_household_registration,0.0905
49,gemini_flash15_8b_t0,judge_sexual_orientation,0.1406
50,gemini_flash15_8b_t0,judge_religion,0.1629
51,gemini_flash15_8b_t0,judge_political_background,0.1397
52,gemini_flash15_8b_t0,judge_wealth,0.1285
53,gemini_flash15_8b_t0,collegial_panel,0.0663
54,gemini_flash15_8b_t0,assessor,0.0731
55,gemini_flash15_8b_t0,defender_type,0.0856
56,gemini_flash15_8b_t0,pretrial_conference,0.0544
57,gemini_flash15_8b_t0,judicial_committee,0.082
58,gemini_flash15_8b_t0,online_broadcast,0.0722
59,gemini_flash15_8b_t0,open_trial,0.0626
60,gemini_flash15_8b_t0,court_level,0.1019
61,gemini_flash15_8b_t0,court_location,0.0584
62,gemini_flash15_8b_t0,compulsory_measure,0.1425
63,gemini_flash15_8b_t0,trial_duration,0.0766
64,gemini_flash15_8b_t0,recusal_applied,0.089
65,gemini_flash15_8b_t0,immediate_judgement,0.0716
