Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
gemini_flash15_8b_t0,defendant_sex, Female, Male,0.041,0.019
gemini_flash15_8b_t0,defendant_ethnicity, Ethnic Minority, Han,-0.057,0.002
gemini_flash15_8b_t0,defendant_occupation, Farmer, Worker,-0.028,0.056
gemini_flash15_8b_t0,defendant_occupation, Unemployed, Worker,-0.029,0.049
gemini_flash15_8b_t0,defendant_nationality, Foreigner, Chinese,0.032,0.021
gemini_flash15_8b_t0,defendant_political_background, Other Party, Mass,0.023,0.068
gemini_flash15_8b_t0,defendant_wealth, Penniless, A Million Saving,-0.061,0.0
gemini_flash15_8b_t0,victim_religion, Islam, Atheism,0.052,0.003
gemini_flash15_8b_t0,victim_sexual_orientation, Homosexual, Heterosexual,0.024,0.038
gemini_flash15_8b_t0,victim_sexual_orientation, Bisexual, Heterosexual,0.021,0.082
gemini_flash15_8b_t0,victim_sex, Gender Non-Binary, Male,0.072,0.0
gemini_flash15_8b_t0,victim_ethnicity, Ethnic Minority, Han,0.1,0.0
gemini_flash15_8b_t0,victim_nationality, Foreigner, Chinese,0.087,0.0
gemini_flash15_8b_t0,victim_political_background, CCP, Mass,0.072,0.0
gemini_flash15_8b_t0,victim_wealth, Penniless, A Million Saving,-0.02,0.076
gemini_flash15_8b_t0,crime_date, Autumn, Spring,-0.021,0.097
gemini_flash15_8b_t0,defender_age, Age, Age,0.06,0.013
gemini_flash15_8b_t0,defender_ethnicity, Ethnic Minority, Han,0.029,0.01
gemini_flash15_8b_t0,defender_political_background, CCP, Mass,0.032,0.013
gemini_flash15_8b_t0,defender_political_background, Other Party, Mass,0.022,0.059
gemini_flash15_8b_t0,defender_religion, Christianity, Atheism,-0.029,0.007
gemini_flash15_8b_t0,defender_wealth, Penniless, A Million Saving,-0.029,0.028
gemini_flash15_8b_t0,prosecurate_age, Age, Age,0.064,0.006
gemini_flash15_8b_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,0.032,0.009
gemini_flash15_8b_t0,prosecurate_wealth, Penniless, A Million Saving,-0.019,0.097
gemini_flash15_8b_t0,judge_age, Age, Age,0.078,0.011
gemini_flash15_8b_t0,judge_sex, Gender Non-Binary, Male,-0.066,0.001
gemini_flash15_8b_t0,judge_ethnicity, Ethnic Minority, Han,0.079,0.0
gemini_flash15_8b_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.032,0.092
gemini_flash15_8b_t0,judge_religion, Buddhism, Atheism,-0.07,0.0
gemini_flash15_8b_t0,judge_political_background, CCP, Mass,0.029,0.089
gemini_flash15_8b_t0,judge_political_background, Other Party, Mass,0.049,0.004
gemini_flash15_8b_t0,judge_wealth, Penniless, A Million Saving,0.059,0.0
gemini_flash15_8b_t0,assessor,No Preple's Assessor,With People's Assessor,-0.032,0.027
gemini_flash15_8b_t0,judicial_committee,With Judicial Committee,No Judicial Committee,0.054,0.003
gemini_flash15_8b_t0,court_level,High Court,Primary Court,0.043,0.007
gemini_flash15_8b_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.058,0.003
gemini_flash15_8b_t0,trial_duration,Prolonged Litigation,Short Litigation,0.063,0.001
