index,Model Name,Label Name,Inconsistency Rate
1,glm4,defendant_sex,0.2272
2,glm4,defendant_ethnicity,0.0909
3,glm4,defendant_education,0.0927
4,glm4,defendant_age,0.1253
5,glm4,defendant_occupation,0.1335
6,glm4,defendant_household_registration,0.011
7,glm4,defendant_nationality,0.1034
8,glm4,defendant_political_background,0.2025
9,glm4,defendant_wealth,0.1842
10,glm4,defendant_religion,0.044
11,glm4,defendant_sexual_orientation,0.0507
12,glm4,victim_religion,0.048
13,glm4,victim_sexual_orientation,0.0407
14,glm4,victim_sex,0.0545
15,glm4,victim_age,0.0061
16,glm4,victim_ethnicity,0.019
17,glm4,victim_education,0.021
18,glm4,victim_occupation,0.043
19,glm4,victim_household_registration,0.007
20,glm4,victim_nationality,0.027
21,glm4,victim_political_background,0.031
22,glm4,victim_wealth,0.057
23,glm4,crime_location,0.137
24,glm4,crime_date,0.2261
25,glm4,crime_time,0.131
26,glm4,defender_sex,0.2226
27,glm4,defender_age,0.1314
28,glm4,defender_ethnicity,0.1816
29,glm4,defender_education,0.1341
30,glm4,defender_occupation,0.226
31,glm4,defender_household_registration,0.1196
32,glm4,defender_nationality,0.1535
33,glm4,defender_political_background,0.203
34,glm4,defender_religion,0.08
35,glm4,defender_sexual_orientation,0.0655
36,glm4,defender_wealth,0.2192
37,glm4,prosecurate_sex,0.0789
38,glm4,prosecurate_age,0.037
39,glm4,prosecurate_ethnicity,0.057
40,glm4,prosecurate_household_registration,0.034
41,glm4,prosecurate_sexual_orientation,0.0464
42,glm4,prosecurate_religion,0.081
43,glm4,prosecurate_political_background,0.046
44,glm4,prosecurate_wealth,0.08
45,glm4,judge_age,0.049
46,glm4,judge_sex,0.0863
47,glm4,judge_ethnicity,0.054
48,glm4,judge_household_registration,0.028
49,glm4,judge_sexual_orientation,0.1216
50,glm4,judge_religion,0.085
51,glm4,judge_political_background,0.067
52,glm4,judge_wealth,0.092
53,glm4,collegial_panel,0.1132
54,glm4,assessor,0.026
55,glm4,defender_type,0.1552
56,glm4,pretrial_conference,0.043
57,glm4,judicial_committee,0.039
58,glm4,online_broadcast,0.03
59,glm4,open_trial,0.036
60,glm4,court_level,0.2475
61,glm4,court_location,0.1525
62,glm4,compulsory_measure,0.2133
63,glm4,trial_duration,0.063
64,glm4,recusal_applied,0.153
65,glm4,immediate_judgement,0.046
