	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00769
	(0.00674)
1.ID	-1.588***
	(0.00544)
2.ID	0
	(0.00544)
3.ID	-1.980***
	(0.00544)
4.ID	0
	(0.00544)
5.ID	-1.765***
	(0.00544)
6.ID	-1.980***
	(0.00544)
7.ID	0
	(0.00544)
8.ID	-1.765***
	(0.00544)
9.ID	-1.980***
	(0.00544)
10.ID	0.509***
	(0.00544)
12.ID	0.509***
	(0.00544)
14.ID	0
	(0.00544)
15.ID	-1.980***
	(0.00544)
16.ID	0
	(0.00544)
17.ID	-1.980***
	(0.00544)
18.ID	-1.980***
	(0.00544)
19.ID	-1.765***
	(0.00544)
20.ID	0
	(0.00544)
21.ID	-1.765***
	(0.00544)
22.ID	-1.588***
	(0.00544)
23.ID	0
	(0.00544)
24.ID	0
	(0.00544)
25.ID	-1.765***
	(0.00544)
26.ID	-2.634***
	(0.00544)
27.ID	-1.980***
	(0.00544)
28.ID	-1.980***
	(0.00544)
29.ID	-1.980***
	(0.00544)
30.ID	-1.980***
	(0.00544)
31.ID	-0.908***
	(0.00544)
32.ID	0
	(0.00544)
33.ID	0
	(0.00544)
34.ID	0
	(0.00544)
35.ID	-1.980***
	(0.00544)
36.ID	-1.980***
	(0.00544)
37.ID	-1.980***
	(0.00544)
38.ID	-1.980***
	(0.00544)
39.ID	0
	(0.00544)
40.ID	0
	(0.00544)
41.ID	-1.588***
	(0.00544)
42.ID	0.509***
	(0.00544)
43.ID	-1.980***
	(0.00544)
44.ID	-3.249***
	(0.00512)
46.ID	-1.765***
	(0.00544)
47.ID	-2.254***
	(0.00544)
48.ID	0
	(0.00544)
49.ID	0
	(0.00544)
50.ID	0
	(0.00544)
51.ID	-1.980***
	(0.00544)
52.ID	-1.765***
	(0.00544)
53.ID	0.143
	(0.147)
54.ID	-1.980***
	(0.00544)
55.ID	-1.980***
	(0.00544)
56.ID	0
	(0.00544)
57.ID	-1.980***
	(0.00544)
58.ID	0
	(0.00544)
59.ID	-1.307***
	(0.00544)
60.ID	-1.980***
	(0.00544)
61.ID	-1.980***
	(0.00544)
62.ID	-1.765***
	(0.00544)
63.ID	-1.980***
	(0.00544)
64.ID	0
	(0.00544)
65.ID	-1.980***
	(0.00544)
66.ID	-1.765***
	(0.00544)
67.ID	0
	(0.00544)
68.ID	-0.403***
	(0.00544)
69.ID	-1.980***
	(0.00544)
70.ID	0.509***
	(0.00544)
71.ID	0.509***
	(0.00544)
72.ID	0.509***
	(0.00544)
73.ID	-1.980***
	(0.00544)
74.ID	-0.882
	(0.880)
76.ID	-1.980***
	(0.00544)
77.ID	-1.765***
	(0.00544)
78.ID	-1.980***
	(0.00544)
79.ID	-1.980***
	(0.00544)
80.ID	0
	(0.00544)
81.ID	-1.980***
	(0.00544)
82.ID	-1.588***
	(0.00544)
83.ID	-1.765***
	(0.00544)
84.ID	0.254
	(0.259)
85.ID	0
	(0.00544)
86.ID	0
	(0.00544)
87.ID	0
	(0.00544)
88.ID	0.509***
	(0.00544)
89.ID	-2.490***
	(0.515)
90.ID	-1.980***
	(0.00544)
91.ID	-0.624***
	(0.00544)
92.ID	-2.634***
	(0.00544)
93.ID	-1.588***
	(0.00544)
94.ID	-1.980***
	(0.00544)
95.ID	0.509***
	(0.00544)
96.ID	-1.980***
	(0.00544)
97.ID	-2.896***
	(0.00544)
98.ID	-1.088***
	(0.00544)
99.ID	-1.980***
	(0.00544)
100.ID	-1.765***
	(0.00544)
101.ID	-1.980***
	(0.00544)
102.ID	-2.634***
	(0.00544)
103.ID	-1.980***
	(0.00544)
104.ID	-1.980***
	(0.00544)
105.ID	-1.980***
	(0.00544)
106.ID	0.509***
	(0.00544)
107.ID	0.509***
	(0.00544)
108.ID	0.509***
	(0.00544)
109.ID	-1.765***
	(0.00544)
110.ID	-2.634***
	(0.00544)
111.ID	-2.634***
	(0.00544)
112.ID	0
	(0.00544)
113.ID	-1.980***
	(0.00544)
114.ID	0
	(0.00544)
115.ID	0
	(0.00544)
116.ID	-1.676***
	(0.0848)
117.ID	0
	(0.00544)
118.ID	0
	(0.00544)
119.ID	0.509***
	(0.00544)
120.ID	-0.756***
	(0.00544)
121.ID	0
	(0.00544)
122.ID	0.254
	(0.259)
123.ID	0.509***
	(0.00544)
125.ID	0
	(0.00544)
126.ID	0
	(0.00544)
127.ID	-2.634***
	(0.00544)
128.ID	-1.765***
	(0.00544)
129.ID	0
	(0.00544)
130.ID	-1.980***
	(0.00544)
131.ID	-1.765***
	(0.00544)
132.ID	-2.634***
	(0.00544)
133.ID	0
	(0.00544)
134.ID	-1.088***
	(0.00544)
135.ID	0
	(0.00544)
136.ID	0
	(0.00544)
137.ID	0
	(0.00544)
138.ID	0.509***
	(0.00544)
139.ID	-1.980***
	(0.00544)
140.ID	-1.588***
	(0.00544)
142.ID	-1.980***
	(0.00544)
143.ID	-1.976***
	(0.00512)
144.ID	-1.980***
	(0.00544)
145.ID	-1.765***
	(0.00544)
146.ID	0
	(0.00544)
147.ID	0.509***
	(0.00544)
148.ID	0
	(0.00544)
149.ID	-2.634***
	(0.00544)
150.ID	-1.980***
	(0.00544)
151.ID	-1.765***
	(0.00544)
152.ID	0
	(0.00544)
153.ID	0
	(0.00544)
154.ID	0
	(0.00544)
155.ID	-1.980***
	(0.00544)
156.ID	-1.980***
	(0.00544)
157.ID	0
	(0.00544)
158.ID	0
	(0.00544)
159.ID	-1.765***
	(0.00544)
160.ID	0
	(0.00544)
161.ID	0.286***
	(0.00544)
163.ID	-1.426***
	(0.335)
164.ID	-1.980***
	(0.00544)
165.ID	-1.980***
	(0.00544)
166.ID	0
	(0.00544)
167.ID	-1.980***
	(0.00544)
168.ID	0
	(0.00544)
169.ID	0
	(0.00544)
170.ID	-1.765***
	(0.00544)
171.ID	-1.765***
	(0.00544)
172.ID	-1.980***
	(0.00544)
173.ID	0
	(0.00544)
174.ID	0
	(0.00544)
175.ID	-1.765***
	(0.00544)
176.ID	-1.980***
	(0.00544)
177.ID	0
	(0.00544)
178.ID	-2.634***
	(0.00544)
179.ID	0
	(0.00544)
180.ID	-0.829***
	(0.00544)
181.ID	-2.634***
	(0.00544)
182.ID	-1.980***
	(0.00544)
183.ID	-1.765***
	(0.00544)
184.ID	-1.980***
	(0.00544)
185.ID	-1.765***
	(0.00544)
186.ID	-0.403***
	(0.00544)
187.ID	0.509***
	(0.00544)
188.ID	0
	(0.00544)
189.ID	-1.765***
	(0.00544)
190.ID	-1.980***
	(0.00544)
191.ID	-1.765***
	(0.00544)
192.ID	-1.980***
	(0.00544)
193.ID	-1.761***
	(0.00512)
194.ID	-0.181***
	(0.00544)
196.ID	-1.980***
	(0.00544)
197.ID	0
	(0.00544)
198.ID	-1.980***
	(0.00544)
199.ID	-1.980***
	(0.00544)
200.ID	0
	(0.00544)
201.ID	-1.980***
	(0.00544)
202.ID	0
	(0.00544)
203.ID	0.509***
	(0.00544)
204.ID	0.509***
	(0.00544)
205.ID	0
	(0.00544)
206.ID	-1.980***
	(0.00544)
207.ID	-1.980***
	(0.00544)
208.ID	-1.980***
	(0.00544)
209.ID	0.254
	(0.259)
210.ID	-1.980***
	(0.00544)
212.ID	-1.980***
	(0.00544)
213.ID	0.509***
	(0.00544)
214.ID	-1.980***
	(0.00544)
217.ID	0
	(0.00544)
218.ID	-1.980***
	(0.00544)
219.ID	-1.765***
	(0.00544)
220.ID	0
	(0.00544)
221.ID	0
	(0.00544)
222.ID	-0.628
	(1.134)
223.ID	-1.765***
	(0.00544)
224.ID	0
	(0.00544)
225.ID	0
	(0.00544)
226.ID	-2.254***
	(0.00544)
227.ID	0
	(0.00544)
228.ID	0.509***
	(0.00544)
229.ID	0
	(0.00544)
230.ID	0
	(0.00544)
231.ID	0
	(0.00544)
232.ID	0
	(0.00544)
233.ID	-1.765***
	(0.00544)
234.ID	0
	(0.00544)
235.ID	-1.088***
	(0.00544)
236.ID	0.509***
	(0.00544)
237.ID	0
	(0.00544)
238.ID	0
	(0.00544)
239.ID	0.254
	(0.259)
240.ID	0
	(0.00544)
241.ID	0
	(0.00544)
242.ID	-1.980***
	(0.00544)
243.ID	-0.403***
	(0.00544)
244.ID	0.143
	(0.147)
245.ID	-1.980***
	(0.00544)
246.ID	0
	(0.00544)
247.ID	0
	(0.00544)
248.ID	-1.588***
	(0.00544)
249.ID	-1.980***
	(0.00544)
250.ID	0.509***
	(0.00544)
251.ID	-1.980***
	(0.00544)
252.ID	-1.765***
	(0.00544)
253.ID	-1.980***
	(0.00544)
254.ID	-1.980***
	(0.00544)
255.ID	0.509***
	(0.00544)
256.ID	0
	(0.00544)
257.ID	0
	(0.00544)
258.ID	-1.980***
	(0.00544)
259.ID	0
	(0.00544)
260.ID	0
	(0.00544)
261.ID	-2.634***
	(0.00544)
263.ID	-1.980***
	(0.00544)
264.ID	0.509***
	(0.00544)
266.ID	0
	(0.00544)
267.ID	-1.765***
	(0.00544)
268.ID	0
	(0.00544)
269.ID	0
	(0.00544)
270.ID	0
	(0.00544)
271.ID	-1.980***
	(0.00544)
272.ID	0.509***
	(0.00544)
274.ID	-1.980***
	(0.00544)
275.ID	-1.765***
	(0.00544)
276.ID	-0.403***
	(0.00544)
277.ID	0
	(0.00544)
278.ID	-2.426***
	(0.00544)
279.ID	-1.765***
	(0.00544)
280.ID	0
	(0.00544)
281.ID	0
	(0.00544)
282.ID	-1.980***
	(0.00544)
283.ID	-1.980***
	(0.00544)
284.ID	-1.980***
	(0.00544)
285.ID	-1.980***
	(0.00544)
286.ID	-1.980***
	(0.00544)
288.ID	0
	(0.00544)
289.ID	0
	(0.00544)
290.ID	0
	(0.00544)
291.ID	-1.980***
	(0.00544)
292.ID	0
	(0.00544)
293.ID	-1.980***
	(0.00544)
294.ID	-1.588***
	(0.00544)
295.ID	-0.990
	(0.988)
296.ID	-1.307***
	(0.00544)
297.ID	0
	(0.00544)
298.ID	0
	(0.00544)
299.ID	0.509***
	(0.00544)
300.ID	0
	(0.00544)
301.ID	-1.980***
	(0.00544)
302.ID	0.509***
	(0.00544)
303.ID	-1.307***
	(0.00544)
304.ID	0.509***
	(0.00544)
305.ID	0
	(0.00544)
306.ID	-1.588***
	(0.00544)
308.ID	-1.088***
	(0.00544)
309.ID	-1.765***
	(0.00544)
310.ID	-1.980***
	(0.00544)
311.ID	-3.253***
	(0.00544)
312.ID	0
	(0.00544)
313.ID	-1.980***
	(0.00544)
314.ID	-1.588***
	(0.00544)
315.ID	-1.980***
	(0.00544)
316.ID	-1.588***
	(0.00544)
317.ID	0
	(0.00544)
318.ID	0
	(0.00544)
319.ID	0
	(0.00544)
320.ID	-1.765***
	(0.00544)
321.ID	-1.588***
	(0.00544)
322.ID	0.397***
	(0.108)
323.ID	-1.765***
	(0.00544)
324.ID	0
	(0.00544)
325.ID	-1.980***
	(0.00544)
326.ID	0
	(0.00544)
327.ID	0
	(0.00544)
328.ID	0
	(0.00544)
329.ID	-1.980***
	(0.00544)
330.ID	0.286***
	(0.00544)
331.ID	-1.980***
	(0.00544)
332.ID	0
	(0.00544)
333.ID	0
	(0.00544)
334.ID	-1.980***
	(0.00544)
335.ID	-1.980***
	(0.00544)
336.ID	-0.0686***
	(0.00544)
337.ID	-1.980***
	(0.00544)
338.ID	0
	(0.00544)
339.ID	0
	(0.00544)
340.ID	0.509***
	(0.00544)
341.ID	-1.765***
	(0.00544)
342.ID	-1.980***
	(0.00544)
343.ID	0
	(0.00544)
344.ID	-1.676***
	(0.0848)
345.ID	0
	(0.00544)
346.ID	-3.253***
	(0.00544)
347.ID	-1.588***
	(0.00544)
348.ID	-1.980***
	(0.00544)
349.ID	-3.253***
	(0.00544)
350.ID	-1.980***
	(0.00544)
352.ID	-0.990
	(0.995)
353.ID	-0.403***
	(0.00544)
354.ID	-1.980***
	(0.00544)
355.ID	-1.588***
	(0.00544)
356.ID	-1.765***
	(0.00544)
357.ID	0
	(0.00544)
358.ID	-1.980***
	(0.00544)
359.ID	0
	(0.00544)
361.ID	-1.980***
	(0.00544)
364.ID	0.286***
	(0.00544)
365.ID	-1.980***
	(0.00544)
366.ID	0.286***
	(0.00544)
369.ID	0
	(0.00544)
370.ID	0
	(0.00544)
372.ID	0
	(0.00544)
373.ID	-1.980***
	(0.00544)
374.ID	0
	(0.00544)
375.ID	-1.980***
	(0.00544)
377.ID	0
	(0.00544)
378.ID	-1.980***
	(0.00544)
379.ID	-1.765***
	(0.00544)
381.ID	-2.254***
	(0.00544)
382.ID	-3.253***
	(0.00544)
383.ID	-1.980***
	(0.00544)
385.ID	0
	(0.00544)
386.ID	-2.634***
	(0.00544)
387.ID	-1.980***
	(0.00544)
388.ID	-1.765***
	(0.00544)
389.ID	0
	(0.00544)
390.ID	0.509***
	(0.00544)
391.ID	-1.980***
	(0.00544)
393.ID	0
	(0.00544)
394.ID	0
	(0.00544)
395.ID	0
	(0.00544)
396.ID	0
	(0.00544)
397.ID	-1.980***
	(0.00544)
398.ID	-2.634***
	(0.00544)
399.ID	-1.765***
	(0.00544)
400.ID	0
	(0.00544)
401.ID	-1.088***
	(0.00544)
402.ID	-1.980***
	(0.00544)
403.ID	-1.980***
	(0.00544)
404.ID	-1.588***
	(0.00544)
405.ID	-1.980***
	(0.00544)
406.ID	-0.745**
	(0.347)
407.ID	0
	(0.00544)
408.ID	0.254
	(0.259)
409.ID	-2.634***
	(0.00544)
410.ID	-1.980***
	(0.00544)
411.ID	-2.254***
	(0.00544)
412.ID	0
	(0.00544)
413.ID	-1.588***
	(0.00544)
414.ID	-1.980***
	(0.00544)
415.ID	-1.980***
	(0.00544)
416.ID	-1.765***
	(0.00544)
417.ID	-2.634***
	(0.00544)
418.ID	-1.980***
	(0.00544)
419.ID	-0.990
	(0.988)
420.ID	-1.765***
	(0.00544)
421.ID	-1.980***
	(0.00544)
423.ID	0
	(0.00544)
424.ID	0
	(0.00544)
425.ID	0
	(0.00544)
426.ID	-1.980***
	(0.00544)
428.ID	-1.980***
	(0.00544)
429.ID	-1.980***
	(0.00544)
430.ID	0.509***
	(0.00544)
431.ID	-1.765***
	(0.00544)
432.ID	0
	(0.00544)
433.ID	-1.980***
	(0.00544)
434.ID	-1.980***
	(0.00544)
435.ID	0.509***
	(0.00544)
436.ID	-1.765***
	(0.00544)
437.ID	-2.444***
	(0.194)
438.ID	0
	(0.00544)
439.ID	0
	(0.00544)
440.ID	-1.765***
	(0.00544)
441.ID	0
	(0.00544)
442.ID	0
	(0.00544)
445.ID	-1.980***
	(0.00544)
446.ID	0
	(0.00544)
447.ID	-1.088***
	(0.00544)
448.ID	-1.588***
	(0.00544)
449.ID	0
	(0.00544)
450.ID	-1.980***
	(0.00544)
451.ID	0
	(0.00544)
452.ID	-1.765***
	(0.00544)
453.ID	0.509***
	(0.00544)
454.ID	-1.765***
	(0.00544)
455.ID	0
	(0.00544)
456.ID	-3.253***
	(0.00544)
457.ID	0.509***
	(0.00544)
458.ID	0.509***
	(0.00544)
459.ID	-1.765***
	(0.00544)
460.ID	-1.980***
	(0.00544)
461.ID	0.509***
	(0.00544)
462.ID	0
	(0.00544)
464.ID	0
	(0.00544)
465.ID	-1.088***
	(0.00544)
466.ID	0
	(0.00544)
467.ID	0
	(0.00544)
468.ID	0
	(0.00544)
469.ID	-1.980***
	(0.00544)
470.ID	0
	(0.00544)
471.ID	0.509***
	(0.00544)
472.ID	0.509***
	(0.00544)
473.ID	0
	(0.00544)
474.ID	0
	(0.00544)
475.ID	-1.980***
	(0.00544)
476.ID	0
	(0.00544)
477.ID	0.286***
	(0.00544)
478.ID	0.509***
