	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0127
	(0.0142)
1.ID	-1.588***
	(0.00901)
2.ID	0
	(0.00901)
3.ID	-1.980***
	(0.00901)
4.ID	0
	(0.00901)
5.ID	-1.872***
	(0.102)
6.ID	-1.980***
	(0.00901)
7.ID	0
	(0.00901)
8.ID	-1.765***
	(0.00901)
9.ID	-1.980***
	(0.00901)
12.ID	0.509***
	(0.00901)
14.ID	0
	(0.00901)
15.ID	-1.980***
	(0.00901)
16.ID	0
	(0.00901)
17.ID	-1.980***
	(0.00901)
18.ID	-1.980***
	(0.00901)
19.ID	-1.765***
	(0.00901)
20.ID	0
	(0.00901)
21.ID	-1.765***
	(0.00901)
22.ID	-1.588***
	(0.00901)
23.ID	0
	(0.00901)
24.ID	0
	(0.00901)
25.ID	-1.765***
	(0.00901)
26.ID	-2.634***
	(0.00901)
27.ID	-1.980***
	(0.00901)
28.ID	-2.117***
	(0.144)
29.ID	-1.980***
	(0.00901)
30.ID	-1.980***
	(0.00901)
31.ID	-0.908***
	(0.00901)
32.ID	0
	(0.00901)
33.ID	0
	(0.00901)
34.ID	0
	(0.00901)
35.ID	-1.980***
	(0.00901)
36.ID	-1.980***
	(0.00901)
37.ID	-1.980***
	(0.00901)
39.ID	0
	(0.00901)
40.ID	0
	(0.00901)
41.ID	-1.588***
	(0.00901)
42.ID	0.509***
	(0.00901)
43.ID	-1.980***
	(0.00901)
47.ID	-2.254***
	(0.00901)
48.ID	0
	(0.00901)
49.ID	0
	(0.00901)
50.ID	0
	(0.00901)
52.ID	-1.676***
	(0.0953)
54.ID	-1.980***
	(0.00901)
55.ID	-1.980***
	(0.00901)
56.ID	0
	(0.00901)
57.ID	-1.980***
	(0.00901)
58.ID	0
	(0.00901)
60.ID	-1.980***
	(0.00901)
61.ID	-1.980***
	(0.00901)
62.ID	-1.765***
	(0.00901)
63.ID	-0.847
	(1.143)
64.ID	0
	(0.00901)
65.ID	-1.980***
	(0.00901)
66.ID	-1.765***
	(0.00901)
67.ID	0
	(0.00901)
69.ID	-1.980***
	(0.00901)
70.ID	0.397***
	(0.118)
71.ID	0.509***
	(0.00901)
72.ID	0.509***
	(0.00901)
73.ID	-1.980***
	(0.00901)
76.ID	-1.980***
	(0.00901)
77.ID	-1.765***
	(0.00901)
79.ID	-1.980***
	(0.00901)
80.ID	0
	(0.00901)
81.ID	-1.980***
	(0.00901)
82.ID	-1.588***
	(0.00901)
83.ID	-1.765***
	(0.00901)
84.ID	0
	(0.00901)
85.ID	-0.990
	(0.999)
87.ID	0
	(0.00901)
89.ID	-1.980***
	(0.00901)
90.ID	-1.980***
	(0.00901)
91.ID	-0.624***
	(0.00901)
93.ID	-1.588***
	(0.00901)
94.ID	-1.980***
	(0.00901)
98.ID	-1.088***
	(0.00901)
99.ID	-1.765***
	(0.00901)
103.ID	-1.980***
	(0.00901)
104.ID	-1.980***
	(0.00901)
105.ID	-1.980***
	(0.00901)
106.ID	0.254
	(0.249)
107.ID	0.509***
	(0.00901)
109.ID	-1.765***
	(0.00901)
110.ID	-2.634***
	(0.00901)
112.ID	0
	(0.00901)
113.ID	-1.980***
	(0.00901)
114.ID	0
	(0.00901)
115.ID	0.143
	(0.150)
117.ID	-0.990
	(0.999)
118.ID	0
	(0.00901)
120.ID	-0.756***
	(0.00901)
121.ID	0
	(0.00901)
122.ID	0.509***
	(0.00901)
133.ID	0
	(0.00901)
134.ID	-1.088***
	(0.00901)
144.ID	-1.872***
	(0.114)
145.ID	-1.765***
	(0.00901)
147.ID	0.509***
	(0.00901)
148.ID	0
	(0.00901)
149.ID	-2.444***
	(0.197)
152.ID	0
	(0.00901)
153.ID	0
	(0.00901)
156.ID	-1.980***
	(0.00901)
167.ID	-1.980***
	(0.00901)
169.ID	0
	(0.00901)
174.ID	0
	(0.00901)
187.ID	0.509***
	(0.00901)
188.ID	0
	(0.00901)
189.ID	-1.765***
	(0.00901)
190.ID	-2.117***
	(0.131)
191.ID	-1.765***
	(0.00901)
194.ID	-0.0906
	(0.0848)
196.ID	-1.980***
	(0.00901)
197.ID	0
	(0.00901)
198.ID	-1.980***
	(0.00901)
199.ID	-1.980***
	(0.00901)
200.ID	0
	(0.00901)
201.ID	-1.980***
	(0.00901)
202.ID	0
	(0.00901)
203.ID	0.509***
	(0.00901)
204.ID	0.509***
	(0.00901)
205.ID	0
	(0.00901)
206.ID	-1.980***
	(0.00901)
207.ID	-1.980***
	(0.00901)
208.ID	-1.980***
	(0.00901)
209.ID	0
	(0.00901)
212.ID	-1.980***
	(0.00901)
213.ID	0.509***
	(0.00901)
214.ID	-0.990
	(0.987)
218.ID	-1.980***
	(0.00901)
219.ID	-1.765***
	(0.00901)
220.ID	0
	(0.00901)
222.ID	-0.628
	(1.134)
223.ID	-1.765***
	(0.00901)
224.ID	0
	(0.00901)
225.ID	0
	(0.00901)
226.ID	-2.254***
	(0.00901)
227.ID	0
	(0.00901)
228.ID	0.509***
	(0.00901)
229.ID	0
	(0.00901)
230.ID	0
	(0.00901)
231.ID	-1.765***
	(0.00901)
232.ID	-1.980***
	(0.00901)
233.ID	-1.765***
	(0.00901)
234.ID	0
	(0.00901)
235.ID	-1.088***
	(0.00901)
237.ID	0
	(0.00901)
238.ID	0
	(0.00901)
239.ID	0.254
	(0.262)
240.ID	0
	(0.00901)
241.ID	0
	(0.00901)
243.ID	-0.403***
	(0.00901)
244.ID	0
	(0.00901)
245.ID	-1.980***
	(0.00901)
246.ID	0
	(0.00901)
247.ID	0
	(0.00901)
248.ID	-1.588***
	(0.00901)
249.ID	-1.980***
	(0.00901)
250.ID	-0.628
	(1.134)
251.ID	-1.980***
	(0.00901)
252.ID	-1.765***
	(0.00901)
253.ID	-1.980***
	(0.00901)
254.ID	-1.980***
	(0.00901)
255.ID	0.502***
	(0.00955)
256.ID	0
	(0.00901)
257.ID	0
	(0.00901)
258.ID	-1.980***
	(0.00901)
259.ID	0
	(0.00901)
260.ID	0
	(0.00901)
261.ID	-2.634***
	(0.00901)
264.ID	0.509***
	(0.00901)
265.ID	0.00635
	(0.00955)
266.ID	0
	(0.00901)
267.ID	-1.765***
	(0.00901)
268.ID	0
	(0.00901)
269.ID	-1.980***
	(0.00901)
270.ID	0
	(0.00901)
271.ID	-1.980***
	(0.00901)
274.ID	-1.980***
	(0.00901)
275.ID	-1.765***
	(0.00901)
277.ID	0
	(0.00901)
278.ID	-2.530***
	(0.0980)
279.ID	-1.765***
	(0.00901)
280.ID	0
	(0.00901)
281.ID	0
	(0.00901)
282.ID	-1.980***
	(0.00901)
283.ID	-1.980***
	(0.00901)
284.ID	-1.980***
	(0.00901)
285.ID	-1.980***
	(0.00901)
286.ID	-1.980***
	(0.00901)
288.ID	0
	(0.00901)
289.ID	0
	(0.00901)
290.ID	0
	(0.00901)
291.ID	-1.980***
	(0.00901)
292.ID	0.143
	(0.150)
293.ID	-1.980***
	(0.00901)
294.ID	-1.588***
	(0.00901)
295.ID	-0.990
	(0.999)
296.ID	-1.307***
	(0.00901)
297.ID	0.254
	(0.262)
298.ID	0
	(0.00901)
299.ID	0.509***
	(0.00901)
300.ID	0
	(0.00901)
301.ID	-1.980***
	(0.00901)
302.ID	0.509***
	(0.00901)
303.ID	-1.447***
	(0.135)
304.ID	0.509***
	(0.00901)
305.ID	0
	(0.00901)
306.ID	-1.588***
	(0.00901)
307.ID	-1.601***
	(0.158)
308.ID	-1.088***
	(0.00901)
309.ID	-1.765***
	(0.00901)
310.ID	-1.980***
	(0.00901)
311.ID	-3.253***
	(0.00901)
312.ID	0
	(0.00901)
313.ID	-1.765***
	(0.00901)
314.ID	-1.784***
	(0.190)
315.ID	-1.980***
	(0.00901)
317.ID	0
	(0.00901)
319.ID	0
	(0.00901)
320.ID	-1.765***
	(0.00901)
321.ID	-1.588***
	(0.00901)
322.ID	0.397***
	(0.118)
323.ID	-1.765***
	(0.00901)
325.ID	-1.980***
	(0.00901)
326.ID	0
	(0.00901)
327.ID	0
	(0.00901)
328.ID	0
	(0.00901)
329.ID	-1.980***
	(0.00901)
330.ID	0.286***
	(0.00901)
331.ID	-1.980***
	(0.00901)
332.ID	0
	(0.00901)
333.ID	0
	(0.00901)
335.ID	-1.980***
	(0.00901)
336.ID	-0.0686***
	(0.00901)
337.ID	-1.980***
	(0.00901)
338.ID	0
	(0.00901)
339.ID	0
	(0.00901)
340.ID	0.509***
	(0.00901)
341.ID	-0.628
	(1.146)
342.ID	-1.980***
	(0.00901)
343.ID	-0.544
	(0.539)
344.ID	-1.588***
	(0.00901)
345.ID	0.509***
	(0.00901)
347.ID	-1.588***
	(0.00901)
348.ID	-1.980***
	(0.00901)
349.ID	-3.259***
	(0.00955)
350.ID	-1.980***
	(0.00901)
352.ID	0
	(0.00901)
353.ID	-0.403***
	(0.00901)
354.ID	-1.980***
	(0.00901)
356.ID	-1.765***
	(0.00901)
358.ID	-1.980***
	(0.00901)
359.ID	0
	(0.00901)
361.ID	-1.980***
	(0.00901)
382.ID	-3.253***
	(0.00901)
385.ID	0
	(0.00901)
386.ID	-2.634***
	(0.00901)
387.ID	-1.980***
	(0.00901)
390.ID	0
	(0.00901)
391.ID	-1.980***
	(0.00901)
395.ID	0
	(0.00901)
398.ID	-2.634***
	(0.00901)
399.ID	-1.765***
	(0.00901)
400.ID	0
	(0.00901)
403.ID	-1.980***
	(0.00901)
405.ID	-1.980***
	(0.00901)
406.ID	-0.403***
	(0.00901)
407.ID	0
	(0.00901)
408.ID	0.509***
	(0.00901)
409.ID	-2.634***
	(0.00901)
412.ID	0
	(0.00901)
413.ID	-1.588***
	(0.00901)
414.ID	-1.980***
	(0.00901)
415.ID	-1.980***
	(0.00901)
416.ID	-1.765***
	(0.00901)
417.ID	-2.634***
	(0.00901)
419.ID	-1.980***
	(0.00901)
420.ID	-1.765***
	(0.00901)
421.ID	-1.980***
	(0.00901)
423.ID	0
	(0.00901)
424.ID	0
	(0.00901)
425.ID	0
	(0.00901)
428.ID	-1.980***
	(0.00901)
429.ID	-1.980***
	(0.00901)
430.ID	0.509***
	(0.00901)
431.ID	-1.765***
	(0.00901)
432.ID	0
	(0.00901)
434.ID	-1.980***
	(0.00901)
435.ID	0.509***
	(0.00901)
436.ID	-1.765***
	(0.00901)
437.ID	-2.254***
	(0.00901)
438.ID	0
	(0.00901)
439.ID	0
	(0.00901)
440.ID	-1.765***
	(0.00901)
441.ID	0
	(0.00901)
442.ID	0
	(0.00901)
445.ID	-1.980***
	(0.00901)
446.ID	0
	(0.00901)
447.ID	-1.088***
	(0.00901)
448.ID	0
	(0.00901)
450.ID	-1.980***
	(0.00901)
451.ID	0
	(0.00901)
452.ID	-1.765***
	(0.00901)
453.ID	0.509***
	(0.00901)
454.ID	-1.765***
	(0.00901)
456.ID	-2.640***
	(0.00955)
457.ID	0.509***
	(0.00901)
458.ID	0.509***
	(0.00901)
459.ID	-1.765***
	(0.00901)
460.ID	-1.980***
	(0.00901)
461.ID	0.509***
	(0.00901)
462.ID	0
	(0.00901)
464.ID	0
	(0.00901)
467.ID	0
	(0.00901)
468.ID	0.254
	(0.262)
469.ID	-1.980***
	(0.00901)
470.ID	0
	(0.00901)
471.ID	0.397***
	(0.118)
472.ID	0.509***
	(0.00901)
473.ID	0
	(0.00901)
474.ID	0
	(0.00901)
475.ID	-1.980***
	(0.00901)
476.ID	0
	(0.00901)
477.ID	0.286***
	(0.00901)
478.ID	0.509***
	(0.00901)
479.ID	0
	(0.00901)
481.ID	0
	(0.00901)
482.ID	0.509***
	(0.00901)
483.ID	-2.634***
	(0.00901)
484.ID	0.286***
	(0.00901)
485.ID	0.509***
	(0.00901)
486.ID	-1.980***
	(0.00901)
488.ID	0.509***
	(0.00901)
489.ID	-2.753***
	(0.494)
490.ID	-1.980***
	(0.00901)
493.ID	-1.784***
	(0.190)
494.ID	0
	(0.00901)
495.ID	0
	(0.00901)
497.ID	-1.872***
	(0.114)
498.ID	0.509***
	(0.00901)
499.ID	-1.437***
	(0.00901)
501.ID	-1.765***
	(0.00901)
502.ID	-3.253***
	(0.00901)
503.ID	-0.312
	(0.307)
505.ID	-1.088***
	(0.00901)
506.ID	-1.872***
	(0.114)
507.ID	0
	(0.00901)
508.ID	-1.980***
	(0.00901)
509.ID	-1.980***
	(0.00901)
510.ID	0
	(0.00901)
512.ID	-1.980***
	(0.00901)
514.ID	0.509***
	(0.00901)
515.ID	0.286***
	(0.00901)
518.ID	-1.980***
	(0.00901)
519.ID	-2.254***
	(0.00901)
521.ID	0
	(0.00901)
523.ID	0.143
	(0.150)
525.ID	-1.765***
	(0.00901)
526.ID	0
	(0.00901)
527.ID	0
	(0.00901)
528.ID	0.286***
	(0.00901)
530.ID	-1.872***
	(0.102)
532.ID	0
	(0.00901)
535.ID	-1.980***
	(0.00901)
536.ID	0
	(0.00901)
538.ID	-0.403***
	(0.00901)
539.ID	-0.990
	(0.987)
540.ID	-1.784***
	(0.203)
541.ID	0.143
	(0.137)
542.ID	0.509***
	(0.00901)
543.ID	0
	(0.00901)
544.ID	-1.980***
	(0.00901)
545.ID	-2.634***
	(0.00901)
546.ID	-1.980***
	(0.00901)
548.ID	-1.980***
	(0.00901)
549.ID	-0.990
	(0.987)
550.ID	0
	(0.00901)
551.ID	0
	(0.00901)
552.ID	-1.980***
	(0.00901)
553.ID	0
	(0.00901)
554.ID	-1.980***
	(0.00901)
555.ID	0
	(0.00901)
556.ID	-1.980***
	(0.00901)
559.ID	0
	(0.00901)
560.ID	0.509***
	(0.00901)
561.ID	0
	(0.00901)
562.ID	-1.980***
	(0.00901)
563.ID	-0.454***
	(0.00901)
564.ID	0
	(0.00901)
567.ID	-1.980***
	(0.00901)
568.ID	-1.980***
	(0.00901)
569.ID	0
	(0.00901)
570.ID	-2.896***
	(0.00901)
571.ID	0
	(0.00901)
573.ID	-1.980***
	(0.00901)
575.ID	0
	(0.00901)
577.ID	0
	(0.00901)
578.ID	-1.601***
	(0.171)
579.ID	0
	(0.00901)
581.ID	0
	(0.00901)
582.ID	-1.980***
	(0.00901)
583.ID	-1.980***
	(0.00901)
584.ID	0
	(0.00901)
585.ID	0.509***
	(0.00901)
586.ID	-1.980***
	(0.00901)
587.ID	-1.765***
	(0.00901)
588.ID	-1.980***
	(0.00901)
589.ID	0
	(0.00901)
590.ID	0
	(0.00901)
591.ID	-0.908***
	(0.00901)
592.ID	-1.765***
	(0.00901)
593.ID	-1.980***
	(0.00901)
596.ID	-1.980***
	(0.00901)
597.ID	0
	(0.00901)
598.ID	-0.403***
	(0.00901)
599.ID	-1.980***
	(0.00901)
600.ID	-1.980***
	(0.00901)
601.ID	0.509***
	(0.00901)
605.ID	-1.980***
	(0.00901)
607.ID	0
	(0.00901)
608.ID	-1.980***
	(0.00901)
610.ID	-1.980***
	(0.00901)
611.ID	-1.588***
	(0.00901)
612.ID	0
	(0.00901)
613.ID	0
	(0.00901)
614.ID	-1.980***
	(0.00901)
615.ID	-1.980***
	(0.00901)
616.ID	0
	(0.00901)
618.ID	0
	(0.00901)
619.ID	-1.980***
	(0.00901)
621.ID	-1.588***
	(0.00901)
622.ID	-1.980***
	(0.00901)
623.ID	0
	(0.00901)
624.ID	0
	(0.00901)
625.ID	0
	(0.00901)
627.ID	-1.980***
	(0.00901)
628.ID	0
	(0.00901)
629.ID	0.286***
	(0.00901)
630.ID	-0.756***
	(0.00901)
631.ID	0
	(0.00901)
632.ID	-1.765***
	(0.00901)
633.ID	0.509***
	(0.00901)
634.ID	-1.980***
	(0.00901)
635.ID	0
	(0.00901)
637.ID	-0.628
