	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0127
	(0.0142)
1.ID	-1.588***
	(0.00902)
2.ID	-0
	(0.00902)
3.ID	-1.980***
	(0.00902)
4.ID	-0
	(0.00902)
5.ID	-1.872***
	(0.102)
6.ID	-1.980***
	(0.00902)
7.ID	-0
	(0.00902)
8.ID	-1.765***
	(0.00902)
9.ID	-1.980***
	(0.00902)
12.ID	0.509***
	(0.00902)
14.ID	-0
	(0.00902)
15.ID	-1.980***
	(0.00902)
16.ID	-0
	(0.00902)
17.ID	-1.980***
	(0.00902)
18.ID	-1.980***
	(0.00902)
19.ID	-1.765***
	(0.00902)
20.ID	-0
	(0.00902)
21.ID	-1.765***
	(0.00902)
22.ID	-1.588***
	(0.00902)
23.ID	-0
	(0.00902)
24.ID	-0
	(0.00902)
25.ID	-1.765***
	(0.00902)
26.ID	-2.634***
	(0.00902)
27.ID	-1.980***
	(0.00902)
28.ID	-2.117***
	(0.144)
29.ID	-1.980***
	(0.00902)
30.ID	-1.980***
	(0.00902)
31.ID	-0.908***
	(0.00902)
32.ID	-0
	(0.00902)
33.ID	-0
	(0.00902)
34.ID	-0
	(0.00902)
35.ID	-1.980***
	(0.00902)
36.ID	-1.980***
	(0.00902)
37.ID	-1.980***
	(0.00902)
39.ID	-0
	(0.00902)
40.ID	-0
	(0.00902)
41.ID	-1.588***
	(0.00902)
42.ID	0.509***
	(0.00902)
43.ID	-1.980***
	(0.00902)
47.ID	-2.254***
	(0.00902)
48.ID	-0
	(0.00902)
49.ID	-0
	(0.00902)
50.ID	-0
	(0.00902)
52.ID	-1.676***
	(0.0953)
54.ID	-1.980***
	(0.00902)
55.ID	-1.980***
	(0.00902)
56.ID	-0
	(0.00902)
57.ID	-1.980***
	(0.00902)
58.ID	-0
	(0.00902)
60.ID	-1.980***
	(0.00902)
61.ID	-1.980***
	(0.00902)
62.ID	-1.765***
	(0.00902)
63.ID	-0.847
	(1.143)
64.ID	-0
	(0.00902)
65.ID	-1.980***
	(0.00902)
66.ID	-1.765***
	(0.00902)
67.ID	-0
	(0.00902)
69.ID	-1.980***
	(0.00902)
70.ID	0.397***
	(0.118)
71.ID	0.509***
	(0.00902)
72.ID	0.509***
	(0.00902)
73.ID	-1.980***
	(0.00902)
76.ID	-1.980***
	(0.00902)
77.ID	-1.765***
	(0.00902)
79.ID	-1.980***
	(0.00902)
80.ID	-0
	(0.00902)
81.ID	-1.980***
	(0.00902)
82.ID	-1.588***
	(0.00902)
83.ID	-1.765***
	(0.00902)
84.ID	-0
	(0.00902)
85.ID	-0.990
	(0.999)
87.ID	-0
	(0.00902)
89.ID	-1.980***
	(0.00902)
90.ID	-1.980***
	(0.00902)
91.ID	-0.624***
	(0.00902)
93.ID	-1.588***
	(0.00902)
94.ID	-1.980***
	(0.00902)
98.ID	-1.088***
	(0.00902)
99.ID	-1.765***
	(0.00902)
103.ID	-1.980***
	(0.00902)
104.ID	-1.980***
	(0.00902)
105.ID	-1.980***
	(0.00902)
106.ID	0.254
	(0.249)
107.ID	0.509***
	(0.00902)
109.ID	-1.765***
	(0.00902)
110.ID	-2.634***
	(0.00902)
112.ID	-0
	(0.00902)
113.ID	-1.980***
	(0.00902)
114.ID	-0
	(0.00902)
115.ID	0.143
	(0.150)
117.ID	-0.990
	(0.999)
118.ID	-0
	(0.00902)
120.ID	-0.756***
	(0.00902)
121.ID	-0
	(0.00902)
122.ID	0.509***
	(0.00902)
133.ID	-0
	(0.00902)
134.ID	-1.088***
	(0.00902)
144.ID	-1.872***
	(0.114)
145.ID	-1.765***
	(0.00902)
147.ID	0.509***
	(0.00902)
148.ID	-0
	(0.00902)
149.ID	-2.444***
	(0.197)
152.ID	-0
	(0.00902)
153.ID	-0
	(0.00902)
156.ID	-1.980***
	(0.00902)
167.ID	-1.980***
	(0.00902)
169.ID	-0
	(0.00902)
174.ID	-0
	(0.00902)
187.ID	0.509***
	(0.00902)
188.ID	-0
	(0.00902)
189.ID	-1.765***
	(0.00902)
190.ID	-2.117***
	(0.131)
191.ID	-1.765***
	(0.00902)
194.ID	-0.0906
	(0.0848)
196.ID	-1.980***
	(0.00902)
197.ID	-0
	(0.00902)
198.ID	-1.980***
	(0.00902)
199.ID	-1.980***
	(0.00902)
200.ID	-0
	(0.00902)
201.ID	-1.980***
	(0.00902)
202.ID	-0
	(0.00902)
203.ID	0.509***
	(0.00902)
204.ID	0.509***
	(0.00902)
205.ID	-0
	(0.00902)
206.ID	-1.980***
	(0.00902)
207.ID	-1.980***
	(0.00902)
208.ID	-1.980***
	(0.00902)
209.ID	-0
	(0.00902)
212.ID	-1.980***
	(0.00902)
213.ID	0.509***
	(0.00902)
214.ID	-0.990
	(0.987)
218.ID	-1.980***
	(0.00902)
219.ID	-1.765***
	(0.00902)
220.ID	-0
	(0.00902)
222.ID	-0.628
	(1.134)
223.ID	-1.765***
	(0.00902)
224.ID	-0
	(0.00902)
225.ID	-0
	(0.00902)
226.ID	-2.254***
	(0.00902)
227.ID	-0
	(0.00902)
228.ID	0.509***
	(0.00902)
229.ID	-0
	(0.00902)
230.ID	-0
	(0.00902)
231.ID	-1.765***
	(0.00902)
232.ID	-1.980***
	(0.00902)
233.ID	-1.765***
	(0.00902)
234.ID	-0
	(0.00902)
235.ID	-1.088***
	(0.00902)
237.ID	-0
	(0.00902)
238.ID	-0
	(0.00902)
239.ID	0.254
	(0.262)
240.ID	-0
	(0.00902)
241.ID	-0
	(0.00902)
243.ID	-0.403***
	(0.00902)
244.ID	-0
	(0.00902)
245.ID	-1.980***
	(0.00902)
246.ID	-0
	(0.00902)
247.ID	-0
	(0.00902)
248.ID	-1.588***
	(0.00902)
249.ID	-1.980***
	(0.00902)
250.ID	-0.628
	(1.134)
251.ID	-1.980***
	(0.00902)
252.ID	-1.765***
	(0.00902)
253.ID	-1.980***
	(0.00902)
254.ID	-1.980***
	(0.00902)
255.ID	0.502***
	(0.00956)
256.ID	-0
	(0.00902)
257.ID	-0
	(0.00902)
258.ID	-1.980***
	(0.00902)
259.ID	-0
	(0.00902)
260.ID	-0
	(0.00902)
261.ID	-2.634***
	(0.00902)
264.ID	0.509***
	(0.00902)
265.ID	0.00636
	(0.00956)
266.ID	-0
	(0.00902)
267.ID	-1.765***
	(0.00902)
268.ID	-0
	(0.00902)
269.ID	-1.980***
	(0.00902)
270.ID	-0
	(0.00902)
271.ID	-1.980***
	(0.00902)
274.ID	-1.980***
	(0.00902)
275.ID	-1.765***
	(0.00902)
277.ID	-0
	(0.00902)
278.ID	-2.530***
	(0.0980)
279.ID	-1.765***
	(0.00902)
280.ID	-0
	(0.00902)
281.ID	-0
	(0.00902)
282.ID	-1.980***
	(0.00902)
283.ID	-1.980***
	(0.00902)
284.ID	-1.980***
	(0.00902)
285.ID	-1.980***
	(0.00902)
286.ID	-1.980***
	(0.00902)
288.ID	-0
	(0.00902)
289.ID	-0
	(0.00902)
290.ID	-0
	(0.00902)
291.ID	-1.980***
	(0.00902)
292.ID	0.143
	(0.150)
293.ID	-1.980***
	(0.00902)
294.ID	-1.588***
	(0.00902)
295.ID	-0.990
	(0.999)
296.ID	-1.307***
	(0.00902)
297.ID	0.254
	(0.262)
298.ID	-0
	(0.00902)
299.ID	0.509***
	(0.00902)
300.ID	-0
	(0.00902)
301.ID	-1.980***
	(0.00902)
302.ID	0.509***
	(0.00902)
303.ID	-1.447***
	(0.135)
304.ID	0.509***
	(0.00902)
305.ID	-0
	(0.00902)
306.ID	-1.588***
	(0.00902)
307.ID	-1.601***
	(0.158)
308.ID	-1.088***
	(0.00902)
309.ID	-1.765***
	(0.00902)
310.ID	-1.980***
	(0.00902)
311.ID	-3.253***
	(0.00902)
312.ID	-0
	(0.00902)
313.ID	-1.765***
	(0.00902)
314.ID	-1.784***
	(0.190)
315.ID	-1.980***
	(0.00902)
317.ID	-0
	(0.00902)
319.ID	-0
	(0.00902)
320.ID	-1.765***
	(0.00902)
321.ID	-1.588***
	(0.00902)
322.ID	0.397***
	(0.118)
323.ID	-1.765***
	(0.00902)
325.ID	-1.980***
	(0.00902)
326.ID	-0
	(0.00902)
327.ID	-0
	(0.00902)
328.ID	-0
	(0.00902)
329.ID	-1.980***
	(0.00902)
330.ID	0.286***
	(0.00902)
331.ID	-1.980***
	(0.00902)
332.ID	-0
	(0.00902)
333.ID	-0
	(0.00902)
335.ID	-1.980***
	(0.00902)
336.ID	-0.0686***
	(0.00902)
337.ID	-1.980***
	(0.00902)
338.ID	-0
	(0.00902)
339.ID	-0
	(0.00902)
340.ID	0.509***
	(0.00902)
341.ID	-0.628
	(1.147)
342.ID	-1.980***
	(0.00902)
343.ID	-0.544
	(0.539)
344.ID	-1.588***
	(0.00902)
345.ID	0.509***
	(0.00902)
347.ID	-1.588***
	(0.00902)
348.ID	-1.980***
	(0.00902)
349.ID	-3.259***
	(0.00956)
350.ID	-1.980***
	(0.00902)
352.ID	-0
	(0.00902)
353.ID	-0.403***
	(0.00902)
354.ID	-1.980***
	(0.00902)
356.ID	-1.765***
	(0.00902)
358.ID	-1.980***
	(0.00902)
359.ID	-0
	(0.00902)
361.ID	-1.980***
	(0.00902)
382.ID	-3.253***
	(0.00902)
385.ID	-0
	(0.00902)
386.ID	-2.634***
	(0.00902)
387.ID	-1.980***
	(0.00902)
390.ID	-0
	(0.00902)
391.ID	-1.980***
	(0.00902)
395.ID	-0
	(0.00902)
398.ID	-2.634***
	(0.00902)
399.ID	-1.765***
	(0.00902)
400.ID	-0
	(0.00902)
403.ID	-1.980***
	(0.00902)
405.ID	-1.980***
	(0.00902)
406.ID	-0.403***
	(0.00902)
407.ID	-0
	(0.00902)
408.ID	0.509***
	(0.00902)
409.ID	-2.634***
	(0.00902)
412.ID	-0
	(0.00902)
413.ID	-1.588***
	(0.00902)
414.ID	-1.980***
	(0.00902)
415.ID	-1.980***
	(0.00902)
416.ID	-1.765***
	(0.00902)
417.ID	-2.634***
	(0.00902)
419.ID	-1.980***
	(0.00902)
420.ID	-1.765***
	(0.00902)
421.ID	-1.980***
	(0.00902)
423.ID	-0
	(0.00902)
424.ID	-0
	(0.00902)
425.ID	-0
	(0.00902)
428.ID	-1.980***
	(0.00902)
429.ID	-1.980***
	(0.00902)
430.ID	0.509***
	(0.00902)
431.ID	-1.765***
	(0.00902)
432.ID	-0
	(0.00902)
434.ID	-1.980***
	(0.00902)
435.ID	0.509***
	(0.00902)
436.ID	-1.765***
	(0.00902)
437.ID	-2.254***
	(0.00902)
438.ID	-0
	(0.00902)
439.ID	-0
	(0.00902)
440.ID	-1.765***
	(0.00902)
441.ID	-0
	(0.00902)
442.ID	-0
	(0.00902)
445.ID	-1.980***
	(0.00902)
446.ID	-0
	(0.00902)
447.ID	-1.088***
	(0.00902)
448.ID	-0
	(0.00902)
450.ID	-1.980***
	(0.00902)
451.ID	-0
	(0.00902)
452.ID	-1.765***
	(0.00902)
453.ID	0.509***
	(0.00902)
454.ID	-1.765***
	(0.00902)
456.ID	-2.640***
	(0.00956)
457.ID	0.509***
	(0.00902)
458.ID	0.509***
	(0.00902)
459.ID	-1.765***
	(0.00902)
460.ID	-1.980***
	(0.00902)
461.ID	0.509***
	(0.00902)
462.ID	-0
	(0.00902)
464.ID	-0
	(0.00902)
467.ID	-0
	(0.00902)
468.ID	0.254
	(0.262)
469.ID	-1.980***
	(0.00902)
470.ID	-0
	(0.00902)
471.ID	0.397***
	(0.118)
472.ID	0.509***
	(0.00902)
473.ID	-0
	(0.00902)
474.ID	-0
	(0.00902)
475.ID	-1.980***
	(0.00902)
476.ID	-0
	(0.00902)
477.ID	0.286***
	(0.00902)
478.ID	0.509***
	(0.00902)
479.ID	-0
	(0.00902)
481.ID	-0
	(0.00902)
482.ID	0.509***
	(0.00902)
483.ID	-2.634***
	(0.00902)
484.ID	0.286***
	(0.00902)
485.ID	0.509***
	(0.00902)
486.ID	-1.980***
	(0.00902)
488.ID	0.509***
	(0.00902)
489.ID	-2.753***
	(0.494)
490.ID	-1.980***
	(0.00902)
493.ID	-1.784***
	(0.190)
494.ID	-0
	(0.00902)
495.ID	-0
	(0.00902)
497.ID	-1.872***
	(0.114)
498.ID	0.509***
	(0.00902)
499.ID	-1.437***
	(0.00902)
501.ID	-1.765***
	(0.00902)
502.ID	-3.253***
	(0.00902)
503.ID	-0.312
	(0.307)
505.ID	-1.088***
	(0.00902)
506.ID	-1.872***
	(0.114)
507.ID	-0
	(0.00902)
508.ID	-1.980***
	(0.00902)
509.ID	-1.980***
	(0.00902)
510.ID	-0
	(0.00902)
512.ID	-1.980***
	(0.00902)
514.ID	0.509***
	(0.00902)
515.ID	0.286***
	(0.00902)
518.ID	-1.980***
	(0.00902)
519.ID	-2.254***
	(0.00902)
521.ID	-0
	(0.00902)
523.ID	0.143
	(0.150)
525.ID	-1.765***
	(0.00902)
526.ID	-0
	(0.00902)
527.ID	-0
	(0.00902)
528.ID	0.286***
	(0.00902)
530.ID	-1.872***
	(0.102)
532.ID	-0
	(0.00902)
535.ID	-1.980***
	(0.00902)
536.ID	-0
	(0.00902)
538.ID	-0.403***
	(0.00902)
539.ID	-0.990
	(0.987)
540.ID	-1.784***
	(0.203)
541.ID	0.143
	(0.137)
542.ID	0.509***
	(0.00902)
543.ID	-0
	(0.00902)
544.ID	-1.980***
	(0.00902)
545.ID	-2.634***
	(0.00902)
546.ID	-1.980***
	(0.00902)
548.ID	-1.980***
	(0.00902)
549.ID	-0.990
	(0.987)
550.ID	-0
	(0.00902)
551.ID	-0
	(0.00902)
552.ID	-1.980***
	(0.00902)
553.ID	-0
	(0.00902)
554.ID	-1.980***
	(0.00902)
555.ID	-0
	(0.00902)
556.ID	-1.980***
	(0.00902)
559.ID	-0
	(0.00902)
560.ID	0.509***
	(0.00902)
561.ID	-0
	(0.00902)
562.ID	-1.980***
	(0.00902)
563.ID	-0.454***
	(0.00902)
564.ID	-0
	(0.00902)
567.ID	-1.980***
	(0.00902)
568.ID	-1.980***
	(0.00902)
569.ID	-0
	(0.00902)
570.ID	-2.896***
	(0.00902)
571.ID	-0
	(0.00902)
573.ID	-1.980***
	(0.00902)
575.ID	-0
	(0.00902)
577.ID	-0
	(0.00902)
578.ID	-1.601***
	(0.171)
579.ID	-0
	(0.00902)
581.ID	-0
	(0.00902)
582.ID	-1.980***
	(0.00902)
583.ID	-1.980***
	(0.00902)
584.ID	-0
	(0.00902)
585.ID	0.509***
	(0.00902)
586.ID	-1.980***
	(0.00902)
587.ID	-1.765***
	(0.00902)
588.ID	-1.980***
	(0.00902)
589.ID	-0
	(0.00902)
590.ID	-0
	(0.00902)
591.ID	-0.908***
	(0.00902)
592.ID	-1.765***
	(0.00902)
593.ID	-1.980***
	(0.00902)
596.ID	-1.980***
	(0.00902)
597.ID	-0
	(0.00902)
598.ID	-0.403***
	(0.00902)
599.ID	-1.980***
	(0.00902)
600.ID	-1.980***
	(0.00902)
601.ID	0.509***
	(0.00902)
605.ID	-1.980***
	(0.00902)
607.ID	-0
	(0.00902)
608.ID	-1.980***
	(0.00902)
610.ID	-1.980***
	(0.00902)
611.ID	-1.588***
	(0.00902)
612.ID	-0
	(0.00902)
613.ID	-0
	(0.00902)
614.ID	-1.980***
	(0.00902)
615.ID	-1.980***
	(0.00902)
616.ID	-0
	(0.00902)
618.ID	-0
	(0.00902)
619.ID	-1.980***
	(0.00902)
621.ID	-1.588***
	(0.00902)
622.ID	-1.980***
	(0.00902)
623.ID	-0
	(0.00902)
624.ID	-0
	(0.00902)
625.ID	-0
	(0.00902)
627.ID	-1.980***
	(0.00902)
