	(1)
VARIABLES	llm_刑期
	
1.treated	-1.320
	(1.200)
1.ID	-66***
	(0)
2.ID	78***
	(0)
3.ID	-78***
	(0)
4.ID	78***
	(0)
5.ID	-72***
	(0)
6.ID	-78***
	(0)
7.ID	78***
	(0)
8.ID	-72***
	(0)
9.ID	-78***
	(0)
10.ID	198***
	(0)
12.ID	198***
	(0)
14.ID	78***
	(0)
15.ID	-78***
	(0)
16.ID	78***
	(0)
17.ID	-78***
	(0)
18.ID	-78***
	(0)
19.ID	-72***
	(0)
20.ID	78***
	(0)
21.ID	-72***
	(0)
22.ID	-66***
	(0)
23.ID	78***
	(0)
24.ID	78***
	(0)
25.ID	-72***
	(0)
26.ID	-90***
	(0)
27.ID	-78***
	(0)
28.ID	-78***
	(0)
29.ID	-78***
	(0)
30.ID	-78***
	(0)
31.ID	-30***
	(0)
32.ID	78***
	(0)
33.ID	-0
	(0)
34.ID	78***
	(0)
35.ID	-78***
	(0)
36.ID	-78***
	(0)
37.ID	-78***
	(0)
38.ID	-78***
	(0)
39.ID	78***
	(0)
40.ID	78***
	(0)
41.ID	-66***
	(0)
42.ID	198***
	(0)
43.ID	-78***
	(0)
46.ID	-72***
	(0)
47.ID	-84***
	(0)
48.ID	78***
	(0)
49.ID	78***
	(0)
50.ID	78***
	(0)
51.ID	-78***
	(0)
52.ID	-72***
	(0)
53.ID	78***
	(0)
54.ID	-78***
	(0)
55.ID	-78***
	(0)
56.ID	78***
	(0)
57.ID	-78***
	(0)
58.ID	78***
	(0)
59.ID	-54***
	(0)
60.ID	-78***
	(0)
61.ID	-78***
	(0)
62.ID	-72***
	(0)
63.ID	-78***
	(0)
64.ID	138***
	(0)
65.ID	-78***
	(0)
66.ID	-72***
	(0)
67.ID	78***
	(0)
68.ID	18***
	(0)
69.ID	-78***
	(0)
70.ID	198***
	(0)
71.ID	198***
	(0)
72.ID	198***
	(0)
73.ID	-78***
	(0)
74.ID	198***
	(0)
76.ID	-78***
	(0)
77.ID	-75***
	(0)
78.ID	-78***
	(0)
79.ID	-78***
	(0)
80.ID	78***
	(0)
81.ID	-78***
	(0)
82.ID	6***
	(0)
83.ID	-72***
	(0)
84.ID	78***
	(0)
85.ID	78***
	(0)
86.ID	78***
	(0)
87.ID	78***
	(0)
88.ID	198***
	(0)
89.ID	-78***
	(0)
90.ID	-75***
	(0)
91.ID	-6***
	(0)
92.ID	-90***
	(0)
93.ID	-66***
	(0)
94.ID	-78***
	(0)
95.ID	198***
	(0)
96.ID	-78***
	(0)
97.ID	-91.50***
	(0)
98.ID	-42***
	(0)
99.ID	-78***
	(0)
100.ID	-72***
	(0)
101.ID	-78***
	(0)
102.ID	-90***
	(0)
103.ID	-78***
	(0)
104.ID	-78***
	(0)
105.ID	-78***
	(0)
106.ID	198***
	(0)
107.ID	198***
	(0)
108.ID	198***
	(0)
109.ID	-72***
	(0)
110.ID	-90***
	(0)
111.ID	-90***
	(0)
112.ID	78***
	(0)
113.ID	-78***
	(0)
114.ID	78***
	(0)
115.ID	78***
	(0)
116.ID	-72***
	(0)
117.ID	78***
	(0)
118.ID	78***
	(0)
119.ID	198***
	(0)
120.ID	-18***
	(0)
121.ID	78***
	(0)
122.ID	198***
	(0)
123.ID	63***
	(0)
125.ID	78***
	(0)
126.ID	78***
	(0)
127.ID	-90***
	(0)
128.ID	-72***
	(0)
129.ID	78***
	(0)
130.ID	-78***
	(0)
131.ID	-72***
	(0)
132.ID	-90***
	(0)
133.ID	78***
	(0)
134.ID	-42***
	(0)
135.ID	-0
	(0)
136.ID	78***
	(0)
137.ID	-0
	(0)
138.ID	198***
	(0)
139.ID	-78***
	(0)
140.ID	-66***
	(0)
142.ID	-78***
	(0)
144.ID	-78***
	(0)
145.ID	-72***
	(0)
146.ID	78***
	(0)
147.ID	198***
	(0)
148.ID	78***
	(0)
149.ID	-90***
	(0)
150.ID	-0
	(0)
151.ID	-72***
	(0)
152.ID	78***
	(0)
153.ID	78***
	(0)
154.ID	138***
	(0)
155.ID	-78***
	(0)
156.ID	-78***
	(0)
157.ID	78***
	(0)
158.ID	78***
	(0)
159.ID	-72***
	(0)
160.ID	78***
	(0)
161.ID	33***
	(0)
163.ID	-72***
	(0)
164.ID	-78***
	(0)
165.ID	-78***
	(0)
166.ID	78***
	(0)
167.ID	-78***
	(0)
168.ID	78***
	(0)
