	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00456
	(0.00808)
2.treated	0.000244
	(0.00750)
3.treated	0.00161
	(0.00816)
1.ID	-0
	(0.00148)
2.ID	1.588***
	(0.00148)
3.ID	-0.392***
	(0.00148)
4.ID	1.588***
	(0.00148)
5.ID	-0.177***
	(0.00148)
6.ID	-0.392***
	(0.00148)
7.ID	1.588***
	(0.00148)
8.ID	-0.177***
	(0.00148)
9.ID	-0.392***
	(0.00148)
10.ID	2.096***
	(0.00148)
12.ID	2.096***
	(0.00148)
14.ID	1.588***
	(0.00148)
15.ID	-0.392***
	(0.00148)
16.ID	1.588***
	(0.00148)
17.ID	-0.392***
	(0.00148)
18.ID	-0.392***
	(0.00148)
19.ID	-0.177***
	(0.00148)
20.ID	1.588***
	(0.00148)
21.ID	-0.177***
	(0.00148)
22.ID	-0
	(0.00148)
23.ID	1.588***
	(0.00148)
24.ID	1.588***
	(0.00148)
25.ID	-0.177***
	(0.00148)
26.ID	-1.046***
	(0.00148)
27.ID	-0.392***
	(0.00148)
28.ID	-0.392***
	(0.00148)
29.ID	-0.392***
	(0.00148)
30.ID	-0.392***
	(0.00148)
31.ID	0.0934
	(0.586)
32.ID	1.588***
	(0.00148)
33.ID	1.588***
	(0.00148)
34.ID	1.588***
	(0.00148)
35.ID	-0.392***
	(0.00148)
36.ID	-0.392***
	(0.00148)
37.ID	-0.392***
	(0.00148)
38.ID	-0.392***
	(0.00148)
39.ID	1.588***
	(0.00148)
40.ID	1.588***
	(0.00148)
41.ID	-0
	(0.00148)
42.ID	1.969***
	(0.127)
43.ID	-0.392***
	(0.00148)
45.ID	-1.664***
	(0.00479)
46.ID	-0.177***
	(0.00148)
47.ID	-0.666***
	(0.00148)
48.ID	1.588***
	(0.00148)
49.ID	1.588***
	(0.00148)
50.ID	1.588***
	(0.00148)
51.ID	-0.392***
	(0.00148)
52.ID	-0.177***
	(0.00148)
53.ID	1.715***
	(0.128)
54.ID	-0.392***
	(0.00148)
55.ID	-0.392***
	(0.00148)
56.ID	1.588***
	(0.00148)
57.ID	-0.392***
	(0.00148)
58.ID	1.588***
	(0.00148)
59.ID	0.281***
	(0.00148)
60.ID	-0.392***
	(0.00148)
61.ID	-0.392***
	(0.00148)
62.ID	-0.177***
	(0.00148)
63.ID	-0.392***
	(0.00148)
64.ID	1.874***
	(0.00148)
65.ID	-0.392***
	(0.00148)
66.ID	-0.177***
	(0.00148)
67.ID	1.588***
	(0.00148)
68.ID	1.185***
	(0.00148)
70.ID	2.096***
	(0.00148)
71.ID	2.096***
	(0.00246)
72.ID	2.096***
	(0.00148)
73.ID	-0.392***
	(0.00148)
74.ID	1.588***
	(0.00148)
76.ID	-0.392***
	(0.00148)
77.ID	-0.177***
	(0.00148)
78.ID	-0.392***
	(0.00148)
79.ID	-0.392***
	(0.00148)
80.ID	1.588***
	(0.00148)
81.ID	-0.392***
	(0.00148)
82.ID	-0
	(0.00148)
83.ID	-0.177***
	(0.00148)
84.ID	1.588***
	(0.00148)
85.ID	1.588***
	(0.00148)
86.ID	1.588***
	(0.00148)
87.ID	1.588***
	(0.00148)
88.ID	2.096***
	(0.00148)
89.ID	-0.392***
	(0.00148)
90.ID	-0.392***
	(0.00148)
92.ID	-1.046***
	(0.00148)
93.ID	-0
	(0.00148)
94.ID	-0.392***
	(0.00148)
95.ID	2.096***
	(0.00148)
96.ID	-0.392***
	(0.00148)
97.ID	-1.308***
	(0.00148)
98.ID	0.500***
	(0.00148)
99.ID	-0.392***
	(0.00148)
100.ID	-0.177***
	(0.00148)
101.ID	-0.392***
	(0.00148)
102.ID	-1.046***
	(0.00148)
103.ID	-0.392***
	(0.00148)
104.ID	-0.392***
	(0.00148)
105.ID	-0.392***
	(0.00148)
106.ID	2.096***
	(0.00148)
107.ID	2.096***
	(0.00148)
108.ID	2.096***
	(0.00148)
109.ID	-0.177***
	(0.00148)
110.ID	-1.046***
	(0.00148)
111.ID	-1.046***
	(0.00148)
112.ID	1.588***
	(0.00148)
113.ID	-0.392***
	(0.00148)
114.ID	1.588***
	(0.00148)
115.ID	1.588***
	(0.00148)
116.ID	-0
	(0.00148)
117.ID	1.588***
	(0.00148)
118.ID	1.588***
	(0.00148)
119.ID	2.096***
	(0.00148)
120.ID	0.832***
	(0.00148)
121.ID	1.588***
	(0.00148)
122.ID	2.096***
	(0.00148)
123.ID	2.096***
	(0.00148)
125.ID	1.588***
	(0.00148)
126.ID	1.588***
	(0.00148)
127.ID	-1.046***
	(0.00148)
128.ID	-0.177***
	(0.00148)
129.ID	1.588***
	(0.00148)
130.ID	-0.392***
	(0.00148)
131.ID	-0.177***
	(0.00148)
132.ID	-1.046***
	(0.00148)
133.ID	1.588***
	(0.00148)
134.ID	0.500***
	(0.00148)
135.ID	1.588***
	(0.00148)
136.ID	0.598
	(0.573)
137.ID	-0.392***
	(0.00148)
138.ID	2.096***
	(0.00148)
139.ID	-0.392***
	(0.00148)
140.ID	-0
	(0.00148)
142.ID	-0.392***
	(0.00148)
143.ID	-0.175***
	(0.00487)
144.ID	-0.392***
	(0.00148)
145.ID	-0.177***
	(0.00148)
146.ID	1.588***
	(0.00148)
147.ID	2.096***
	(0.00148)
148.ID	1.588***
	(0.00148)
149.ID	-1.046***
	(0.00148)
150.ID	-0.392***
	(0.00148)
151.ID	-0.177***
	(0.00148)
152.ID	1.588***
	(0.00148)
153.ID	1.588***
	(0.00148)
154.ID	2.096***
	(0.00148)
155.ID	-0.392***
	(0.00148)
156.ID	-0.392***
	(0.00148)
157.ID	2.096***
	(0.00148)
158.ID	1.588***
	(0.00148)
159.ID	-0.177***
	(0.00148)
160.ID	1.588***
	(0.00148)
161.ID	0.848
	(0.592)
163.ID	0.500***
	(0.00148)
164.ID	-0.392***
	(0.00148)
165.ID	-0.392***
	(0.00148)
166.ID	1.588***
	(0.00148)
167.ID	-0.392***
	(0.00148)
168.ID	1.588***
	(0.00148)
169.ID	1.588***
	(0.00148)
170.ID	-0.177***
	(0.00148)
171.ID	-0.177***
	(0.00148)
172.ID	-0.392***
	(0.00148)
173.ID	1.588***
	(0.00148)
174.ID	1.588***
	(0.00148)
175.ID	-0.177***
	(0.00148)
176.ID	-0.392***
	(0.00148)
177.ID	1.588***
	(0.00148)
178.ID	-1.046***
	(0.00148)
179.ID	-0.392***
	(0.00148)
180.ID	0.966***
	(0.207)
181.ID	-1.046***
	(0.00148)
182.ID	-0.392***
	(0.00148)
183.ID	-0.177***
	(0.00148)
184.ID	-0.392***
	(0.00148)
185.ID	2.096***
	(0.00148)
186.ID	1.588***
	(0.00148)
187.ID	2.096***
	(0.00148)
188.ID	1.588***
	(0.00148)
190.ID	-0.392***
	(0.00148)
191.ID	-0.177***
	(0.00148)
192.ID	-0.392***
	(0.00148)
194.ID	1.497***
	(0.0519)
196.ID	-0.392***
	(0.00148)
197.ID	1.588***
	(0.00148)
198.ID	-0.392***
	(0.00148)
199.ID	-0.882***
	(0.164)
200.ID	1.588***
	(0.00148)
201.ID	0.103
	(0.494)
202.ID	1.588***
	(0.00148)
203.ID	2.096***
	(0.00148)
204.ID	2.096***
	(0.00148)
205.ID	1.588***
	(0.00148)
206.ID	-0.392***
	(0.00148)
207.ID	-0.392***
	(0.00148)
208.ID	-0.392***
	(0.00148)
209.ID	2.096***
	(0.00148)
210.ID	-0.392***
	(0.00148)
212.ID	-0.392***
	(0.00148)
213.ID	2.096***
	(0.00148)
214.ID	-0.392***
	(0.00148)
215.ID	-1.665***
	(0.00148)
217.ID	1.588***
	(0.00148)
218.ID	-0.392***
	(0.00148)
219.ID	-0.177***
	(0.00148)
220.ID	1.588***
	(0.00148)
221.ID	1.588***
	(0.00148)
222.ID	2.096***
	(0.00148)
223.ID	-0.177***
	(0.00148)
224.ID	1.588***
	(0.00148)
225.ID	1.588***
	(0.00148)
226.ID	-0.461***
	(0.0682)
227.ID	1.588***
	(0.00148)
228.ID	2.096***
	(0.00148)
229.ID	-0.0980
	(0.0976)
230.ID	1.588***
	(0.00148)
231.ID	0.264
	(0.441)
232.ID	1.588***
	(0.00148)
233.ID	-0.177***
	(0.00148)
234.ID	1.588***
	(0.00148)
235.ID	0.500***
	(0.00148)
236.ID	2.096***
	(0.00148)
237.ID	1.588***
	(0.00148)
238.ID	1.588***
	(0.00148)
239.ID	1.588***
	(0.00148)
240.ID	1.588***
	(0.00148)
241.ID	1.588***
	(0.00148)
242.ID	-0.392***
	(0.00148)
243.ID	1.286***
	(0.101)
244.ID	1.588***
	(0.00148)
245.ID	-0.392***
	(0.00148)
246.ID	1.588***
	(0.00148)
247.ID	1.588***
	(0.00148)
248.ID	-0
	(0.00148)
249.ID	-0.392***
	(0.00148)
250.ID	2.096***
	(0.00148)
251.ID	-0.392***
	(0.00148)
252.ID	-0.177***
	(0.00148)
253.ID	-0.392***
	(0.00148)
254.ID	-0.392***
	(0.00148)
255.ID	2.096***
	(0.00148)
256.ID	1.588***
	(0.00148)
257.ID	1.588***
	(0.00148)
258.ID	-0.392***
	(0.00148)
259.ID	1.588***
	(0.00148)
260.ID	1.588***
	(0.00148)
261.ID	-1.046***
	(0.00148)
263.ID	-0.392***
	(0.00148)
264.ID	2.096***
	(0.00148)
265.ID	1.588***
	(0.00148)
266.ID	1.588***
	(0.00148)
267.ID	-0.921**
	(0.430)
268.ID	1.588***
	(0.00148)
269.ID	1.588***
	(0.00148)
270.ID	1.588***
	(0.00148)
271.ID	-0.338***
	(0.0544)
272.ID	2.096***
	(0.00148)
274.ID	-0.392***
	(0.00148)
275.ID	-0.177***
	(0.00148)
276.ID	1.185***
	(0.00148)
277.ID	1.588***
	(0.00148)
278.ID	-0.838***
	(0.00148)
279.ID	-0.177***
	(0.00148)
280.ID	1.588***
	(0.00148)
281.ID	1.588***
	(0.00148)
282.ID	-0.392***
	(0.00148)
283.ID	-0.392***
	(0.00148)
284.ID	-0.392***
	(0.00148)
285.ID	-0.392***
	(0.00148)
286.ID	-0.392***
	(0.00148)
288.ID	1.588***
	(0.00148)
289.ID	1.588***
	(0.00148)
290.ID	1.588***
	(0.00148)
291.ID	-0.392***
	(0.00148)
292.ID	1.874***
	(0.00148)
293.ID	-0.392***
	(0.00148)
294.ID	-0
	(0.00148)
295.ID	1.588***
	(0.00148)
296.ID	0.608*
	(0.327)
297.ID	1.588***
	(0.00148)
298.ID	1.588***
	(0.00148)
299.ID	2.096***
	(0.00148)
300.ID	1.588***
	(0.00148)
301.ID	-0.392***
	(0.00148)
302.ID	-0.177***
	(0.00148)
303.ID	-0
	(0.00148)
304.ID	2.096***
	(0.00148)
305.ID	1.588***
	(0.00148)
306.ID	-0
	(0.00148)
307.ID	0.150***
	(0.00148)
308.ID	0.500***
	(0.00148)
309.ID	-0.177***
	(0.00148)
310.ID	-0.392***
	(0.00148)
311.ID	-1.665***
	(0.00148)
312.ID	1.588***
	(0.00148)
313.ID	-0.231***
	(0.0538)
314.ID	-0.392***
	(0.00148)
315.ID	-0.392***
	(0.00148)
316.ID	-0.210
	(0.211)
317.ID	1.588***
	(0.00148)
318.ID	1.588***
	(0.00148)
319.ID	1.588***
	(0.00148)
320.ID	-0.177***
	(0.00148)
321.ID	-0
	(0.00148)
322.ID	2.096***
	(0.00148)
323.ID	2.096***
	(0.00148)
324.ID	-0.392***
	(0.00148)
325.ID	0.103
	(0.496)
326.ID	1.588***
	(0.00148)
327.ID	1.588***
	(0.00148)
328.ID	1.588***
	(0.00148)
329.ID	-0.392***
	(0.00148)
330.ID	1.874***
	(0.00148)
331.ID	-0.392***
	(0.00148)
332.ID	1.588***
	(0.00148)
333.ID	1.588***
	(0.00148)
334.ID	-0.392***
	(0.00148)
335.ID	-0.392***
	(0.00148)
336.ID	1.519***
	(0.00148)
337.ID	-0.392***
	(0.00148)
338.ID	1.588***
	(0.00148)
339.ID	1.588***
	(0.00148)
340.ID	2.096***
	(0.00148)
341.ID	-0.177***
	(0.00148)
342.ID	-0.392***
	(0.00148)
343.ID	1.588***
	(0.00148)
344.ID	-0
	(0.00148)
345.ID	1.588***
	(0.00148)
346.ID	-1.665***
	(0.00148)
347.ID	-0
	(0.00148)
348.ID	0.103
	(0.494)
349.ID	-1.415***
	(0.250)
350.ID	-0.392***
	(0.00148)
352.ID	1.588***
	(0.00148)
353.ID	1.185***
	(0.00148)
354.ID	-0.392***
	(0.00148)
355.ID	-0
	(0.00148)
356.ID	-0.177***
	(0.00148)
357.ID	1.588***
	(0.00148)
358.ID	-0.392***
	(0.00148)
359.ID	1.588***
	(0.00148)
361.ID	-0.392***
	(0.00148)
364.ID	1.874***
	(0.00148)
365.ID	-0.392***
	(0.00148)
366.ID	2.096***
	(0.00148)
369.ID	1.588***
	(0.00148)
370.ID	0.598
	(0.572)
372.ID	1.588***
	(0.00148)
373.ID	-0.392***
	(0.00148)
374.ID	1.588***
	(0.00148)
375.ID	-0.392***
	(0.00148)
377.ID	0.103
	(0.496)
378.ID	-0.392***
	(0.00148)
379.ID	-0.392***
	(0.00148)
381.ID	-0.951***
	(0.0955)
382.ID	-1.665***
	(0.00148)
383.ID	-0.392***
	(0.00148)
385.ID	1.588***
	(0.00148)
386.ID	-1.046***
	(0.00148)
387.ID	-0.392***
	(0.00148)
388.ID	-0.177***
	(0.00148)
389.ID	1.588***
	(0.00148)
390.ID	1.588***
	(0.00148)
391.ID	-0.392***
	(0.00148)
393.ID	1.588***
	(0.00148)
394.ID	1.588***
	(0.00148)
395.ID	1.588***
	(0.00148)
396.ID	1.588***
	(0.00148)
397.ID	-0.392***
	(0.00148)
398.ID	-1.046***
	(0.00148)
399.ID	-0.177***
	(0.00148)
400.ID	1.588***
	(0.00148)
401.ID	0.500***
	(0.00148)
402.ID	-0.392***
	(0.00148)
403.ID	-0.392***
	(0.00148)
404.ID	-0
	(0.00148)
405.ID	-0.392***
	(0.00148)
406.ID	1.185***
	(0.00148)
407.ID	1.588***
	(0.00148)
408.ID	2.096***
	(0.00148)
409.ID	-1.046***
	(0.00148)
410.ID	-0.392***
	(0.00148)
411.ID	-0.392***
	(0.00148)
412.ID	1.588***
	(0.00148)
413.ID	-0
	(0.00148)
414.ID	-0.392***
	(0.00148)
415.ID	-0.392***
	(0.00148)
416.ID	-0.177***
	(0.00148)
417.ID	-1.046***
	(0.00148)
418.ID	-0.392***
	(0.00148)
419.ID	-0.392***
	(0.00148)
420.ID	-0.177***
	(0.00148)
421.ID	-0.392***
	(0.00148)
423.ID	1.588***
	(0.00148)
424.ID	1.588***
	(0.00148)
425.ID	1.588***
	(0.00148)
426.ID	-0.392***
	(0.00148)
428.ID	-0.392***
	(0.00148)
429.ID	-0.392***
	(0.00148)
430.ID	2.096***
	(0.00148)
431.ID	-0.177***
	(0.00148)
432.ID	1.588***
	(0.00148)
433.ID	-0.392***
	(0.00148)
434.ID	-0.392***
	(0.00148)
435.ID	2.096***
	(0.00148)
436.ID	-0.177***
	(0.00148)
437.ID	-1.046***
	(0.00148)
438.ID	1.588***
	(0.00148)
439.ID	1.588***
	(0.00148)
440.ID	-0.177***
	(0.00148)
441.ID	1.588***
	(0.00148)
442.ID	1.080***
	(0.00148)
445.ID	-0.392***
	(0.00148)
446.ID	1.588***
	(0.00148)
447.ID	0.500***
	(0.00148)
448.ID	1.588***
	(0.00148)
449.ID	1.588***
	(0.00148)
450.ID	-0.392***
	(0.00148)
451.ID	1.588***
	(0.00148)
452.ID	-0.177***
	(0.00148)
453.ID	1.715***
	(0.127)
454.ID	-0.177***
	(0.00148)
455.ID	1.250***
	(0.337)
456.ID	-1.665***
	(0.00148)
