	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00121
	(0.00946)
1.ID	-0
	(0.000855)
2.ID	1.588***
	(0.000855)
3.ID	-0.392***
	(0.000855)
4.ID	1.588***
	(0.000855)
5.ID	-0.177***
	(0.000855)
6.ID	-0.392***
	(0.000855)
7.ID	1.588***
	(0.000855)
8.ID	-0.177***
	(0.000855)
9.ID	-0.392***
	(0.000855)
10.ID	2.096***
	(0.000855)
12.ID	2.096***
	(0.000855)
14.ID	1.588***
	(0.000855)
15.ID	-0.392***
	(0.000855)
16.ID	1.588***
	(0.000855)
17.ID	1.588***
	(0.000855)
18.ID	-0.392***
	(0.000855)
19.ID	-0.177***
	(0.000855)
20.ID	1.588***
	(0.000855)
21.ID	-0.177***
	(0.000855)
22.ID	-0
	(0.000855)
23.ID	1.588***
	(0.000855)
24.ID	1.588***
	(0.000855)
25.ID	-0.177***
	(0.000855)
26.ID	-1.046***
	(0.000855)
27.ID	-0.392***
	(0.000855)
28.ID	-0.392***
	(0.000855)
29.ID	-0.392***
	(0.000855)
30.ID	-0.392***
	(0.000855)
31.ID	0.680***
	(0.000855)
32.ID	1.588***
	(0.000855)
33.ID	1.588***
	(0.000855)
34.ID	1.588***
	(0.000855)
35.ID	-0.392***
	(0.000855)
36.ID	-0.392***
	(0.000855)
37.ID	-0.392***
	(0.000855)
38.ID	-0.392***
	(0.000855)
39.ID	1.588***
	(0.000855)
40.ID	1.588***
	(0.000855)
41.ID	-0
	(0.000855)
42.ID	1.842***
	(0.254)
43.ID	-0.392***
	(0.000855)
46.ID	-0.177***
	(0.000855)
47.ID	-0.666***
	(0.000855)
48.ID	1.588***
	(0.000855)
49.ID	1.588***
	(0.000855)
50.ID	1.588***
	(0.000855)
51.ID	-0.392***
	(0.000855)
52.ID	-0.177***
	(0.000855)
53.ID	1.588***
	(0.000855)
54.ID	-0.392***
	(0.000855)
55.ID	-0.392***
	(0.000855)
56.ID	1.588***
	(0.000855)
57.ID	-0.392***
	(0.000855)
58.ID	1.588***
	(0.000855)
59.ID	0.281***
	(0.000855)
60.ID	-0.392***
	(0.000855)
61.ID	-0.392***
	(0.000855)
62.ID	-0.177***
	(0.000855)
63.ID	-0.392***
	(0.000855)
64.ID	1.874***
	(0.000855)
65.ID	0.598
	(0.992)
66.ID	-0.177***
	(0.000855)
67.ID	1.588***
	(0.000855)
68.ID	1.185***
	(0.000855)
69.ID	-0.392***
	(0.000855)
70.ID	2.096***
	(0.000855)
72.ID	2.096***
	(0.000855)
73.ID	-0.392***
	(0.000855)
74.ID	1.588***
	(0.000855)
76.ID	-0.392***
	(0.000855)
77.ID	-0.177***
	(0.000855)
78.ID	-0.392***
	(0.000855)
79.ID	-0.392***
	(0.000855)
80.ID	1.588***
	(0.000855)
81.ID	-0.392***
	(0.000855)
82.ID	-0
	(0.000855)
83.ID	-0.177***
	(0.000855)
84.ID	1.588***
	(0.000855)
85.ID	1.588***
	(0.000855)
86.ID	1.588***
	(0.000855)
87.ID	1.588***
	(0.000855)
88.ID	2.096***
	(0.000855)
89.ID	-0.392***
	(0.000855)
90.ID	-0.392***
	(0.000855)
91.ID	0.964***
	(0.000855)
92.ID	-1.046***
	(0.000855)
93.ID	-0
	(0.000855)
94.ID	-0.392***
	(0.000855)
95.ID	2.096***
	(0.000855)
96.ID	-0.392***
	(0.000855)
97.ID	-1.308***
	(0.000855)
98.ID	0.500***
	(0.000855)
99.ID	-0.392***
	(0.000855)
100.ID	-0.177***
	(0.000855)
101.ID	-0.392***
	(0.000855)
102.ID	-1.046***
	(0.000855)
103.ID	-0.392***
	(0.000855)
104.ID	-0.392***
	(0.000855)
105.ID	-0.392***
	(0.000855)
106.ID	2.096***
	(0.000855)
107.ID	2.096***
	(0.000855)
108.ID	2.096***
	(0.000855)
109.ID	-0.177***
	(0.000855)
110.ID	-1.046***
	(0.000855)
111.ID	-1.046***
	(0.000855)
112.ID	1.588***
	(0.000855)
113.ID	-0.392***
	(0.000855)
114.ID	1.588***
	(0.000855)
115.ID	1.588***
	(0.000855)
116.ID	-0
	(0.000855)
117.ID	0.461
	(1.128)
118.ID	1.588***
	(0.000855)
119.ID	2.096***
	(0.000855)
120.ID	0.832***
	(0.000855)
121.ID	1.588***
	(0.000855)
122.ID	2.096***
	(0.000855)
123.ID	2.096***
	(0.000855)
125.ID	1.588***
	(0.000855)
126.ID	1.588***
	(0.000855)
127.ID	-0.719**
	(0.328)
128.ID	-0.177***
	(0.000855)
129.ID	1.588***
	(0.000855)
130.ID	-0.392***
	(0.000855)
131.ID	-0.177***
	(0.000855)
132.ID	-1.046***
	(0.000855)
133.ID	1.588***
	(0.000855)
134.ID	0.500***
	(0.000855)
135.ID	1.588***
	(0.000855)
136.ID	1.588***
	(0.000855)
137.ID	-0.392***
	(0.000855)
138.ID	2.096***
	(0.000855)
139.ID	-0.392***
	(0.000855)
140.ID	-0
	(0.000855)
142.ID	-0.392***
	(0.000855)
144.ID	-0.392***
	(0.000855)
145.ID	-0.177***
	(0.000855)
146.ID	1.588***
	(0.000855)
147.ID	2.096***
	(0.000855)
148.ID	1.588***
	(0.000855)
149.ID	-1.046***
	(0.000855)
150.ID	-0.392***
	(0.000855)
151.ID	-0.177***
	(0.000855)
152.ID	1.588***
	(0.000855)
153.ID	1.588***
	(0.000855)
154.ID	2.096***
	(0.000855)
155.ID	-0.392***
	(0.000855)
156.ID	-0.392***
	(0.000855)
157.ID	2.096***
	(0.000855)
158.ID	1.588***
	(0.000855)
159.ID	-0.177***
	(0.000855)
160.ID	1.588***
	(0.000855)
161.ID	1.874***
	(0.000855)
163.ID	0.500***
	(0.000855)
164.ID	-0.392***
	(0.000855)
165.ID	-0.392***
	(0.000855)
166.ID	1.588***
	(0.000855)
167.ID	-0.392***
	(0.000855)
168.ID	1.588***
	(0.000855)
169.ID	1.588***
	(0.000855)
170.ID	1.588***
	(0.000855)
171.ID	-0.177***
	(0.000855)
172.ID	-0.392***
	(0.000855)
173.ID	1.588***
	(0.000855)
174.ID	1.588***
	(0.000855)
175.ID	-0.177***
	(0.000855)
176.ID	-0.392***
	(0.000855)
177.ID	1.588***
	(0.000855)
178.ID	-1.046***
	(0.000855)
179.ID	1.588***
	(0.000855)
180.ID	1.173***
	(0.416)
181.ID	-0.666***
	(0.000855)
182.ID	-0.392***
	(0.000855)
183.ID	-0.177***
	(0.000855)
184.ID	-0.392***
	(0.000855)
185.ID	2.096***
	(0.000855)
186.ID	1.588***
	(0.000855)
187.ID	2.096***
	(0.000855)
188.ID	1.588***
	(0.000855)
189.ID	-0.284***
	(0.107)
190.ID	-0.392***
	(0.000855)
191.ID	-0.177***
	(0.000855)
192.ID	0.598
	(0.991)
194.ID	1.497***
	(0.0914)
196.ID	-0.392***
	(0.000855)
197.ID	1.588***
	(0.000855)
198.ID	-0.392***
	(0.000855)
199.ID	-0.719**
	(0.327)
200.ID	1.588***
	(0.000855)
201.ID	-0.392***
	(0.000855)
202.ID	1.588***
	(0.000855)
203.ID	2.096***
	(0.000855)
204.ID	2.096***
	(0.000855)
205.ID	1.588***
	(0.000855)
206.ID	-0.392***
	(0.000855)
207.ID	-0.392***
	(0.000855)
208.ID	-0.392***
	(0.000855)
209.ID	2.096***
	(0.000855)
210.ID	-0.392***
	(0.000855)
212.ID	-0.392***
	(0.000855)
213.ID	2.096***
	(0.000855)
214.ID	-0.392***
	(0.000855)
217.ID	1.588***
	(0.000855)
218.ID	-0.392***
	(0.000855)
219.ID	-0.177***
	(0.000855)
220.ID	1.588***
	(0.000855)
221.ID	1.588***
	(0.000855)
222.ID	0.960
	(1.138)
223.ID	-0.177***
	(0.000855)
224.ID	1.588***
	(0.000855)
225.ID	1.588***
	(0.000855)
226.ID	-0.666***
	(0.000855)
227.ID	1.588***
	(0.000855)
228.ID	2.096***
	(0.000855)
229.ID	-0
	(0.000855)
230.ID	1.588***
	(0.000855)
231.ID	1.588***
	(0.000855)
232.ID	1.588***
	(0.000855)
233.ID	-0.177***
	(0.000855)
234.ID	1.588***
	(0.000855)
235.ID	0.500***
	(0.000855)
236.ID	2.096***
	(0.000855)
237.ID	1.588***
	(0.000855)
238.ID	1.588***
	(0.000855)
239.ID	1.588***
	(0.000855)
240.ID	1.588***
	(0.000855)
241.ID	1.588***
	(0.000855)
242.ID	-0.392***
	(0.000855)
243.ID	1.386***
	(0.201)
244.ID	1.588***
	(0.000855)
245.ID	-0.392***
	(0.000855)
246.ID	1.588***
	(0.000855)
247.ID	1.588***
	(0.000855)
248.ID	-0
	(0.000855)
249.ID	-0.392***
	(0.000855)
250.ID	2.096***
	(0.000855)
251.ID	-0.392***
	(0.000855)
252.ID	-0.284***
	(0.108)
253.ID	-0.392***
	(0.000855)
254.ID	-0.392***
	(0.000855)
255.ID	2.096***
	(0.000855)
256.ID	1.588***
	(0.000855)
257.ID	1.588***
	(0.000855)
258.ID	-0.392***
	(0.000855)
259.ID	1.588***
	(0.000855)
260.ID	1.588***
	(0.000855)
261.ID	-1.046***
	(0.000855)
263.ID	-0.392***
	(0.000855)
264.ID	2.096***
	(0.000855)
265.ID	1.588***
	(0.00477)
266.ID	1.588***
	(0.000855)
267.ID	-0.177***
	(0.000855)
268.ID	1.588***
	(0.000855)
269.ID	1.588***
	(0.000855)
270.ID	1.588***
	(0.000855)
271.ID	-0.392***
	(0.000855)
272.ID	2.096***
	(0.000855)
274.ID	-0.392***
	(0.000855)
275.ID	-0.177***
	(0.000855)
276.ID	1.386***
	(0.202)
277.ID	1.588***
	(0.000855)
278.ID	-0.838***
	(0.000855)
279.ID	-0.177***
	(0.000855)
280.ID	1.588***
	(0.000855)
281.ID	1.588***
	(0.000855)
282.ID	-0.392***
	(0.000855)
283.ID	-0.392***
	(0.000855)
284.ID	-0.392***
	(0.000855)
285.ID	-0.392***
	(0.000855)
286.ID	-0.392***
	(0.000855)
288.ID	1.588***
	(0.000855)
289.ID	1.588***
	(0.000855)
290.ID	1.588***
	(0.000855)
291.ID	-0.392***
	(0.000855)
292.ID	1.874***
	(0.000855)
293.ID	-0.392***
	(0.000855)
294.ID	-0
	(0.000855)
295.ID	1.588***
	(0.000855)
296.ID	0.281***
	(0.000855)
297.ID	1.588***
	(0.000855)
298.ID	1.588***
	(0.000855)
299.ID	2.096***
	(0.000855)
300.ID	1.588***
	(0.000855)
301.ID	-0.392***
	(0.000855)
302.ID	-0.177***
	(0.000855)
303.ID	-0
	(0.000855)
304.ID	2.096***
	(0.000855)
305.ID	1.588***
	(0.000855)
306.ID	-0
	(0.000855)
307.ID	-0.0133
	(0.164)
308.ID	0.500***
	(0.000855)
309.ID	-0.177***
	(0.000855)
310.ID	-0.392***
	(0.000855)
311.ID	-1.665***
	(0.000855)
312.ID	1.588***
	(0.000855)
313.ID	-0.177***
	(0.000855)
314.ID	-0.392***
	(0.000855)
315.ID	-0.392***
	(0.000855)
316.ID	0.794
	(0.794)
317.ID	1.588***
	(0.000855)
318.ID	1.588***
	(0.000855)
319.ID	1.588***
	(0.000855)
320.ID	-0.177***
	(0.000855)
321.ID	-0.196
	(0.196)
322.ID	2.096***
	(0.000855)
323.ID	2.096***
	(0.000855)
324.ID	-0.392***
	(0.000855)
325.ID	-0.392***
	(0.000855)
326.ID	1.588***
	(0.000855)
327.ID	1.588***
	(0.000855)
328.ID	1.588***
	(0.000855)
329.ID	-0.392***
	(0.000855)
330.ID	1.731***
	(0.144)
331.ID	-0.392***
	(0.000855)
332.ID	1.588***
	(0.000855)
333.ID	1.588***
	(0.000855)
334.ID	-0.392***
	(0.000855)
335.ID	-0.392***
	(0.000855)
336.ID	1.519***
	(0.000855)
337.ID	-0.392***
	(0.000855)
338.ID	1.588***
	(0.000855)
339.ID	1.588***
	(0.000855)
340.ID	2.096***
	(0.000855)
341.ID	-0.177***
	(0.000855)
342.ID	-0.392***
	(0.000855)
343.ID	1.588***
	(0.000855)
344.ID	-0
	(0.000855)
345.ID	1.588***
	(0.000855)
346.ID	-1.665***
	(0.000855)
347.ID	-0
	(0.000855)
348.ID	-0.392***
	(0.000855)
349.ID	-1.166**
	(0.501)
350.ID	-0.392***
	(0.000855)
352.ID	1.588***
	(0.000855)
353.ID	1.185***
	(0.000855)
354.ID	-0.392***
	(0.000855)
355.ID	-0
	(0.000855)
356.ID	-0.177***
	(0.000855)
357.ID	1.588***
	(0.000855)
358.ID	-0.392***
	(0.000855)
359.ID	1.588***
	(0.000855)
361.ID	-0.392***
	(0.000855)
364.ID	1.874***
	(0.000855)
365.ID	-0.392***
	(0.000855)
366.ID	1.985***
	(0.111)
369.ID	1.588***
	(0.000855)
370.ID	1.588***
	(0.000855)
372.ID	1.588***
	(0.000855)
373.ID	-0.392***
	(0.000855)
374.ID	1.588***
	(0.000855)
375.ID	-0.392***
	(0.000855)
377.ID	0.598
	(0.992)
378.ID	-0.392***
	(0.000855)
379.ID	-0.392***
	(0.000855)
381.ID	-0.666***
	(0.000855)
382.ID	-1.665***
	(0.000855)
383.ID	-0.392***
	(0.000855)
385.ID	1.588***
	(0.000855)
386.ID	-1.046***
	(0.000855)
387.ID	-0.392***
	(0.000855)
388.ID	-0.177***
	(0.000855)
389.ID	1.588***
	(0.000855)
390.ID	1.588***
	(0.000855)
391.ID	-0.392***
	(0.000855)
393.ID	1.588***
	(0.000855)
394.ID	1.588***
	(0.000855)
395.ID	1.588***
	(0.000855)
396.ID	1.588***
	(0.000855)
397.ID	-0.392***
	(0.000855)
398.ID	-1.046***
	(0.000855)
399.ID	-0.177***
	(0.000855)
400.ID	1.588***
	(0.000855)
401.ID	0.500***
	(0.000855)
402.ID	-0.392***
	(0.000855)
403.ID	-0.392***
	(0.000855)
404.ID	-0
	(0.000855)
405.ID	-0.392***
	(0.000855)
406.ID	1.185***
	(0.000855)
407.ID	1.588***
	(0.000855)
408.ID	2.096***
	(0.000855)
409.ID	-1.046***
	(0.000855)
410.ID	-0.392***
	(0.000855)
411.ID	-0.392***
	(0.000855)
412.ID	1.588***
	(0.000855)
413.ID	-0
	(0.000855)
414.ID	-0.392***
	(0.000855)
415.ID	-0.392***
	(0.000855)
416.ID	-0.177***
	(0.000855)
417.ID	-1.046***
	(0.000855)
418.ID	-0.392***
	(0.000855)
419.ID	-0.392***
	(0.000855)
420.ID	-0.177***
	(0.000855)
421.ID	-0.392***
	(0.000855)
423.ID	1.588***
	(0.000855)
424.ID	1.588***
	(0.000855)
425.ID	1.588***
	(0.000855)
426.ID	-0.392***
	(0.000855)
428.ID	-0.392***
	(0.000855)
429.ID	-0.392***
	(0.000855)
430.ID	2.096***
	(0.000855)
431.ID	-0.177***
	(0.000855)
432.ID	1.588***
	(0.000855)
433.ID	-0.392***
	(0.000855)
434.ID	-0.392***
	(0.000855)
435.ID	2.096***
	(0.000855)
436.ID	-0.177***
	(0.000855)
437.ID	-0.666***
	(0.000855)
438.ID	1.588***
	(0.000855)
439.ID	1.588***
	(0.000855)
440.ID	-0.177***
	(0.000855)
441.ID	1.588***
	(0.000855)
442.ID	1.080***
	(0.000855)
445.ID	-0.392***
	(0.000855)
446.ID	1.588***
	(0.000855)
447.ID	0.500***
	(0.000855)
448.ID	1.588***
	(0.000855)
449.ID	1.588***
	(0.000855)
450.ID	-0.392***
	(0.000855)
451.ID	1.588***
	(0.000855)
452.ID	-0.177***
	(0.000855)
453.ID	1.842***
	(0.255)
454.ID	-0.177***
	(0.000855)
455.ID	1.588***
	(0.000855)
456.ID	-1.665***
	(0.000855)
457.ID	-0.177***
	(0.000855)
458.ID	2.096***
	(0.000855)
459.ID	-0.177***
	(0.000855)
