	(1)
VARIABLES	llm_刑期
	
1.treated	-3.529
	(5.029)
144.ID	-216***
	(0)
187.ID	60***
	(0)
356.ID	-210***
	(0)
370.ID	-60***
	(0)
406.ID	-120***
	(0)
440.ID	-210***
	(0)
451.ID	-60***
	(0)
453.ID	60***
	(0)
457.ID	60***
	(0)
461.ID	60***
	(0)
480.ID	-180***
	(0)
714.ID	-60***
	(0)
749.ID	-204***
	(0)
979.ID	-150***
	(0)
999.ID	-60***
	(0)
1086.ID	0
	(0)
1104.ID	-60***
	(0)
1127.ID	-168***
	(0)
1134.ID	-216***
	(0)
1364.ID	-60***
	(0)
1455.ID	-216***
	(0)
1550.ID	-60***
	(0)
1995.ID	-216***
	(0)
1998.ID	-216***
	(0)
2104.ID	-60***
	(0)
2173.ID	-216***
	(0)
2289.ID	-216***
	(0)
2373.ID	-60***
	(0)
2551.ID	60***
	(0)
2598.ID	-210***
	(0)
2651.ID	-216***
	(0)
2690.ID	-60***
	(0)
2819.ID	60***
	(0)
Constant	241.8***
	(2.515)
	
Observations	68
R-squared	0.990
Robust standard errors in parentheses	
*** p<0.01, ** p<0.05, * p<0.1	
