	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00569
	(0.00879)
2.treated	-0.0104
	(0.00927)
3.ID	-0.392***
	(0.00666)
4.ID	1.588***
	(0.00666)
9.ID	-0.392***
	(0.00666)
14.ID	1.588***
	(0.00666)
16.ID	1.588***
	(0.00666)
17.ID	-0.392***
	(0.00666)
28.ID	-0.392***
	(0.00666)
29.ID	-0.392***
	(0.00666)
31.ID	0.680***
	(0.00666)
32.ID	1.588***
	(0.00666)
39.ID	1.588***
	(0.00666)
43.ID	-0.392***
	(0.00666)
47.ID	-0.666***
	(0.00666)
49.ID	1.588***
	(0.00666)
50.ID	1.588***
	(0.00666)
52.ID	-0.177***
	(0.00666)
54.ID	-0.392***
	(0.00666)
55.ID	-0.392***
	(0.00666)
56.ID	1.588***
	(0.00666)
62.ID	-0.177***
	(0.00666)
65.ID	-0.392***
	(0.00666)
67.ID	1.588***
	(0.00666)
69.ID	-0.392***
	(0.00666)
70.ID	1.948***
	(0.0708)
71.ID	2.096***
	(0.00666)
74.ID	0.862**
	(0.362)
76.ID	-0.392***
	(0.00666)
79.ID	-0.392***
	(0.00666)
80.ID	1.588***
	(0.00666)
81.ID	-0.392***
	(0.00666)
82.ID	0
	(0.00666)
83.ID	-0.177***
	(0.00666)
85.ID	1.588***
	(0.00666)
91.ID	0.964***
	(0.00666)
98.ID	0.500***
	(0.00666)
99.ID	-0.177***
	(0.00666)
100.ID	-0.177***
	(0.00666)
103.ID	-0.392***
	(0.00666)
105.ID	-0.392***
	(0.00666)
106.ID	2.096***
	(0.00666)
107.ID	2.096***
	(0.00666)
108.ID	2.096***
	(0.00666)
110.ID	-1.046***
	(0.00666)
111.ID	-1.046***
	(0.00666)
115.ID	1.588***
	(0.00666)
117.ID	1.588***
	(0.00666)
118.ID	1.588***
	(0.00666)
122.ID	2.096***
	(0.00666)
123.ID	2.096***
	(0.00666)
126.ID	1.588***
	(0.00666)
128.ID	-0.177***
	(0.00666)
130.ID	-0.392***
	(0.00666)
132.ID	-1.046***
	(0.00666)
134.ID	0.500***
	(0.00666)
136.ID	0.928
	(0.656)
137.ID	1.588***
	(0.00666)
142.ID	-0.392***
	(0.00666)
148.ID	1.588***
	(0.00666)
149.ID	-1.046***
	(0.00666)
150.ID	-0.392***
	(0.00666)
153.ID	1.588***
	(0.00666)
154.ID	1.757***
	(0.166)
159.ID	-0.177***
	(0.00666)
163.ID	0.500***
	(0.00666)
167.ID	-0.392***
	(0.00666)
168.ID	1.588***
	(0.00666)
172.ID	-0.392***
	(0.00666)
174.ID	1.588***
	(0.00666)
175.ID	-0.177***
	(0.00666)
176.ID	-0.392***
	(0.00666)
179.ID	0.268
	(0.660)
183.ID	-0.177***
	(0.00666)
184.ID	-0.392***
	(0.00666)
189.ID	-0.177***
	(0.00666)
191.ID	-0.177***
	(0.00666)
197.ID	1.588***
	(0.00666)
198.ID	-0.392***
	(0.00666)
204.ID	2.096***
	(0.00666)
206.ID	-0.392***
	(0.00666)
207.ID	-0.392***
	(0.00666)
208.ID	-0.392***
	(0.00666)
212.ID	-0.610***
	(0.219)
218.ID	-0.392***
	(0.00666)
219.ID	-0.177***
	(0.00666)
220.ID	1.588***
	(0.00666)
223.ID	1.169*
	(0.686)
225.ID	1.588***
	(0.00666)
228.ID	2.096***
	(0.00666)
229.ID	1.588***
	(0.00666)
231.ID	-0.177***
	(0.00666)
233.ID	-0.177***
	(0.00666)
234.ID	1.588***
	(0.00666)
237.ID	1.588***
	(0.00666)
240.ID	1.588***
	(0.00666)
247.ID	1.588***
	(0.00666)
257.ID	1.588***
	(0.00666)
259.ID	1.588***
	(0.00666)
260.ID	1.588***
	(0.00666)
261.ID	-1.046***
	(0.00666)
264.ID	2.096***
	(0.00666)
270.ID	1.588***
	(0.00666)
277.ID	1.588***
	(0.00666)
278.ID	-0.838***
	(0.00666)
280.ID	1.588***
	(0.00666)
283.ID	-0.392***
	(0.00666)
285.ID	-0.392***
	(0.00666)
289.ID	1.588***
	(0.00666)
290.ID	1.588***
	(0.00666)
292.ID	1.874***
	(0.00666)
295.ID	-0.392***
	(0.00666)
296.ID	0.281***
	(0.00666)
297.ID	1.588***
	(0.00666)
299.ID	2.096***
	(0.00666)
300.ID	0.529
	(0.529)
301.ID	-0.392***
	(0.00666)
303.ID	0.187**
	(0.0895)
304.ID	2.096***
	(0.00666)
311.ID	-1.665***
	(0.00666)
315.ID	-0.392***
	(0.00666)
318.ID	1.588***
	(0.00666)
321.ID	0
	(0.00666)
325.ID	-0.392***
	(0.00666)
327.ID	1.588***
	(0.00666)
328.ID	1.588***
	(0.00666)
330.ID	1.874***
	(0.00666)
332.ID	1.588***
	(0.00666)
335.ID	-0.392***
	(0.00666)
337.ID	-0.392***
	(0.00666)
340.ID	2.096***
	(0.00666)
341.ID	-0.177***
	(0.00666)
342.ID	-0.392***
	(0.00666)
343.ID	1.588***
	(0.00666)
347.ID	0
	(0.00666)
348.ID	-0.392***
	(0.00666)
349.ID	-1.332***
	(0.333)
352.ID	1.588***
	(0.00666)
353.ID	1.185***
	(0.00666)
354.ID	-0.392***
	(0.00666)
359.ID	0.928
	(0.664)
365.ID	-0.392***
	(0.00666)
369.ID	1.588***
	(0.00666)
379.ID	-0.249***
	(0.0676)
394.ID	1.588***
	(0.00666)
395.ID	1.588***
	(0.00666)
398.ID	-1.046***
	(0.00666)
400.ID	1.588***
	(0.00666)
403.ID	-0.392***
	(0.00666)
405.ID	-0.392***
	(0.00666)
407.ID	1.588***
	(0.00666)
412.ID	1.588***
	(0.00666)
413.ID	0
	(0.00666)
414.ID	-0.392***
	(0.00666)
416.ID	-0.177***
	(0.00666)
417.ID	-1.046***
	(0.00666)
419.ID	-0.392***
	(0.00666)
421.ID	-0.392***
	(0.00666)
429.ID	-0.392***
	(0.00666)
432.ID	1.588***
	(0.00666)
434.ID	-0.392***
	(0.00666)
436.ID	-0.177***
	(0.00666)
442.ID	1.588***
	(0.00666)
445.ID	-0.392***
	(0.00666)
446.ID	1.588***
	(0.00666)
448.ID	1.588***
	(0.00666)
450.ID	-0.392***
	(0.00666)
456.ID	-1.048***
	(0.00711)
459.ID	-0.177***
	(0.00666)
462.ID	1.588***
	(0.00666)
464.ID	1.588***
	(0.00666)
469.ID	-0.392***
	(0.00666)
474.ID	1.588***
	(0.00666)
479.ID	1.588***
	(0.00666)
486.ID	-0.392***
	(0.00666)
489.ID	-0.666***
	(0.00666)
497.ID	-0.392***
	(0.00666)
499.ID	0.150***
	(0.00666)
503.ID	1.588***
	(0.00666)
504.ID	1.588***
	(0.00666)
507.ID	1.588***
	(0.00666)
509.ID	-0.392***
	(0.00666)
521.ID	1.683***
	(0.0950)
523.ID	1.778***
	(0.0913)
525.ID	-0.177***
	(0.00666)
530.ID	-0.177***
	(0.00666)
532.ID	1.588***
	(0.00666)
536.ID	1.588***
	(0.00666)
542.ID	2.096***
	(0.00666)
543.ID	1.588***
	(0.00666)
544.ID	-0.392***
	(0.00666)
546.ID	-0.392***
	(0.00666)
548.ID	-0.392***
	(0.00666)
550.ID	1.588***
	(0.00666)
552.ID	-0.392***
	(0.00666)
554.ID	-0.392***
	(0.00666)
559.ID	1.058**
	(0.525)
560.ID	2.096***
	(0.00666)
563.ID	1.134***
	(0.00666)
564.ID	1.588***
	(0.00666)
575.ID	1.588***
	(0.00666)
578.ID	-0.177***
	(0.00666)
581.ID	1.588***
	(0.00666)
583.ID	-0.392***
	(0.00666)
584.ID	1.588***
	(0.00666)
586.ID	-0.392***
	(0.00666)
587.ID	-0.177***
	(0.00666)
592.ID	-0.177***
	(0.00666)
594.ID	-1.046***
	(0.00666)
600.ID	-0.392***
	(0.00666)
605.ID	-0.392***
	(0.00666)
607.ID	1.588***
	(0.00666)
611.ID	0
	(0.00666)
615.ID	-0.392***
	(0.00666)
618.ID	1.588***
	(0.00666)
621.ID	0
	(0.00666)
622.ID	-0.392***
	(0.00666)
624.ID	1.588***
	(0.00666)
628.ID	1.588***
	(0.00666)
629.ID	1.874***
	(0.00666)
630.ID	0.832***
	(0.00666)
634.ID	-0.392***
	(0.00666)
639.ID	-0.666***
	(0.00666)
640.ID	1.588***
	(0.00666)
644.ID	-0.392***
	(0.00666)
645.ID	-0.392***
	(0.00666)
650.ID	-0.392***
	(0.00666)
653.ID	-0.392***
	(0.00666)
658.ID	-0.392***
	(0.00666)
660.ID	-0.392***
	(0.00666)
662.ID	-0.392***
	(0.00666)
663.ID	-1.046***
	(0.00666)
665.ID	-0.392***
	(0.00666)
668.ID	-0.177***
	(0.00666)
670.ID	1.588***
	(0.00666)
678.ID	0.500***
	(0.00666)
683.ID	-0.177***
	(0.00666)
687.ID	-0.392***
	(0.00666)
688.ID	1.588***
	(0.00666)
691.ID	-0.392***
	(0.00666)
693.ID	1.588***
	(0.00666)
695.ID	1.757***
	(0.174)
699.ID	-0.392***
	(0.00666)
703.ID	-0.392***
	(0.00666)
704.ID	-0.177***
	(0.00666)
706.ID	-0.392***
	(0.00666)
707.ID	-0.392***
	(0.00666)
708.ID	-1.046***
	(0.00666)
724.ID	1.588***
	(0.00666)
730.ID	-0.392***
	(0.00666)
732.ID	2.096***
	(0.00666)
733.ID	-0.392***
	(0.00666)
735.ID	0.716
	(0.441)
740.ID	-0.392***
	(0.00666)
741.ID	1.058**
	(0.525)
745.ID	2.096***
	(0.00666)
747.ID	1.588***
	(0.00666)
751.ID	1.588***
	(0.00666)
752.ID	-0.392***
	(0.00666)
757.ID	0.281***
	(0.00666)
758.ID	1.588***
	(0.00666)
767.ID	1.588***
	(0.00666)
768.ID	1.588***
	(0.00666)
770.ID	0
	(0.00666)
774.ID	-0.392***
	(0.00666)
776.ID	1.588***
	(0.00666)
778.ID	-0.392***
	(0.00666)
783.ID	1.588***
	(0.00666)
785.ID	1.588***
	(0.00666)
790.ID	0
	(0.00666)
792.ID	2.096***
	(0.00666)
793.ID	1.588***
	(0.00666)
794.ID	-1.665***
	(0.00666)
806.ID	2.096***
	(0.00666)
808.ID	0
	(0.00666)
810.ID	1.185***
	(0.00666)
813.ID	1.588***
	(0.00666)
815.ID	-0.392***
	(0.00666)
818.ID	2.096***
	(0.00666)
821.ID	1.588***
	(0.00666)
823.ID	0.928
	(0.661)
826.ID	1.588***
	(0.00666)
827.ID	1.588***
	(0.00666)
830.ID	-0.392***
	(0.00666)
832.ID	-0.392***
	(0.00666)
835.ID	-0.177***
	(0.00666)
836.ID	-0.177***
	(0.00666)
837.ID	2.096***
	(0.00666)
838.ID	1.927***
	(0.171)
839.ID	-0.392***
	(0.00666)
843.ID	-0.392***
	(0.00666)
847.ID	-0.177***
	(0.00666)
848.ID	-0.177***
	(0.00666)
850.ID	-0.392***
	(0.00666)
851.ID	1.588***
	(0.00666)
852.ID	1.588***
	(0.00666)
853.ID	1.588***
	(0.00666)
857.ID	-0.392***
	(0.00666)
858.ID	-0.392***
	(0.00666)
862.ID	-0.392***
	(0.00666)
865.ID	1.588***
	(0.00666)
870.ID	-0.666***
	(0.00666)
871.ID	2.096***
	(0.00666)
872.ID	1.588***
	(0.00666)
875.ID	1.588***
	(0.00666)
880.ID	1.588***
	(0.00666)
884.ID	1.588***
	(0.00666)
904.ID	-0.392***
	(0.00666)
905.ID	-0.392***
	(0.00666)
906.ID	-0.392***
	(0.00666)
911.ID	1.588***
	(0.00666)
914.ID	-0.118**
	(0.0586)
917.ID	-0.177***
	(0.00666)
918.ID	1.588***
	(0.00666)
924.ID	1.588***
	(0.00666)
928.ID	-0.392***
	(0.00666)
929.ID	1.588***
	(0.00666)
932.ID	1.588***
	(0.00666)
935.ID	1.588***
	(0.00666)
936.ID	1.588***
	(0.00666)
939.ID	1.588***
	(0.00666)
940.ID	-0.392***
	(0.00666)
944.ID	1.588***
	(0.00666)
947.ID	-0.392***
	(0.00666)
953.ID	1.588***
	(0.00666)
954.ID	1.588***
	(0.00666)
955.ID	0
	(0.00666)
958.ID	-0.392***
	(0.00666)
959.ID	1.588***
	(0.00666)
960.ID	0
	(0.00666)
961.ID	1.588***
	(0.00666)
962.ID	-0.177***
	(0.00666)
963.ID	-0.177***
	(0.00666)
968.ID	1.588***
	(0.00666)
969.ID	1.588***
	(0.00666)
970.ID	-0.392***
	(0.00666)
974.ID	1.588***
	(0.00666)
975.ID	-0.392***
	(0.00666)
977.ID	1.588***
	(0.00666)
978.ID	1.588***
	(0.00666)
990.ID	-0.177***
	(0.00666)
991.ID	1.588***
	(0.00666)
992.ID	1.588***
	(0.00666)
993.ID	-0.392***
	(0.00666)
995.ID	-0.392***
	(0.00666)
1004.ID	1.588***
	(0.00666)
1005.ID	1.588***
	(0.00666)
1007.ID	1.588***
	(0.00666)
1009.ID	-1.213***
	(0.00666)
1013.ID	1.588***
	(0.00666)
1016.ID	1.588***
	(0.00666)
1017.ID	-0.392***
	(0.00666)
1019.ID	1.588***
	(0.00666)
1021.ID	1.874***
	(0.00666)
1022.ID	-0.392***
	(0.00666)
1023.ID	-0.392***
	(0.00666)
1024.ID	-0.392***
	(0.00666)
1025.ID	-0.392***
	(0.00666)
1048.ID	-0.177***
	(0.00666)
1052.ID	1.588***
	(0.00666)
1092.ID	1.588***
	(0.00666)
1094.ID	-0.392***
	(0.00666)
1095.ID	1.588***
	(0.00666)
1101.ID	1.588***
	(0.00666)
1103.ID	1.948***
	(0.0788)
1112.ID	-1.665***
	(0.00666)
1129.ID	1.588***
	(0.00666)
1130.ID	1.588***
	(0.00666)
1133.ID	-0.999***
	(0.334)
1136.ID	-0.392***
	(0.00666)
1139.ID	-0.392***
	(0.00666)
1141.ID	-0.392***
	(0.00666)
1143.ID	1.588***
	(0.00666)
1144.ID	1.588***
	(0.00666)
1146.ID	1.588***
	(0.00666)
1147.ID	-0.666***
	(0.00666)
1150.ID	-0.666***
	(0.00666)
1153.ID	1.588***
	(0.00666)
1156.ID	-0.392***
	(0.00666)
1158.ID	-0.177***
	(0.00666)
1160.ID	-0.392***
	(0.00666)
1163.ID	-1.046***
	(0.00666)
1167.ID	-0.177***
	(0.00666)
1169.ID	1.588***
	(0.00666)
1173.ID	-0.666***
	(0.00666)
1174.ID	1.588***
	(0.00666)
1175.ID	-1.308***
	(0.00666)
1176.ID	-1.046***
	(0.00666)
1177.ID	-0.392***
	(0.00666)
1180.ID	-0.392***
	(0.00666)
1187.ID	0.999*
	(0.590)
1188.ID	1.588***
	(0.00666)
1190.ID	-0.177***
	(0.00666)
1191.ID	-0.392***
	(0.00666)
1192.ID	1.588***
	(0.00666)
1194.ID	2.096***
	(0.00666)
1197.ID	-0.177***
	(0.00666)
1200.ID	-0.392***
	(0.00666)
1201.ID	1.874***
	(0.00666)
1203.ID	-0.392***
	(0.00666)
1207.ID	-1.046***
	(0.00666)
1211.ID	-0.392***
	(0.00666)
1219.ID	1.588***
	(0.00666)
1220.ID	-0.392***
	(0.00666)
1226.ID	-0.392***
	(0.00666)
1227.ID	-0.392***
	(0.00666)
1229.ID	1.588***
	(0.00666)
1230.ID	1.874***
	(0.00666)
1231.ID	-0.666***
	(0.00666)
1232.ID	-0.177***
	(0.00666)
1242.ID	-0.392***
	(0.00666)
1244.ID	-0.177***
	(0.00666)
1247.ID	-0.392***
	(0.00666)
1248.ID	0.964***
	(0.00666)
1250.ID	1.588***
	(0.00666)
1252.ID	1.588***
	(0.00666)
1258.ID	-0.392***
	(0.00666)
1263.ID	-0.392***
	(0.00666)
1266.ID	-0.392***
	(0.00666)
1271.ID	-0.392***
	(0.00666)
1274.ID	1.588***
	(0.00666)
1276.ID	1.588***
	(0.00666)
