	(1)
VARIABLES	llm_刑期
	
1.treated	3.184
	(3.926)
2.treated	9.837
	(6.862)
38.ID	-36***
	(0)
59.ID	-12***
	(0)
65.ID	68***
	(0)
80.ID	120***
	(0)
101.ID	-36***
	(0)
125.ID	120***
	(0)
148.ID	120***
	(0)
222.ID	-30***
	(0)
238.ID	120***
	(0)
247.ID	120***
	(0)
260.ID	120***
	(0)
270.ID	120***
	(0)
296.ID	-12***
	(0)
325.ID	-36***
	(0)
369.ID	120***
	(0)
372.ID	6.667***
	(0)
396.ID	120***
	(0)
412.ID	120***
	(0)
442.ID	120***
	(0)
445.ID	-36***
	(0)
446.ID	120***
	(0)
449.ID	120***
	(0)
464.ID	120***
	(0)
486.ID	-36***
	(0)
514.ID	240***
	(0)
526.ID	120***
	(0)
544.ID	-36***
	(0)
550.ID	120***
	(0)
601.ID	240***
	(0)
670.ID	120***
	(0)
675.ID	-24***
	(0)
688.ID	120***
	(0)
713.ID	120***
	(0)
720.ID	120***
	(0)
755.ID	120***
	(0)
758.ID	120***
	(0)
785.ID	120***
	(0)
807.ID	-30***
	(0)
811.ID	-36***
	(0)
826.ID	120***
	(0)
882.ID	120***
	(0)
900.ID	-30***
	(0)
919.ID	240***
	(0)
944.ID	120***
	(0)
967.ID	240***
	(0)
975.ID	120***
	(0)
991.ID	16***
	(0)
997.ID	-36***
	(0)
Constant	55.66***
	(3.197)
	
Observations	147
R-squared	0.953
Robust standard errors in parentheses	
*** p<0.01, ** p<0.05, * p<0.1	
