	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00582
	(0.0177)
1.ID	0.196***
	(0)
2.ID	1.784***
	(0)
3.ID	-0.196***
	(0)
4.ID	1.784***
	(0)
5.ID	0.0191***
	(0)
6.ID	-0.196***
	(0)
7.ID	1.784***
	(0)
8.ID	0.0191***
	(0)
9.ID	-0.196***
	(0)
10.ID	2.292***
	(0)
12.ID	2.292***
	(0)
14.ID	1.784***
	(0)
15.ID	-0.196***
	(0)
16.ID	1.784***
	(0)
17.ID	-0.196***
	(0)
18.ID	-0.196***
	(0)
19.ID	0.0191***
	(0)
20.ID	1.784***
	(0)
21.ID	0.0191***
	(0)
22.ID	0.196***
	(0)
23.ID	1.784***
	(0)
24.ID	1.784***
	(0)
25.ID	0.0191***
	(0)
26.ID	-0.850***
	(0)
27.ID	-0.196***
	(0)
28.ID	-0.196***
	(0)
29.ID	-0.196***
	(0)
30.ID	-0.196***
	(0)
31.ID	0.876***
	(0)
32.ID	1.784***
	(0)
33.ID	1.784***
	(0)
34.ID	1.784***
	(0)
35.ID	-0.196***
	(0)
36.ID	-0.196***
	(0)
37.ID	-0.196***
	(0)
38.ID	-0.196***
	(0)
39.ID	1.784***
	(0)
40.ID	1.784***
	(0)
41.ID	0.196***
	(0)
42.ID	2.292***
	(0)
43.ID	-0.196***
	(0)
46.ID	0.0191***
	(0)
47.ID	-0.470***
	(0)
48.ID	1.784***
	(0)
49.ID	1.784***
	(0)
50.ID	1.784***
	(0)
51.ID	-0.196***
	(0)
52.ID	0.0191***
	(0)
53.ID	2.181***
	(0)
54.ID	-0.196***
	(0)
55.ID	-0.196***
	(0)
56.ID	1.784***
	(0)
57.ID	-0.196***
	(0)
58.ID	1.784***
	(0)
59.ID	0.477***
	(0)
60.ID	-0.196***
	(0)
61.ID	-0.196***
	(0)
62.ID	0.0191***
	(0)
63.ID	-0.196***
	(0)
64.ID	2.070***
	(0)
65.ID	0.794***
	(0)
66.ID	0.0191***
	(0)
67.ID	1.784***
	(0)
68.ID	1.381***
	(0)
69.ID	-0.196***
	(0)
70.ID	2.181***
	(0)
71.ID	2.292***
	(0)
72.ID	2.292***
	(0)
73.ID	-0.196***
	(0)
74.ID	2.292***
	(0)
76.ID	-0.196***
	(0)
77.ID	0.0191***
	(0)
78.ID	-0.196***
	(0)
79.ID	-0.196***
	(0)
80.ID	1.784***
	(0)
81.ID	-0.196***
	(0)
82.ID	0.196***
	(0)
83.ID	0.0191***
	(0)
84.ID	2.038***
	(0)
85.ID	1.784***
	(0)
86.ID	1.784***
	(0)
87.ID	1.784***
	(0)
88.ID	2.292***
	(0)
89.ID	-0.196***
	(0)
90.ID	-0.196***
	(0)
91.ID	1.160***
	(0)
92.ID	-0.850***
	(0)
93.ID	0.196***
	(0)
94.ID	-0.196***
	(0)
95.ID	2.292***
	(0)
96.ID	-0.196***
	(0)
97.ID	-1.112***
	(0)
98.ID	0.696***
	(0)
99.ID	-0.0885***
	(0)
100.ID	0.0191***
	(0)
101.ID	-0.196***
	(0)
102.ID	-0.850***
	(0)
103.ID	-0.196***
	(0)
104.ID	-0.196***
	(0)
105.ID	-0.196***
	(0)
106.ID	2.292***
	(0)
107.ID	2.292***
	(0)
108.ID	2.292***
	(0)
109.ID	0.0191***
	(0)
110.ID	-0.850***
	(0)
111.ID	-0.850***
	(0)
112.ID	1.784***
	(0)
113.ID	-0.196***
	(0)
114.ID	1.784***
	(0)
115.ID	1.784***
	(0)
116.ID	0.0191***
	(0)
117.ID	1.784***
	(0)
118.ID	1.784***
	(0)
119.ID	2.292***
	(0)
120.ID	1.028***
	(0)
121.ID	1.784***
	(0)
122.ID	2.292***
	(0)
123.ID	1.156***
	(0)
125.ID	1.784***
	(0)
126.ID	1.784***
	(0)
127.ID	-0.850***
	(0)
128.ID	0.0191***
	(0)
129.ID	1.784***
	(0)
130.ID	-0.196***
	(0)
131.ID	0.0191***
	(0)
132.ID	-0.850***
	(0)
133.ID	1.784***
	(0)
134.ID	0.696***
	(0)
135.ID	1.784***
	(0)
136.ID	1.784***
	(0)
137.ID	0.794***
	(0)
138.ID	2.292***
	(0)
139.ID	-0.196***
	(0)
140.ID	0.196***
	(0)
142.ID	-0.196***
	(0)
144.ID	-0.196***
	(0)
145.ID	0.0191***
	(0)
146.ID	2.038***
	(0)
147.ID	2.292***
	(0)
148.ID	1.784***
	(0)
149.ID	-0.660***
	(0)
150.ID	-0.196***
	(0)
151.ID	0.0191***
	(0)
152.ID	1.784***
	(0)
153.ID	1.784***
	(0)
154.ID	2.292***
	(0)
155.ID	-0.196***
	(0)
156.ID	-0.196***
	(0)
157.ID	1.784***
	(0)
158.ID	1.784***
	(0)
159.ID	0.0191***
	(0)
160.ID	1.784***
	(0)
161.ID	2.070***
	(0)
163.ID	0.696***
	(0)
164.ID	-0.196***
	(0)
165.ID	-0.196***
	(0)
166.ID	1.784***
	(0)
167.ID	-0.196***
	(0)
168.ID	1.784***
	(0)
169.ID	1.784***
	(0)
170.ID	0.0191***
	(0)
171.ID	0.0191***
	(0)
172.ID	-0.196***
	(0)
173.ID	1.784***
	(0)
174.ID	1.784***
	(0)
175.ID	0.0191***
	(0)
176.ID	-0.196***
	(0)
177.ID	1.784***
	(0)
178.ID	-0.850***
	(0)
179.ID	-0.196***
	(0)
180.ID	0.955***
	(0)
181.ID	-0.850***
	(0)
182.ID	-0.196***
	(0)
183.ID	0.0191***
	(0)
184.ID	-0.196***
	(0)
185.ID	1.156***
	(0)
186.ID	1.381***
	(0)
187.ID	2.292***
	(0)
188.ID	1.784***
	(0)
189.ID	0.0191***
	(0)
190.ID	-0.196***
	(0)
191.ID	0.0191***
	(0)
192.ID	-0.196***
	(0)
194.ID	1.784***
	(0)
196.ID	-0.196***
	(0)
197.ID	1.784***
	(0)
198.ID	-0.196***
	(0)
199.ID	-0.196***
	(0)
200.ID	1.784***
	(0)
201.ID	-0.196***
	(0)
202.ID	1.784***
	(0)
203.ID	2.292***
	(0)
204.ID	2.292***
	(0)
205.ID	1.784***
	(0)
206.ID	-0.196***
	(0)
207.ID	-0.196***
	(0)
208.ID	-0.196***
	(0)
209.ID	2.292***
	(0)
210.ID	-0.196***
	(0)
212.ID	-0.196***
	(0)
213.ID	2.292***
	(0)
214.ID	0.794***
	(0)
217.ID	1.784***
	(0)
218.ID	-0.196***
	(0)
219.ID	0.0191***
	(0)
220.ID	1.784***
	(0)
221.ID	1.784***
	(0)
222.ID	2.292***
	(0)
223.ID	0.0191***
	(0)
224.ID	2.038***
	(0)
225.ID	1.784***
	(0)
226.ID	-0.470***
	(0)
227.ID	1.784***
	(0)
228.ID	2.292***
	(0)
229.ID	1.784***
	(0)
230.ID	1.784***
	(0)
231.ID	0.901***
	(0)
232.ID	-0.196***
	(0)
233.ID	0.0191***
	(0)
234.ID	1.784***
	(0)
236.ID	2.292***
	(0)
237.ID	1.784***
	(0)
238.ID	1.784***
	(0)
239.ID	1.133***
	(0)
240.ID	1.784***
	(0)
241.ID	1.784***
	(0)
243.ID	1.381***
	(0)
244.ID	1.927***
	(0)
245.ID	-0.196***
	(0)
246.ID	1.784***
	(0)
247.ID	1.784***
	(0)
248.ID	0.196***
	(0)
249.ID	-0.196***
	(0)
250.ID	2.292***
	(0)
251.ID	-0.196***
	(0)
252.ID	0.0191***
	(0)
253.ID	-0.196***
	(0)
254.ID	-0.196***
	(0)
255.ID	2.292***
	(0)
256.ID	1.784***
	(0)
257.ID	1.784***
	(0)
258.ID	-0.196***
	(0)
259.ID	1.784***
	(0)
260.ID	1.784***
	(0)
261.ID	-0.850***
	(0)
263.ID	-0.196***
	(0)
264.ID	2.292***
	(0)
266.ID	1.784***
	(0)
267.ID	0.0191***
	(0)
268.ID	1.784***
	(0)
269.ID	1.784***
	(0)
270.ID	1.784***
	(0)
271.ID	-0.196***
	(0)
272.ID	2.292***
	(0)
274.ID	-0.196***
	(0)
275.ID	0.0191***
	(0)
276.ID	1.381***
	(0)
277.ID	1.784***
	(0)
278.ID	-0.642***
	(0)
279.ID	0.0191***
	(0)
280.ID	1.784***
	(0)
281.ID	1.784***
	(0)
282.ID	-0.333***
	(0)
283.ID	-0.196***
	(0)
284.ID	-0.196***
	(0)
285.ID	-0.196***
	(0)
286.ID	-0.196***
	(0)
288.ID	1.784***
	(0)
289.ID	1.784***
	(0)
290.ID	1.784***
	(0)
291.ID	-0.196***
	(0)
292.ID	2.070***
	(0)
293.ID	-0.196***
	(0)
294.ID	0.196***
	(0)
295.ID	0.794***
	(0)
296.ID	0.477***
	(0)
297.ID	1.784***
	(0)
298.ID	1.784***
	(0)
299.ID	2.292***
	(0)
300.ID	0.0191***
	(0)
301.ID	-0.196***
	(0)
302.ID	2.292***
	(0)
303.ID	0.477***
	(0)
304.ID	2.292***
	(0)
305.ID	1.784***
	(0)
306.ID	0.196***
	(0)
307.ID	0.0191***
	(0)
308.ID	0.696***
	(0)
309.ID	0.0191***
	(0)
310.ID	-0.196***
	(0)
311.ID	-1.469***
	(0)
312.ID	1.784***
	(0)
313.ID	0.0191***
	(0)
314.ID	0.990***
	(0)
315.ID	-0.196***
	(0)
316.ID	0.990***
	(0)
317.ID	1.784***
	(0)
318.ID	1.784***
	(0)
319.ID	1.784***
	(0)
320.ID	0.0191***
	(0)
321.ID	0.196***
	(0)
322.ID	2.181***
	(0)
323.ID	0.0191***
	(0)
324.ID	0.794***
	(0)
325.ID	-0.196***
	(0)
326.ID	1.784***
	(0)
327.ID	1.784***
	(0)
328.ID	1.784***
	(0)
329.ID	-0.196***
	(0)
330.ID	2.070***
	(0)
331.ID	-0.196***
	(0)
332.ID	1.784***
	(0)
333.ID	1.784***
	(0)
334.ID	-0.196***
	(0)
335.ID	-0.196***
	(0)
336.ID	1.715***
	(0)
337.ID	-0.196***
	(0)
338.ID	1.784***
	(0)
339.ID	1.784***
	(0)
340.ID	2.292***
	(0)
341.ID	0.0191***
	(0)
342.ID	-0.196***
	(0)
343.ID	1.784***
	(0)
344.ID	0.0191***
	(0)
345.ID	2.038***
	(0)
346.ID	-1.469***
	(0)
347.ID	0.196***
	(0)
348.ID	-0.196***
	(0)
349.ID	-1.469***
	(0)
350.ID	-0.196***
	(0)
352.ID	1.784***
	(0)
353.ID	1.381***
	(0)
354.ID	-0.196***
	(0)
355.ID	0.196***
	(0)
356.ID	0.0191***
	(0)
357.ID	1.784***
	(0)
358.ID	-0.196***
	(0)
359.ID	1.784***
	(0)
361.ID	-0.196***
	(0)
364.ID	2.070***
	(0)
365.ID	-0.196***
	(0)
366.ID	2.181***
	(0)
369.ID	1.784***
	(0)
370.ID	1.784***
	(0)
372.ID	1.784***
	(0)
373.ID	-0.196***
	(0)
374.ID	1.784***
	(0)
375.ID	-0.196***
	(0)
377.ID	1.784***
	(0)
378.ID	-0.196***
	(0)
379.ID	-0.0885***
	(0)
381.ID	-0.196***
	(0)
382.ID	-1.469***
	(0)
383.ID	-0.196***
	(0)
385.ID	1.784***
	(0)
386.ID	-0.850***
	(0)
387.ID	-0.196***
	(0)
388.ID	0.108***
	(0)
389.ID	1.784***
	(0)
390.ID	2.038***
	(0)
391.ID	-0.196***
	(0)
393.ID	1.784***
	(0)
394.ID	1.784***
	(0)
395.ID	1.784***
	(0)
396.ID	1.784***
	(0)
397.ID	-0.196***
	(0)
398.ID	-0.850***
	(0)
399.ID	0.0191***
	(0)
400.ID	1.784***
	(0)
401.ID	0.696***
	(0)
402.ID	-0.196***
	(0)
403.ID	-0.196***
	(0)
404.ID	0.196***
	(0)
405.ID	-0.196***
	(0)
406.ID	1.381***
	(0)
407.ID	1.784***
	(0)
408.ID	2.292***
	(0)
409.ID	-0.850***
	(0)
410.ID	-0.196***
	(0)
411.ID	-0.470***
	(0)
412.ID	1.784***
	(0)
413.ID	0.196***
	(0)
414.ID	-0.196***
	(0)
415.ID	-0.196***
	(0)
416.ID	0.0191***
	(0)
417.ID	-0.850***
	(0)
418.ID	-0.196***
	(0)
419.ID	-0.196***
	(0)
420.ID	0.0191***
	(0)
421.ID	-0.196***
	(0)
423.ID	1.784***
	(0)
424.ID	1.784***
	(0)
425.ID	1.784***
	(0)
426.ID	-0.196***
	(0)
428.ID	-0.196***
	(0)
429.ID	-0.196***
	(0)
430.ID	2.292***
	(0)
431.ID	0.0191***
	(0)
432.ID	1.784***
	(0)
433.ID	-0.196***
	(0)
434.ID	-0.196***
	(0)
435.ID	2.292***
	(0)
436.ID	0.0191***
	(0)
437.ID	-0.660***
	(0)
438.ID	1.784***
	(0)
439.ID	1.784***
	(0)
440.ID	0.0191***
	(0)
441.ID	1.784***
	(0)
442.ID	1.276***
	(0)
445.ID	-0.196***
	(0)
446.ID	1.784***
	(0)
447.ID	0.696***
	(0)
448.ID	1.784***
	(0)
449.ID	1.784***
	(0)
450.ID	-0.196***
	(0)
451.ID	1.784***
	(0)
452.ID	0.0191***
	(0)
453.ID	2.292***
	(0)
454.ID	0.0191***
	(0)
455.ID	1.784***
	(0)
456.ID	-0.850***
	(0)
457.ID	2.292***
	(0)
458.ID	2.292***
	(0)
459.ID	0.0191***
	(0)
460.ID	-0.196***
	(0)
461.ID	2.292***
	(0)
462.ID	1.784***
	(0)
464.ID	1.784***
	(0)
465.ID	0.696***
	(0)
466.ID	1.784***
	(0)
467.ID	1.784***
	(0)
468.ID	2.292***
	(0)
469.ID	-0.196***
	(0)
470.ID	1.784***
	(0)
471.ID	2.292***
	(0)
472.ID	2.292***
	(0)
473.ID	1.784***
	(0)
474.ID	1.784***
	(0)
475.ID	-0.196***
	(0)
476.ID	1.784***
	(0)
477.ID	2.070***
	(0)
478.ID	2.292***
	(0)
479.ID	1.784***
	(0)
480.ID	0.696***
	(0)
481.ID	1.784***
	(0)
482.ID	2.292***
	(0)
483.ID	-0.850***
	(0)
484.ID	2.070***
	(0)
485.ID	2.292***
	(0)
486.ID	-0.196***
	(0)
488.ID	2.292***
	(0)
490.ID	-0.196***
	(0)
491.ID	-1.469***
	(0)
493.ID	-0.196***
	(0)
494.ID	1.784***
	(0)
495.ID	2.292***
	(0)
497.ID	0.0191***
	(0)
498.ID	2.292***
	(0)
499.ID	0.346***
	(0)
501.ID	0.0191***
	(0)
502.ID	-1.469***
	(0)
503.ID	1.160***
	(0)
504.ID	1.784***
	(0)
505.ID	0.696***
	(0)
506.ID	-0.196***
	(0)
507.ID	1.784***
	(0)
508.ID	-0.196***
	(0)
509.ID	-0.196***
	(0)
510.ID	1.784***
	(0)
512.ID	-0.196***
	(0)
514.ID	2.292***
	(0)
515.ID	2.070***
	(0)
518.ID	-0.196***
	(0)
519.ID	-0.470***
	(0)
521.ID	2.070***
	(0)
522.ID	1.781***
	(0.00886)
523.ID	2.070***
	(0)
524.ID	1.784***
	(0)
525.ID	0.0191***
	(0)
526.ID	1.784***
	(0)
527.ID	1.927***
	(0)
528.ID	2.070***
	(0)
529.ID	1.784***
	(0)
530.ID	-0.0885***
	(0)
532.ID	1.784***
	(0)
535.ID	-0.196***
	(0)
536.ID	1.784***
	(0)
538.ID	1.381***
	(0)
539.ID	-0.196***
	(0)
540.ID	-0.196***
	(0)
541.ID	2.070***
	(0)
542.ID	2.292***
	(0)
543.ID	1.784***
	(0)
544.ID	-0.196***
	(0)
545.ID	-0.850***
	(0)
546.ID	-0.196***
	(0)
548.ID	-0.196***
	(0)
549.ID	-0.196***
	(0)
550.ID	1.784***
	(0)
551.ID	1.784***
	(0)
552.ID	-0.196***
	(0)
553.ID	1.784***
	(0)
554.ID	-0.196***
	(0)
555.ID	1.784***
	(0)
556.ID	-0.196***
	(0)
