	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00580
	(0.00975)
1.ID	0.196
	(0.199)
2.ID	1.784***
	(0.199)
3.ID	-0.196
	(0.199)
4.ID	1.784***
	(0.199)
5.ID	0.0191
	(0.199)
6.ID	-0.196
	(0.199)
7.ID	1.784***
	(0.199)
8.ID	0.0191
	(0.199)
9.ID	-0.196
	(0.199)
10.ID	2.292***
	(0.199)
12.ID	2.292***
	(0.199)
14.ID	1.784***
	(0.199)
15.ID	-0.196
	(0.199)
16.ID	1.784***
	(0.199)
17.ID	-0.196
	(0.199)
18.ID	-0.196
	(0.199)
19.ID	0.0191
	(0.199)
20.ID	1.784***
	(0.199)
21.ID	0.0191
	(0.199)
22.ID	0.196
	(0.199)
23.ID	1.784***
	(0.199)
24.ID	1.784***
	(0.199)
25.ID	0.0191
	(0.199)
26.ID	-0.850***
	(0.199)
27.ID	-0.196
	(0.199)
28.ID	-0.196
	(0.199)
29.ID	-0.196
	(0.199)
30.ID	-0.196
	(0.199)
31.ID	0.876***
	(0.199)
32.ID	1.784***
	(0.199)
33.ID	1.784***
	(0.199)
34.ID	1.784***
	(0.199)
35.ID	-0.196
	(0.199)
36.ID	-0.196
	(0.199)
37.ID	-0.196
	(0.199)
38.ID	-0.196
	(0.199)
39.ID	1.784***
	(0.199)
40.ID	1.784***
	(0.199)
41.ID	0.196
	(0.199)
42.ID	2.292***
	(0.199)
43.ID	-0.196
	(0.199)
46.ID	0.0191
	(0.199)
47.ID	-0.470**
	(0.199)
48.ID	1.784***
	(0.199)
49.ID	1.784***
	(0.199)
50.ID	1.784***
	(0.199)
51.ID	-0.196
	(0.199)
52.ID	0.0191
	(0.199)
53.ID	2.181***
	(0.230)
54.ID	-0.196
	(0.199)
55.ID	-0.196
	(0.199)
56.ID	1.784***
	(0.199)
57.ID	-0.196
	(0.199)
58.ID	1.784***
	(0.199)
59.ID	0.477**
	(0.199)
60.ID	-0.196
	(0.199)
61.ID	-0.196
	(0.199)
62.ID	0.0191
	(0.199)
63.ID	-0.196
	(0.199)
64.ID	2.070***
	(0.199)
65.ID	0.794
	(1.013)
66.ID	0.0191
	(0.199)
67.ID	1.784***
	(0.199)
68.ID	1.381***
	(0.199)
69.ID	-0.196
	(0.199)
70.ID	2.181***
	(0.230)
71.ID	2.292***
	(0.199)
72.ID	2.292***
	(0.199)
73.ID	-0.196
	(0.199)
74.ID	2.292***
	(0.199)
76.ID	-0.196
	(0.199)
77.ID	0.0191
	(0.199)
78.ID	-0.196
	(0.199)
79.ID	-0.196
	(0.199)
80.ID	1.784***
	(0.199)
81.ID	-0.196
	(0.199)
82.ID	0.196
	(0.199)
83.ID	0.0191
	(0.199)
84.ID	2.038***
	(0.325)
85.ID	1.784***
	(0.199)
86.ID	1.784***
	(0.199)
87.ID	1.784***
	(0.199)
88.ID	2.292***
	(0.199)
89.ID	-0.196
	(0.199)
90.ID	-0.196
	(0.199)
91.ID	1.160***
	(0.199)
92.ID	-0.850***
	(0.199)
93.ID	0.196
	(0.199)
94.ID	-0.196
	(0.199)
95.ID	2.292***
	(0.199)
96.ID	-0.196
	(0.199)
97.ID	-1.112***
	(0.199)
98.ID	0.696***
	(0.199)
99.ID	-0.0885
	(0.228)
100.ID	0.0191
	(0.199)
101.ID	-0.196
	(0.199)
102.ID	-0.850***
	(0.199)
103.ID	-0.196
	(0.199)
104.ID	-0.196
	(0.199)
105.ID	-0.196
	(0.199)
106.ID	2.292***
	(0.199)
107.ID	2.292***
	(0.199)
108.ID	2.292***
	(0.199)
109.ID	0.0191
	(0.199)
110.ID	-0.850***
	(0.199)
111.ID	-0.850***
	(0.199)
112.ID	1.784***
	(0.199)
113.ID	-0.196
	(0.199)
114.ID	1.784***
	(0.199)
115.ID	1.784***
	(0.199)
116.ID	0.0191
	(0.199)
117.ID	1.784***
	(0.199)
118.ID	1.784***
	(0.199)
119.ID	2.292***
	(0.199)
120.ID	1.028***
	(0.199)
121.ID	1.784***
	(0.199)
122.ID	2.292***
	(0.199)
123.ID	1.156
	(1.158)
125.ID	1.784***
	(0.199)
126.ID	1.784***
	(0.199)
127.ID	-0.850***
	(0.199)
128.ID	0.0191
	(0.199)
129.ID	1.784***
	(0.199)
130.ID	-0.196
	(0.199)
131.ID	0.0191
	(0.199)
132.ID	-0.850***
	(0.199)
133.ID	1.784***
	(0.199)
134.ID	0.696***
	(0.199)
135.ID	1.784***
	(0.199)
136.ID	1.784***
	(0.199)
137.ID	0.794
	(1.013)
138.ID	2.292***
	(0.199)
139.ID	-0.196
	(0.199)
140.ID	0.196
	(0.199)
142.ID	-0.196
	(0.199)
144.ID	-0.196
	(0.199)
145.ID	0.0191
	(0.199)
146.ID	2.038***
	(0.325)
147.ID	2.292***
	(0.199)
148.ID	1.784***
	(0.199)
149.ID	-0.660**
	(0.277)
150.ID	-0.196
	(0.199)
151.ID	0.0191
	(0.199)
152.ID	1.784***
	(0.199)
153.ID	1.784***
	(0.199)
154.ID	2.292***
	(0.199)
155.ID	-0.196
	(0.199)
156.ID	-0.196
	(0.199)
157.ID	1.784***
	(0.199)
158.ID	1.784***
	(0.199)
159.ID	0.0191
	(0.199)
160.ID	1.784***
	(0.199)
161.ID	2.070***
	(0.199)
163.ID	0.696***
	(0.199)
164.ID	-0.196
	(0.199)
165.ID	-0.196
	(0.199)
166.ID	1.784***
	(0.199)
167.ID	-0.196
	(0.199)
168.ID	1.784***
	(0.199)
169.ID	1.784***
	(0.199)
170.ID	0.0191
	(0.199)
171.ID	0.0191
	(0.199)
172.ID	-0.196
	(0.199)
173.ID	1.784***
	(0.199)
174.ID	1.784***
	(0.199)
175.ID	0.0191
	(0.199)
176.ID	-0.196
	(0.199)
177.ID	1.784***
	(0.199)
178.ID	-0.850***
	(0.199)
179.ID	-0.196
	(0.199)
180.ID	0.955***
	(0.199)
181.ID	-0.850***
	(0.199)
182.ID	-0.196
	(0.199)
183.ID	0.0191
	(0.199)
184.ID	-0.196
	(0.199)
185.ID	1.156
	(1.158)
186.ID	1.381***
	(0.199)
187.ID	2.292***
	(0.199)
188.ID	1.784***
	(0.199)
189.ID	0.0191
	(0.199)
190.ID	-0.196
	(0.199)
191.ID	0.0191
	(0.199)
192.ID	-0.196
	(0.199)
194.ID	1.784***
	(0.199)
196.ID	-0.196
	(0.199)
197.ID	1.784***
	(0.199)
198.ID	-0.196
	(0.199)
199.ID	-0.196
	(0.199)
200.ID	1.784***
	(0.199)
201.ID	-0.196
	(0.199)
202.ID	1.784***
	(0.199)
203.ID	2.292***
	(0.199)
204.ID	2.292***
	(0.199)
205.ID	1.784***
	(0.199)
206.ID	-0.196
	(0.199)
207.ID	-0.196
	(0.199)
208.ID	-0.196
	(0.199)
209.ID	2.292***
	(0.199)
210.ID	-0.196
	(0.199)
212.ID	-0.196
	(0.199)
213.ID	2.292***
	(0.199)
214.ID	0.794
	(1.008)
217.ID	1.784***
	(0.199)
218.ID	-0.196
	(0.199)
219.ID	0.0191
	(0.199)
220.ID	1.784***
	(0.199)
221.ID	1.784***
	(0.199)
222.ID	2.292***
	(0.199)
223.ID	0.0191
	(0.199)
224.ID	2.038***
	(0.321)
225.ID	1.784***
	(0.199)
226.ID	-0.470**
	(0.199)
227.ID	1.784***
	(0.199)
228.ID	2.292***
	(0.199)
229.ID	1.784***
	(0.199)
230.ID	1.784***
	(0.199)
231.ID	0.901
	(0.908)
232.ID	-0.196
	(0.199)
233.ID	0.0191
	(0.199)
234.ID	1.784***
	(0.199)
236.ID	2.292***
	(0.199)
237.ID	1.784***
	(0.199)
238.ID	1.784***
	(0.199)
239.ID	1.133
	(0.962)
240.ID	1.784***
	(0.199)
241.ID	1.784***
	(0.199)
242.ID	-0.196
	(0.199)
243.ID	1.381***
	(0.199)
244.ID	1.927***
	(0.244)
245.ID	-0.196
	(0.199)
246.ID	1.784***
	(0.199)
247.ID	1.784***
	(0.199)
248.ID	0.196
	(0.199)
249.ID	-0.196
	(0.199)
250.ID	2.292***
	(0.199)
251.ID	-0.196
	(0.199)
252.ID	0.0191
	(0.199)
253.ID	-0.196
	(0.199)
254.ID	-0.196
	(0.199)
255.ID	2.292***
	(0.199)
256.ID	1.784***
	(0.199)
257.ID	1.784***
	(0.199)
258.ID	-0.196
	(0.199)
259.ID	1.784***
	(0.199)
260.ID	1.784***
	(0.199)
261.ID	-0.850***
	(0.199)
263.ID	-0.196
	(0.199)
264.ID	2.292***
	(0.199)
266.ID	1.784***
	(0.199)
267.ID	0.0191
	(0.199)
268.ID	1.784***
	(0.199)
269.ID	1.784***
	(0.199)
270.ID	1.784***
	(0.199)
271.ID	-0.196
	(0.199)
272.ID	2.292***
	(0.199)
274.ID	-0.196
	(0.199)
275.ID	0.0191
	(0.199)
276.ID	1.381***
	(0.199)
277.ID	1.784***
	(0.199)
278.ID	-0.642***
	(0.199)
279.ID	0.0191
	(0.199)
280.ID	1.784***
	(0.199)
281.ID	1.784***
	(0.199)
282.ID	-0.333
	(0.240)
283.ID	-0.196
	(0.199)
284.ID	-0.196
	(0.199)
285.ID	-0.196
	(0.199)
286.ID	-0.196
	(0.199)
288.ID	1.784***
	(0.199)
289.ID	1.784***
	(0.199)
290.ID	1.784***
	(0.199)
291.ID	-0.196
	(0.199)
292.ID	2.070***
	(0.199)
293.ID	-0.196
	(0.199)
294.ID	0.196
	(0.199)
295.ID	0.794
	(1.013)
296.ID	0.477**
	(0.199)
297.ID	1.784***
	(0.199)
298.ID	1.784***
	(0.199)
299.ID	2.292***
	(0.199)
300.ID	0.0191
	(0.199)
301.ID	-0.196
	(0.199)
302.ID	2.292***
	(0.199)
303.ID	0.477**
	(0.199)
304.ID	2.292***
	(0.199)
305.ID	1.784***
	(0.199)
306.ID	0.196
	(0.199)
307.ID	0.0191
	(0.199)
308.ID	0.696***
	(0.199)
309.ID	0.0191
	(0.199)
310.ID	-0.196
	(0.199)
311.ID	-1.469***
	(0.199)
312.ID	1.784***
	(0.199)
313.ID	0.0191
	(0.199)
314.ID	0.990
	(0.816)
315.ID	-0.196
	(0.199)
316.ID	0.990
	(0.822)
317.ID	1.784***
	(0.199)
318.ID	1.784***
	(0.199)
319.ID	1.784***
	(0.199)
320.ID	0.0191
	(0.199)
321.ID	0.196
	(0.199)
322.ID	2.181***
	(0.230)
323.ID	0.0191
	(0.199)
324.ID	0.794
	(1.008)
325.ID	-0.196
	(0.199)
326.ID	1.784***
	(0.199)
327.ID	1.784***
	(0.199)
328.ID	1.784***
	(0.199)
329.ID	-0.196
	(0.199)
330.ID	2.070***
	(0.199)
331.ID	-0.196
	(0.199)
332.ID	1.784***
	(0.199)
333.ID	1.784***
	(0.199)
334.ID	-0.196
	(0.199)
335.ID	-0.196
	(0.199)
336.ID	1.715***
	(0.199)
337.ID	-0.196
	(0.199)
338.ID	1.784***
	(0.199)
339.ID	1.784***
	(0.199)
340.ID	2.292***
	(0.199)
341.ID	0.0191
	(0.199)
342.ID	-0.196
	(0.199)
343.ID	1.784***
	(0.199)
344.ID	0.0191
	(0.199)
345.ID	2.038***
	(0.325)
346.ID	-1.469***
	(0.199)
347.ID	0.196
	(0.199)
348.ID	-0.196
	(0.199)
349.ID	-1.469***
	(0.199)
350.ID	-0.196
	(0.199)
352.ID	1.784***
	(0.199)
353.ID	1.381***
	(0.199)
354.ID	-0.196
	(0.199)
355.ID	0.196
	(0.199)
356.ID	0.0191
	(0.199)
357.ID	1.784***
	(0.199)
358.ID	-0.196
	(0.199)
359.ID	1.784***
	(0.199)
361.ID	-0.196
	(0.199)
364.ID	2.070***
	(0.199)
365.ID	-0.196
	(0.199)
366.ID	2.181***
	(0.230)
369.ID	1.784***
	(0.199)
370.ID	1.784***
	(0.199)
372.ID	1.784***
	(0.199)
373.ID	-0.196
	(0.199)
374.ID	1.784***
	(0.199)
375.ID	-0.196
	(0.199)
377.ID	1.784***
	(0.199)
378.ID	-0.196
	(0.199)
379.ID	-0.0885
	(0.225)
381.ID	-0.196
	(0.199)
382.ID	-1.469***
	(0.199)
383.ID	-0.196
	(0.199)
385.ID	1.784***
	(0.199)
386.ID	-0.850***
	(0.199)
387.ID	-0.196
	(0.199)
388.ID	0.108
	(0.219)
389.ID	1.784***
	(0.199)
390.ID	2.038***
	(0.321)
391.ID	-0.196
	(0.199)
393.ID	1.784***
	(0.199)
394.ID	1.784***
	(0.199)
395.ID	1.784***
	(0.199)
396.ID	1.784***
	(0.199)
397.ID	-0.196
	(0.199)
398.ID	-0.850***
	(0.199)
399.ID	0.0191
	(0.199)
400.ID	1.784***
	(0.199)
401.ID	0.696***
	(0.199)
402.ID	-0.196
	(0.199)
403.ID	-0.196
	(0.199)
404.ID	0.196
	(0.199)
405.ID	-0.196
	(0.199)
406.ID	1.381***
	(0.199)
407.ID	1.784***
	(0.199)
408.ID	2.292***
	(0.199)
409.ID	-0.850***
	(0.199)
410.ID	-0.196
	(0.199)
411.ID	-0.470**
	(0.199)
412.ID	1.784***
	(0.199)
413.ID	0.196
	(0.199)
414.ID	-0.196
	(0.199)
415.ID	-0.196
	(0.199)
416.ID	0.0191
	(0.199)
417.ID	-0.850***
	(0.199)
418.ID	-0.196
	(0.199)
419.ID	-0.196
	(0.199)
420.ID	0.0191
	(0.199)
421.ID	-0.196
	(0.199)
423.ID	1.784***
	(0.199)
424.ID	1.784***
	(0.199)
425.ID	1.784***
	(0.199)
426.ID	-0.196
	(0.199)
428.ID	-0.196
	(0.199)
429.ID	-0.196
	(0.199)
430.ID	2.292***
	(0.199)
431.ID	0.0191
	(0.199)
432.ID	1.784***
	(0.199)
433.ID	-0.196
	(0.199)
434.ID	-0.196
	(0.199)
435.ID	2.292***
	(0.199)
436.ID	0.0191
	(0.199)
437.ID	-0.660**
	(0.277)
438.ID	1.784***
	(0.199)
439.ID	1.784***
	(0.199)
440.ID	0.0191
	(0.199)
441.ID	1.784***
	(0.199)
442.ID	1.276***
	(0.199)
445.ID	-0.196
	(0.199)
446.ID	1.784***
	(0.199)
447.ID	0.696***
	(0.199)
448.ID	1.784***
	(0.199)
449.ID	1.784***
	(0.199)
450.ID	-0.196
	(0.199)
451.ID	1.784***
	(0.199)
452.ID	0.0191
	(0.199)
453.ID	2.292***
	(0.199)
454.ID	0.0191
	(0.199)
455.ID	1.784***
	(0.199)
456.ID	-0.850***
	(0.199)
457.ID	2.292***
	(0.199)
458.ID	2.292***
	(0.199)
459.ID	0.0191
	(0.199)
460.ID	-0.196
	(0.199)
461.ID	2.292***
	(0.199)
462.ID	1.784***
	(0.199)
464.ID	1.784***
	(0.199)
465.ID	0.696***
	(0.199)
466.ID	1.784***
	(0.199)
467.ID	1.784***
	(0.199)
468.ID	2.292***
	(0.199)
469.ID	-0.196
	(0.199)
470.ID	1.784***
	(0.199)
471.ID	2.292***
	(0.199)
472.ID	2.292***
	(0.199)
473.ID	1.784***
	(0.199)
474.ID	1.784***
	(0.199)
475.ID	-0.196
	(0.199)
476.ID	1.784***
	(0.199)
477.ID	2.070***
	(0.199)
478.ID	2.292***
	(0.199)
479.ID	1.784***
	(0.199)
480.ID	0.696***
	(0.199)
481.ID	1.784***
	(0.199)
482.ID	2.292***
	(0.199)
483.ID	-0.850***
	(0.199)
484.ID	2.070***
	(0.199)
485.ID	2.292***
	(0.199)
486.ID	-0.196
	(0.199)
488.ID	2.292***
	(0.199)
490.ID	-0.196
	(0.199)
491.ID	-1.469***
	(0.199)
493.ID	-0.196
	(0.199)
494.ID	1.784***
	(0.199)
495.ID	2.292***
	(0.199)
497.ID	0.0191
	(0.199)
498.ID	2.292***
	(0.199)
