	(1)
VARIABLES	llm_刑期
	
1.treated	0.409
	(1.070)
2.treated	1.942
	(1.325)
1.ID	8***
	(0)
2.ID	152***
	(0)
3.ID	-4***
	(0)
4.ID	108***
	(0)
5.ID	2***
	(0)
6.ID	-4***
	(0)
7.ID	100***
	(0)
8.ID	2***
	(0)
9.ID	-4***
	(0)
10.ID	272***
	(0)
12.ID	272***
	(0)
14.ID	192***
	(0)
15.ID	48***
	(0)
16.ID	152***
	(0)
17.ID	-4***
	(0)
18.ID	68***
	(0)
19.ID	2***
	(0)
20.ID	152***
	(0)
22.ID	8***
	(0)
23.ID	152***
	(0)
24.ID	152***
	(0)
25.ID	2***
	(0)
26.ID	-16***
	(0)
27.ID	-4***
	(0)
28.ID	-4***
	(0)
29.ID	-4***
	(0)
30.ID	-4***
	(0)
31.ID	44***
	(0)
32.ID	152***
	(0)
33.ID	-4***
	(0)
34.ID	152***
	(0)
35.ID	-4***
	(0)
36.ID	-4***
	(0)
37.ID	-4***
	(0)
38.ID	-4***
	(0)
39.ID	152***
	(0)
40.ID	152***
	(0)
41.ID	8***
	(0)
42.ID	272***
	(0)
43.ID	-4***
	(0)
46.ID	2***
	(0)
47.ID	-10***
	(0)
48.ID	100***
	(0)
49.ID	152***
	(0)
50.ID	152***
	(0)
51.ID	-4***
	(0)
52.ID	2***
	(0)
53.ID	152***
	(0)
54.ID	-4***
	(0)
55.ID	-4***
	(0)
56.ID	152***
	(0)
57.ID	-4***
	(0)
58.ID	152***
	(0)
59.ID	20***
	(0)
60.ID	-4***
	(0)
61.ID	-4***
	(0)
62.ID	2***
	(0)
63.ID	-4***
	(0)
64.ID	192***
	(0)
65.ID	-4***
	(0)
66.ID	2***
	(0)
67.ID	152***
	(0)
68.ID	92***
	(0)
69.ID	0
	(0)
70.ID	232***
	(0)
71.ID	272***
	(0)
72.ID	182***
	(0)
73.ID	-4***
	(0)
74.ID	192***
	(0)
76.ID	-4***
	(0)
77.ID	2***
	(0)
78.ID	-4***
	(0)
79.ID	-4***
	(0)
80.ID	152***
	(0)
81.ID	-4***
	(0)
82.ID	8***
	(0)
83.ID	2***
	(0)
84.ID	172***
	(0)
85.ID	152***
	(0)
86.ID	152***
	(0)
87.ID	152***
	(0)
88.ID	272***
	(0)
89.ID	-4***
	(0)
90.ID	-4***
	(0)
91.ID	68***
	(0)
92.ID	-16***
	(0)
93.ID	8***
	(0)
94.ID	-4***
	(0)
95.ID	272***
	(0)
96.ID	-4***
	(0)
97.ID	-19***
	(0)
98.ID	32***
	(0)
99.ID	-4***
	(0)
100.ID	2***
	(0)
101.ID	-4***
	(0)
102.ID	-16***
	(0)
103.ID	-4***
	(0)
104.ID	-4***
	(0)
105.ID	-4***
	(0)
106.ID	272***
	(0)
107.ID	272***
	(0)
108.ID	272***
	(0)
109.ID	2***
	(0)
110.ID	-16***
	(0)
111.ID	-16***
	(0)
112.ID	152***
	(0)
113.ID	-4***
	(0)
114.ID	152***
	(0)
115.ID	152***
	(0)
116.ID	2***
	(0)
117.ID	152***
	(0)
118.ID	152***
	(0)
119.ID	272***
	(0)
120.ID	56***
	(0)
121.ID	152***
	(0)
122.ID	272***
	(0)
123.ID	272***
	(0)
125.ID	152***
	(0)
126.ID	152***
	(0)
127.ID	-16***
	(0)
128.ID	2***
	(0)
129.ID	152***
	(0)
130.ID	-4***
	(0)
131.ID	2***
	(0)
132.ID	-16***
	(0)
133.ID	152***
	(0)
134.ID	32***
	(0)
135.ID	152***
	(0)
136.ID	100***
	(0)
137.ID	152***
	(0)
138.ID	272***
	(0)
139.ID	-4***
	(0)
140.ID	8***
	(0)
142.ID	-4***
	(0)
144.ID	-4***
	(0)
145.ID	2***
	(0)
146.ID	232***
	(0)
147.ID	272***
	(0)
148.ID	152***
	(0)
149.ID	-16***
	(0)
150.ID	-4***
	(0)
151.ID	2***
	(0)
152.ID	48***
	(0)
153.ID	152***
	(0)
154.ID	272***
	(0)
155.ID	-4***
	(0)
156.ID	-4***
	(0)
157.ID	152***
	(0)
158.ID	152***
	(0)
159.ID	2***
	(0)
160.ID	152***
	(0)
161.ID	212***
	(0)
163.ID	32***
	(0)
164.ID	-4***
	(0)
165.ID	-4***
	(0)
166.ID	152***
	(0)
167.ID	-4***
	(0)
168.ID	152***
	(0)
169.ID	100***
	(0)
170.ID	52***
	(0)
171.ID	2***
