	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00110
	(0.00958)
2.treated	0.0232**
	(0.0107)
1.ID	0.261*
	(0.135)
2.ID	1.849***
	(0.135)
3.ID	-0.131
	(0.135)
4.ID	1.413***
	(0.464)
5.ID	0.0844
	(0.135)
6.ID	-0.131
	(0.135)
7.ID	1.189*
	(0.682)
8.ID	0.0844
	(0.135)
9.ID	-0.131
	(0.135)
10.ID	2.358***
	(0.135)
12.ID	2.358***
	(0.135)
14.ID	2.018***
	(0.220)
15.ID	0.529
	(0.678)
16.ID	1.849***
	(0.135)
17.ID	-0.131
	(0.135)
18.ID	0.625
	(0.771)
19.ID	0.0844
	(0.135)
20.ID	1.849***
	(0.135)
22.ID	0.261*
	(0.135)
23.ID	1.849***
	(0.135)
24.ID	1.849***
	(0.135)
25.ID	0.0844
	(0.135)
26.ID	-0.785***
	(0.135)
27.ID	-0.131
	(0.135)
28.ID	-0.131
	(0.135)
29.ID	-0.131
	(0.135)
30.ID	-0.131
	(0.135)
31.ID	0.941***
	(0.135)
32.ID	1.849***
	(0.135)
33.ID	-0.131
	(0.135)
34.ID	1.849***
	(0.135)
35.ID	-0.131
	(0.135)
36.ID	-0.131
	(0.135)
37.ID	-0.131
	(0.135)
38.ID	-0.131
	(0.135)
39.ID	1.849***
	(0.135)
40.ID	1.849***
	(0.135)
41.ID	0.261*
	(0.135)
42.ID	2.358***
	(0.135)
43.ID	-0.131
	(0.135)
46.ID	0.0844
	(0.135)
47.ID	-0.405***
	(0.135)
48.ID	1.189*
	(0.682)
49.ID	1.849***
	(0.135)
50.ID	1.849***
	(0.135)
51.ID	-0.131
	(0.135)
52.ID	0.0844
	(0.135)
53.ID	1.849***
	(0.135)
54.ID	-0.131
	(0.135)
55.ID	-0.131
	(0.135)
56.ID	1.849***
	(0.135)
57.ID	-0.131
	(0.135)
58.ID	1.849***
	(0.135)
59.ID	0.542***
	(0.135)
60.ID	-0.131
	(0.135)
61.ID	-0.131
	(0.135)
62.ID	0.0844
	(0.135)
63.ID	-0.131
	(0.135)
64.ID	2.040***
	(0.163)
65.ID	-0.131
	(0.135)
66.ID	0.0844
	(0.135)
67.ID	1.849***
	(0.135)
68.ID	1.446***
	(0.135)
69.ID	0
	(0.191)
70.ID	2.209***
	(0.150)
71.ID	2.358***
	(0.135)
72.ID	1.600**
	(0.767)
73.ID	-0.131
	(0.135)
74.ID	2.018***
	(0.220)
76.ID	-0.131
	(0.135)
77.ID	0.0844
	(0.135)
78.ID	-0.131
	(0.135)
79.ID	-0.131
	(0.135)
80.ID	1.849***
	(0.135)
81.ID	-0.131
	(0.135)
82.ID	0.261*
	(0.135)
83.ID	0.0844
	(0.135)
84.ID	1.944***
	(0.161)
85.ID	1.849***
	(0.135)
86.ID	1.849***
	(0.135)
87.ID	1.849***
	(0.135)
88.ID	2.358***
	(0.135)
89.ID	-0.131
	(0.135)
90.ID	-0.131
	(0.135)
91.ID	1.225***
	(0.135)
92.ID	-0.785***
	(0.135)
93.ID	0.261*
	(0.135)
94.ID	-0.131
	(0.135)
95.ID	2.358***
	(0.135)
96.ID	-0.131
	(0.135)
97.ID	-1.047***
	(0.135)
98.ID	0.761***
	(0.135)
99.ID	-0.131
	(0.135)
100.ID	0.0844
	(0.135)
101.ID	-0.131
	(0.135)
102.ID	-0.785***
	(0.135)
103.ID	-0.131
	(0.135)
104.ID	-0.131
	(0.135)
105.ID	-0.131
	(0.135)
106.ID	2.358***
	(0.135)
107.ID	2.358***
	(0.135)
108.ID	2.358***
	(0.135)
109.ID	0.0844
	(0.135)
110.ID	-0.785***
	(0.135)
111.ID	-0.785***
	(0.135)
112.ID	1.849***
	(0.135)
113.ID	-0.131
	(0.135)
114.ID	1.849***
	(0.135)
115.ID	1.849***
	(0.135)
116.ID	0.0844
	(0.135)
117.ID	1.849***
	(0.135)
118.ID	1.849***
	(0.135)
119.ID	2.358***
	(0.135)
120.ID	1.093***
	(0.135)
121.ID	1.849***
	(0.135)
122.ID	2.358***
	(0.135)
123.ID	2.358***
	(0.135)
125.ID	1.849***
	(0.135)
126.ID	1.849***
	(0.135)
127.ID	-0.785***
	(0.135)
128.ID	0.0844
	(0.135)
129.ID	1.849***
	(0.135)
130.ID	-0.131
	(0.135)
131.ID	0.0844
	(0.135)
132.ID	-0.785***
	(0.135)
133.ID	1.849***
	(0.135)
134.ID	0.761***
	(0.135)
135.ID	1.849***
	(0.135)
136.ID	1.189*
	(0.670)
137.ID	1.849***
	(0.135)
138.ID	2.358***
	(0.135)
139.ID	-0.131
	(0.135)
140.ID	0.261*
	(0.135)
142.ID	-0.131
	(0.135)
144.ID	-0.131
	(0.135)
145.ID	0.0844
	(0.135)
146.ID	2.188***
	(0.223)
147.ID	2.358***
	(0.135)
148.ID	1.849***
	(0.135)
149.ID	-0.785***
	(0.135)
150.ID	-0.131
	(0.135)
151.ID	0.0844
	(0.135)
152.ID	0.529
	(0.666)
153.ID	1.849***
	(0.135)
154.ID	2.358***
	(0.135)
155.ID	-0.131
	(0.135)
156.ID	-0.131
	(0.135)
157.ID	1.849***
	(0.135)
158.ID	1.849***
	(0.135)
159.ID	0.0844
	(0.135)
160.ID	1.849***
	(0.135)
161.ID	2.135***
	(0.135)
163.ID	0.761***
	(0.135)
164.ID	-0.131
	(0.135)
165.ID	-0.131
	(0.135)
166.ID	1.849***
	(0.135)
167.ID	-0.131
	(0.135)
168.ID	1.849***
	(0.135)
169.ID	1.189*
	(0.670)
170.ID	0.673
	(0.596)
171.ID	0.0844
	(0.135)
172.ID	-0.131
	(0.135)
173.ID	1.849***
	(0.135)
174.ID	1.849***
	(0.135)
175.ID	0.0844
	(0.135)
176.ID	-0.131
	(0.135)
177.ID	1.849***
	(0.135)
178.ID	-0.785***
	(0.135)
179.ID	1.189*
	(0.670)
180.ID	1.020***
	(0.135)
181.ID	-0.785***
	(0.135)
182.ID	-0.131
	(0.135)
183.ID	0.0844
	(0.135)
184.ID	-0.131
	(0.135)
185.ID	0.842
	(0.774)
186.ID	1.446***
	(0.135)
187.ID	2.358***
	(0.135)
188.ID	1.849***
	(0.135)
189.ID	0.0844
	(0.135)
190.ID	-0.131
	(0.135)
191.ID	0.0844
	(0.135)
192.ID	-0.131
	(0.135)
194.ID	1.849***
	(0.135)
196.ID	-0.131
	(0.135)
197.ID	1.849***
	(0.135)
198.ID	-0.131
	(0.135)
199.ID	-0.131
	(0.135)
200.ID	2.018***
	(0.220)
201.ID	-0.131
	(0.135)
202.ID	1.849***
	(0.135)
203.ID	2.358***
	(0.135)
204.ID	2.358***
	(0.135)
205.ID	1.849***
	(0.135)
206.ID	-0.131
	(0.135)
207.ID	-0.131
	(0.135)
208.ID	-0.131
	(0.135)
209.ID	2.358***
	(0.135)
210.ID	-0.131
	(0.135)
212.ID	-0.131
	(0.135)
213.ID	2.358***
	(0.135)
214.ID	-0.131
	(0.135)
217.ID	1.849***
	(0.135)
218.ID	-0.131
	(0.135)
219.ID	0.0844
	(0.135)
220.ID	1.849***
	(0.135)
221.ID	1.849***
	(0.135)
222.ID	2.358***
	(0.135)
223.ID	0.0844
	(0.135)
224.ID	2.358***
	(0.135)
225.ID	1.849***
	(0.135)
226.ID	-0.405***
	(0.135)
227.ID	1.849***
	(0.135)
228.ID	2.358***
	(0.135)
229.ID	1.849***
	(0.135)
230.ID	1.849***
	(0.135)
231.ID	1.849***
	(0.135)
232.ID	-0.131
	(0.135)
233.ID	0.0844
	(0.135)
234.ID	1.849***
	(0.135)
235.ID	0.761***
	(0.135)
236.ID	2.283***
	(0.152)
237.ID	1.849***
	(0.135)
238.ID	1.849***
	(0.135)
239.ID	2.040***
	(0.163)
240.ID	1.849***
	(0.135)
241.ID	1.849***
	(0.135)
242.ID	-0.131
	(0.135)
243.ID	1.446***
	(0.135)
244.ID	1.944***
	(0.161)
245.ID	-0.131
	(0.135)
246.ID	1.849***
	(0.135)
247.ID	1.849***
	(0.135)
248.ID	0.261*
	(0.135)
249.ID	-0.131
	(0.135)
250.ID	2.358***
	(0.135)
251.ID	-0.131
	(0.135)
252.ID	0.0844
	(0.135)
253.ID	-0.131
	(0.135)
254.ID	-0.131
	(0.135)
255.ID	2.358***
	(0.135)
256.ID	1.849***
	(0.135)
257.ID	1.849***
	(0.135)
258.ID	-0.131
	(0.135)
259.ID	1.849***
	(0.135)
260.ID	1.849***
	(0.135)
261.ID	-0.785***
	(0.135)
263.ID	-0.131
	(0.135)
264.ID	2.358***
	(0.135)
266.ID	1.849***
	(0.135)
267.ID	-0.412
	(0.511)
268.ID	1.849***
	(0.135)
269.ID	-0.131
	(0.135)
270.ID	1.849***
	(0.135)
271.ID	-0.131
	(0.135)
272.ID	2.358***
	(0.135)
274.ID	-0.131
	(0.135)
275.ID	0.0844
	(0.135)
276.ID	1.446***
	(0.135)
277.ID	1.849***
	(0.135)
278.ID	-0.577***
	(0.135)
279.ID	0.0844
	(0.135)
280.ID	1.849***
	(0.135)
281.ID	1.849***
	(0.135)
282.ID	-0.131
	(0.135)
283.ID	-0.131
	(0.135)
284.ID	-0.131
	(0.135)
285.ID	-0.131
	(0.135)
286.ID	-0.131
	(0.135)
288.ID	1.849***
	(0.135)
289.ID	1.849***
	(0.135)
290.ID	1.849***
	(0.135)
291.ID	-0.131
	(0.135)
292.ID	2.040***
	(0.170)
293.ID	-0.131
	(0.135)
294.ID	0.261*
	(0.135)
295.ID	-0.131
	(0.135)
296.ID	0.542***
	(0.135)
297.ID	1.849***
	(0.135)
298.ID	1.849***
	(0.135)
299.ID	2.358***
	(0.135)
300.ID	0.673
	(0.596)
301.ID	-0.131
	(0.135)
302.ID	1.600**
	(0.766)
303.ID	0.542***
	(0.135)
304.ID	2.358***
	(0.135)
305.ID	1.849***
	(0.135)
306.ID	0.261*
	(0.135)
307.ID	0.0844
	(0.135)
308.ID	0.761***
	(0.135)
309.ID	0.0844
	(0.135)
310.ID	-0.131
	(0.135)
311.ID	-1.404***
	(0.135)
312.ID	1.849***
	(0.135)
313.ID	0.0127
	(0.156)
314.ID	0
	(0.182)
315.ID	-0.131
	(0.135)
316.ID	0.246*
	(0.135)
317.ID	1.849***
	(0.135)
318.ID	1.849***
	(0.135)
319.ID	1.849***
	(0.135)
320.ID	0.0844
	(0.135)
321.ID	0.261*
	(0.135)
322.ID	2.135***
	(0.135)
323.ID	0.0844
	(0.135)
324.ID	1.849***
	(0.135)
325.ID	-0.131
	(0.135)
326.ID	1.849***
	(0.135)
327.ID	1.849***
	(0.135)
328.ID	1.849***
	(0.135)
329.ID	-0.131
	(0.135)
330.ID	2.135***
	(0.135)
331.ID	-0.131
	(0.135)
332.ID	1.849***
	(0.135)
333.ID	1.849***
	(0.135)
334.ID	-0.131
	(0.135)
335.ID	-0.131
	(0.135)
336.ID	1.780***
	(0.135)
337.ID	-0.131
	(0.135)
338.ID	1.849***
	(0.135)
339.ID	1.849***
	(0.135)
340.ID	2.358***
	(0.135)
341.ID	0.0844
	(0.135)
342.ID	-0.131
	(0.135)
343.ID	1.849***
	(0.135)
344.ID	0.0844
	(0.135)
345.ID	1.849***
	(0.135)
346.ID	-1.404***
	(0.135)
347.ID	0.261*
	(0.135)
348.ID	-0.131
	(0.135)
349.ID	-0.113
	(0.999)
350.ID	-0.131
	(0.135)
352.ID	1.849***
	(0.135)
353.ID	1.446***
	(0.135)
354.ID	-0.131
	(0.135)
355.ID	0.261*
	(0.135)
356.ID	0.0844
	(0.135)
357.ID	1.849***
	(0.135)
358.ID	-0.131
	(0.135)
359.ID	1.849***
	(0.135)
361.ID	-0.131
	(0.135)
364.ID	2.135***
	(0.135)
365.ID	-0.131
	(0.135)
366.ID	2.135***
	(0.135)
369.ID	1.849***
	(0.135)
370.ID	1.849***
	(0.135)
372.ID	1.849***
	(0.135)
373.ID	-0.131
	(0.135)
374.ID	1.849***
	(0.135)
375.ID	-0.131
	(0.135)
377.ID	0.529
	(0.666)
378.ID	-0.131
	(0.135)
379.ID	0.0844
	(0.135)
381.ID	-0.131
	(0.135)
382.ID	-1.404***
	(0.135)
383.ID	-0.131
	(0.135)
385.ID	1.849***
	(0.135)
386.ID	-0.785***
	(0.135)
387.ID	-0.131
	(0.135)
388.ID	0.0844
	(0.135)
389.ID	1.849***
	(0.135)
390.ID	2.358***
	(0.135)
391.ID	-0.131
	(0.135)
393.ID	1.849***
	(0.135)
394.ID	1.849***
	(0.135)
395.ID	1.849***
	(0.135)
396.ID	1.849***
	(0.135)
397.ID	-0.131
	(0.135)
398.ID	-0.785***
	(0.135)
399.ID	0.0127
	(0.151)
400.ID	-0.131
	(0.135)
401.ID	0.761***
	(0.135)
402.ID	-0.131
	(0.135)
403.ID	-0.131
	(0.135)
404.ID	0.261*
	(0.135)
405.ID	-0.131
	(0.135)
406.ID	1.446***
	(0.135)
407.ID	1.849***
	(0.135)
408.ID	2.358***
	(0.135)
409.ID	-0.785***
	(0.135)
410.ID	-0.131
	(0.135)
411.ID	-0.405***
	(0.135)
412.ID	1.849***
	(0.135)
413.ID	0.261*
	(0.135)
414.ID	-0.131
	(0.135)
415.ID	-0.131
	(0.135)
416.ID	0.0844
	(0.135)
417.ID	-0.785***
	(0.135)
418.ID	-0.131
	(0.135)
419.ID	-0.131
	(0.135)
420.ID	0.0844
	(0.135)
421.ID	-0.131
	(0.135)
423.ID	1.849***
	(0.135)
424.ID	1.849***
	(0.135)
425.ID	1.849***
	(0.135)
426.ID	-0.131
	(0.135)
428.ID	-0.131
	(0.135)
429.ID	-0.131
	(0.135)
430.ID	2.358***
	(0.135)
431.ID	0.0844
	(0.135)
432.ID	1.849***
	(0.135)
433.ID	-0.131
	(0.135)
434.ID	-0.131
	(0.135)
435.ID	2.358***
	(0.135)
436.ID	0.0844
	(0.135)
437.ID	-0.532***
	(0.182)
438.ID	1.849***
	(0.135)
439.ID	1.849***
	(0.135)
440.ID	0.0127
	(0.156)
441.ID	1.849***
	(0.135)
442.ID	1.342***
	(0.135)
445.ID	-0.131
	(0.135)
446.ID	1.849***
	(0.135)
447.ID	0.761***
	(0.135)
448.ID	0.261*
	(0.135)
449.ID	1.849***
	(0.135)
450.ID	-0.131
	(0.135)
451.ID	1.849***
	(0.135)
452.ID	0.0844
	(0.135)
453.ID	2.358***
	(0.135)
454.ID	0.0844
	(0.135)
455.ID	1.849***
	(0.135)
456.ID	-1.404***
	(0.135)
457.ID	2.358***
	(0.135)
458.ID	2.358***
	(0.135)
459.ID	0.0844
	(0.135)
460.ID	-0.131
	(0.135)
461.ID	2.358***
	(0.135)
462.ID	1.849***
	(0.135)
464.ID	1.849***
	(0.135)
465.ID	0.761***
	(0.135)
466.ID	1.849***
	(0.135)
467.ID	1.849***
	(0.135)
468.ID	2.188***
	(0.223)
469.ID	-0.131
	(0.135)
470.ID	1.849***
	(0.135)
471.ID	2.358***
	(0.135)
472.ID	2.358***
	(0.135)
473.ID	1.849***
	(0.135)
474.ID	1.849***
	(0.135)
475.ID	-0.131
	(0.135)
476.ID	1.849***
	(0.135)
477.ID	2.135***
	(0.135)
478.ID	2.358***
	(0.135)
479.ID	1.849***
	(0.135)
480.ID	0.761***
	(0.135)
481.ID	1.849***
	(0.135)
483.ID	-0.785***
	(0.135)
484.ID	2.135***
	(0.135)
485.ID	2.358***
	(0.135)
486.ID	-0.131
	(0.135)
488.ID	2.358***
	(0.135)
489.ID	-0.405***
	(0.135)
490.ID	-0.131
	(0.135)
493.ID	-0.131
	(0.135)
494.ID	1.849***
	(0.135)
495.ID	2.018***
	(0.210)
497.ID	0.0844
	(0.135)
