	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00212
	(0.00771)
1.ID	-1.588***
	(0.00150)
2.ID	-0
	(0.00150)
3.ID	-1.980***
	(0.00150)
4.ID	-0
	(0.00150)
5.ID	-1.765***
	(0.00150)
6.ID	-1.980***
	(0.00150)
7.ID	-0
	(0.00150)
8.ID	-1.872***
	(0.109)
9.ID	-1.980***
	(0.00150)
10.ID	0.509***
	(0.00150)
12.ID	-1.765***
	(0.00150)
14.ID	-0
	(0.00150)
15.ID	-1.980***
	(0.00150)
16.ID	-0
	(0.00150)
17.ID	-0
	(0.00150)
18.ID	-1.980***
	(0.00150)
19.ID	-1.765***
	(0.00150)
20.ID	-0
	(0.00150)
21.ID	-1.765***
	(0.00150)
22.ID	-1.588***
	(0.00150)
23.ID	-0
	(0.00150)
24.ID	-0
	(0.00150)
25.ID	-1.765***
	(0.00150)
26.ID	-2.634***
	(0.00150)
27.ID	-1.980***
	(0.00150)
28.ID	-2.117***
	(0.136)
29.ID	-1.980***
	(0.00150)
30.ID	-1.980***
	(0.00150)
31.ID	-0.908***
	(0.00150)
32.ID	-0
	(0.00150)
33.ID	-0
	(0.00150)
34.ID	-0
	(0.00150)
35.ID	-1.980***
	(0.00150)
36.ID	-1.980***
	(0.00150)
37.ID	-1.980***
	(0.00150)
38.ID	-1.980***
	(0.00150)
39.ID	-0
	(0.00150)
40.ID	-0
	(0.00150)
41.ID	-1.588***
	(0.00150)
42.ID	-0
	(0.00150)
43.ID	-1.980***
	(0.00150)
46.ID	-1.765***
	(0.00150)
47.ID	-2.753***
	(0.501)
48.ID	-0
	(0.00150)
49.ID	-0
	(0.00150)
50.ID	-0
	(0.00150)
51.ID	-1.980***
	(0.00150)
52.ID	-1.765***
	(0.00150)
53.ID	0.254
	(0.256)
54.ID	-1.980***
	(0.00150)
55.ID	-1.980***
	(0.00150)
56.ID	-0
	(0.00150)
57.ID	-1.980***
	(0.00150)
58.ID	-0
	(0.00150)
59.ID	-0.653
	(0.653)
60.ID	-1.980***
	(0.00150)
61.ID	-1.980***
	(0.00150)
62.ID	-1.765***
	(0.00150)
63.ID	-1.980***
	(0.00150)
64.ID	-0
	(0.00150)
65.ID	-1.980***
	(0.00150)
66.ID	-1.765***
	(0.00150)
67.ID	-0
	(0.00150)
68.ID	-0.403***
	(0.00150)
69.ID	-1.980***
	(0.00150)
70.ID	0.509***
	(0.00150)
71.ID	0.509***
	(0.00150)
72.ID	0.509***
	(0.00150)
73.ID	-1.980***
	(0.00150)
74.ID	-0
	(0.00150)
76.ID	-1.980***
	(0.00150)
77.ID	-1.765***
	(0.00150)
78.ID	-1.980***
	(0.00150)
79.ID	-1.980***
	(0.00150)
80.ID	-0
	(0.00150)
81.ID	-1.980***
	(0.00150)
82.ID	-1.588***
	(0.00150)
83.ID	-1.765***
	(0.00150)
84.ID	-0
	(0.00150)
85.ID	-0
	(0.00150)
86.ID	-0
	(0.00150)
87.ID	-0
	(0.00150)
88.ID	0.509***
	(0.00150)
89.ID	-1.980***
	(0.00150)
90.ID	-1.980***
	(0.00150)
91.ID	-0.624***
	(0.00150)
92.ID	-2.634***
	(0.00150)
93.ID	-1.588***
	(0.00150)
94.ID	-1.980***
	(0.00150)
95.ID	0.509***
	(0.00150)
96.ID	-1.980***
	(0.00150)
97.ID	-2.896***
	(0.00150)
98.ID	-1.088***
	(0.00150)
99.ID	-1.765***
	(0.00150)
100.ID	-1.765***
	(0.00150)
101.ID	-1.980***
	(0.00150)
102.ID	-2.634***
	(0.00150)
103.ID	-1.980***
	(0.00150)
104.ID	-1.980***
	(0.00150)
105.ID	-1.980***
	(0.00150)
106.ID	0.509***
	(0.00150)
107.ID	0.509***
	(0.00150)
108.ID	0.254
	(0.256)
109.ID	-0.882
	(0.882)
110.ID	-2.634***
	(0.00150)
111.ID	-2.634***
	(0.00150)
112.ID	-0
	(0.00150)
113.ID	-1.980***
	(0.00150)
114.ID	-0
	(0.00150)
115.ID	-0
	(0.00150)
116.ID	-1.588***
	(0.00150)
117.ID	-0
	(0.00150)
118.ID	-0
	(0.00150)
119.ID	0.509***
	(0.00150)
120.ID	-0.756***
	(0.00150)
121.ID	-0
	(0.00150)
122.ID	0.509***
	(0.00150)
123.ID	0.509***
	(0.00150)
125.ID	-0
	(0.00150)
126.ID	-0
	(0.00150)
127.ID	-2.634***
	(0.00150)
128.ID	-1.765***
	(0.00150)
129.ID	-0
	(0.00150)
130.ID	-1.980***
	(0.00150)
131.ID	-1.676***
	(0.0875)
132.ID	-2.634***
	(0.00150)
133.ID	-0
	(0.00150)
134.ID	-1.088***
	(0.00150)
135.ID	-0
	(0.00150)
136.ID	-1.980***
	(0.00150)
137.ID	-0
	(0.00150)
138.ID	0.509***
	(0.00150)
139.ID	-1.980***
	(0.00150)
140.ID	-1.588***
	(0.00150)
142.ID	-1.980***
	(0.00150)
144.ID	-1.980***
	(0.00150)
145.ID	-1.765***
	(0.00150)
146.ID	-0
	(0.00150)
147.ID	0.509***
	(0.00150)
148.ID	-0
	(0.00150)
149.ID	-2.634***
	(0.00150)
150.ID	-1.980***
	(0.00150)
151.ID	-1.765***
	(0.00150)
152.ID	-0
	(0.00150)
153.ID	-0
	(0.00150)
154.ID	-0
	(0.00150)
155.ID	-1.980***
	(0.00150)
156.ID	-1.980***
	(0.00150)
157.ID	-0
	(0.00150)
158.ID	-0
	(0.00150)
159.ID	-1.765***
	(0.00150)
160.ID	-0
	(0.00150)
161.ID	0.286***
	(0.00150)
163.ID	-1.088***
	(0.00150)
164.ID	-1.980***
	(0.00150)
165.ID	-1.980***
	(0.00150)
166.ID	-0
	(0.00150)
167.ID	-1.980***
	(0.00150)
168.ID	-0
	(0.00150)
169.ID	-0
	(0.00150)
170.ID	-1.765***
	(0.00150)
171.ID	-1.765***
	(0.00150)
172.ID	-1.980***
	(0.00150)
173.ID	-0
	(0.00150)
174.ID	-0
	(0.00150)
175.ID	-1.765***
	(0.00150)
176.ID	-1.980***
	(0.00150)
177.ID	-0
	(0.00150)
178.ID	-2.634***
	(0.00150)
179.ID	-0
	(0.00150)
180.ID	-0.829***
	(0.00150)
181.ID	-2.943***
	(0.309)
182.ID	-1.980***
	(0.00150)
183.ID	-1.765***
	(0.00150)
184.ID	-1.980***
	(0.00150)
185.ID	0.509***
	(0.00150)
186.ID	-0.403***
	(0.00150)
187.ID	0.509***
	(0.00150)
188.ID	-0
	(0.00150)
189.ID	-1.872***
	(0.107)
190.ID	-1.980***
	(0.00150)
191.ID	-1.765***
	(0.00150)
192.ID	-1.980***
	(0.00150)
194.ID	-0
	(0.00150)
196.ID	-1.980***
	(0.00150)
197.ID	-0
	(0.00150)
198.ID	-1.980***
	(0.00150)
199.ID	-2.117***
	(0.138)
200.ID	-0
	(0.00150)
201.ID	-1.980***
	(0.00150)
202.ID	-0
	(0.00150)
203.ID	0.509***
	(0.00150)
204.ID	0.509***
	(0.00150)
205.ID	-0
	(0.00150)
206.ID	-1.980***
	(0.00150)
207.ID	-1.980***
	(0.00150)
208.ID	-1.980***
	(0.00150)
209.ID	0.509***
	(0.00150)
210.ID	-1.980***
	(0.00150)
212.ID	-1.980***
	(0.00150)
213.ID	0.509***
	(0.00150)
214.ID	-1.980***
	(0.00150)
217.ID	-0
	(0.00150)
218.ID	-1.980***
	(0.00150)
219.ID	-1.765***
	(0.00150)
220.ID	-0
	(0.00150)
221.ID	-0
	(0.00150)
222.ID	0.509***
	(0.00150)
223.ID	0.509***
	(0.00150)
224.ID	-0
	(0.00150)
225.ID	-0
	(0.00150)
226.ID	-2.254***
	(0.00150)
227.ID	-0
	(0.00150)
228.ID	0.509***
	(0.00150)
229.ID	-0
	(0.00150)
230.ID	-0
	(0.00150)
231.ID	-0.882
	(0.884)
232.ID	-0.990
	(0.990)
233.ID	-1.765***
	(0.00150)
234.ID	-0
	(0.00150)
235.ID	-1.088***
	(0.00150)
236.ID	0.509***
	(0.00150)
237.ID	-0
	(0.00150)
238.ID	-0
	(0.00150)
239.ID	-0
	(0.00150)
240.ID	-0
	(0.00150)
241.ID	-0
	(0.00150)
242.ID	-1.980***
	(0.00150)
243.ID	-0.403***
	(0.00150)
244.ID	-0
	(0.00150)
245.ID	-1.980***
	(0.00150)
246.ID	-0
	(0.00150)
247.ID	-0
	(0.00150)
248.ID	-1.588***
	(0.00150)
249.ID	-1.980***
	(0.00150)
250.ID	0.509***
	(0.00150)
251.ID	-1.980***
	(0.00150)
252.ID	-1.765***
	(0.00150)
253.ID	-1.980***
	(0.00150)
254.ID	-1.980***
	(0.00150)
255.ID	0.509***
	(0.00150)
256.ID	-0
	(0.00150)
257.ID	-0
	(0.00150)
258.ID	-1.980***
	(0.00150)
259.ID	-0
	(0.00150)
260.ID	-0
	(0.00150)
261.ID	-2.634***
	(0.00150)
263.ID	-1.980***
	(0.00150)
264.ID	0.509***
	(0.00150)
265.ID	0.254
	(0.254)
266.ID	-0
	(0.00150)
267.ID	-1.765***
	(0.00150)
268.ID	-0
	(0.00150)
269.ID	-1.980***
	(0.00150)
270.ID	-0
	(0.00150)
271.ID	-2.634***
	(0.00150)
272.ID	0.509***
	(0.00150)
274.ID	-1.980***
	(0.00150)
275.ID	0.509***
	(0.00150)
276.ID	-0.403***
	(0.00150)
277.ID	-0
	(0.00150)
278.ID	-2.426***
	(0.00150)
279.ID	-1.765***
	(0.00150)
280.ID	-0
	(0.00150)
281.ID	-0
	(0.00150)
282.ID	-2.254***
	(0.00150)
283.ID	-1.980***
	(0.00150)
284.ID	-1.980***
	(0.00150)
285.ID	-1.980***
	(0.00150)
286.ID	-1.980***
	(0.00150)
288.ID	-0
	(0.00150)
289.ID	-0
	(0.00150)
290.ID	-0
	(0.00150)
291.ID	-1.980***
	(0.00150)
292.ID	0.286***
	(0.00150)
293.ID	-1.980***
	(0.00150)
294.ID	-1.588***
	(0.00150)
295.ID	-0.990
	(0.990)
296.ID	-1.307***
	(0.00150)
297.ID	-0
	(0.00150)
298.ID	-0
	(0.00150)
299.ID	0.509***
	(0.00150)
300.ID	-0
	(0.00150)
301.ID	-1.980***
	(0.00150)
302.ID	0.509***
	(0.00150)
303.ID	-1.588***
	(0.00150)
304.ID	0.509***
	(0.00150)
305.ID	-0
	(0.00150)
306.ID	-1.588***
	(0.00150)
307.ID	-1.437***
	(0.00150)
308.ID	-1.088***
	(0.00150)
309.ID	-1.765***
	(0.00150)
310.ID	-1.980***
	(0.00150)
311.ID	-3.253***
	(0.00150)
312.ID	-0
	(0.00150)
313.ID	-1.765***
	(0.00150)
314.ID	-1.784***
	(0.197)
315.ID	-1.980***
	(0.00150)
317.ID	-0
	(0.00150)
318.ID	-0
	(0.00150)
319.ID	-0
	(0.00150)
320.ID	-1.765***
	(0.00150)
321.ID	-1.588***
	(0.00150)
322.ID	0.143
	(0.142)
323.ID	-1.765***
	(0.00150)
324.ID	-0.990
	(0.990)
325.ID	-1.980***
	(0.00150)
326.ID	-0
	(0.00150)
327.ID	-0
	(0.00150)
328.ID	-0
	(0.00150)
329.ID	-1.980***
	(0.00150)
330.ID	-0
	(0.00150)
331.ID	-1.980***
	(0.00150)
332.ID	-0
	(0.00150)
333.ID	-0.507***
	(0.00150)
334.ID	-1.980***
	(0.00150)
335.ID	-1.980***
	(0.00150)
336.ID	-0.0686***
	(0.00150)
337.ID	-1.980***
	(0.00150)
338.ID	-0
	(0.00150)
339.ID	-0
	(0.00150)
340.ID	0.509***
	(0.00150)
341.ID	-1.765***
	(0.00150)
342.ID	-1.980***
	(0.00150)
343.ID	-0
	(0.00150)
344.ID	-1.588***
	(0.00150)
345.ID	-0
	(0.00150)
346.ID	-3.253***
	(0.00150)
347.ID	-1.588***
	(0.00150)
348.ID	-1.980***
	(0.00150)
349.ID	-3.253***
	(0.00150)
350.ID	-1.980***
	(0.00150)
352.ID	-0
	(0.00150)
353.ID	-0.403***
	(0.00150)
354.ID	-1.980***
	(0.00150)
355.ID	-1.588***
	(0.00150)
356.ID	-1.765***
	(0.00150)
357.ID	-0
	(0.00150)
358.ID	-1.980***
	(0.00150)
359.ID	-0
	(0.00150)
361.ID	-1.980***
	(0.00150)
364.ID	-0
	(0.00150)
365.ID	-1.980***
	(0.00150)
366.ID	0.509***
	(0.00150)
369.ID	-0
	(0.00150)
370.ID	-0.990
	(0.992)
372.ID	-0
	(0.00150)
373.ID	-1.980***
	(0.00150)
374.ID	-0
	(0.00150)
375.ID	-1.980***
	(0.00150)
377.ID	-1.980***
	(0.00150)
378.ID	-1.980***
	(0.00150)
379.ID	-1.980***
	(0.00150)
381.ID	-2.634***
	(0.00150)
382.ID	-3.253***
	(0.00150)
383.ID	-1.980***
	(0.00150)
385.ID	-0
	(0.00150)
386.ID	-2.634***
	(0.00150)
387.ID	-1.980***
	(0.00150)
388.ID	-1.676***
	(0.0896)
389.ID	-0
	(0.00150)
390.ID	-0
	(0.00150)
391.ID	-1.980***
	(0.00150)
393.ID	-0
	(0.00150)
394.ID	-0
	(0.00150)
395.ID	-0
	(0.00150)
396.ID	-0
	(0.00150)
397.ID	-1.980***
	(0.00150)
398.ID	-2.634***
	(0.00150)
399.ID	-1.765***
	(0.00150)
400.ID	-0
	(0.00150)
401.ID	-1.088***
	(0.00150)
402.ID	-1.980***
	(0.00150)
403.ID	-1.980***
	(0.00150)
404.ID	-1.588***
	(0.00150)
405.ID	-1.980***
	(0.00150)
406.ID	-0.403***
	(0.00150)
407.ID	-0
	(0.00150)
408.ID	0.509***
	(0.00150)
409.ID	-2.634***
	(0.00150)
410.ID	-1.980***
	(0.00150)
411.ID	-2.254***
	(0.00150)
412.ID	-0
	(0.00150)
413.ID	-1.588***
	(0.00150)
414.ID	-1.980***
	(0.00150)
415.ID	-1.980***
	(0.00150)
416.ID	-1.765***
	(0.00150)
417.ID	-2.634***
	(0.00150)
418.ID	-0
	(0.00150)
419.ID	-1.980***
	(0.00150)
420.ID	-1.765***
	(0.00150)
421.ID	-1.980***
	(0.00150)
423.ID	-0
	(0.00150)
424.ID	-0
	(0.00150)
425.ID	-0
	(0.00150)
426.ID	-1.980***
	(0.00150)
428.ID	-1.980***
	(0.00150)
429.ID	-1.980***
	(0.00150)
430.ID	0.509***
	(0.00150)
431.ID	-1.676***
	(0.0896)
432.ID	-0
	(0.00150)
433.ID	-1.980***
	(0.00150)
434.ID	-1.980***
	(0.00150)
435.ID	0.509***
	(0.00150)
436.ID	-1.765***
	(0.00150)
437.ID	-2.634***
	(0.00150)
438.ID	-0
	(0.00150)
439.ID	-0
	(0.00150)
440.ID	-1.765***
	(0.00150)
441.ID	-0
	(0.00150)
442.ID	-0
	(0.00150)
445.ID	-1.980***
	(0.00150)
446.ID	-0
	(0.00150)
447.ID	-1.088***
	(0.00150)
448.ID	-0
	(0.00150)
449.ID	-0
	(0.00150)
450.ID	-1.980***
	(0.00150)
451.ID	-0
	(0.00150)
452.ID	-1.765***
	(0.00150)
453.ID	0.509***
	(0.00150)
454.ID	-1.765***
	(0.00150)
455.ID	-0
	(0.00150)
456.ID	-3.253***
	(0.00150)
457.ID	-1.765***
	(0.00150)
458.ID	0.509***
	(0.00150)
459.ID	-1.765***
	(0.00150)
460.ID	-1.980***
	(0.00150)
461.ID	0.509***
	(0.00150)
462.ID	-0
	(0.00150)
463.ID	0.509***
	(0.00150)
464.ID	-0
	(0.00150)
465.ID	-1.088***
	(0.00150)
466.ID	-0
	(0.00150)
467.ID	-0
	(0.00150)
468.ID	-0
	(0.00150)
469.ID	-1.980***
	(0.00150)
470.ID	-0
	(0.00150)
471.ID	0.509***
