	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0152
	(0.0103)
1.ID	-1.588***
	(0.0108)
2.ID	-0
	(0.0108)
3.ID	-1.980***
	(0.0108)
4.ID	-0
	(0.0108)
5.ID	-1.765***
	(0.0108)
6.ID	-1.980***
	(0.0108)
7.ID	-0
	(0.0108)
8.ID	-1.765***
	(0.0108)
9.ID	-1.980***
	(0.0108)
10.ID	0.509***
	(0.0108)
12.ID	0.509***
	(0.0108)
15.ID	-1.980***
	(0.0108)
16.ID	-0
	(0.0108)
17.ID	-1.980***
	(0.0108)
18.ID	-1.980***
	(0.0108)
19.ID	-1.765***
	(0.0108)
20.ID	-0
	(0.0108)
21.ID	-1.765***
	(0.0108)
22.ID	-1.588***
	(0.0108)
23.ID	-0
	(0.0108)
24.ID	-0
	(0.0108)
25.ID	-1.765***
	(0.0108)
26.ID	-2.634***
	(0.0108)
27.ID	-0.990
	(0.999)
28.ID	-1.980***
	(0.0108)
29.ID	-1.980***
	(0.0108)
30.ID	-1.980***
	(0.0108)
31.ID	-0.908***
	(0.0108)
32.ID	-0
	(0.0108)
33.ID	-0
	(0.0108)
35.ID	-1.980***
	(0.0108)
37.ID	-1.980***
	(0.0108)
38.ID	-1.980***
	(0.0108)
39.ID	-0
	(0.0108)
40.ID	-0
	(0.0108)
41.ID	-1.588***
	(0.0108)
42.ID	0.509***
	(0.0108)
43.ID	-1.980***
	(0.0108)
46.ID	-1.765***
	(0.0108)
47.ID	-2.254***
	(0.0108)
48.ID	-0.990
	(0.984)
49.ID	-0
	(0.0108)
50.ID	-0
	(0.0108)
51.ID	-1.980***
	(0.0108)
52.ID	-0.882
	(0.876)
53.ID	0.143
	(0.136)
54.ID	-1.980***
	(0.0108)
55.ID	-1.980***
	(0.0108)
56.ID	-0
	(0.0108)
57.ID	-1.980***
	(0.0108)
58.ID	-0
	(0.0108)
59.ID	-1.307***
	(0.0108)
60.ID	-1.980***
	(0.0108)
61.ID	-1.980***
	(0.0108)
62.ID	-1.765***
	(0.0108)
63.ID	-1.980***
	(0.0108)
64.ID	-0
	(0.0108)
65.ID	-1.980***
	(0.0108)
66.ID	-1.765***
	(0.0108)
67.ID	-0
	(0.0108)
68.ID	-0.403***
	(0.0108)
69.ID	-1.980***
	(0.0108)
70.ID	0.397***
	(0.119)
71.ID	0.509***
	(0.0108)
72.ID	0.254
	(0.247)
73.ID	-1.980***
	(0.0108)
74.ID	0.254
	(0.262)
76.ID	-1.980***
	(0.0108)
77.ID	-1.765***
	(0.0108)
78.ID	-1.980***
	(0.0108)
79.ID	-1.980***
	(0.0108)
80.ID	-0
	(0.0108)
81.ID	-1.980***
	(0.0108)
82.ID	-1.588***
	(0.0108)
83.ID	-1.765***
	(0.0108)
84.ID	-0
	(0.0108)
85.ID	-0
	(0.0108)
86.ID	-0
	(0.0108)
87.ID	-0
	(0.0108)
88.ID	0.509***
	(0.0108)
89.ID	-1.980***
	(0.0108)
90.ID	-1.980***
	(0.0108)
91.ID	-0.624***
	(0.0108)
92.ID	-2.634***
	(0.0108)
93.ID	-1.588***
	(0.0108)
94.ID	-1.980***
	(0.0108)
95.ID	0.509***
	(0.0108)
96.ID	-1.980***
	(0.0108)
97.ID	-2.896***
	(0.0108)
98.ID	-1.088***
	(0.0108)
99.ID	-1.872***
	(0.116)
100.ID	-1.765***
	(0.0108)
101.ID	-1.980***
	(0.0108)
102.ID	-2.634***
	(0.0108)
103.ID	-1.980***
	(0.0108)
104.ID	-1.980***
	(0.0108)
105.ID	-1.980***
	(0.0108)
106.ID	0.509***
	(0.0108)
108.ID	0.509***
	(0.0108)
109.ID	-1.765***
	(0.0108)
110.ID	-2.634***
	(0.0108)
111.ID	-2.634***
	(0.0108)
112.ID	-0
	(0.0108)
113.ID	-1.980***
	(0.0108)
114.ID	-0
	(0.0108)
115.ID	-0
	(0.0108)
116.ID	-1.588***
	(0.0108)
117.ID	-0
	(0.0108)
118.ID	-0
	(0.0108)
119.ID	0.509***
	(0.0108)
120.ID	-0.756***
	(0.0108)
121.ID	-0
	(0.0108)
122.ID	0.509***
	(0.0108)
123.ID	0.509***
	(0.0108)
125.ID	-0
	(0.0108)
126.ID	-0
	(0.0108)
127.ID	-2.634***
	(0.0108)
128.ID	-1.765***
	(0.0108)
129.ID	-0
	(0.0108)
130.ID	-1.980***
	(0.0108)
131.ID	-1.765***
	(0.0108)
132.ID	-2.634***
	(0.0108)
133.ID	-0
	(0.0108)
134.ID	-1.088***
	(0.0108)
135.ID	-0
	(0.0108)
136.ID	-0
	(0.0108)
137.ID	-0.990
	(0.999)
138.ID	0.509***
	(0.0108)
139.ID	-1.980***
	(0.0108)
140.ID	-1.588***
	(0.0108)
142.ID	-1.980***
	(0.0108)
144.ID	-1.980***
	(0.0108)
145.ID	-1.765***
	(0.0108)
146.ID	-0
	(0.0108)
147.ID	0.509***
	(0.0108)
148.ID	-0
	(0.0108)
149.ID	-2.634***
	(0.0108)
150.ID	-1.980***
	(0.0108)
151.ID	-1.765***
	(0.0108)
152.ID	-0
	(0.0108)
153.ID	-0
	(0.0108)
154.ID	-0
	(0.0108)
155.ID	-1.980***
	(0.0108)
156.ID	-1.980***
	(0.0108)
157.ID	-0
	(0.0108)
158.ID	-0
	(0.0108)
159.ID	-1.765***
	(0.0108)
160.ID	-0
	(0.0108)
161.ID	0.286***
	(0.0108)
163.ID	-1.088***
	(0.0108)
164.ID	-1.980***
	(0.0108)
165.ID	-1.980***
	(0.0108)
166.ID	-0
	(0.0108)
167.ID	-1.980***
	(0.0108)
168.ID	-0
	(0.0108)
169.ID	-0
	(0.0108)
170.ID	-1.765***
	(0.0108)
171.ID	-1.765***
	(0.0108)
172.ID	-1.980***
	(0.0108)
173.ID	-0
	(0.0108)
174.ID	-0
	(0.0108)
175.ID	-1.765***
	(0.0108)
176.ID	-1.980***
	(0.0108)
177.ID	-0
	(0.0108)
178.ID	-2.634***
	(0.0108)
179.ID	-0.990
	(0.984)
180.ID	-0.792***
	(0.0300)
181.ID	-2.634***
	(0.0108)
182.ID	-1.980***
	(0.0108)
183.ID	-1.765***
	(0.0108)
184.ID	-1.980***
	(0.0108)
185.ID	-0.628
	(1.146)
186.ID	-0.403***
	(0.0108)
187.ID	0.509***
	(0.0108)
188.ID	-0
	(0.0108)
189.ID	-1.765***
	(0.0108)
190.ID	-1.980***
	(0.0108)
191.ID	-1.765***
	(0.0108)
192.ID	-1.980***
	(0.0108)
194.ID	-0.0906
	(0.0986)
196.ID	-1.980***
	(0.0108)
197.ID	-0
	(0.0108)
198.ID	-1.980***
	(0.0108)
199.ID	-1.980***
	(0.0108)
200.ID	-0
	(0.0108)
201.ID	-1.980***
	(0.0108)
202.ID	-0
	(0.0108)
203.ID	0.509***
	(0.0108)
204.ID	0.509***
	(0.0108)
205.ID	-0
	(0.0108)
206.ID	-1.980***
	(0.0108)
207.ID	-1.980***
	(0.0108)
208.ID	-1.980***
	(0.0108)
209.ID	-0
	(0.0108)
212.ID	-1.980***
	(0.0108)
213.ID	0.509***
	(0.0108)
214.ID	-1.980***
	(0.0108)
217.ID	-0
	(0.0108)
218.ID	-1.980***
	(0.0108)
219.ID	-1.765***
	(0.0108)
220.ID	-0
	(0.0108)
222.ID	0.509***
	(0.0108)
223.ID	-0.739
	(1.034)
224.ID	-0
	(0.0108)
225.ID	-0
	(0.0108)
226.ID	-2.254***
	(0.0108)
227.ID	-0
	(0.0108)
228.ID	0.509***
	(0.0108)
229.ID	-0
	(0.0108)
230.ID	-0
	(0.0108)
231.ID	-0
	(0.0108)
232.ID	-1.980***
	(0.0108)
233.ID	-1.765***
	(0.0108)
234.ID	-0
	(0.0108)
235.ID	-1.088***
	(0.0108)
236.ID	0.509***
	(0.0108)
237.ID	-0
	(0.0108)
238.ID	-0
	(0.0108)
239.ID	0.286***
	(0.0108)
240.ID	-0
	(0.0108)
241.ID	-0
	(0.0108)
242.ID	-1.980***
	(0.0108)
243.ID	-0.403***
	(0.0108)
244.ID	0.286***
	(0.0108)
245.ID	-1.980***
	(0.0108)
246.ID	-0
	(0.0108)
247.ID	-0
	(0.0108)
249.ID	-1.980***
	(0.0108)
250.ID	0.509***
	(0.0108)
251.ID	-1.980***
	(0.0108)
252.ID	-1.765***
	(0.0108)
253.ID	-1.980***
	(0.0108)
254.ID	-1.980***
	(0.0108)
255.ID	0.509***
	(0.0108)
256.ID	-0
	(0.0108)
257.ID	-0
	(0.0108)
258.ID	-1.980***
	(0.0108)
259.ID	-0
	(0.0108)
260.ID	-0
	(0.0108)
261.ID	-2.634***
	(0.0108)
263.ID	-1.980***
	(0.0108)
264.ID	0.509***
	(0.0108)
267.ID	-1.765***
	(0.0108)
268.ID	-0
	(0.0108)
269.ID	-0
	(0.0108)
270.ID	-0
	(0.0108)
271.ID	-2.307***
	(0.320)
272.ID	0.509***
	(0.0108)
274.ID	-1.980***
	(0.0108)
275.ID	-1.765***
	(0.0108)
276.ID	-0.403***
	(0.0108)
277.ID	-0
	(0.0108)
278.ID	-2.426***
	(0.0108)
279.ID	-1.765***
	(0.0108)
280.ID	-0
	(0.0108)
281.ID	-0
	(0.0108)
282.ID	-2.117***
	(0.130)
283.ID	-1.980***
	(0.0108)
284.ID	-1.980***
	(0.0108)
285.ID	-1.980***
	(0.0108)
286.ID	-1.980***
	(0.0108)
288.ID	-0
	(0.0108)
289.ID	-0
	(0.0108)
290.ID	-0
	(0.0108)
291.ID	-1.980***
	(0.0108)
292.ID	-0
	(0.0108)
293.ID	-1.980***
	(0.0108)
294.ID	-1.588***
	(0.0108)
295.ID	-0
	(0.0108)
296.ID	-1.307***
	(0.0108)
297.ID	-0
	(0.0108)
298.ID	-0
	(0.0108)
299.ID	0.509***
	(0.0108)
300.ID	-0
	(0.0108)
301.ID	-1.980***
	(0.0108)
302.ID	0.509***
	(0.0108)
303.ID	-1.447***
	(0.133)
304.ID	0.509***
	(0.0108)
305.ID	-0
	(0.0108)
306.ID	-1.588***
	(0.0108)
307.ID	-1.437***
	(0.0108)
308.ID	-1.088***
	(0.0108)
309.ID	-1.872***
	(0.116)
310.ID	-1.980***
	(0.0108)
311.ID	-3.253***
	(0.0108)
312.ID	-0
	(0.0108)
313.ID	-1.872***
	(0.116)
314.ID	-1.784***
	(0.189)
315.ID	-1.980***
	(0.0108)
316.ID	-1.588***
	(0.0108)
317.ID	-0
	(0.0108)
318.ID	-0
	(0.0108)
319.ID	-0
	(0.0108)
321.ID	-1.588***
	(0.0108)
322.ID	0.509***
	(0.0108)
323.ID	-1.765***
	(0.0108)
324.ID	-0.990
	(0.984)
325.ID	-1.980***
	(0.0108)
326.ID	-0
	(0.0108)
329.ID	-1.980***
	(0.0108)
330.ID	0.286***
	(0.0108)
331.ID	-1.980***
	(0.0108)
333.ID	-0
	(0.0108)
334.ID	-1.980***
	(0.0108)
335.ID	-1.980***
	(0.0108)
336.ID	-0.0686***
	(0.0108)
337.ID	-1.980***
	(0.0108)
338.ID	-0
	(0.0108)
339.ID	-0
	(0.0108)
340.ID	0.509***
	(0.0108)
341.ID	-0.739
	(1.019)
342.ID	-1.980***
	(0.0108)
343.ID	-0
	(0.0108)
344.ID	-1.588***
	(0.0108)
346.ID	-3.253***
	(0.0108)
347.ID	-1.588***
	(0.0108)
348.ID	-1.980***
	(0.0108)
349.ID	-3.253***
	(0.0108)
350.ID	-1.980***
	(0.0108)
352.ID	-0
	(0.0108)
353.ID	-0.403***
	(0.0108)
354.ID	-1.980***
	(0.0108)
355.ID	-1.588***
	(0.0108)
356.ID	-1.765***
	(0.0108)
358.ID	-1.980***
	(0.0108)
359.ID	-0
	(0.0108)
361.ID	-1.980***
	(0.0108)
364.ID	0.286***
	(0.0108)
365.ID	-1.980***
	(0.0108)
366.ID	0.397***
	(0.119)
369.ID	-0
	(0.0108)
370.ID	-0
	(0.0108)
372.ID	-0
	(0.0108)
373.ID	-1.980***
	(0.0108)
374.ID	-0
	(0.0108)
375.ID	-1.980***
	(0.0108)
377.ID	-0.990
	(0.984)
378.ID	-1.980***
	(0.0108)
379.ID	-1.872***
	(0.100)
381.ID	-1.980***
	(0.0108)
382.ID	-3.253***
	(0.0108)
385.ID	-0
	(0.0108)
386.ID	-2.634***
	(0.0108)
387.ID	-1.980***
	(0.0108)
388.ID	-1.676***
	(0.0965)
389.ID	-0
	(0.0108)
390.ID	0.509***
	(0.0108)
391.ID	-1.980***
	(0.0108)
393.ID	-0
	(0.0108)
394.ID	-0
	(0.0108)
395.ID	-0
	(0.0108)
396.ID	-0
	(0.0108)
397.ID	-1.980***
	(0.0108)
398.ID	-2.634***
	(0.0108)
399.ID	-1.765***
	(0.0108)
400.ID	-0
	(0.0108)
401.ID	-1.088***
	(0.0108)
402.ID	-1.980***
	(0.0108)
403.ID	-1.980***
	(0.0108)
404.ID	-1.588***
	(0.0108)
405.ID	-1.980***
	(0.0108)
406.ID	-0.403***
	(0.0108)
407.ID	-0.794
	(0.802)
408.ID	0.509***
	(0.0108)
409.ID	-2.634***
	(0.0108)
410.ID	-1.980***
	(0.0108)
411.ID	-2.254***
	(0.0108)
412.ID	-0
	(0.0108)
413.ID	-1.588***
	(0.0108)
414.ID	-1.980***
	(0.0108)
415.ID	-1.980***
	(0.0108)
416.ID	-1.765***
	(0.0108)
417.ID	-2.634***
	(0.0108)
418.ID	-1.980***
	(0.0108)
419.ID	-1.980***
	(0.0108)
420.ID	-1.765***
	(0.0108)
421.ID	-1.980***
	(0.0108)
423.ID	-0
	(0.0108)
424.ID	-0
	(0.0108)
425.ID	-0
	(0.0108)
426.ID	-1.980***
	(0.0108)
428.ID	-1.980***
	(0.0108)
429.ID	-1.980***
	(0.0108)
430.ID	0.509***
	(0.0108)
431.ID	-1.765***
	(0.0108)
432.ID	-0
	(0.0108)
433.ID	-1.980***
	(0.0108)
435.ID	0.509***
	(0.0108)
436.ID	-1.765***
	(0.0108)
437.ID	-2.444***
	(0.183)
438.ID	-0
	(0.0108)
439.ID	-0
	(0.0108)
440.ID	-1.765***
	(0.0108)
441.ID	-0
	(0.0108)
442.ID	-0
	(0.0108)
445.ID	-1.980***
	(0.0108)
446.ID	-0
	(0.0108)
447.ID	-1.088***
	(0.0108)
448.ID	-0.794
	(0.802)
449.ID	-0
	(0.0108)
450.ID	-1.980***
	(0.0108)
451.ID	-0
	(0.0108)
452.ID	-1.765***
	(0.0108)
453.ID	0.509***
	(0.0108)
454.ID	-1.765***
	(0.0108)
455.ID	-0
	(0.0108)
456.ID	-3.253***
	(0.0108)
457.ID	0.509***
	(0.0108)
458.ID	0.509***
	(0.0108)
459.ID	-1.765***
	(0.0108)
460.ID	-1.980***
	(0.0108)
461.ID	0.509***
	(0.0108)
462.ID	-0
	(0.0108)
464.ID	-0
	(0.0108)
465.ID	-1.088***
	(0.0108)
466.ID	-0
	(0.0108)
468.ID	0.509***
	(0.0108)
469.ID	-1.980***
	(0.0108)
470.ID	-0
	(0.0108)
471.ID	0.509***
	(0.0108)
472.ID	0.509***
	(0.0108)
473.ID	-0
	(0.0108)
474.ID	-0
	(0.0108)
475.ID	-1.980***
	(0.0108)
476.ID	-0
	(0.0108)
477.ID	0.286***
	(0.0108)
478.ID	0.509***
	(0.0108)
479.ID	-0
	(0.0108)
480.ID	-1.088***
	(0.0108)
481.ID	-0
	(0.0108)
482.ID	0.509***
	(0.0108)
483.ID	-2.254***
	(0.0108)
484.ID	0.286***
	(0.0108)
485.ID	0.509***
	(0.0108)
486.ID	-1.980***
	(0.0108)
488.ID	0.509***
	(0.0108)
489.ID	-1.127
	(1.121)
