	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0182**
	(0.00720)
1.ID	-1.588***
	(0.0129)
2.ID	-0
	(0.0129)
3.ID	-1.980***
	(0.0129)
4.ID	-0
	(0.0129)
5.ID	-1.765***
	(0.0129)
6.ID	-1.980***
	(0.0129)
7.ID	-0
	(0.0129)
8.ID	0.509***
	(0.0129)
9.ID	-1.980***
	(0.0129)
10.ID	0.509***
	(0.0129)
12.ID	0.509***
	(0.0129)
14.ID	-0
	(0.0129)
15.ID	-1.980***
	(0.0129)
16.ID	-0
	(0.0129)
17.ID	-0.990
	(1.000)
18.ID	-1.980***
	(0.0129)
19.ID	-1.765***
	(0.0129)
20.ID	-0
	(0.0129)
21.ID	-1.765***
	(0.0129)
22.ID	-1.588***
	(0.0129)
23.ID	-0
	(0.0129)
24.ID	-0
	(0.0129)
25.ID	-1.765***
	(0.0129)
26.ID	-2.634***
	(0.0129)
27.ID	-1.980***
	(0.0129)
28.ID	-1.980***
	(0.0129)
29.ID	-1.980***
	(0.0129)
30.ID	-1.980***
	(0.0129)
31.ID	-0.908***
	(0.0129)
32.ID	-0
	(0.0129)
33.ID	-0
	(0.0129)
34.ID	-0
	(0.0129)
35.ID	-1.980***
	(0.0129)
36.ID	-1.980***
	(0.0129)
37.ID	-1.980***
	(0.0129)
38.ID	-1.980***
	(0.0129)
39.ID	-0
	(0.0129)
40.ID	-0
	(0.0129)
41.ID	-1.588***
	(0.0129)
42.ID	0.509***
	(0.0129)
43.ID	-1.980***
	(0.0129)
46.ID	-1.765***
	(0.0129)
47.ID	-2.254***
	(0.0129)
48.ID	-0
	(0.0129)
49.ID	-0
	(0.0129)
50.ID	-0
	(0.0129)
51.ID	-1.980***
	(0.0129)
52.ID	-1.765***
	(0.0129)
53.ID	0.509***
	(0.0129)
54.ID	-1.980***
	(0.0129)
55.ID	-1.980***
	(0.0129)
56.ID	-0
	(0.0129)
57.ID	-1.980***
	(0.0129)
58.ID	-0
	(0.0129)
59.ID	-1.307***
	(0.0129)
60.ID	-1.980***
	(0.0129)
61.ID	-1.980***
	(0.0129)
62.ID	-1.765***
	(0.0129)
63.ID	-1.980***
	(0.0129)
64.ID	-0
	(0.0129)
65.ID	-1.980***
	(0.0129)
66.ID	-1.765***
	(0.0129)
67.ID	-0
	(0.0129)
68.ID	-0.403***
	(0.0129)
69.ID	-1.980***
	(0.0129)
70.ID	0.286***
	(0.0129)
71.ID	0.509***
	(0.0129)
72.ID	0.509***
	(0.0129)
73.ID	-1.980***
	(0.0129)
74.ID	-0
	(0.0129)
76.ID	-1.980***
	(0.0129)
77.ID	-1.765***
	(0.0129)
78.ID	-1.980***
	(0.0129)
79.ID	-1.980***
	(0.0129)
80.ID	-0
	(0.0129)
81.ID	-1.980***
	(0.0129)
82.ID	-1.588***
	(0.0129)
83.ID	-1.765***
	(0.0129)
84.ID	-0
	(0.0129)
85.ID	-0
	(0.0129)
86.ID	-0
	(0.0129)
87.ID	-0
	(0.0129)
88.ID	0.509***
	(0.0129)
89.ID	-1.980***
	(0.0129)
90.ID	-1.980***
	(0.0129)
91.ID	-0.624***
	(0.0129)
92.ID	-2.634***
	(0.0129)
93.ID	-1.588***
	(0.0129)
94.ID	-1.980***
	(0.0129)
95.ID	0.509***
	(0.0129)
96.ID	-1.980***
	(0.0129)
97.ID	-2.896***
	(0.0129)
98.ID	-0.998***
	(0.0994)
99.ID	-1.765***
	(0.0129)
100.ID	-1.765***
	(0.0129)
101.ID	-1.980***
	(0.0129)
102.ID	-2.634***
	(0.0129)
103.ID	-1.980***
	(0.0129)
104.ID	-1.980***
	(0.0129)
105.ID	-1.980***
	(0.0129)
106.ID	0.509***
	(0.0129)
107.ID	0.509***
	(0.0129)
108.ID	0.509***
	(0.0129)
109.ID	-1.765***
	(0.0129)
110.ID	-2.634***
	(0.0129)
111.ID	-2.634***
	(0.0129)
112.ID	-0
	(0.0129)
113.ID	-1.980***
	(0.0129)
114.ID	-0
	(0.0129)
115.ID	-0
	(0.0129)
116.ID	-1.588***
	(0.0129)
117.ID	-0
	(0.0129)
118.ID	-0
	(0.0129)
119.ID	0.509***
	(0.0129)
120.ID	-0.756***
	(0.0129)
121.ID	-0
	(0.0129)
122.ID	0.509***
	(0.0129)
123.ID	0.509***
	(0.0129)
125.ID	-0
	(0.0129)
126.ID	-0
	(0.0129)
127.ID	-2.634***
	(0.0129)
128.ID	-1.765***
	(0.0129)
129.ID	-0
	(0.0129)
130.ID	-1.980***
	(0.0129)
131.ID	-1.765***
	(0.0129)
132.ID	-2.634***
	(0.0129)
133.ID	-0
	(0.0129)
134.ID	-1.088***
	(0.0129)
135.ID	-0.990
	(0.982)
136.ID	-0.990
	(0.982)
137.ID	-0
	(0.0129)
138.ID	0.509***
	(0.0129)
139.ID	-1.980***
	(0.0129)
140.ID	-1.588***
	(0.0129)
142.ID	-1.980***
	(0.0129)
144.ID	-1.980***
	(0.0129)
145.ID	-1.765***
	(0.0129)
146.ID	-0
	(0.0129)
147.ID	0.509***
	(0.0129)
148.ID	-0
	(0.0129)
149.ID	-2.444***
	(0.181)
150.ID	-1.980***
	(0.0129)
151.ID	-1.765***
	(0.0129)
152.ID	-0
	(0.0129)
153.ID	-0
	(0.0129)
154.ID	-0
	(0.0129)
155.ID	-1.980***
	(0.0129)
156.ID	-1.980***
	(0.0129)
157.ID	-0
	(0.0129)
158.ID	-0
	(0.0129)
159.ID	-1.765***
	(0.0129)
160.ID	-0
	(0.0129)
161.ID	0.286***
	(0.0129)
163.ID	-1.088***
	(0.0129)
164.ID	-1.980***
	(0.0129)
165.ID	-1.980***
	(0.0129)
166.ID	-0
	(0.0129)
167.ID	-1.980***
	(0.0129)
168.ID	-0
	(0.0129)
169.ID	-0
	(0.0129)
170.ID	-1.765***
	(0.0129)
171.ID	-1.765***
	(0.0129)
172.ID	-1.980***
	(0.0129)
173.ID	-0
	(0.0129)
174.ID	-0
	(0.0129)
175.ID	-1.765***
	(0.0129)
176.ID	-1.980***
	(0.0129)
177.ID	-0
	(0.0129)
178.ID	-2.634***
	(0.0129)
179.ID	-1.980***
	(0.0129)
180.ID	-0.829***
	(0.0129)
181.ID	-2.634***
	(0.0129)
182.ID	-1.980***
	(0.0129)
183.ID	-1.765***
	(0.0129)
184.ID	-1.980***
	(0.0129)
185.ID	0.509***
	(0.0129)
186.ID	-0.403***
	(0.0129)
187.ID	0.509***
	(0.0129)
189.ID	-1.765***
	(0.0129)
190.ID	-1.980***
	(0.0129)
191.ID	-1.765***
	(0.0129)
192.ID	-1.980***
	(0.0129)
194.ID	-0
	(0.0129)
196.ID	-1.980***
	(0.0129)
197.ID	-0
	(0.0129)
198.ID	-1.980***
	(0.0129)
199.ID	-1.980***
	(0.0129)
200.ID	-0
	(0.0129)
201.ID	-1.980***
	(0.0129)
202.ID	-0
	(0.0129)
203.ID	0.509***
	(0.0129)
204.ID	0.509***
	(0.0129)
205.ID	-0
	(0.0129)
206.ID	-1.980***
	(0.0129)
207.ID	-1.980***
	(0.0129)
208.ID	-1.980***
	(0.0129)
209.ID	-0
	(0.0129)
210.ID	-1.980***
	(0.0129)
212.ID	-1.980***
	(0.0129)
213.ID	0.509***
	(0.0129)
214.ID	-0
	(0.0129)
217.ID	-0
	(0.0129)
218.ID	-1.980***
	(0.0129)
219.ID	-1.765***
	(0.0129)
220.ID	-0
	(0.0129)
221.ID	-0
	(0.0129)
222.ID	-0.628
	(1.129)
223.ID	-0.882
	(0.874)
224.ID	-0
	(0.0129)
225.ID	-0
	(0.0129)
226.ID	-2.254***
	(0.0129)
227.ID	-0
	(0.0129)
228.ID	0.509***
	(0.0129)
229.ID	-0
	(0.0129)
230.ID	-0
	(0.0129)
231.ID	-1.765***
	(0.0129)
232.ID	-1.980***
	(0.0129)
233.ID	-1.765***
	(0.0129)
234.ID	-0
	(0.0129)
235.ID	-1.088***
	(0.0129)
236.ID	0.509***
	(0.0129)
237.ID	-0
	(0.0129)
238.ID	-0
	(0.0129)
239.ID	0.254
	(0.264)
240.ID	-0
	(0.0129)
241.ID	-0
	(0.0129)
242.ID	-1.980***
	(0.0129)
243.ID	-0.403***
	(0.0129)
245.ID	-1.980***
	(0.0129)
246.ID	-0
	(0.0129)
247.ID	-0
	(0.0129)
248.ID	-1.588***
	(0.0129)
249.ID	-1.980***
	(0.0129)
250.ID	0.509***
	(0.0129)
251.ID	-1.980***
	(0.0129)
252.ID	-1.765***
	(0.0129)
253.ID	-1.980***
	(0.0129)
254.ID	-1.980***
	(0.0129)
255.ID	0.509***
	(0.0129)
256.ID	-0
	(0.0129)
257.ID	-0
	(0.0129)
258.ID	-1.980***
	(0.0129)
260.ID	-0
	(0.0129)
261.ID	-2.634***
	(0.0129)
263.ID	-1.980***
	(0.0129)
264.ID	0.509***
	(0.0129)
266.ID	-0
	(0.0129)
267.ID	-1.765***
	(0.0129)
268.ID	-0
	(0.0129)
269.ID	-0
	(0.0129)
270.ID	-0
	(0.0129)
271.ID	-1.980***
	(0.0129)
272.ID	0.509***
	(0.0129)
274.ID	-1.980***
	(0.0129)
275.ID	-1.765***
	(0.0129)
276.ID	-0.403***
	(0.0129)
277.ID	-0
	(0.0129)
278.ID	-2.426***
	(0.0129)
279.ID	-1.765***
	(0.0129)
280.ID	-0
	(0.0129)
281.ID	-0
	(0.0129)
282.ID	-2.254***
	(0.0129)
283.ID	-1.980***
	(0.0129)
284.ID	-1.980***
	(0.0129)
285.ID	-1.980***
	(0.0129)
286.ID	-1.980***
	(0.0129)
288.ID	-0
	(0.0129)
289.ID	-0
	(0.0129)
290.ID	-0
	(0.0129)
291.ID	-1.980***
	(0.0129)
292.ID	-0
	(0.0129)
293.ID	-1.980***
	(0.0129)
294.ID	-1.588***
	(0.0129)
295.ID	-0
	(0.0129)
296.ID	-1.307***
	(0.0129)
297.ID	-0
	(0.0129)
298.ID	-0
	(0.0129)
299.ID	0.509***
	(0.0129)
300.ID	-0
	(0.0129)
301.ID	-1.980***
	(0.0129)
302.ID	0.509***
	(0.0129)
303.ID	-1.307***
	(0.0129)
304.ID	0.509***
	(0.0129)
305.ID	-0
	(0.0129)
306.ID	-1.588***
	(0.0129)
307.ID	-1.437***
	(0.0129)
308.ID	-1.088***
	(0.0129)
309.ID	-1.765***
	(0.0129)
310.ID	-1.980***
	(0.0129)
311.ID	-3.253***
	(0.0129)
312.ID	-0
	(0.0129)
313.ID	-1.765***
	(0.0129)
314.ID	-1.588***
	(0.0129)
315.ID	-1.980***
	(0.0129)
317.ID	-0
	(0.0129)
318.ID	-0
	(0.0129)
319.ID	-0
	(0.0129)
320.ID	-1.765***
	(0.0129)
321.ID	-1.588***
	(0.0129)
322.ID	0.509***
	(0.0129)
323.ID	-1.765***
	(0.0129)
324.ID	-0
	(0.0129)
325.ID	-1.980***
	(0.0129)
326.ID	-0
	(0.0129)
327.ID	-0
	(0.0129)
328.ID	-0
	(0.0129)
329.ID	-1.980***
	(0.0129)
330.ID	0.286***
	(0.0129)
331.ID	-1.980***
	(0.0129)
332.ID	-0
	(0.0129)
333.ID	-0
	(0.0129)
334.ID	-1.980***
	(0.0129)
335.ID	-1.980***
	(0.0129)
336.ID	-0.0686***
	(0.0129)
337.ID	-1.980***
	(0.0129)
338.ID	-0
	(0.0129)
339.ID	-0
	(0.0129)
340.ID	0.509***
	(0.0129)
341.ID	-1.765***
	(0.0129)
342.ID	-1.980***
	(0.0129)
343.ID	-0
	(0.0129)
344.ID	-1.588***
	(0.0129)
345.ID	0.509***
	(0.0129)
346.ID	-3.253***
	(0.0129)
347.ID	-1.588***
	(0.0129)
348.ID	-1.980***
	(0.0129)
349.ID	-3.253***
	(0.0129)
350.ID	-1.980***
	(0.0129)
352.ID	-0
	(0.0129)
353.ID	-0.403***
	(0.0129)
354.ID	-1.980***
	(0.0129)
355.ID	-1.588***
	(0.0129)
356.ID	-1.765***
	(0.0129)
357.ID	-0
	(0.0129)
358.ID	-1.980***
	(0.0129)
359.ID	-0
	(0.0129)
361.ID	-1.980***
	(0.0129)
364.ID	0.286***
	(0.0129)
365.ID	-1.980***
	(0.0129)
366.ID	0.509***
	(0.0129)
369.ID	-0
	(0.0129)
370.ID	-0
	(0.0129)
372.ID	-0
	(0.0129)
373.ID	-1.980***
	(0.0129)
374.ID	-0
	(0.0129)
375.ID	-1.980***
	(0.0129)
377.ID	-0
	(0.0129)
378.ID	-1.980***
	(0.0129)
379.ID	-1.980***
	(0.0129)
381.ID	-2.307***
	(0.318)
382.ID	-3.253***
	(0.0129)
383.ID	-1.980***
	(0.0129)
385.ID	-0
	(0.0129)
386.ID	-2.634***
	(0.0129)
387.ID	-1.980***
	(0.0129)
388.ID	-1.765***
	(0.0129)
389.ID	-0
	(0.0129)
390.ID	0.254
	(0.246)
391.ID	-1.980***
	(0.0129)
393.ID	-0
	(0.0129)
394.ID	-0
	(0.0129)
395.ID	-0
	(0.0129)
396.ID	-0
	(0.0129)
397.ID	-1.980***
	(0.0129)
398.ID	-2.634***
	(0.0129)
399.ID	-1.765***
	(0.0129)
400.ID	-0
	(0.0129)
401.ID	-1.088***
	(0.0129)
402.ID	-1.980***
	(0.0129)
403.ID	-1.980***
	(0.0129)
404.ID	-1.588***
	(0.0129)
405.ID	-1.980***
	(0.0129)
406.ID	-0.403***
	(0.0129)
407.ID	-0
	(0.0129)
408.ID	0.509***
	(0.0129)
409.ID	-2.634***
	(0.0129)
410.ID	-1.980***
	(0.0129)
411.ID	-2.254***
	(0.0129)
412.ID	-0
	(0.0129)
413.ID	-1.588***
	(0.0129)
414.ID	-1.980***
	(0.0129)
415.ID	-1.980***
	(0.0129)
416.ID	-1.765***
	(0.0129)
417.ID	-2.634***
	(0.0129)
418.ID	-0
	(0.0129)
419.ID	-1.980***
	(0.0129)
420.ID	-1.765***
	(0.0129)
421.ID	-1.980***
	(0.0129)
423.ID	-0
	(0.0129)
424.ID	-0
	(0.0129)
425.ID	-0
	(0.0129)
426.ID	-1.980***
	(0.0129)
428.ID	-1.980***
	(0.0129)
429.ID	-1.980***
	(0.0129)
430.ID	0.509***
	(0.0129)
431.ID	-1.765***
	(0.0129)
432.ID	-0
	(0.0129)
433.ID	-1.980***
	(0.0129)
434.ID	-1.980***
	(0.0129)
435.ID	0.509***
	(0.0129)
436.ID	-1.765***
	(0.0129)
437.ID	-2.254***
	(0.0129)
438.ID	-0
	(0.0129)
439.ID	-0
	(0.0129)
440.ID	-1.872***
	(0.0990)
441.ID	-0
	(0.0129)
442.ID	-0.254
	(0.263)
445.ID	-1.980***
	(0.0129)
446.ID	-0
	(0.0129)
447.ID	-1.088***
	(0.0129)
448.ID	-0
	(0.0129)
449.ID	-0
	(0.0129)
450.ID	-1.980***
	(0.0129)
451.ID	-0
	(0.0129)
452.ID	-1.765***
	(0.0129)
453.ID	0.254
	(0.246)
454.ID	-1.765***
	(0.0129)
455.ID	-0
	(0.0129)
456.ID	-2.634***
	(0.0129)
457.ID	0.509***
	(0.0129)
458.ID	0.509***
	(0.0129)
459.ID	-1.765***
	(0.0129)
460.ID	-1.980***
	(0.0129)
461.ID	0.509***
	(0.0129)
462.ID	-0
	(0.0129)
464.ID	-0
	(0.0129)
465.ID	-1.088***
	(0.0129)
466.ID	-0
	(0.0129)
467.ID	-0
	(0.0129)
468.ID	0.509***
	(0.0129)
469.ID	-1.980***
	(0.0129)
470.ID	-0
	(0.0129)
471.ID	0.509***
	(0.0129)
472.ID	0.509***
	(0.0129)
473.ID	-0
	(0.0129)
474.ID	-0
	(0.0129)
475.ID	-1.980***
	(0.0129)
