	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0373***
	(0.00950)
1.ID	-1.588***
	(0.0264)
2.ID	-0
	(0.0264)
3.ID	-1.980***
	(0.0264)
4.ID	-0
	(0.0264)
5.ID	-1.765***
	(0.0264)
6.ID	-1.980***
	(0.0264)
7.ID	-0
	(0.0264)
8.ID	0.509***
	(0.0264)
9.ID	-1.980***
	(0.0264)
10.ID	0.509***
	(0.0264)
12.ID	0.509***
	(0.0264)
14.ID	-0
	(0.0264)
15.ID	-1.980***
	(0.0264)
16.ID	-0
	(0.0264)
17.ID	-0.990
	(0.972)
18.ID	-1.980***
	(0.0264)
19.ID	-1.765***
	(0.0264)
20.ID	-0
	(0.0264)
21.ID	-1.765***
	(0.0264)
22.ID	-1.588***
	(0.0264)
23.ID	-0
	(0.0264)
24.ID	-0
	(0.0264)
25.ID	-1.765***
	(0.0264)
26.ID	-2.634***
	(0.0264)
27.ID	-1.980***
	(0.0264)
28.ID	-1.980***
	(0.0264)
29.ID	-1.980***
	(0.0264)
30.ID	-1.980***
	(0.0264)
31.ID	-0.908***
	(0.0264)
32.ID	-0
	(0.0264)
33.ID	-0
	(0.0264)
34.ID	-0
	(0.0264)
35.ID	-1.980***
	(0.0264)
36.ID	-1.980***
	(0.0264)
37.ID	-1.980***
	(0.0264)
38.ID	-1.980***
	(0.0264)
39.ID	-0
	(0.0264)
40.ID	-0
	(0.0264)
41.ID	-1.588***
	(0.0264)
42.ID	0.509***
	(0.0264)
43.ID	-1.980***
	(0.0264)
46.ID	-1.765***
	(0.0264)
47.ID	-2.254***
	(0.0264)
48.ID	-0
	(0.0264)
49.ID	-0
	(0.0264)
50.ID	-0
	(0.0264)
51.ID	-1.980***
	(0.0264)
52.ID	-1.765***
	(0.0264)
53.ID	0.509***
	(0.0264)
54.ID	-1.980***
	(0.0264)
55.ID	-1.980***
	(0.0264)
56.ID	-0
	(0.0264)
57.ID	-1.980***
	(0.0264)
58.ID	-0
	(0.0264)
59.ID	-1.307***
	(0.0264)
60.ID	-1.980***
	(0.0264)
61.ID	-1.980***
	(0.0264)
62.ID	-1.765***
	(0.0264)
63.ID	-1.980***
	(0.0264)
64.ID	-0
	(0.0264)
65.ID	-1.980***
	(0.0264)
67.ID	-0
	(0.0264)
68.ID	-1.191
	(0.771)
69.ID	-1.980***
	(0.0264)
70.ID	0.286***
	(0.0264)
71.ID	0.509***
	(0.0264)
72.ID	0.509***
	(0.0264)
73.ID	-1.980***
	(0.0264)
74.ID	-0
	(0.0264)
76.ID	-1.980***
	(0.0264)
77.ID	-1.765***
	(0.0264)
78.ID	-1.980***
	(0.0264)
79.ID	-1.980***
	(0.0264)
80.ID	-0
	(0.0264)
81.ID	-1.980***
	(0.0264)
82.ID	-1.588***
	(0.0264)
83.ID	-1.765***
	(0.0264)
84.ID	-0
	(0.0264)
85.ID	-0
	(0.0264)
86.ID	-0
	(0.0264)
87.ID	-0
	(0.0264)
88.ID	0.509***
	(0.0264)
89.ID	-1.980***
	(0.0264)
90.ID	-1.980***
	(0.0264)
91.ID	-0.624***
	(0.0264)
92.ID	-2.634***
	(0.0264)
93.ID	-1.588***
	(0.0264)
94.ID	-1.980***
	(0.0264)
95.ID	0.509***
	(0.0264)
96.ID	-1.980***
	(0.0264)
97.ID	-2.896***
	(0.0264)
98.ID	-1.088***
	(0.0264)
99.ID	-1.765***
	(0.0264)
100.ID	-1.765***
	(0.0264)
101.ID	-1.980***
	(0.0264)
102.ID	-2.634***
	(0.0264)
103.ID	-1.980***
	(0.0264)
104.ID	-1.980***
	(0.0264)
105.ID	-1.980***
	(0.0264)
106.ID	0.509***
	(0.0264)
107.ID	0.509***
	(0.0264)
108.ID	0.509***
	(0.0264)
109.ID	-1.765***
	(0.0264)
110.ID	-2.634***
	(0.0264)
111.ID	-2.634***
	(0.0264)
112.ID	-0
	(0.0264)
113.ID	-1.980***
	(0.0264)
114.ID	-0
	(0.0264)
115.ID	-0
	(0.0264)
116.ID	-1.676***
	(0.109)
117.ID	-0
	(0.0264)
118.ID	-0
	(0.0264)
119.ID	0.509***
	(0.0264)
120.ID	-0.756***
	(0.0264)
121.ID	-0
	(0.0264)
122.ID	0.509***
	(0.0264)
123.ID	-0.628
	(1.119)
125.ID	-0
	(0.0264)
126.ID	-0
	(0.0264)
127.ID	-2.634***
	(0.0264)
128.ID	-1.765***
	(0.0264)
129.ID	-0
	(0.0264)
130.ID	-1.980***
	(0.0264)
131.ID	-1.765***
	(0.0264)
132.ID	-1.317
	(1.299)
133.ID	-0
	(0.0264)
134.ID	-1.088***
	(0.0264)
135.ID	-0.990
	(0.972)
136.ID	-0
	(0.0264)
137.ID	-0
	(0.0264)
138.ID	0.509***
	(0.0264)
139.ID	-1.980***
	(0.0264)
140.ID	-1.588***
	(0.0264)
142.ID	-1.980***
	(0.0264)
144.ID	-1.980***
	(0.0264)
145.ID	-1.765***
	(0.0264)
146.ID	-0
	(0.0264)
147.ID	0.509***
	(0.0264)
148.ID	-0
	(0.0264)
149.ID	-2.444***
	(0.172)
150.ID	-1.980***
	(0.0264)
151.ID	-1.765***
	(0.0264)
152.ID	-0
	(0.0264)
153.ID	-0
	(0.0264)
154.ID	-0
	(0.0264)
155.ID	-1.980***
	(0.0264)
156.ID	-1.980***
	(0.0264)
157.ID	-0
	(0.0264)
158.ID	-0
	(0.0264)
159.ID	-1.765***
	(0.0264)
160.ID	-0
	(0.0264)
161.ID	0.286***
	(0.0264)
163.ID	-1.088***
	(0.0264)
164.ID	-1.980***
	(0.0264)
165.ID	-1.980***
	(0.0264)
166.ID	-0
	(0.0264)
167.ID	-1.980***
	(0.0264)
168.ID	-0
	(0.0264)
169.ID	-0
	(0.0264)
170.ID	-1.765***
	(0.0264)
171.ID	-1.765***
	(0.0264)
172.ID	-1.980***
	(0.0264)
173.ID	-0
	(0.0264)
174.ID	-0
	(0.0264)
175.ID	-1.765***
	(0.0264)
176.ID	-1.980***
	(0.0264)
177.ID	-0
	(0.0264)
178.ID	-2.634***
	(0.0264)
179.ID	-0.990
	(0.972)
180.ID	-0.829***
	(0.0264)
181.ID	-2.634***
	(0.0264)
182.ID	-1.980***
	(0.0264)
183.ID	-1.765***
	(0.0264)
184.ID	-1.980***
	(0.0264)
185.ID	0.509***
	(0.0264)
186.ID	-0.403***
	(0.0264)
187.ID	0.509***
	(0.0264)
188.ID	-0
	(0.0264)
189.ID	-1.765***
	(0.0264)
190.ID	-1.980***
	(0.0264)
191.ID	-1.765***
	(0.0264)
192.ID	-0.990
	(0.972)
194.ID	-0
	(0.0264)
196.ID	-1.980***
	(0.0264)
197.ID	-0
	(0.0264)
198.ID	-1.980***
	(0.0264)
199.ID	-1.980***
	(0.0264)
200.ID	-0
	(0.0264)
201.ID	-1.980***
	(0.0264)
202.ID	-0
	(0.0264)
203.ID	0.509***
	(0.0264)
204.ID	0.509***
	(0.0264)
205.ID	-0
	(0.0264)
206.ID	-1.980***
	(0.0264)
207.ID	-1.980***
	(0.0264)
208.ID	-1.980***
	(0.0264)
209.ID	0.254
	(0.274)
210.ID	-1.980***
	(0.0264)
212.ID	-1.980***
	(0.0264)
213.ID	0.509***
	(0.0264)
214.ID	-0
	(0.0264)
217.ID	-0
	(0.0264)
218.ID	-1.980***
	(0.0264)
219.ID	-1.765***
	(0.0264)
220.ID	-0
	(0.0264)
221.ID	-0
	(0.0264)
222.ID	-0.628
	(1.119)
223.ID	-1.765***
	(0.0264)
224.ID	-0
	(0.0264)
225.ID	-0
	(0.0264)
226.ID	-2.254***
	(0.0264)
227.ID	-0
	(0.0264)
228.ID	0.509***
	(0.0264)
229.ID	-0
	(0.0264)
230.ID	-0
	(0.0264)
231.ID	-1.765***
	(0.0264)
232.ID	-1.980***
	(0.0264)
233.ID	-1.765***
	(0.0264)
234.ID	-0
	(0.0264)
235.ID	-1.088***
	(0.0264)
236.ID	0.509***
	(0.0264)
237.ID	-0
	(0.0264)
238.ID	-0
	(0.0264)
239.ID	0.509***
	(0.0264)
240.ID	-0
	(0.0264)
241.ID	-0
	(0.0264)
242.ID	-1.980***
	(0.0264)
243.ID	-1.191
	(0.771)
244.ID	0.143
	(0.163)
245.ID	-1.980***
	(0.0264)
246.ID	-0
	(0.0264)
247.ID	-0
	(0.0264)
248.ID	-1.588***
	(0.0264)
249.ID	-1.980***
	(0.0264)
250.ID	0.509***
	(0.0264)
251.ID	-1.980***
	(0.0264)
252.ID	-1.765***
	(0.0264)
253.ID	-1.980***
	(0.0264)
254.ID	-1.980***
	(0.0264)
255.ID	0.509***
	(0.0264)
256.ID	-0
	(0.0264)
257.ID	-0
	(0.0264)
258.ID	-1.980***
	(0.0264)
259.ID	-0
	(0.0264)
260.ID	-0
	(0.0264)
261.ID	-2.634***
	(0.0264)
263.ID	-1.980***
	(0.0264)
264.ID	0.509***
	(0.0264)
266.ID	-0
	(0.0264)
267.ID	-1.765***
	(0.0264)
268.ID	-0
	(0.0264)
269.ID	-0
	(0.0264)
270.ID	-0
	(0.0264)
271.ID	-1.980***
	(0.0264)
272.ID	0.509***
	(0.0264)
274.ID	-1.980***
	(0.0264)
275.ID	-1.765***
	(0.0264)
277.ID	-0
	(0.0264)
278.ID	-2.426***
	(0.0264)
279.ID	-1.765***
	(0.0264)
280.ID	-0
	(0.0264)
281.ID	-0
	(0.0264)
282.ID	-2.117***
	(0.120)
283.ID	-1.980***
	(0.0264)
284.ID	-1.980***
	(0.0264)
285.ID	-1.980***
	(0.0264)
286.ID	-1.980***
	(0.0264)
288.ID	-0
	(0.0264)
289.ID	-0
	(0.0264)
290.ID	-0
	(0.0264)
291.ID	-1.980***
	(0.0264)
292.ID	-0
	(0.0264)
293.ID	-1.980***
	(0.0264)
294.ID	-1.588***
	(0.0264)
295.ID	-0
	(0.0264)
296.ID	-1.447***
	(0.123)
297.ID	-0
	(0.0264)
298.ID	-0
	(0.0264)
299.ID	0.509***
	(0.0264)
300.ID	-0
	(0.0264)
301.ID	-1.980***
	(0.0264)
302.ID	0.509***
	(0.0264)
303.ID	-1.447***
	(0.160)
304.ID	0.509***
	(0.0264)
305.ID	-0
	(0.0264)
307.ID	-1.601***
	(0.183)
308.ID	-1.088***
	(0.0264)
309.ID	-1.765***
	(0.0264)
310.ID	-1.980***
	(0.0264)
311.ID	-3.253***
	(0.0264)
312.ID	-0
	(0.0264)
313.ID	-1.765***
	(0.0264)
314.ID	-1.588***
	(0.0264)
315.ID	-1.980***
	(0.0264)
316.ID	-1.588***
	(0.0264)
317.ID	-0
	(0.0264)
318.ID	-0
	(0.0264)
319.ID	-0
	(0.0264)
320.ID	-1.765***
	(0.0264)
321.ID	-1.588***
	(0.0264)
322.ID	0.509***
	(0.0264)
323.ID	-1.765***
	(0.0264)
324.ID	-0.990
	(0.972)
325.ID	-1.980***
	(0.0264)
326.ID	-0
	(0.0264)
327.ID	-0
	(0.0264)
328.ID	-0
	(0.0264)
329.ID	-1.980***
	(0.0264)
330.ID	0.286***
	(0.0264)
331.ID	-1.980***
	(0.0264)
332.ID	-0
	(0.0264)
333.ID	-0.254
	(0.236)
334.ID	-1.980***
	(0.0264)
335.ID	-1.980***
	(0.0264)
336.ID	-0.0686***
	(0.0264)
337.ID	-1.980***
	(0.0264)
338.ID	-0
	(0.0264)
339.ID	-0
	(0.0264)
340.ID	0.509***
	(0.0264)
341.ID	-1.765***
	(0.0264)
342.ID	-1.980***
	(0.0264)
343.ID	-0.544
	(0.563)
344.ID	-1.588***
	(0.0264)
345.ID	0.509***
	(0.0264)
346.ID	-3.253***
	(0.0264)
347.ID	-1.588***
	(0.0264)
348.ID	-1.980***
	(0.0264)
349.ID	-2.943***
	(0.292)
350.ID	-1.980***
	(0.0264)
352.ID	-0
	(0.0264)
353.ID	-0.403***
	(0.0264)
354.ID	-1.980***
	(0.0264)
355.ID	-1.588***
	(0.0264)
356.ID	-1.765***
	(0.0264)
357.ID	-0
	(0.0264)
358.ID	-1.980***
	(0.0264)
359.ID	-0
	(0.0264)
361.ID	-1.980***
	(0.0264)
364.ID	0.286***
	(0.0264)
365.ID	-1.980***
	(0.0264)
366.ID	0.509***
	(0.0264)
369.ID	-0
	(0.0264)
370.ID	-0
	(0.0264)
372.ID	-0
	(0.0264)
373.ID	-1.980***
	(0.0264)
374.ID	-0
	(0.0264)
375.ID	-1.980***
	(0.0264)
377.ID	-0.990
	(0.972)
378.ID	-1.980***
	(0.0264)
379.ID	-1.765***
	(0.0264)
381.ID	-2.307***
	(0.309)
382.ID	-3.253***
	(0.0264)
383.ID	-1.980***
	(0.0264)
385.ID	-0
	(0.0264)
386.ID	-2.634***
	(0.0264)
387.ID	-1.980***
	(0.0264)
388.ID	-1.765***
	(0.0264)
389.ID	-0
	(0.0264)
390.ID	-0
	(0.0264)
391.ID	-1.980***
	(0.0264)
393.ID	-0
	(0.0264)
394.ID	-0
	(0.0264)
395.ID	-0
	(0.0264)
396.ID	-0
	(0.0264)
397.ID	-1.980***
	(0.0264)
398.ID	-2.634***
	(0.0264)
399.ID	-1.765***
	(0.0264)
400.ID	-0
	(0.0264)
401.ID	-1.088***
	(0.0264)
402.ID	-1.980***
	(0.0264)
403.ID	-1.980***
	(0.0264)
404.ID	-1.588***
	(0.0264)
405.ID	-1.980***
	(0.0264)
406.ID	-0.403***
	(0.0264)
407.ID	-0
	(0.0264)
408.ID	0.509***
	(0.0264)
409.ID	-2.765***
	(0.114)
410.ID	-1.980***
	(0.0264)
411.ID	-2.254***
	(0.0264)
412.ID	-0
	(0.0264)
413.ID	-1.588***
	(0.0264)
414.ID	-1.980***
	(0.0264)
415.ID	-1.980***
	(0.0264)
416.ID	-1.765***
	(0.0264)
417.ID	-2.634***
	(0.0264)
418.ID	-0.990
	(1.009)
419.ID	-1.980***
	(0.0264)
420.ID	-1.765***
	(0.0264)
421.ID	-1.980***
	(0.0264)
423.ID	-0
	(0.0264)
424.ID	-0
	(0.0264)
425.ID	-0
	(0.0264)
426.ID	-1.980***
	(0.0264)
428.ID	-1.980***
	(0.0264)
429.ID	-1.980***
	(0.0264)
430.ID	0.509***
	(0.0264)
431.ID	-1.765***
	(0.0264)
432.ID	-0
	(0.0264)
433.ID	-1.980***
	(0.0264)
434.ID	-1.980***
	(0.0264)
435.ID	0.509***
	(0.0264)
436.ID	-1.765***
	(0.0264)
437.ID	-2.444***
	(0.172)
438.ID	-0
	(0.0264)
439.ID	-0
	(0.0264)
440.ID	-1.765***
	(0.0264)
441.ID	-0
	(0.0264)
442.ID	-0.254
	(0.273)
445.ID	-1.980***
	(0.0264)
446.ID	-0
	(0.0264)
447.ID	-1.088***
	(0.0264)
448.ID	-0
	(0.0264)
449.ID	-0
	(0.0264)
450.ID	-1.980***
	(0.0264)
451.ID	-0
	(0.0264)
452.ID	-1.765***
	(0.0264)
453.ID	0.254
	(0.237)
454.ID	-1.765***
	(0.0264)
455.ID	-0
	(0.0264)
456.ID	-2.634***
	(0.0264)
457.ID	0.509***
	(0.0264)
458.ID	0.509***
	(0.0264)
459.ID	-1.765***
	(0.0264)
460.ID	-1.980***
	(0.0264)
461.ID	0.509***
	(0.0264)
462.ID	-0
	(0.0264)
464.ID	-0
	(0.0264)
465.ID	-1.088***
	(0.0264)
466.ID	-0
	(0.0264)
467.ID	-0
	(0.0264)
468.ID	0.509***
	(0.0264)
469.ID	-1.980***
	(0.0264)
470.ID	-0
	(0.0264)
471.ID	0.509***
	(0.0264)
472.ID	0.509***
	(0.0264)
473.ID	-0
	(0.0264)
474.ID	-0
	(0.0264)
475.ID	-1.980***
	(0.0264)
