	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00127
	(0.00665)
2.treated	0.00125
	(0.00674)
1.ID	-1.588***
	(0.00103)
2.ID	-0
	(0.00103)
3.ID	-1.980***
	(0.00103)
4.ID	-0
	(0.00103)
5.ID	-1.765***
	(0.00103)
6.ID	-1.980***
	(0.00103)
7.ID	-0
	(0.00103)
8.ID	-1.765***
	(0.00103)
9.ID	-1.980***
	(0.00103)
10.ID	0.509***
	(0.00103)
11.ID	-1.234***
	(0.0731)
12.ID	-1.765***
	(0.00103)
13.ID	-1.980***
	(0.00103)
14.ID	-0
	(0.00103)
15.ID	-1.980***
	(0.00103)
16.ID	-0
	(0.00103)
18.ID	-1.980***
	(0.00103)
19.ID	-1.765***
	(0.00103)
20.ID	-0
	(0.00103)
21.ID	-1.765***
	(0.00103)
22.ID	-1.588***
	(0.00103)
23.ID	-0
	(0.00103)
24.ID	-0
	(0.00103)
25.ID	-1.765***
	(0.00103)
26.ID	-2.634***
	(0.00103)
27.ID	-1.980***
	(0.00103)
28.ID	-1.980***
	(0.00103)
29.ID	-1.980***
	(0.00103)
30.ID	-1.980***
	(0.00103)
31.ID	-0.908***
	(0.00103)
32.ID	-0
	(0.00103)
33.ID	-0
	(0.00103)
34.ID	-0
	(0.00103)
35.ID	-1.980***
	(0.00103)
36.ID	-1.980***
	(0.00103)
37.ID	-1.980***
	(0.00103)
38.ID	-1.980***
	(0.00103)
39.ID	-0
	(0.00103)
40.ID	-0
	(0.00103)
41.ID	-1.588***
	(0.00103)
42.ID	0.509***
	(0.00103)
43.ID	-1.980***
	(0.00103)
46.ID	-1.765***
	(0.00103)
47.ID	-2.920***
	(0.333)
48.ID	-0
	(0.00103)
49.ID	-0
	(0.00103)
50.ID	-0
	(0.00103)
51.ID	-1.980***
	(0.00103)
52.ID	-1.765***
	(0.00103)
53.ID	-0
	(0.00103)
54.ID	-1.980***
	(0.00103)
55.ID	-1.980***
	(0.00103)
56.ID	-0
	(0.00103)
57.ID	-1.980***
	(0.00103)
58.ID	-0
	(0.00103)
59.ID	-1.307***
	(0.00103)
60.ID	-1.980***
	(0.00103)
61.ID	-1.980***
	(0.00103)
62.ID	-1.765***
	(0.00103)
63.ID	-1.980***
	(0.00103)
64.ID	-0
	(0.00103)
65.ID	-1.980***
	(0.00103)
66.ID	-1.765***
	(0.00103)
67.ID	-0
	(0.00103)
68.ID	-0.403***
	(0.00103)
69.ID	-1.980***
	(0.00103)
70.ID	0.360***
	(0.0748)
71.ID	0.509***
	(0.00103)
72.ID	0.509***
	(0.00103)
73.ID	-1.980***
	(0.00103)
74.ID	-1.088***
	(0.00103)
75.ID	0.509***
	(0.00103)
76.ID	-1.980***
	(0.00103)
77.ID	-0.588
	(0.588)
78.ID	-1.980***
	(0.00103)
79.ID	-1.980***
	(0.00103)
80.ID	-0
	(0.00103)
81.ID	-1.980***
	(0.00103)
82.ID	-1.588***
	(0.00103)
83.ID	-1.765***
	(0.00103)
84.ID	-0
	(0.00103)
85.ID	-0
	(0.00103)
86.ID	-0
	(0.00103)
87.ID	-0
	(0.00103)
88.ID	0.509***
	(0.00103)
89.ID	-1.980***
	(0.00103)
90.ID	-1.980***
	(0.00103)
91.ID	-0.624***
	(0.00103)
92.ID	-5.198***
	(0.00103)
93.ID	-1.588***
	(0.00103)
94.ID	-1.980***
	(0.00103)
95.ID	0.509***
	(0.00103)
96.ID	-1.980***
	(0.00103)
97.ID	-2.896***
	(0.00103)
98.ID	-1.088***
	(0.00103)
99.ID	-1.765***
	(0.00103)
100.ID	-1.765***
	(0.00103)
101.ID	-1.980***
	(0.00103)
102.ID	-2.634***
	(0.00103)
103.ID	-1.980***
	(0.00103)
104.ID	-1.980***
	(0.00103)
105.ID	-1.980***
	(0.00103)
106.ID	0.170
	(0.169)
107.ID	0.509***
	(0.00103)
108.ID	0.509***
	(0.00103)
109.ID	-1.765***
	(0.00103)
110.ID	-2.634***
	(0.00103)
111.ID	-2.634***
	(0.00103)
112.ID	-0
	(0.00103)
113.ID	-1.980***
	(0.00103)
114.ID	-0
	(0.00103)
115.ID	-0
	(0.00103)
116.ID	-1.706***
	(0.0590)
117.ID	-0
	(0.00103)
118.ID	-0
	(0.00103)
119.ID	0.509***
	(0.00103)
120.ID	-0.756***
	(0.00103)
121.ID	-0
	(0.00103)
122.ID	0.509***
	(0.00103)
123.ID	-1.765***
	(0.00103)
124.ID	0.509***
	(0.00103)
125.ID	-0
	(0.00103)
126.ID	-0
	(0.00103)
127.ID	-2.634***
	(0.00103)
128.ID	-1.765***
	(0.00103)
129.ID	-0
	(0.00103)
130.ID	-2.254***
	(0.00103)
131.ID	-1.765***
	(0.00103)
132.ID	-2.634***
	(0.00103)
133.ID	-0
	(0.00103)
134.ID	-1.088***
	(0.00103)
135.ID	-1.980***
	(0.00103)
136.ID	-0
	(0.00103)
137.ID	-0
	(0.00103)
138.ID	0.509***
	(0.00103)
139.ID	-1.980***
	(0.00103)
140.ID	-1.588***
	(0.00103)
141.ID	-0
	(0.00103)
142.ID	-1.980***
	(0.00103)
144.ID	-1.836***
	(0.0718)
145.ID	-1.765***
	(0.00103)
146.ID	-0
	(0.00103)
147.ID	0.509***
	(0.00103)
148.ID	-0
	(0.00103)
149.ID	-2.507***
	(0.127)
150.ID	-1.980***
	(0.00103)
151.ID	-1.765***
	(0.00103)
152.ID	-0
	(0.00103)
153.ID	-0
	(0.00103)
154.ID	-0
	(0.00103)
155.ID	-1.980***
	(0.00103)
156.ID	-1.980***
	(0.00103)
157.ID	-0
	(0.00103)
158.ID	-0
	(0.00103)
159.ID	-1.765***
	(0.00103)
160.ID	-0
	(0.00103)
161.ID	0.286***
	(0.00103)
162.ID	-1.588***
	(0.00103)
163.ID	-1.088***
	(0.00103)
164.ID	-1.980***
	(0.00103)
165.ID	-1.980***
	(0.00103)
166.ID	-0
	(0.00103)
167.ID	-1.980***
	(0.00103)
168.ID	-0
	(0.00103)
169.ID	-0
	(0.00103)
170.ID	-1.765***
	(0.00103)
171.ID	-1.765***
	(0.00103)
172.ID	-1.980***
	(0.00103)
173.ID	-0
	(0.00103)
174.ID	-0
	(0.00103)
175.ID	-1.765***
	(0.00103)
176.ID	-1.980***
	(0.00103)
177.ID	-0
	(0.00103)
178.ID	-2.634***
	(0.00103)
179.ID	-1.980***
	(0.00103)
180.ID	-0.829***
	(0.00103)
181.ID	-2.634***
	(0.00103)
182.ID	-1.980***
	(0.00103)
183.ID	-1.765***
	(0.00103)
184.ID	-1.980***
	(0.00103)
185.ID	-1.765***
	(0.00103)
186.ID	-0.403***
	(0.00103)
187.ID	0.509***
	(0.00103)
188.ID	-0
	(0.00103)
189.ID	-1.765***
	(0.00103)
190.ID	-1.980***
	(0.00103)
191.ID	-1.765***
	(0.00103)
192.ID	-1.980***
	(0.00103)
194.ID	-0
	(0.00103)
196.ID	-1.980***
	(0.00103)
197.ID	-0
	(0.00103)
198.ID	-1.980***
	(0.00103)
199.ID	-1.980***
	(0.00103)
200.ID	-0
	(0.00103)
201.ID	-1.980***
	(0.00103)
202.ID	-0
	(0.00103)
203.ID	0.509***
	(0.00103)
204.ID	0.509***
	(0.00103)
205.ID	-0.103
	(0.103)
206.ID	-1.980***
	(0.00103)
207.ID	-1.980***
	(0.00103)
208.ID	-1.980***
	(0.00103)
209.ID	-0
	(0.00103)
210.ID	-1.980***
	(0.00103)
212.ID	-1.980***
	(0.00103)
213.ID	0.509***
	(0.00103)
214.ID	-1.980***
	(0.00103)
217.ID	-0
	(0.00103)
218.ID	-1.980***
	(0.00103)
219.ID	-1.765***
	(0.00103)
220.ID	-0
	(0.00103)
221.ID	-0
	(0.00103)
222.ID	-1.765***
	(0.00103)
223.ID	-1.765***
	(0.00103)
224.ID	-0
	(0.00103)
225.ID	-1.980***
	(0.00103)
226.ID	-2.254***
	(0.00103)
227.ID	-0
	(0.00103)
228.ID	0.509***
	(0.00103)
229.ID	-0
	(0.00103)
230.ID	-0
	(0.00103)
231.ID	-1.765***
	(0.00103)
232.ID	-1.980***
	(0.00103)
233.ID	-1.765***
	(0.00103)
234.ID	-0
	(0.00103)
235.ID	-1.088***
	(0.00103)
236.ID	0.509***
	(0.00103)
237.ID	-0
	(0.00103)
238.ID	-0
	(0.00103)
239.ID	-0
	(0.00103)
240.ID	-0
	(0.00103)
241.ID	-0
	(0.00103)
242.ID	-1.980***
	(0.00103)
243.ID	-0.403***
	(0.00103)
244.ID	-0
	(0.00103)
245.ID	-1.980***
	(0.00103)
246.ID	-0
	(0.00103)
247.ID	-0
	(0.00103)
248.ID	-1.588***
	(0.00103)
249.ID	-1.980***
	(0.00103)
250.ID	0.509***
	(0.00103)
251.ID	-1.980***
	(0.00103)
252.ID	-1.765***
	(0.00103)
253.ID	-1.320**
	(0.660)
254.ID	-1.980***
	(0.00103)
255.ID	0.509***
	(0.00103)
256.ID	-0
	(0.00103)
257.ID	-0
	(0.00103)
258.ID	-1.980***
	(0.00103)
260.ID	-0
	(0.00103)
261.ID	-2.634***
	(0.00103)
263.ID	-1.980***
	(0.00103)
264.ID	0.509***
	(0.00103)
265.ID	0.00126
	(0.00345)
266.ID	-0
	(0.00103)
267.ID	-1.765***
	(0.00103)
268.ID	-0
	(0.00103)
269.ID	-1.980***
	(0.00103)
270.ID	-0
	(0.00103)
271.ID	-1.765***
	(0.00103)
272.ID	0.509***
	(0.00103)
274.ID	-1.980***
	(0.00103)
275.ID	-1.765***
	(0.00103)
276.ID	-0.403***
	(0.00103)
277.ID	-0
	(0.00103)
278.ID	-2.426***
	(0.00103)
279.ID	-1.765***
	(0.00103)
280.ID	-0
	(0.00103)
281.ID	-0
	(0.00103)
282.ID	-2.254***
	(0.00103)
283.ID	-1.980***
	(0.00103)
284.ID	-1.980***
	(0.00103)
285.ID	-1.980***
	(0.00103)
286.ID	-1.980***
	(0.00103)
288.ID	-0
	(0.00103)
289.ID	-0
	(0.00103)
290.ID	-0
	(0.00103)
291.ID	-1.980***
	(0.00103)
292.ID	0.0954
	(0.0962)
293.ID	-1.980***
	(0.00103)
294.ID	-1.588***
	(0.00103)
295.ID	-0
	(0.00103)
296.ID	-1.307***
	(0.00103)
297.ID	0.339**
	(0.170)
298.ID	-0
	(0.00103)
299.ID	0.509***
	(0.00103)
300.ID	-0
	(0.00103)
301.ID	-1.980***
	(0.00103)
302.ID	-1.765***
	(0.00103)
303.ID	-1.588***
	(0.00103)
304.ID	0.509***
	(0.00103)
305.ID	-0
	(0.00103)
306.ID	-1.588***
	(0.00103)
307.ID	-1.437***
	(0.00103)
308.ID	-1.088***
	(0.00103)
309.ID	-1.765***
	(0.00103)
310.ID	-1.980***
	(0.00103)
311.ID	-3.253***
	(0.00103)
312.ID	-0
	(0.00103)
313.ID	-1.765***
	(0.00103)
314.ID	-1.980***
	(0.00103)
315.ID	-1.980***
	(0.00103)
317.ID	-0
	(0.00103)
318.ID	-0
	(0.00103)
319.ID	-0
	(0.00103)
320.ID	-1.980***
	(0.00103)
321.ID	-1.588***
	(0.00103)
322.ID	0.509***
	(0.00103)
323.ID	-1.765***
	(0.00103)
324.ID	-0
	(0.00103)
325.ID	-1.980***
	(0.00103)
326.ID	-0
	(0.00103)
327.ID	-0
	(0.00103)
328.ID	-0
	(0.00103)
329.ID	-1.980***
	(0.00103)
330.ID	0.286***
	(0.00103)
331.ID	-1.980***
	(0.00103)
332.ID	-0
	(0.00103)
333.ID	-0
	(0.00103)
334.ID	-1.980***
	(0.00103)
335.ID	-1.980***
	(0.00103)
336.ID	-0.0686***
	(0.00103)
337.ID	-1.980***
	(0.00103)
338.ID	-0
	(0.00103)
339.ID	-0
	(0.00103)
340.ID	0.509***
	(0.00103)
341.ID	-1.765***
	(0.00103)
342.ID	-1.980***
	(0.00103)
343.ID	-0
	(0.00103)
345.ID	0.509***
	(0.00103)
346.ID	-3.253***
	(0.00103)
347.ID	-1.588***
	(0.00103)
348.ID	-1.980***
	(0.00103)
349.ID	-3.253***
	(0.00103)
350.ID	-1.320**
	(0.661)
352.ID	-0
	(0.00103)
353.ID	-0.403***
	(0.00103)
354.ID	-1.980***
	(0.00103)
355.ID	-1.588***
	(0.00103)
356.ID	-1.765***
	(0.00103)
357.ID	-0
	(0.00103)
358.ID	-1.980***
	(0.00103)
359.ID	-0
	(0.00103)
361.ID	-1.980***
	(0.00103)
364.ID	-0
	(0.00103)
365.ID	-1.980***
	(0.00103)
366.ID	0.509***
	(0.00103)
369.ID	-0
	(0.00103)
370.ID	-0
	(0.00103)
371.ID	-1.980***
	(0.00103)
372.ID	-0.934
	(0.934)
373.ID	-1.980***
	(0.00103)
374.ID	-0
	(0.00103)
375.ID	-1.980***
	(0.00103)
377.ID	-0
	(0.00103)
378.ID	-1.980***
	(0.00103)
379.ID	-1.765***
	(0.00103)
381.ID	-2.634***
	(0.00103)
382.ID	-3.253***
	(0.00103)
383.ID	-1.980***
	(0.00103)
385.ID	-0
	(0.00103)
386.ID	-2.634***
	(0.00103)
387.ID	-1.980***
	(0.00103)
388.ID	-1.765***
	(0.00103)
389.ID	-0
	(0.00103)
390.ID	0.339**
	(0.170)
391.ID	-1.980***
	(0.00103)
392.ID	-3.253***
	(0.00103)
393.ID	-0
	(0.00103)
395.ID	-0
	(0.00103)
396.ID	-0
	(0.00103)
397.ID	-1.980***
	(0.00103)
398.ID	-1.980***
	(0.00103)
399.ID	-1.765***
	(0.00103)
400.ID	-1.980***
	(0.00103)
401.ID	-1.088***
	(0.00103)
402.ID	-1.980***
	(0.00103)
403.ID	-1.980***
	(0.00103)
404.ID	-1.588***
	(0.00103)
405.ID	-1.980***
	(0.00103)
406.ID	-0.403***
	(0.00103)
407.ID	-0
	(0.00103)
408.ID	0.509***
	(0.00103)
409.ID	-2.634***
	(0.00103)
410.ID	-0.660
	(0.660)
411.ID	-2.254***
	(0.00103)
412.ID	-0
	(0.00103)
413.ID	-1.588***
	(0.00103)
414.ID	-1.980***
	(0.00103)
415.ID	-1.980***
	(0.00103)
417.ID	-2.634***
	(0.00103)
418.ID	-1.980***
	(0.00103)
419.ID	-1.980***
	(0.00103)
420.ID	-1.765***
	(0.00103)
421.ID	-1.980***
	(0.00103)
423.ID	-0
	(0.00103)
424.ID	-0
	(0.00103)
425.ID	-0
	(0.00103)
426.ID	-1.980***
	(0.00103)
428.ID	-1.980***
	(0.00103)
429.ID	-1.980***
	(0.00103)
430.ID	0.509***
	(0.00103)
431.ID	-1.765***
	(0.00103)
432.ID	-0
	(0.00103)
433.ID	-1.980***
	(0.00103)
434.ID	-1.980***
	(0.00103)
435.ID	0.509***
	(0.00103)
436.ID	-1.765***
	(0.00103)
437.ID	-2.634***
	(0.00103)
438.ID	-0
	(0.00103)
439.ID	-0
	(0.00103)
440.ID	-1.980***
	(0.00103)
441.ID	-0
	(0.00103)
442.ID	-0
	(0.00103)
443.ID	-1.980***
	(0.00103)
444.ID	0.286***
	(0.00103)
445.ID	-1.980***
	(0.00103)
446.ID	-0
	(0.00103)
447.ID	-1.088***
	(0.00103)
448.ID	-0
	(0.00103)
449.ID	-0
	(0.00103)
450.ID	-1.980***
	(0.00103)
451.ID	-0
	(0.00103)
452.ID	-1.765***
	(0.00103)
453.ID	0.339**
	(0.170)
454.ID	-1.765***
	(0.00103)
455.ID	-0
	(0.00103)
456.ID	-3.253***
	(0.00103)
457.ID	-1.765***
	(0.00103)
458.ID	0.339**
	(0.170)
459.ID	-1.765***
	(0.00103)
460.ID	-1.980***
	(0.00103)
461.ID	0.509***
	(0.00103)
462.ID	-0
	(0.00103)
