	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0163**
	(0.00658)
2.treated	0.0117**
	(0.00578)
3.treated	0.00864
	(0.00600)
1.ID	-1.588***
	(0.00485)
2.ID	-0
	(0.00485)
3.ID	-1.980***
	(0.00485)
4.ID	-0
	(0.00485)
5.ID	-1.765***
	(0.00485)
6.ID	-1.980***
	(0.00485)
7.ID	-0
	(0.00485)
8.ID	-1.765***
	(0.00485)
9.ID	-1.980***
	(0.00485)
10.ID	0.509***
	(0.00485)
11.ID	-1.088***
	(0.00485)
12.ID	-1.765***
	(0.00485)
13.ID	-1.980***
	(0.00485)
14.ID	-0
	(0.00485)
15.ID	-1.980***
	(0.00485)
16.ID	-0
	(0.00485)
17.ID	-0
	(0.00485)
18.ID	-1.980***
	(0.00485)
19.ID	-1.765***
	(0.00485)
20.ID	-0
	(0.00485)
21.ID	-1.765***
	(0.00485)
22.ID	-1.588***
	(0.00485)
23.ID	-0
	(0.00485)
24.ID	-0
	(0.00485)
25.ID	-1.765***
	(0.00485)
26.ID	-2.634***
	(0.00485)
27.ID	-1.980***
	(0.00485)
28.ID	-2.048***
	(0.0657)
29.ID	-1.980***
	(0.00485)
30.ID	-1.980***
	(0.00485)
31.ID	-0.908***
	(0.00485)
32.ID	-0
	(0.00485)
33.ID	-0
	(0.00485)
34.ID	-0
	(0.00485)
35.ID	-1.980***
	(0.00485)
36.ID	-1.980***
	(0.00485)
37.ID	-1.980***
	(0.00485)
38.ID	-1.980***
	(0.00485)
39.ID	-0
	(0.00485)
40.ID	-0
	(0.00485)
41.ID	-1.588***
	(0.00485)
42.ID	0.509***
	(0.00485)
43.ID	-1.980***
	(0.00485)
46.ID	-1.765***
	(0.00485)
47.ID	-2.504***
	(0.247)
48.ID	-0
	(0.00485)
49.ID	-0
	(0.00485)
50.ID	-0
	(0.00485)
51.ID	-1.980***
	(0.00485)
52.ID	-1.765***
	(0.00485)
53.ID	0.0716
	(0.0748)
54.ID	-1.980***
	(0.00485)
55.ID	-1.980***
	(0.00485)
56.ID	-0
	(0.00485)
57.ID	-1.980***
	(0.00485)
58.ID	-0
	(0.00485)
59.ID	-1.307***
	(0.00485)
60.ID	-1.980***
	(0.00485)
61.ID	-1.980***
	(0.00485)
62.ID	-1.765***
	(0.00485)
63.ID	-1.980***
	(0.00485)
64.ID	-0
	(0.00485)
65.ID	-1.980***
	(0.00485)
66.ID	-1.765***
	(0.00485)
67.ID	-0
	(0.00485)
68.ID	-0.403***
	(0.00485)
69.ID	-1.980***
	(0.00485)
70.ID	0.286***
	(0.00485)
71.ID	0.509***
	(0.00485)
72.ID	0.509***
	(0.00485)
73.ID	-1.980***
	(0.00485)
74.ID	-1.088***
	(0.00485)
75.ID	0.509***
	(0.00485)
76.ID	-1.980***
	(0.00485)
77.ID	-0.441
	(0.438)
78.ID	-1.980***
	(0.00485)
79.ID	-1.980***
	(0.00485)
80.ID	-0
	(0.00485)
81.ID	-1.980***
	(0.00485)
82.ID	-1.588***
	(0.00485)
83.ID	-1.765***
	(0.00485)
84.ID	-0
	(0.00485)
85.ID	-0
	(0.00485)
86.ID	-0
	(0.00485)
87.ID	-0
	(0.00485)
88.ID	0.509***
	(0.00485)
89.ID	-1.980***
	(0.00485)
90.ID	-1.980***
	(0.00485)
91.ID	-0.624***
	(0.00485)
92.ID	-4.557***
	(0.639)
93.ID	-1.588***
	(0.00485)
94.ID	-1.980***
	(0.00485)
95.ID	0.509***
	(0.00485)
96.ID	-1.980***
	(0.00485)
97.ID	-2.896***
	(0.00485)
98.ID	-1.088***
	(0.00485)
99.ID	-1.872***
	(0.0617)
100.ID	-1.765***
	(0.00485)
101.ID	-1.980***
	(0.00485)
102.ID	-2.634***
	(0.00485)
103.ID	-1.980***
	(0.00485)
104.ID	-1.980***
	(0.00485)
105.ID	-1.980***
	(0.00485)
106.ID	0.509***
	(0.00485)
107.ID	0.509***
	(0.00485)
108.ID	0.509***
	(0.00485)
109.ID	-1.765***
	(0.00485)
110.ID	-2.634***
	(0.00485)
111.ID	-2.634***
	(0.00485)
112.ID	-0
	(0.00485)
113.ID	-1.980***
	(0.00485)
114.ID	-0
	(0.00485)
115.ID	-0
	(0.00485)
116.ID	-1.720***
	(0.0475)
117.ID	-0
	(0.00485)
118.ID	-0
	(0.00485)
119.ID	0.509***
	(0.00485)
120.ID	-0.756***
	(0.00485)
121.ID	-0
	(0.00485)
122.ID	0.509***
	(0.00485)
123.ID	-1.765***
	(0.00485)
124.ID	0.509***
	(0.00485)
125.ID	-0
	(0.00485)
126.ID	-0
	(0.00485)
127.ID	-2.634***
	(0.00485)
128.ID	-1.765***
	(0.00485)
129.ID	-0
	(0.00485)
130.ID	-2.254***
	(0.00485)
131.ID	-1.765***
	(0.00485)
132.ID	-2.634***
	(0.00485)
133.ID	-0
	(0.00485)
134.ID	-1.088***
	(0.00485)
135.ID	-1.485***
	(0.493)
136.ID	-0
	(0.00485)
137.ID	-0
	(0.00485)
138.ID	0.509***
	(0.00485)
139.ID	-1.980***
	(0.00485)
140.ID	-1.588***
	(0.00485)
141.ID	-0
	(0.00485)
142.ID	-1.980***
	(0.00485)
144.ID	-1.926***
	(0.0542)
145.ID	-1.765***
	(0.00485)
146.ID	-0
	(0.00485)
147.ID	0.509***
	(0.00485)
148.ID	-0
	(0.00485)
149.ID	-2.634***
	(0.00485)
150.ID	-1.980***
	(0.00485)
151.ID	-1.765***
	(0.00485)
152.ID	-0
	(0.00485)
153.ID	-0
	(0.00485)
154.ID	-0
	(0.00485)
155.ID	-1.980***
	(0.00485)
156.ID	-1.980***
	(0.00485)
157.ID	-0
	(0.00485)
158.ID	-0
	(0.00485)
159.ID	-1.765***
	(0.00485)
160.ID	-0
	(0.00485)
161.ID	0.286***
	(0.00485)
162.ID	-1.588***
	(0.00485)
163.ID	-1.088***
	(0.00485)
164.ID	-1.980***
	(0.00485)
165.ID	-1.980***
	(0.00485)
166.ID	-0
	(0.00485)
167.ID	-1.980***
	(0.00485)
168.ID	-0
	(0.00485)
169.ID	-0
	(0.00485)
170.ID	-1.765***
	(0.00485)
171.ID	-1.765***
	(0.00485)
172.ID	-1.980***
	(0.00485)
173.ID	-0
	(0.00485)
174.ID	-0
	(0.00485)
175.ID	-1.765***
	(0.00485)
176.ID	-1.980***
	(0.00485)
177.ID	-0
	(0.00485)
178.ID	-2.634***
	(0.00485)
179.ID	-1.980***
	(0.00485)
180.ID	-0.829***
	(0.00485)
181.ID	-2.634***
	(0.00485)
182.ID	-1.980***
	(0.00485)
183.ID	-1.765***
	(0.00485)
184.ID	-1.980***
	(0.00485)
185.ID	-1.765***
	(0.00485)
186.ID	-0.403***
	(0.00485)
187.ID	0.509***
	(0.00485)
188.ID	0.0716
	(0.0694)
189.ID	-1.765***
	(0.00485)
190.ID	-1.980***
	(0.00485)
191.ID	-1.765***
	(0.00485)
192.ID	-1.980***
	(0.00485)
194.ID	-0.0453
	(0.0424)
196.ID	-1.980***
	(0.00485)
197.ID	-0
	(0.00485)
198.ID	-1.980***
	(0.00485)
199.ID	-1.980***
	(0.00485)
200.ID	-0
	(0.00485)
201.ID	-1.980***
	(0.00485)
202.ID	-0
	(0.00485)
203.ID	0.509***
	(0.00485)
204.ID	0.509***
	(0.00485)
205.ID	-0.308***
	(0.00485)
206.ID	-1.980***
	(0.00485)
207.ID	-1.980***
	(0.00485)
208.ID	-1.980***
	(0.00485)
209.ID	0.127
	(0.130)
210.ID	-1.980***
	(0.00485)
212.ID	-1.980***
	(0.00485)
213.ID	0.509***
	(0.00485)
214.ID	-1.980***
	(0.00485)
217.ID	-0
	(0.00485)
218.ID	-1.980***
	(0.00485)
219.ID	-1.765***
	(0.00485)
220.ID	-0
	(0.00485)
221.ID	-0
	(0.00485)
222.ID	-1.765***
	(0.00485)
223.ID	-1.765***
	(0.00485)
224.ID	-0
	(0.00485)
225.ID	-1.980***
	(0.00485)
226.ID	-2.254***
	(0.00485)
227.ID	-0
	(0.00485)
228.ID	0.509***
	(0.00485)
229.ID	-0
	(0.00485)
230.ID	-0
	(0.00485)
231.ID	-1.765***
	(0.00485)
232.ID	-1.980***
	(0.00485)
233.ID	-1.765***
	(0.00485)
234.ID	-0
	(0.00485)
235.ID	-1.088***
	(0.00485)
236.ID	0.509***
	(0.00485)
237.ID	-0
	(0.00485)
238.ID	-0
	(0.00485)
239.ID	0.143*
	(0.0847)
240.ID	-0
	(0.00485)
241.ID	-0
	(0.00485)
242.ID	-1.980***
	(0.00485)
243.ID	-0.403***
	(0.00485)
244.ID	-0
	(0.00485)
245.ID	-1.980***
	(0.00485)
246.ID	-0
	(0.00485)
247.ID	-0
	(0.00485)
248.ID	-1.588***
	(0.00485)
249.ID	-1.980***
	(0.00485)
250.ID	0.509***
	(0.00485)
251.ID	-1.980***
	(0.00485)
252.ID	-1.765***
	(0.00485)
253.ID	-1.980***
	(0.00485)
254.ID	-1.980***
	(0.00485)
255.ID	0.509***
	(0.00485)
256.ID	-0
	(0.00485)
257.ID	-0
	(0.00485)
258.ID	-1.980***
	(0.00485)
260.ID	-0
	(0.00485)
261.ID	-2.634***
	(0.00485)
263.ID	-1.980***
	(0.00485)
264.ID	0.509***
	(0.00485)
265.ID	0.509***
	(0.00485)
266.ID	-0
	(0.00485)
267.ID	-1.765***
	(0.00485)
268.ID	-0
	(0.00485)
269.ID	-1.485***
	(0.493)
270.ID	-0
	(0.00485)
271.ID	-1.765***
	(0.00485)
272.ID	0.509***
	(0.00485)
274.ID	-1.980***
	(0.00485)
275.ID	-1.765***
	(0.00485)
276.ID	-0.403***
	(0.00485)
277.ID	-0
	(0.00485)
278.ID	-2.426***
	(0.00485)
279.ID	-1.765***
	(0.00485)
280.ID	-0
	(0.00485)
281.ID	-0
	(0.00485)
282.ID	-2.254***
	(0.00485)
283.ID	-1.980***
	(0.00485)
284.ID	-1.980***
	(0.00485)
285.ID	-1.980***
	(0.00485)
286.ID	-1.980***
	(0.00485)
288.ID	-0
	(0.00485)
289.ID	-0
	(0.00485)
290.ID	-0
	(0.00485)
291.ID	-1.980***
	(0.00485)
292.ID	0.215***
	(0.0687)
293.ID	-1.980***
	(0.00485)
294.ID	-1.588***
	(0.00485)
295.ID	-0
	(0.00485)
296.ID	-1.307***
	(0.00485)
297.ID	0.381***
	(0.128)
298.ID	-0
	(0.00485)
299.ID	0.509***
	(0.00485)
300.ID	-0
	(0.00485)
301.ID	-1.980***
	(0.00485)
302.ID	-1.765***
	(0.00485)
303.ID	-1.588***
	(0.00485)
304.ID	0.509***
	(0.00485)
305.ID	-0
	(0.00485)
306.ID	-1.588***
	(0.00485)
307.ID	-1.437***
	(0.00485)
308.ID	-1.088***
	(0.00485)
309.ID	-1.765***
	(0.00485)
310.ID	-1.980***
	(0.00485)
311.ID	-3.253***
	(0.00485)
312.ID	-0
	(0.00485)
313.ID	-1.765***
	(0.00485)
314.ID	-1.980***
	(0.00485)
315.ID	-1.980***
	(0.00485)
317.ID	-0
	(0.00485)
318.ID	-0
	(0.00485)
319.ID	-0
	(0.00485)
320.ID	-1.980***
	(0.00485)
321.ID	-1.588***
	(0.00485)
322.ID	0.509***
	(0.00485)
323.ID	-1.765***
	(0.00485)
324.ID	-0
	(0.00485)
325.ID	-1.980***
	(0.00485)
326.ID	-0
	(0.00485)
327.ID	-0
	(0.00485)
328.ID	-0
	(0.00485)
329.ID	-1.980***
	(0.00485)
330.ID	0.286***
	(0.00485)
331.ID	-1.980***
	(0.00485)
332.ID	-0
	(0.00485)
333.ID	-0
	(0.00485)
334.ID	-1.980***
	(0.00485)
335.ID	-1.980***
	(0.00485)
336.ID	-0.0686***
	(0.00485)
337.ID	-1.980***
	(0.00485)
338.ID	-0
	(0.00485)
339.ID	-0
	(0.00485)
340.ID	0.509***
	(0.00485)
341.ID	-1.765***
	(0.00485)
342.ID	-1.980***
	(0.00485)
343.ID	-0
	(0.00485)
345.ID	0.509***
	(0.00485)
346.ID	-3.253***
	(0.00485)
347.ID	-1.588***
	(0.00485)
348.ID	-1.980***
	(0.00485)
349.ID	-3.253***
	(0.00485)
350.ID	-1.980***
	(0.00485)
352.ID	-0
	(0.00485)
353.ID	-0.403***
	(0.00485)
354.ID	-1.980***
	(0.00485)
355.ID	-1.588***
	(0.00485)
356.ID	-1.765***
	(0.00485)
357.ID	-0
	(0.00485)
358.ID	-1.980***
	(0.00485)
359.ID	-0
	(0.00485)
361.ID	-1.980***
	(0.00485)
364.ID	-0
	(0.00485)
365.ID	-1.980***
	(0.00485)
366.ID	0.509***
	(0.00485)
369.ID	-0
	(0.00485)
370.ID	-0
	(0.00485)
371.ID	-1.980***
	(0.00485)
372.ID	-0.700
	(0.697)
373.ID	-1.980***
	(0.00485)
374.ID	-0
	(0.00485)
375.ID	-1.980***
	(0.00485)
377.ID	-0
	(0.00485)
378.ID	-1.980***
	(0.00485)
379.ID	-1.765***
	(0.00485)
381.ID	-2.634***
	(0.00485)
382.ID	-3.253***
	(0.00485)
383.ID	-1.980***
	(0.00485)
385.ID	-0
	(0.00485)
386.ID	-2.634***
	(0.00485)
387.ID	-1.980***
	(0.00485)
388.ID	-1.765***
	(0.00485)
389.ID	-0
	(0.00485)
390.ID	0.509***
	(0.00485)
391.ID	-1.980***
	(0.00485)
392.ID	-3.253***
	(0.00485)
393.ID	-0
	(0.00485)
395.ID	-0
	(0.00485)
396.ID	-0
	(0.00485)
397.ID	-1.980***
	(0.00485)
398.ID	-1.980***
	(0.00485)
399.ID	-1.765***
	(0.00485)
400.ID	-1.980***
	(0.00485)
401.ID	-1.088***
	(0.00485)
402.ID	-1.980***
	(0.00485)
403.ID	-1.980***
	(0.00485)
404.ID	-1.588***
	(0.00485)
405.ID	-1.980***
	(0.00485)
406.ID	-0.403***
	(0.00485)
407.ID	-0
	(0.00485)
408.ID	0.509***
	(0.00485)
409.ID	-2.634***
	(0.00485)
410.ID	-1.980***
	(0.00485)
411.ID	-2.254***
	(0.00485)
412.ID	-0
	(0.00485)
413.ID	-1.588***
	(0.00485)
414.ID	-1.980***
	(0.00485)
415.ID	-1.980***
	(0.00485)
417.ID	-2.634***
	(0.00485)
418.ID	-1.980***
	(0.00485)
419.ID	-1.980***
	(0.00485)
420.ID	-1.765***
	(0.00485)
421.ID	-1.980***
	(0.00485)
423.ID	-0
	(0.00485)
424.ID	-0
	(0.00485)
425.ID	-0
	(0.00485)
426.ID	-1.980***
	(0.00485)
428.ID	-1.980***
	(0.00485)
429.ID	-1.980***
	(0.00485)
430.ID	0.509***
	(0.00485)
431.ID	-1.765***
	(0.00485)
432.ID	-0
	(0.00485)
433.ID	-1.980***
	(0.00485)
434.ID	-1.980***
	(0.00485)
435.ID	0.509***
	(0.00485)
436.ID	-1.765***
	(0.00485)
437.ID	-2.634***
	(0.00485)
438.ID	-0
	(0.00485)
439.ID	-0
	(0.00485)
440.ID	-1.818***
	(0.0539)
441.ID	-0
	(0.00485)
442.ID	-0
	(0.00485)
443.ID	-1.980***
	(0.00485)
444.ID	0.286***
	(0.00485)
445.ID	-1.980***
	(0.00485)
446.ID	-0
	(0.00485)
447.ID	-1.088***
	(0.00485)
448.ID	-0
	(0.00485)
449.ID	-0
	(0.00485)
450.ID	-1.980***
	(0.00485)
451.ID	-0
	(0.00485)
452.ID	-1.765***
	(0.00485)
453.ID	0.509***
	(0.00485)
454.ID	-1.765***
	(0.00485)
455.ID	-0
	(0.00485)
456.ID	-3.253***
	(0.00485)
457.ID	-1.765***
	(0.00485)
458.ID	0.381***
	(0.124)
459.ID	-1.765***
	(0.00485)
