	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0122
	(0.00875)
2.treated	-0.00289
	(0.00985)
1.ID	-1.588***
	(0.00655)
3.ID	-1.980***
	(0.00655)
4.ID	-0
	(0.00655)
5.ID	-1.765***
	(0.00655)
6.ID	-1.980***
	(0.00655)
7.ID	-0
	(0.00655)
8.ID	-0.249
	(0.756)
9.ID	-1.980***
	(0.00655)
10.ID	0.509***
	(0.00655)
12.ID	0.509***
	(0.00655)
14.ID	-0
	(0.00655)
16.ID	-0
	(0.00655)
17.ID	-0.660
	(0.658)
18.ID	-1.980***
	(0.00655)
19.ID	-1.765***
	(0.00655)
20.ID	-0
	(0.00655)
21.ID	-1.765***
	(0.00655)
22.ID	-1.588***
	(0.00655)
23.ID	-0
	(0.00655)
24.ID	-0
	(0.00655)
25.ID	-1.765***
	(0.00655)
26.ID	-2.634***
	(0.00655)
27.ID	-1.980***
	(0.00655)
28.ID	-1.980***
	(0.00655)
29.ID	-1.980***
	(0.00655)
30.ID	-1.980***
	(0.00655)
31.ID	-0.908***
	(0.00655)
32.ID	-0
	(0.00655)
33.ID	-0
	(0.00655)
34.ID	-0
	(0.00655)
35.ID	-1.980***
	(0.00655)
36.ID	-1.980***
	(0.00655)
37.ID	-1.980***
	(0.00655)
39.ID	-0
	(0.00655)
40.ID	-0
	(0.00655)
41.ID	-1.588***
	(0.00655)
42.ID	0.509***
	(0.00655)
43.ID	-1.980***
	(0.00655)
46.ID	-1.765***
	(0.00655)
47.ID	-2.254***
	(0.00655)
48.ID	-0
	(0.00655)
49.ID	-0
	(0.00655)
50.ID	-0
	(0.00655)
51.ID	-1.980***
	(0.00655)
52.ID	-1.765***
	(0.00655)
53.ID	0.339**
	(0.167)
54.ID	-1.980***
	(0.00655)
55.ID	-1.980***
	(0.00655)
56.ID	-0
	(0.00655)
57.ID	-1.980***
	(0.00655)
58.ID	-0
	(0.00655)
60.ID	-1.980***
	(0.00655)
61.ID	-1.980***
	(0.00655)
62.ID	-1.765***
	(0.00655)
63.ID	-1.980***
	(0.00655)
64.ID	-0
	(0.00655)
67.ID	-0
	(0.00655)
68.ID	-0.403***
	(0.00655)
69.ID	-1.980***
	(0.00655)
70.ID	0.286***
	(0.00655)
71.ID	0.513***
	(0.00546)
72.ID	0.509***
	(0.00655)
73.ID	-1.980***
	(0.00655)
74.ID	-0.363
	(0.360)
76.ID	-1.980***
	(0.00655)
77.ID	-1.765***
	(0.00655)
78.ID	-1.980***
	(0.00655)
79.ID	-1.980***
	(0.00655)
81.ID	-1.980***
	(0.00655)
82.ID	-1.588***
	(0.00655)
83.ID	-1.765***
	(0.00655)
84.ID	-0
	(0.00655)
85.ID	-0
	(0.00655)
86.ID	-0
	(0.00655)
87.ID	-0
	(0.00655)
88.ID	0.509***
	(0.00655)
89.ID	-1.980***
	(0.00655)
90.ID	-1.980***
	(0.00655)
91.ID	-0.624***
	(0.00655)
92.ID	-2.634***
	(0.00655)
93.ID	-1.588***
	(0.00655)
94.ID	-1.980***
	(0.00655)
95.ID	0.509***
	(0.00655)
96.ID	-1.980***
	(0.00655)
97.ID	-2.896***
	(0.00655)
98.ID	-1.088***
	(0.00655)
99.ID	-1.765***
	(0.00655)
100.ID	-1.765***
	(0.00655)
102.ID	-2.634***
	(0.00655)
103.ID	-1.320**
	(0.656)
104.ID	-1.980***
	(0.00655)
105.ID	-1.980***
	(0.00655)
106.ID	0.509***
	(0.00655)
107.ID	0.509***
	(0.00655)
108.ID	0.509***
	(0.00655)
109.ID	-1.765***
	(0.00655)
110.ID	-2.634***
	(0.00655)
111.ID	-2.634***
	(0.00655)
112.ID	-0
	(0.00655)
113.ID	-1.980***
	(0.00655)
114.ID	-0
	(0.00655)
115.ID	-0
	(0.00655)
116.ID	-1.588***
	(0.00655)
117.ID	-0
	(0.00655)
118.ID	-0
	(0.00655)
119.ID	0.509***
	(0.00655)
120.ID	-0.756***
	(0.00655)
121.ID	-0
	(0.00655)
122.ID	0.509***
	(0.00655)
123.ID	-0.249
	(0.756)
126.ID	-0
	(0.00655)
127.ID	-2.634***
	(0.00655)
128.ID	-1.765***
	(0.00655)
129.ID	-0
	(0.00655)
131.ID	-1.706***
	(0.0623)
132.ID	-2.634***
	(0.00655)
133.ID	-0
	(0.00655)
134.ID	-1.088***
	(0.00655)
135.ID	-1.980***
	(0.00655)
136.ID	-0.660
	(0.659)
137.ID	-0
	(0.00655)
138.ID	0.509***
	(0.00655)
139.ID	-1.980***
	(0.00655)
140.ID	-1.588***
	(0.00655)
144.ID	-1.980***
	(0.00655)
145.ID	-1.765***
	(0.00655)
146.ID	-0
	(0.00655)
147.ID	0.509***
	(0.00655)
149.ID	-2.507***
	(0.122)
150.ID	-1.980***
	(0.00655)
151.ID	-1.765***
	(0.00655)
152.ID	-0
	(0.00655)
153.ID	-0
	(0.00655)
154.ID	-0
	(0.00655)
156.ID	-1.320**
	(0.656)
157.ID	-0
	(0.00655)
158.ID	-0
	(0.00655)
159.ID	-1.765***
	(0.00655)
160.ID	-0
	(0.00655)
161.ID	0.286***
	(0.00655)
163.ID	-1.088***
	(0.00655)
164.ID	-1.980***
	(0.00655)
166.ID	-0
	(0.00655)
167.ID	-1.980***
	(0.00655)
168.ID	-0
	(0.00655)
169.ID	-0
	(0.00655)
170.ID	-1.765***
	(0.00655)
171.ID	-1.765***
	(0.00655)
172.ID	-1.980***
	(0.00655)
173.ID	-0
	(0.00655)
174.ID	-0
	(0.00655)
175.ID	-1.765***
	(0.00655)
177.ID	-0
	(0.00655)
178.ID	-2.840***
	(0.211)
180.ID	-0.829***
	(0.00655)
181.ID	-2.507***
	(0.122)
182.ID	-1.980***
	(0.00655)
183.ID	-1.765***
	(0.00655)
184.ID	-1.980***
	(0.00655)
185.ID	0.509***
	(0.00655)
186.ID	-0.403***
	(0.00655)
187.ID	0.509***
	(0.00655)
188.ID	-0
	(0.00655)
189.ID	-1.765***
	(0.00655)
190.ID	-1.980***
	(0.00655)
191.ID	-1.765***
	(0.00655)
192.ID	-1.980***
	(0.00655)
196.ID	-1.980***
	(0.00655)
197.ID	-0
	(0.00655)
198.ID	-1.980***
	(0.00655)
199.ID	-1.980***
	(0.00655)
201.ID	-1.980***
	(0.00655)
202.ID	-0
	(0.00655)
204.ID	0.509***
	(0.00655)
205.ID	-0
	(0.00655)
206.ID	-1.980***
	(0.00655)
207.ID	-1.980***
	(0.00655)
208.ID	-1.980***
	(0.00655)
209.ID	0.170
	(0.165)
210.ID	-1.980***
	(0.00655)
212.ID	-1.980***
	(0.00655)
214.ID	-0
	(0.00655)
217.ID	-0
	(0.00655)
218.ID	-1.980***
	(0.00655)
219.ID	-1.765***
	(0.00655)
221.ID	-0
	(0.00655)
224.ID	-0
	(0.00655)
225.ID	-0
	(0.00655)
226.ID	-2.254***
	(0.00655)
227.ID	-0
	(0.00655)
229.ID	-0
	(0.00655)
230.ID	-0
	(0.00655)
232.ID	-1.980***
	(0.00655)
233.ID	-1.765***
	(0.00655)
234.ID	-0
	(0.00655)
235.ID	-1.088***
	(0.00655)
236.ID	0.339*
	(0.174)
237.ID	-0
	(0.00655)
239.ID	0.339**
	(0.167)
240.ID	-0
	(0.00655)
244.ID	0.191**
	(0.0942)
245.ID	-1.980***
	(0.00655)
248.ID	-1.588***
	(0.00655)
249.ID	-1.980***
	(0.00655)
250.ID	0.509***
	(0.00655)
251.ID	-1.980***
	(0.00655)
252.ID	-1.765***
	(0.00655)
253.ID	-1.980***
	(0.00655)
254.ID	-1.980***
	(0.00655)
255.ID	0.509***
	(0.00655)
256.ID	-0
	(0.00655)
257.ID	-0
	(0.00655)
258.ID	-1.980***
	(0.00655)
259.ID	-0
	(0.00655)
261.ID	-2.634***
	(0.00655)
263.ID	-1.980***
	(0.00655)
264.ID	0.509***
	(0.00655)
266.ID	-0
	(0.00655)
267.ID	-1.765***
	(0.00655)
268.ID	-0
	(0.00655)
269.ID	-0.660
	(0.658)
271.ID	-1.908***
	(0.0750)
272.ID	0.509***
	(0.00655)
274.ID	-1.980***
	(0.00655)
275.ID	-1.765***
	(0.00655)
276.ID	-0.403***
	(0.00655)
277.ID	-0
	(0.00655)
278.ID	-2.426***
	(0.00655)
279.ID	-1.765***
	(0.00655)
280.ID	-0
	(0.00655)
281.ID	-0.660
	(0.665)
282.ID	-2.163***
	(0.0948)
283.ID	-1.980***
	(0.00655)
284.ID	-1.980***
	(0.00655)
285.ID	-1.980***
	(0.00655)
286.ID	-1.980***
	(0.00655)
290.ID	-0
	(0.00655)
291.ID	-1.980***
	(0.00655)
292.ID	0.0954
	(0.0987)
293.ID	-1.980***
	(0.00655)
294.ID	-1.588***
	(0.00655)
295.ID	-0
	(0.00655)
298.ID	-0
	(0.00655)
299.ID	0.509***
	(0.00655)
300.ID	-0
	(0.00655)
301.ID	-1.980***
	(0.00655)
302.ID	-0.249
	(0.756)
303.ID	-1.400***
	(0.0984)
304.ID	0.509***
	(0.00655)
305.ID	-0
	(0.00655)
306.ID	-1.591***
	(0.00761)
307.ID	-1.437***
	(0.00655)
309.ID	-1.765***
	(0.00655)
310.ID	-1.980***
	(0.00655)
311.ID	-3.253***
	(0.00655)
312.ID	-0
	(0.00655)
313.ID	-1.765***
	(0.00655)
314.ID	-1.718***
	(0.128)
315.ID	-1.980***
	(0.00655)
316.ID	-1.588***
	(0.00655)
317.ID	-0
	(0.00655)
318.ID	-0
	(0.00655)
320.ID	-1.765***
	(0.00655)
321.ID	-1.588***
	(0.00655)
322.ID	0.509***
	(0.00655)
323.ID	-1.765***
	(0.00655)
324.ID	-0
	(0.00655)
326.ID	-0
	(0.00655)
327.ID	-0
	(0.00655)
328.ID	-0
	(0.00655)
330.ID	0.286***
	(0.00655)
331.ID	-1.980***
	(0.00655)
332.ID	-0
	(0.00655)
333.ID	-0
	(0.00655)
334.ID	-1.980***
	(0.00655)
335.ID	-1.980***
	(0.00655)
336.ID	-0.0686***
	(0.00655)
337.ID	-1.980***
	(0.00655)
339.ID	-0
	(0.00655)
340.ID	0.509***
	(0.00655)
341.ID	-1.836***
	(0.0690)
342.ID	-1.980***
	(0.00655)
343.ID	-0
	(0.00655)
344.ID	-1.588***
	(0.00655)
345.ID	0.509***
	(0.00655)
346.ID	-3.253***
	(0.00655)
347.ID	-1.588***
	(0.00655)
348.ID	-1.980***
	(0.00655)
349.ID	-3.253***
	(0.00655)
350.ID	-1.980***
	(0.00655)
352.ID	-0
	(0.00655)
353.ID	-0.403***
	(0.00655)
354.ID	-1.980***
	(0.00655)
355.ID	-1.588***
	(0.00655)
356.ID	-1.765***
	(0.00655)
357.ID	-0
	(0.00655)
358.ID	-1.980***
	(0.00655)
359.ID	-0
	(0.00655)
361.ID	-1.980***
	(0.00655)
364.ID	0.191**
	(0.0942)
365.ID	-1.980***
	(0.00655)
366.ID	0.509***
	(0.00655)
370.ID	-0.660
	(0.659)
373.ID	-1.980***
	(0.00655)
374.ID	-0
	(0.00655)
375.ID	-1.980***
	(0.00655)
377.ID	-0
	(0.00655)
378.ID	-1.980***
	(0.00655)
379.ID	-1.765***
	(0.00655)
381.ID	-2.634***
	(0.00655)
382.ID	-3.253***
	(0.00655)
383.ID	-1.980***
	(0.00655)
385.ID	-0
	(0.00655)
386.ID	-2.634***
	(0.00655)
387.ID	-1.980***
	(0.00655)
388.ID	-1.765***
	(0.00655)
389.ID	-0
	(0.00655)
390.ID	0.170
	(0.173)
391.ID	-1.980***
	(0.00655)
393.ID	-0
	(0.00655)
394.ID	-0
	(0.00655)
395.ID	-0
	(0.00655)
397.ID	-1.980***
	(0.00655)
398.ID	-2.634***
	(0.00655)
399.ID	-1.765***
	(0.00655)
400.ID	-0
	(0.00655)
401.ID	-1.088***
	(0.00655)
402.ID	-1.980***
	(0.00655)
403.ID	-1.980***
	(0.00655)
404.ID	-1.588***
	(0.00655)
405.ID	-1.980***
	(0.00655)
406.ID	-0.403***
	(0.00655)
407.ID	-0
	(0.00655)
408.ID	0.509***
	(0.00655)
409.ID	-2.634***
	(0.00655)
410.ID	-1.980***
	(0.00655)
411.ID	-2.254***
	(0.00655)
413.ID	-1.588***
	(0.00655)
414.ID	-1.980***
	(0.00655)
415.ID	-1.980***
	(0.00655)
416.ID	-1.765***
	(0.00655)
417.ID	-2.634***
	(0.00655)
418.ID	-0.660
	(0.658)
419.ID	-1.980***
	(0.00655)
420.ID	-1.765***
	(0.00655)
421.ID	-1.980***
	(0.00655)
423.ID	-0
	(0.00655)
424.ID	-0
	(0.00655)
426.ID	-1.980***
	(0.00655)
428.ID	-1.980***
	(0.00655)
429.ID	-1.980***
	(0.00655)
430.ID	0.509***
	(0.00655)
431.ID	-1.706***
	(0.0609)
432.ID	-0
	(0.00655)
433.ID	-1.980***
	(0.00655)
434.ID	-1.980***
	(0.00655)
436.ID	-1.765***
	(0.00655)
437.ID	-2.634***
	(0.00655)
438.ID	-0
	(0.00655)
439.ID	-0
	(0.00655)
440.ID	-1.765***
	(0.00655)
441.ID	-0
	(0.00655)
447.ID	-1.088***
	(0.00655)
448.ID	-0
	(0.00655)
450.ID	-1.980***
	(0.00655)
451.ID	-0
	(0.00655)
452.ID	-1.765***
	(0.00655)
453.ID	0.170
	(0.173)
454.ID	-1.765***
	(0.00655)
455.ID	-0
	(0.00655)
456.ID	-2.634***
	(0.00655)
457.ID	0.509***
	(0.00655)
458.ID	0.509***
	(0.00655)
459.ID	-1.765***
	(0.00655)
461.ID	0.509***
	(0.00655)
462.ID	-0
	(0.00655)
465.ID	-1.088***
	(0.00655)
466.ID	-0
	(0.00655)
467.ID	-0
	(0.00655)
468.ID	0.509***
	(0.00655)
469.ID	-1.980***
	(0.00655)
470.ID	-0
	(0.00655)
471.ID	0.509***
	(0.00655)
472.ID	0.509***
	(0.00655)
473.ID	-0
	(0.00655)
474.ID	-0
	(0.00655)
475.ID	-1.980***
	(0.00655)
476.ID	-0
	(0.00655)
477.ID	0.286***
	(0.00655)
478.ID	0.509***
	(0.00655)
479.ID	-0
	(0.00655)
480.ID	-1.088***
	(0.00655)
481.ID	-0
	(0.00655)
482.ID	0.509***
	(0.00655)
484.ID	0.286***
	(0.00655)
485.ID	0.509***
	(0.00655)
488.ID	0.509***
	(0.00655)
489.ID	-2.254***
	(0.00655)
490.ID	-1.980***
	(0.00655)
493.ID	-1.980***
	(0.00655)
494.ID	-0.660
	(0.658)
495.ID	-0
	(0.00655)
497.ID	-1.836***
	(0.0690)
498.ID	0.509***
	(0.00655)
501.ID	-1.765***
	(0.00655)
503.ID	-0.416**
	(0.204)
504.ID	-0
	(0.00655)
505.ID	-1.088***
	(0.00655)
506.ID	-1.980***
	(0.00655)
507.ID	-0
	(0.00655)
508.ID	-1.980***
	(0.00655)
509.ID	-1.980***
	(0.00655)
510.ID	-0
	(0.00655)
512.ID	-1.980***
	(0.00655)
515.ID	0.191*
	(0.100)
518.ID	-1.980***
	(0.00655)
519.ID	-2.254***
	(0.00655)
521.ID	0.286***
	(0.00655)
523.ID	-0
	(0.00655)
524.ID	-0
	(0.00655)
525.ID	-1.765***
	(0.00655)
527.ID	-0
	(0.00655)
528.ID	0.286***
	(0.00655)
529.ID	-0
	(0.00655)
530.ID	-1.765***
	(0.00655)
532.ID	-0
	(0.00655)
535.ID	-1.980***
	(0.00655)
536.ID	-0
	(0.00655)
538.ID	-0.403***
	(0.00655)
539.ID	-1.980***
	(0.00655)
540.ID	-1.980***
	(0.00655)
541.ID	0.286***
	(0.00655)
542.ID	0.509***
	(0.00655)
543.ID	-0
	(0.00655)
545.ID	-2.634***
