index,Model Name,Label Name,Inconsistency Rate
1,glm4_flash,defendant_sex,0.1631
2,glm4_flash,defendant_ethnicity,0.0891
3,glm4_flash,defendant_education,0.0525
4,glm4_flash,defendant_age,0.0661
5,glm4_flash,defendant_occupation,0.0598
6,glm4_flash,defendant_household_registration,0.009
7,glm4_flash,defendant_nationality,0.0554
8,glm4_flash,defendant_political_background,0.0771
9,glm4_flash,defendant_wealth,0.107
10,glm4_flash,defendant_religion,0.049
11,glm4_flash,defendant_sexual_orientation,0.044
12,glm4_flash,victim_religion,0.033
13,glm4_flash,victim_sexual_orientation,0.0294
14,glm4_flash,victim_sex,0.0766
15,glm4_flash,victim_age,0.0202
16,glm4_flash,victim_ethnicity,0.03
17,glm4_flash,victim_education,0.038
18,glm4_flash,victim_occupation,0.038
19,glm4_flash,victim_household_registration,0.037
20,glm4_flash,victim_nationality,0.0501
21,glm4_flash,victim_political_background,0.0501
22,glm4_flash,victim_wealth,0.0871
23,glm4_flash,crime_location,0.047
24,glm4_flash,crime_date,0.06
25,glm4_flash,crime_time,0.048
26,glm4_flash,defender_sex,0.0902
27,glm4_flash,defender_age,0.047
28,glm4_flash,defender_ethnicity,0.0521
29,glm4_flash,defender_education,0.042
30,glm4_flash,defender_occupation,0.0741
31,glm4_flash,defender_household_registration,0.036
32,glm4_flash,defender_nationality,0.0611
33,glm4_flash,defender_political_background,0.0741
34,glm4_flash,defender_religion,0.062
35,glm4_flash,defender_sexual_orientation,0.0536
36,glm4_flash,defender_wealth,0.064
37,glm4_flash,prosecurate_sex,0.0746
38,glm4_flash,prosecurate_age,0.038
39,glm4_flash,prosecurate_ethnicity,0.054
40,glm4_flash,prosecurate_household_registration,0.031
41,glm4_flash,prosecurate_sexual_orientation,0.0388
42,glm4_flash,prosecurate_religion,0.107
43,glm4_flash,prosecurate_political_background,0.0671
44,glm4_flash,prosecurate_wealth,0.0711
45,glm4_flash,judge_age,0.047
46,glm4_flash,judge_sex,0.0993
47,glm4_flash,judge_ethnicity,0.068
48,glm4_flash,judge_household_registration,0.043
49,glm4_flash,judge_sexual_orientation,0.1482
50,glm4_flash,judge_religion,0.089
51,glm4_flash,judge_political_background,0.088
52,glm4_flash,judge_wealth,0.092
53,glm4_flash,collegial_panel,0.049
54,glm4_flash,assessor,0.029
55,glm4_flash,defender_type,0.0781
56,glm4_flash,pretrial_conference,0.051
57,glm4_flash,judicial_committee,0.035
58,glm4_flash,online_broadcast,0.044
59,glm4_flash,open_trial,0.033
60,glm4_flash,court_level,0.0781
61,glm4_flash,court_location,0.0581
62,glm4_flash,compulsory_measure,0.111
63,glm4_flash,trial_duration,0.0631
64,glm4_flash,recusal_applied,0.106
65,glm4_flash,immediate_judgement,0.0701
