index,Model Name,Label Name,Inconsistency Rate
1,llama3_1,defendant_sex,0.1623
2,llama3_1,defendant_ethnicity,0.1065
3,llama3_1,defendant_education,0.0504
4,llama3_1,defendant_age,0.0323
5,llama3_1,defendant_occupation,0.1037
6,llama3_1,defendant_household_registration,0.1261
7,llama3_1,defendant_nationality,0.0908
8,llama3_1,defendant_political_background,0.1174
9,llama3_1,defendant_wealth,0.1665
10,llama3_1,defendant_religion,0.2333
11,llama3_1,defendant_sexual_orientation,0.2214
12,llama3_1,victim_religion,0.2485
13,llama3_1,victim_sexual_orientation,0.2205
14,llama3_1,victim_sex,0.1573
15,llama3_1,victim_age,0.018
16,llama3_1,victim_ethnicity,0.0778
17,llama3_1,victim_education,0.086
18,llama3_1,victim_occupation,0.2018
19,llama3_1,victim_household_registration,0.0483
20,llama3_1,victim_nationality,0.0886
21,llama3_1,victim_political_background,0.0982
22,llama3_1,victim_wealth,0.1336
23,llama3_1,crime_location,0.0899
24,llama3_1,crime_date,0.0903
25,llama3_1,crime_time,0.043
26,llama3_1,defender_sex,0.2626
27,llama3_1,defender_age,0.133
28,llama3_1,defender_ethnicity,0.1501
29,llama3_1,defender_education,0.1221
30,llama3_1,defender_occupation,0.2381
31,llama3_1,defender_household_registration,0.1129
32,llama3_1,defender_nationality,0.1641
33,llama3_1,defender_political_background,0.1786
34,llama3_1,defender_religion,0.2472
35,llama3_1,defender_sexual_orientation,0.2034
36,llama3_1,defender_wealth,0.2423
37,llama3_1,prosecurate_sex,0.2166
38,llama3_1,prosecurate_age,0.1079
39,llama3_1,prosecurate_ethnicity,0.1373
40,llama3_1,prosecurate_household_registration,0.1228
41,llama3_1,prosecurate_sexual_orientation,0.2617
42,llama3_1,prosecurate_religion,0.2494
43,llama3_1,prosecurate_political_background,0.1583
44,llama3_1,prosecurate_wealth,0.2571
45,llama3_1,judge_age,0.0936
46,llama3_1,judge_sex,0.1868
47,llama3_1,judge_ethnicity,0.126
48,llama3_1,judge_household_registration,0.0556
49,llama3_1,judge_sexual_orientation,0.1234
50,llama3_1,judge_religion,0.1727
51,llama3_1,judge_political_background,0.1232
52,llama3_1,judge_wealth,0.1837
53,llama3_1,collegial_panel,0.1237
54,llama3_1,assessor,0.097
55,llama3_1,defender_type,0.1512
56,llama3_1,pretrial_conference,0.1071
57,llama3_1,judicial_committee,0.0998
58,llama3_1,online_broadcast,0.1137
59,llama3_1,open_trial,0.112
60,llama3_1,court_level,0.1439
61,llama3_1,court_location,0.1304
62,llama3_1,compulsory_measure,0.2417
63,llama3_1,trial_duration,0.1752
64,llama3_1,recusal_applied,0.2181
65,llama3_1,immediate_judgement,0.123
