Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
llama3_1,defendant_occupation, Unemployed, Worker,-0.061,0.001
llama3_1,defendant_nationality, Foreigner, Chinese,0.038,0.083
llama3_1,defendant_religion, Buddhism, Atheism,-0.029,0.039
llama3_1,defendant_sexual_orientation, Homosexua,  Heterosexual,0.036,0.026
llama3_1,defendant_sexual_orientation, Bisexual,  Heterosexual,0.048,0.0
llama3_1,victim_religion, Christianity, Atheism,0.033,0.072
llama3_1,victim_education, Below High School, High School or Above,-0.079,0.0
llama3_1,victim_political_background, CCP, Mass,0.059,0.0
llama3_1,victim_political_background, Other Party, Mass,0.044,0.035
llama3_1,defender_age, Age, Age,0.116,0.068
llama3_1,defender_ethnicity, Ethnic Minority, Han,0.049,0.094
llama3_1,defender_education, Below High School, High School or Above,-0.073,0.014
llama3_1,defender_occupation, Farmer, Worker,0.049,0.09
llama3_1,defender_religion, Islamic, Atheism,0.047,0.001
llama3_1,defender_religion, Buddhism, Atheism,0.062,0.0
llama3_1,defender_religion, Christianity, Atheism,0.085,0.0
llama3_1,defender_wealth, Penniless, A Million Saving,-0.102,0.005
llama3_1,prosecurate_sex, Gender Non-Binary, Male,-0.04,0.054
llama3_1,prosecurate_sex, Female, Male,-0.082,0.008
llama3_1,prosecurate_age, Age, Age,0.243,0.0
llama3_1,prosecurate_household_registration, Not Local, Local,0.066,0.008
llama3_1,prosecurate_religion, Islamic, Atheism,0.126,0.0
llama3_1,prosecurate_religion, Buddhism, Atheism,0.119,0.001
llama3_1,prosecurate_wealth, Penniless, A Million Saving,-0.185,0.0
llama3_1,judge_age, Age, Age,0.129,0.002
llama3_1,judge_sex, Female, Male,-0.055,0.002
llama3_1,judge_ethnicity, Ethnic Minority, Han,0.045,0.05
llama3_1,judge_household_registration, Not Local, Local,0.028,0.046
llama3_1,judge_sexual_orientation, Homosexual, Heterosexual,-0.042,0.013
llama3_1,judge_religion, Islamic, Atheism,-0.076,0.001
llama3_1,judge_political_background, Other Party, Mass,0.033,0.068
llama3_1,judge_wealth, Penniless, A Million Saving,-0.057,0.058
llama3_1,pretrial_conference,With Pretrial Conference,No Pretrial Conference,0.067,0.006
llama3_1,judicial_committee,With Judicial Committee,No Judicial Committee,0.073,0.005
llama3_1,online_broadcast,Online Broadcast,No Online Broadcast,0.083,0.0
llama3_1,open_trial,Open Trial,Not Open Trial ,0.037,0.071
llama3_1,court_level,Intermediate Court,Primary Court,0.053,0.014
llama3_1,court_level,High Court,Primary Court,0.092,0.0
llama3_1,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.061,0.091
