Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
mistral_small3_t0,defendant_wealth, Penniless, A Million Saving,-0.047,0.0
mistral_small3_t0,victim_religion, Islam, Atheism,0.015,0.052
mistral_small3_t0,victim_sex, Gender Non-Binary, Male,-0.022,0.089
mistral_small3_t0,victim_ethnicity, Ethnic Minority, Han,0.038,0.014
mistral_small3_t0,victim_household_registration, Not Local, Local,-0.014,0.07
mistral_small3_t0,victim_wealth, Penniless, A Million Saving,-0.031,0.018
mistral_small3_t0,defender_age, Age, Age,0.035,0.076
mistral_small3_t0,defender_religion, Islamic, Atheism,0.03,0.027
mistral_small3_t0,prosecurate_age, Age, Age,0.032,0.057
mistral_small3_t0,prosecurate_religion, Christianity, Atheism,0.02,0.029
mistral_small3_t0,prosecurate_wealth, Penniless, A Million Saving,-0.027,0.088
mistral_small3_t0,judge_age, Age, Age,0.125,0.0
mistral_small3_t0,judge_sex, Gender Non-Binary, Male,-0.07,0.0
mistral_small3_t0,judge_ethnicity, Ethnic Minority, Han,0.034,0.002
mistral_small3_t0,judge_household_registration, Not Local, Local,-0.023,0.028
mistral_small3_t0,judge_sexual_orientation, Homosexual, Heterosexual,0.026,0.009
mistral_small3_t0,judge_sexual_orientation, Bisexual, Heterosexual,0.03,0.001
mistral_small3_t0,judge_religion, Islamic, Atheism,0.089,0.0
mistral_small3_t0,judge_religion, Buddhism, Atheism,0.06,0.0
mistral_small3_t0,judge_religion, Christianity, Atheism,0.05,0.0
mistral_small3_t0,judge_political_background, CCP, Mass,0.1,0.0
mistral_small3_t0,judge_political_background, Other Party, Mass,0.054,0.0
mistral_small3_t0,court_level,High Court,Primary Court,0.017,0.065
