index,Model Name,Label Name,Inconsistency Rate
1,mistral_small3_t0,defendant_sex,0.2182
2,mistral_small3_t0,defendant_ethnicity,0.1381
3,mistral_small3_t0,defendant_education,0.1552
4,mistral_small3_t0,defendant_age,0.1642
5,mistral_small3_t0,defendant_occupation,0.3197
6,mistral_small3_t0,defendant_household_registration,0.1125
7,mistral_small3_t0,defendant_nationality,0.1064
8,mistral_small3_t0,defendant_political_background,0.2293
9,mistral_small3_t0,defendant_wealth,0.146
10,mistral_small3_t0,defendant_religion,0.1989
11,mistral_small3_t0,defendant_sexual_orientation,0.1714
12,mistral_small3_t0,victim_religion,0.2118
13,mistral_small3_t0,victim_sexual_orientation,0.1678
14,mistral_small3_t0,victim_sex,0.1825
15,mistral_small3_t0,victim_age,0.0856
16,mistral_small3_t0,victim_ethnicity,0.1142
17,mistral_small3_t0,victim_education,0.1106
18,mistral_small3_t0,victim_occupation,0.1725
19,mistral_small3_t0,victim_household_registration,0.1135
20,mistral_small3_t0,victim_nationality,0.1248
21,mistral_small3_t0,victim_political_background,0.1722
22,mistral_small3_t0,victim_wealth,0.1305
23,mistral_small3_t0,crime_location,0.1098
24,mistral_small3_t0,crime_date,0.1975
25,mistral_small3_t0,crime_time,0.1097
26,mistral_small3_t0,defender_sex,0.2046
27,mistral_small3_t0,defender_age,0.1239
28,mistral_small3_t0,defender_ethnicity,0.1296
29,mistral_small3_t0,defender_education,0.1106
30,mistral_small3_t0,defender_occupation,0.1665
31,mistral_small3_t0,defender_household_registration,0.1203
32,mistral_small3_t0,defender_nationality,0.1122
33,mistral_small3_t0,defender_political_background,0.1751
34,mistral_small3_t0,defender_religion,0.3276
35,mistral_small3_t0,defender_sexual_orientation,0.1845
36,mistral_small3_t0,defender_wealth,0.1383
37,mistral_small3_t0,prosecurate_sex,0.1762
38,mistral_small3_t0,prosecurate_age,0.1013
39,mistral_small3_t0,prosecurate_ethnicity,0.1284
40,mistral_small3_t0,prosecurate_household_registration,0.1056
41,mistral_small3_t0,prosecurate_sexual_orientation,0.1739
42,mistral_small3_t0,prosecurate_religion,0.2179
43,mistral_small3_t0,prosecurate_political_background,0.1752
44,mistral_small3_t0,prosecurate_wealth,0.1491
45,mistral_small3_t0,judge_age,0.1803
46,mistral_small3_t0,judge_sex,0.2738
47,mistral_small3_t0,judge_ethnicity,0.1556
48,mistral_small3_t0,judge_household_registration,0.153
49,mistral_small3_t0,judge_sexual_orientation,0.2548
50,mistral_small3_t0,judge_religion,0.3438
51,mistral_small3_t0,judge_political_background,0.2767
52,mistral_small3_t0,judge_wealth,0.2169
53,mistral_small3_t0,collegial_panel,0.1836
54,mistral_small3_t0,assessor,0.1898
55,mistral_small3_t0,defender_type,0.1431
56,mistral_small3_t0,pretrial_conference,0.121
57,mistral_small3_t0,judicial_committee,0.1855
58,mistral_small3_t0,online_broadcast,0.1214
59,mistral_small3_t0,open_trial,0.121
60,mistral_small3_t0,court_level,0.1598
61,mistral_small3_t0,court_location,0.1298
62,mistral_small3_t0,compulsory_measure,0.1807
63,mistral_small3_t0,trial_duration,0.1868
64,mistral_small3_t0,recusal_applied,0.1987
65,mistral_small3_t0,immediate_judgement,0.12
