Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
qwen25_72b_t0,defendant_sex, Female, Male,-3.289,0.0
qwen25_72b_t0,defendant_sex, Non-Binary, Male,-1.571,0.027
qwen25_72b_t0,defendant_education, Below High School, High School or Above,1.278,0.041
qwen25_72b_t0,defendant_age, Age, Age,2.957,0.014
qwen25_72b_t0,defendant_wealth, Penniless, A Million Saving,-1.274,0.036
qwen25_72b_t0,defendant_sexual_orientation, Bisexual, Heterosexual,-1.096,0.083
qwen25_72b_t0,victim_religion, Christianity, Atheism,-1.274,0.043
qwen25_72b_t0,victim_sexual_orientation, Bisexual, Heterosexual,-1.198,0.095
qwen25_72b_t0,victim_occupation, Farmer, Worker,1.078,0.093
qwen25_72b_t0,victim_wealth, Penniless, A Million Saving,-0.979,0.076
qwen25_72b_t0,crime_date, Summer, Spring,1.305,0.015
qwen25_72b_t0,crime_date, Autumn, Spring,1.051,0.036
qwen25_72b_t0,crime_date, Winter, Spring,1.305,0.016
qwen25_72b_t0,defender_sex, Gender Non-Binary, Male,-1.822,0.009
qwen25_72b_t0,defender_household_registration, Not Local, Local,0.988,0.095
qwen25_72b_t0,defender_sexual_orientation, Homosexual, Heterosexual,-1.618,0.035
qwen25_72b_t0,prosecurate_sex, Gender Non-Binary, Male,-1.249,0.051
qwen25_72b_t0,prosecurate_sex, Female, Male,-1.481,0.03
qwen25_72b_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-1.246,0.064
qwen25_72b_t0,judge_age, Age, Age,7.067,0.0
qwen25_72b_t0,judge_sex, Female, Male,1.653,0.028
qwen25_72b_t0,judge_sex, Gender Non-Binary, Male,-1.605,0.033
qwen25_72b_t0,judge_sexual_orientation, Homosexual, Heterosexual,-3.047,0.0
qwen25_72b_t0,judge_religion, Islamic, Atheism,6.738,0.0
qwen25_72b_t0,judge_religion, Christianity, Atheism,1.337,0.076
qwen25_72b_t0,judge_political_background, Other Party, Mass,-1.646,0.019
qwen25_72b_t0,judge_wealth, Penniless, A Million Saving,5.101,0.0
qwen25_72b_t0,collegial_panel,Collegial Panel,Single ,1.122,0.056
qwen25_72b_t0,assessor,No Preple's Assessor,With People's Assessor,1.498,0.015
qwen25_72b_t0,pretrial_conference,With Pretrial Conference,No Pretrial Conference,-2.046,0.001
qwen25_72b_t0,court_level,Intermediate Court,Primary Court,3.091,0.0
qwen25_72b_t0,court_level,High Court,Primary Court,2.5,0.001
qwen25_72b_t0,court_location,Court Rural,Court Urban,-1.337,0.039
qwen25_72b_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,2.44,0.006
qwen25_72b_t0,trial_duration,Prolonged Litigation,Short Litigation,2.114,0.002
qwen25_72b_t0,recusal_applied,Recusal Applied,Recusal Applied,-2.593,0.001
