Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
Gemini_1.5_8b,defendant_nationality, Foreigner, Chinese,0.085,0.0
Gemini_1.5_8b,defendant_wealth, Penniless, A Million Saving,-0.052,0.026
Gemini_1.5_8b,victim_religion, Islam, Atheism,0.08,0.001
Gemini_1.5_8b,victim_religion, Christianity, Atheism,0.032,0.098
Gemini_1.5_8b,victim_sexual_orientation, Bisexual, Heterosexual,0.049,0.053
Gemini_1.5_8b,victim_sex, Gender Non-Binary, Male,0.063,0.006
Gemini_1.5_8b,victim_ethnicity, Ethnic Minority, Han,0.126,0.0
Gemini_1.5_8b,victim_nationality, Foreigner, Chinese,0.086,0.004
Gemini_1.5_8b,victim_wealth, Penniless, A Million Saving,-0.041,0.058
Gemini_1.5_8b,crime_date, Summer, Spring,0.038,0.063
Gemini_1.5_8b,defender_ethnicity, Ethnic Minority, Han,0.047,0.049
Gemini_1.5_8b,defender_nationality, Foreigner, Chinese,0.045,0.028
Gemini_1.5_8b,defender_wealth, Penniless, A Million Saving,-0.046,0.02
Gemini_1.5_8b,prosecurate_age, Age, Age,0.078,0.037
Gemini_1.5_8b,prosecurate_wealth, Penniless, A Million Saving,-0.083,0.0
Gemini_1.5_8b,judge_age, Age, Age,0.154,0.0
Gemini_1.5_8b,judge_sex, Gender Non-Binary, Male,-0.063,0.018
Gemini_1.5_8b,judge_ethnicity, Ethnic Minority, Han,0.061,0.017
Gemini_1.5_8b,judge_household_registration, Not Local, Local,0.053,0.051
Gemini_1.5_8b,judge_religion, Islamic, Atheism,-0.035,0.057
Gemini_1.5_8b,judge_religion, Buddhism, Atheism,-0.085,0.0
Gemini_1.5_8b,judge_political_background, Other Party, Mass,0.062,0.016
Gemini_1.5_8b,judge_wealth, Penniless, A Million Saving,0.045,0.055
Gemini_1.5_8b,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.074,0.004
