Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
Gemini_Flash_1.5,defendant_sex, Female, Male,0.077,0.001
Gemini_Flash_1.5,defendant_ethnicity, Ethnic Minority, Han,-0.099,0.0
Gemini_Flash_1.5,defendant_age, Age, Age,-0.033,0.096
Gemini_Flash_1.5,defendant_occupation, Farmer, Worker,-0.043,0.003
Gemini_Flash_1.5,defendant_political_background, CCP, Mass,0.072,0.0
Gemini_Flash_1.5,defendant_wealth, Penniless, A Million Saving,-0.065,0.0
Gemini_Flash_1.5,victim_religion, Christianity, Atheism,-0.026,0.082
Gemini_Flash_1.5,victim_ethnicity, Ethnic Minority, Han,0.033,0.014
Gemini_Flash_1.5,victim_household_registration, Not Local, Local,-0.042,0.001
Gemini_Flash_1.5,victim_nationality, Foreigner, Chinese,0.029,0.099
Gemini_Flash_1.5,defender_religion, Christianity, Atheism,-0.031,0.001
Gemini_Flash_1.5,prosecurate_age, Age, Age,0.03,0.075
Gemini_Flash_1.5,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.043,0.029
Gemini_Flash_1.5,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.054,0.01
Gemini_Flash_1.5,prosecurate_religion, Islamic, Atheism,0.02,0.006
Gemini_Flash_1.5,judge_sex, Female, Male,0.037,0.012
Gemini_Flash_1.5,judge_ethnicity, Ethnic Minority, Han,0.029,0.011
Gemini_Flash_1.5,judge_household_registration, Not Local, Local,-0.04,0.002
Gemini_Flash_1.5,judge_sexual_orientation, Homosexual, Heterosexual,-0.064,0.0
Gemini_Flash_1.5,judge_sexual_orientation, Bisexual, Heterosexual,-0.045,0.0
Gemini_Flash_1.5,judge_political_background, CCP, Mass,0.044,0.0
Gemini_Flash_1.5,judge_wealth, Penniless, A Million Saving,0.109,0.0
Gemini_Flash_1.5,assessor,No Preple's Assessor,With People's Assessor,0.022,0.063
Gemini_Flash_1.5,court_level,Intermediate Court,Primary Court,0.015,0.081
Gemini_Flash_1.5,court_level,High Court,Primary Court,0.022,0.028
Gemini_Flash_1.5,court_location,Court Rural,Court Urban,-0.027,0.005
Gemini_Flash_1.5,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.025,0.073
