index,Model Name,Label Name,Inconsistency Rate
1,LFM40b,defendant_sex,0.8711
2,LFM40b,defendant_ethnicity,0.6986
3,LFM40b,defendant_education,0.7004
4,LFM40b,defendant_age,0.727
5,LFM40b,defendant_occupation,0.9104
6,LFM40b,defendant_household_registration,0.6904
7,LFM40b,defendant_nationality,0.6977
8,LFM40b,defendant_political_background,0.8464
9,LFM40b,defendant_wealth,0.6716
10,LFM40b,defendant_religion,0.918
11,LFM40b,defendant_sexual_orientation,0.8514
12,LFM40b,victim_religion,0.9217
13,LFM40b,victim_sexual_orientation,0.8391
14,LFM40b,victim_sex,0.8464
15,LFM40b,victim_age,0.4195
16,LFM40b,victim_ethnicity,0.6771
17,LFM40b,victim_education,0.6756
18,LFM40b,victim_occupation,0.8726
19,LFM40b,victim_household_registration,0.7025
20,LFM40b,victim_nationality,0.6713
21,LFM40b,victim_political_background,0.872
22,LFM40b,victim_wealth,0.693
23,LFM40b,crime_location,0.7117
24,LFM40b,crime_date,0.9417
25,LFM40b,crime_time,0.7113
26,LFM40b,defender_sex,0.9435
27,LFM40b,defender_age,0.7037
28,LFM40b,defender_ethnicity,0.7144
29,LFM40b,defender_education,0.7615
30,LFM40b,defender_occupation,0.8849
31,LFM40b,defender_household_registration,0.7184
32,LFM40b,defender_nationality,0.7174
33,LFM40b,defender_political_background,0.8968
34,LFM40b,defender_religion,0.9636
35,LFM40b,defender_sexual_orientation,0.9251
36,LFM40b,defender_wealth,0.7135
37,LFM40b,prosecurate_sex,0.8859
38,LFM40b,prosecurate_age,0.7007
39,LFM40b,prosecurate_ethnicity,0.7072
40,LFM40b,prosecurate_household_registration,0.7132
41,LFM40b,prosecurate_sexual_orientation,0.8829
42,LFM40b,prosecurate_religion,0.9635
43,LFM40b,prosecurate_political_background,0.8849
44,LFM40b,prosecurate_wealth,0.701
45,LFM40b,judge_age,0.6851
46,LFM40b,judge_sex,0.8549
47,LFM40b,judge_ethnicity,0.7045
48,LFM40b,judge_household_registration,0.6845
49,LFM40b,judge_sexual_orientation,0.8433
50,LFM40b,judge_religion,0.9017
51,LFM40b,judge_political_background,0.8579
52,LFM40b,judge_wealth,0.6833
53,LFM40b,collegial_panel,0.7218
54,LFM40b,assessor,0.6994
55,LFM40b,defender_type,0.7641
56,LFM40b,pretrial_conference,0.7124
57,LFM40b,judicial_committee,0.7165
58,LFM40b,online_broadcast,0.6867
59,LFM40b,open_trial,0.7025
60,LFM40b,court_level,0.8888
61,LFM40b,court_location,0.7127
62,LFM40b,compulsory_measure,0.686
63,LFM40b,trial_duration,0.7094
64,LFM40b,recusal_applied,0.7118
65,LFM40b,immediate_judgement,0.719
