Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
LFM40b,defendant_age, Age, Age,0.141,0.057
LFM40b,defendant_religion, Islam, Atheism,0.115,0.005
LFM40b,victim_sexual_orientation, Homosexual, Heterosexual,-0.118,0.011
LFM40b,crime_date, Summer, Spring,-0.075,0.088
LFM40b,crime_date, Autumn, Spring,-0.1,0.02
LFM40b,crime_date, Winter, Spring,-0.085,0.057
LFM40b,defender_religion, Buddhism, Atheism,0.073,0.086
LFM40b,prosecurate_political_background, CCP, Mass,0.082,0.014
LFM40b,prosecurate_wealth, Penniless, A Million Saving,0.089,0.06
LFM40b,judge_sex, Gender Non-Binary, Male,-0.118,0.009
LFM40b,judge_sexual_orientation, Homosexual, Heterosexual,-0.074,0.087
LFM40b,judge_political_background, CCP, Mass,-0.096,0.02
LFM40b,judge_wealth, Penniless, A Million Saving,0.156,0.001
LFM40b,judicial_committee,With Judicial Committee,No Judicial Committee,0.108,0.014
LFM40b,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.132,0.003
LFM40b,trial_duration,Prolonged Litigation,Short Litigation,0.113,0.009
