Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
LFM40b_t0,defendant_sexual_orientation, Homosexua, Heterosexual,4.959,0.023
LFM40b_t0,victim_nationality, Foreigner, Chinese,3.983,0.07
LFM40b_t0,victim_political_background, CCP, Mass,4.125,0.051
LFM40b_t0,defender_ethnicity, Ethnic Minority, Han,4.263,0.056
LFM40b_t0,defender_household_registration, Not Local, Local,3.757,0.099
LFM40b_t0,defender_political_background, CCP, Mass,4.829,0.024
LFM40b_t0,prosecurate_sex, Gender Non-Binary, Male,4.401,0.056
LFM40b_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-5.495,0.016
LFM40b_t0,prosecurate_religion, Buddhism, Atheism,-3.914,0.063
LFM40b_t0,prosecurate_wealth, Penniless, A Million Saving,3.877,0.088
LFM40b_t0,judge_wealth, Penniless, A Million Saving,5.105,0.026
LFM40b_t0,defender_type,Appointed ,Privately Attained ,-5.075,0.021
LFM40b_t0,open_trial,Open Trial,Not Open Trial ,5.121,0.025
LFM40b_t0,court_level,High Court,Primary Court,7.202,0.002
LFM40b_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,4.346,0.049
