Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
LFM40b_t0,defendant_nationality, Foreigner, Chinese,-0.08,0.081
LFM40b_t0,crime_date, Summer, Spring,-0.078,0.017
LFM40b_t0,defender_household_registration, Not Local, Local,0.057,0.081
LFM40b_t0,defender_political_background, CCP, Mass,0.085,0.01
LFM40b_t0,prosecurate_age, Age, Age,-0.129,0.045
LFM40b_t0,prosecurate_religion, Buddhism, Atheism,-0.074,0.028
LFM40b_t0,defender_type,Appointed ,Privately Attained ,-0.081,0.014
LFM40b_t0,court_level,High Court,Primary Court,0.113,0.001
LFM40b_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.073,0.022
LFM40b_t0,recusal_applied,Recusal Applied,Recusal Applied,0.081,0.009
