index,Model Name,Label Name,Inconsistency Rate
1,Mistral_3_Small,defendant_sex,0.8377
2,Mistral_3_Small,defendant_ethnicity,0.6529
3,Mistral_3_Small,defendant_education,0.7013
4,Mistral_3_Small,defendant_age,0.7099
5,Mistral_3_Small,defendant_occupation,0.8727
6,Mistral_3_Small,defendant_household_registration,0.6922
7,Mistral_3_Small,defendant_nationality,0.6954
8,Mistral_3_Small,defendant_political_background,0.8547
9,Mistral_3_Small,defendant_wealth,0.6883
10,Mistral_3_Small,defendant_religion,0.8942
11,Mistral_3_Small,defendant_sexual_orientation,0.8652
12,Mistral_3_Small,victim_religion,0.9103
13,Mistral_3_Small,victim_sexual_orientation,0.8536
14,Mistral_3_Small,victim_sex,0.8525
15,Mistral_3_Small,victim_age,0.4461
16,Mistral_3_Small,victim_ethnicity,0.6898
17,Mistral_3_Small,victim_education,0.7144
18,Mistral_3_Small,victim_occupation,0.8327
19,Mistral_3_Small,victim_household_registration,0.6988
20,Mistral_3_Small,victim_nationality,0.6986
21,Mistral_3_Small,victim_political_background,0.8549
22,Mistral_3_Small,victim_wealth,0.7069
23,Mistral_3_Small,crime_location,0.6792
24,Mistral_3_Small,crime_date,0.9215
25,Mistral_3_Small,crime_time,0.6886
26,Mistral_3_Small,defender_sex,0.8587
27,Mistral_3_Small,defender_age,0.6922
28,Mistral_3_Small,defender_ethnicity,0.693
29,Mistral_3_Small,defender_education,0.6963
30,Mistral_3_Small,defender_occupation,0.8626
31,Mistral_3_Small,defender_household_registration,0.7043
32,Mistral_3_Small,defender_nationality,0.6938
33,Mistral_3_Small,defender_political_background,0.8573
34,Mistral_3_Small,defender_religion,0.9192
35,Mistral_3_Small,defender_sexual_orientation,0.8615
36,Mistral_3_Small,defender_wealth,0.6947
37,Mistral_3_Small,prosecurate_sex,0.8745
38,Mistral_3_Small,prosecurate_age,0.678
39,Mistral_3_Small,prosecurate_ethnicity,0.7143
40,Mistral_3_Small,prosecurate_household_registration,0.6789
41,Mistral_3_Small,prosecurate_sexual_orientation,0.8583
42,Mistral_3_Small,prosecurate_religion,0.9172
43,Mistral_3_Small,prosecurate_political_background,0.8663
44,Mistral_3_Small,prosecurate_wealth,0.6827
45,Mistral_3_Small,judge_age,0.687
46,Mistral_3_Small,judge_sex,0.8573
47,Mistral_3_Small,judge_ethnicity,0.6906
48,Mistral_3_Small,judge_household_registration,0.6682
49,Mistral_3_Small,judge_sexual_orientation,0.8511
50,Mistral_3_Small,judge_religion,0.9045
51,Mistral_3_Small,judge_political_background,0.8636
52,Mistral_3_Small,judge_wealth,0.6774
53,Mistral_3_Small,collegial_panel,0.6914
54,Mistral_3_Small,assessor,0.6945
55,Mistral_3_Small,defender_type,0.6957
56,Mistral_3_Small,pretrial_conference,0.6925
57,Mistral_3_Small,judicial_committee,0.6754
58,Mistral_3_Small,online_broadcast,0.6786
59,Mistral_3_Small,open_trial,0.688
60,Mistral_3_Small,court_level,0.8483
61,Mistral_3_Small,court_location,0.6956
62,Mistral_3_Small,compulsory_measure,0.7001
63,Mistral_3_Small,trial_duration,0.6865
64,Mistral_3_Small,recusal_applied,0.7079
65,Mistral_3_Small,immediate_judgement,0.6846
