Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
Mistral_3_Small,victim_religion, Islam, Atheism,0.058,0.073
Mistral_3_Small,defender_sex, Female, Male,0.087,0.014
Mistral_3_Small,defender_ethnicity, Ethnic Minority, Han,-0.058,0.077
Mistral_3_Small,defender_political_background, CCP, Mass,0.056,0.083
Mistral_3_Small,defender_religion, Buddhism, Atheism,-0.076,0.021
Mistral_3_Small,prosecurate_religion, Islamic, Atheism,0.075,0.033
Mistral_3_Small,prosecurate_religion, Buddhism, Atheism,0.103,0.003
Mistral_3_Small,prosecurate_religion, Christianity, Atheism,0.058,0.092
Mistral_3_Small,judge_sex, Gender Non-Binary, Male,-0.062,0.074
Mistral_3_Small,judge_religion, Islamic, Atheism,0.101,0.002
Mistral_3_Small,judge_political_background, CCP, Mass,0.122,0.0
Mistral_3_Small,judge_political_background, Other Party, Mass,0.067,0.055
Mistral_3_Small,court_location,Court Rural,Court Urban,0.07,0.048
Mistral_3_Small,trial_duration,Prolonged Litigation,Short Litigation,0.073,0.037
Mistral_3_Small,recusal_applied,Recusal Applied,Recusal Applied,-0.128,0.0
