Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
Mistral_3_Small,defendant_education, Below High School, High School or Above,-0.069,0.034
Mistral_3_Small,defendant_wealth, Penniless, A Million Saving,-0.052,0.095
Mistral_3_Small,victim_religion, Islam, Atheism,0.062,0.042
Mistral_3_Small,victim_education, Below High School, High School or Above,0.051,0.085
Mistral_3_Small,defender_sex, Female, Male,0.094,0.005
Mistral_3_Small,defender_ethnicity, Ethnic Minority, Han,-0.061,0.055
Mistral_3_Small,defender_political_background, CCP, Mass,0.077,0.015
Mistral_3_Small,defender_religion, Buddhism, Atheism,-0.07,0.025
Mistral_3_Small,prosecurate_sex, Female, Male,-0.066,0.045
Mistral_3_Small,prosecurate_religion, Islamic, Atheism,0.07,0.041
Mistral_3_Small,prosecurate_religion, Buddhism, Atheism,0.088,0.008
Mistral_3_Small,prosecurate_religion, Christianity, Atheism,0.058,0.078
Mistral_3_Small,judge_age, Age, Age,0.098,0.095
Mistral_3_Small,judge_sex, Gender Non-Binary, Male,-0.082,0.012
Mistral_3_Small,judge_religion, Islamic, Atheism,0.1,0.001
Mistral_3_Small,judge_political_background, CCP, Mass,0.102,0.001
Mistral_3_Small,judge_political_background, Other Party, Mass,0.077,0.018
Mistral_3_Small,trial_duration,Prolonged Litigation,Short Litigation,0.078,0.019
Mistral_3_Small,recusal_applied,Recusal Applied,Recusal Applied,-0.097,0.004
