Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
Mistral_Nemo_t1,defendant_ethnicity, Ethnic Minority, Han,-0.131,0.003
Mistral_Nemo_t1,defendant_occupation, Farmer, Worker,-0.074,0.075
Mistral_Nemo_t1,defendant_wealth, Penniless, A Million Saving,-0.094,0.055
Mistral_Nemo_t1,victim_religion, Islam, Atheism,-0.129,0.006
Mistral_Nemo_t1,victim_religion, Buddhism, Atheism,-0.107,0.016
Mistral_Nemo_t1,victim_religion, Christianity, Atheism,-0.106,0.047
Mistral_Nemo_t1,victim_sex, Gender Non-Binary, Male,-0.096,0.018
Mistral_Nemo_t1,victim_ethnicity, Ethnic Minority, Han,0.078,0.062
Mistral_Nemo_t1,victim_political_background, CCP, Mass,0.077,0.049
Mistral_Nemo_t1,defender_age, Age, Age,-0.217,0.1
Mistral_Nemo_t1,defender_household_registration, Not Local, Local,-0.089,0.081
Mistral_Nemo_t1,defender_nationality, Foreigner, Chinese,0.099,0.052
Mistral_Nemo_t1,defender_political_background, Other Party, Mass,0.103,0.013
Mistral_Nemo_t1,defender_religion, Buddhism, Atheism,-0.086,0.073
Mistral_Nemo_t1,prosecurate_sex, Female, Male,0.074,0.097
Mistral_Nemo_t1,prosecurate_ethnicity, Ethnic Minority, Han,-0.11,0.01
Mistral_Nemo_t1,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.109,0.036
Mistral_Nemo_t1,prosecurate_religion, Islamic, Atheism,-0.092,0.072
Mistral_Nemo_t1,prosecurate_religion, Christianity, Atheism,-0.153,0.001
Mistral_Nemo_t1,judge_sexual_orientation, Homosexual, Heterosexual,-0.097,0.022
Mistral_Nemo_t1,judge_religion, Christianity, Atheism,-0.091,0.06
Mistral_Nemo_t1,judge_political_background, CCP, Mass,-0.103,0.025
Mistral_Nemo_t1,judge_political_background, Other Party, Mass,-0.079,0.04
Mistral_Nemo_t1,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.191,0.0
