Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
Mistral_Nemo_t1,defendant_ethnicity, Ethnic Minority, Han,-0.129,0.022
Mistral_Nemo_t1,defendant_wealth, Penniless, A Million Saving,-0.094,0.083
Mistral_Nemo_t1,victim_religion, Islam, Atheism,-0.133,0.01
Mistral_Nemo_t1,victim_religion, Buddhism, Atheism,-0.114,0.025
Mistral_Nemo_t1,victim_religion, Christianity, Atheism,-0.112,0.025
Mistral_Nemo_t1,victim_sex, Gender Non-Binary, Male,-0.095,0.071
Mistral_Nemo_t1,defender_age, Age, Age,-0.202,0.088
Mistral_Nemo_t1,defender_household_registration, Not Local, Local,-0.095,0.088
Mistral_Nemo_t1,defender_nationality, Foreigner, Chinese,0.097,0.074
Mistral_Nemo_t1,defender_political_background, Other Party, Mass,0.099,0.059
Mistral_Nemo_t1,defender_religion, Buddhism, Atheism,-0.091,0.093
Mistral_Nemo_t1,prosecurate_ethnicity, Ethnic Minority, Han,-0.1,0.072
Mistral_Nemo_t1,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.111,0.042
Mistral_Nemo_t1,prosecurate_religion, Islamic, Atheism,-0.087,0.078
Mistral_Nemo_t1,prosecurate_religion, Christianity, Atheism,-0.151,0.003
Mistral_Nemo_t1,judge_religion, Christianity, Atheism,-0.091,0.085
Mistral_Nemo_t1,judge_political_background, CCP, Mass,-0.093,0.077
Mistral_Nemo_t1,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.191,0.0
