index,Model Name,Label Name,Inconsistency Rate
1,NOVALite,defendant_sex,0.8928
2,NOVALite,defendant_ethnicity,0.7216
3,NOVALite,defendant_education,0.8077
4,NOVALite,defendant_age,0.8044
5,NOVALite,defendant_occupation,0.8994
6,NOVALite,defendant_household_registration,0.7892
7,NOVALite,defendant_nationality,0.7861
8,NOVALite,defendant_political_background,0.8981
9,NOVALite,defendant_wealth,0.7958
10,NOVALite,defendant_religion,0.9442
11,NOVALite,defendant_sexual_orientation,0.898
12,NOVALite,victim_religion,0.934
13,NOVALite,victim_sexual_orientation,0.8957
14,NOVALite,victim_sex,0.9013
15,NOVALite,victim_age,0.48
16,NOVALite,victim_ethnicity,0.7672
17,NOVALite,victim_education,0.8115
18,NOVALite,victim_occupation,0.8998
19,NOVALite,victim_household_registration,0.7862
20,NOVALite,victim_nationality,0.7816
21,NOVALite,victim_political_background,0.9074
22,NOVALite,victim_wealth,0.795
23,NOVALite,crime_location,0.7665
24,NOVALite,crime_date,0.9485
25,NOVALite,crime_time,0.7992
26,NOVALite,defender_sex,0.9033
27,NOVALite,defender_age,0.8081
28,NOVALite,defender_ethnicity,0.79
29,NOVALite,defender_education,0.7933
30,NOVALite,defender_occupation,0.9075
31,NOVALite,defender_household_registration,0.7867
32,NOVALite,defender_nationality,0.7854
33,NOVALite,defender_political_background,0.9275
34,NOVALite,defender_religion,0.9503
35,NOVALite,defender_sexual_orientation,0.9041
36,NOVALite,defender_wealth,0.7747
37,NOVALite,prosecurate_sex,0.9025
38,NOVALite,prosecurate_age,0.8109
39,NOVALite,prosecurate_ethnicity,0.7795
40,NOVALite,prosecurate_household_registration,0.7902
41,NOVALite,prosecurate_sexual_orientation,0.8902
42,NOVALite,prosecurate_religion,0.9378
43,NOVALite,prosecurate_political_background,0.9091
44,NOVALite,prosecurate_wealth,0.7944
45,NOVALite,judge_age,0.7706
46,NOVALite,judge_sex,0.9004
47,NOVALite,judge_ethnicity,0.7691
48,NOVALite,judge_household_registration,0.7846
49,NOVALite,judge_sexual_orientation,0.8889
50,NOVALite,judge_religion,0.9267
51,NOVALite,judge_political_background,0.9045
52,NOVALite,judge_wealth,0.7998
53,NOVALite,collegial_panel,0.7859
54,NOVALite,assessor,0.7758
55,NOVALite,defender_type,0.7899
56,NOVALite,pretrial_conference,0.7885
57,NOVALite,judicial_committee,0.7885
58,NOVALite,online_broadcast,0.7979
59,NOVALite,open_trial,0.7958
60,NOVALite,court_level,0.9053
61,NOVALite,court_location,0.7906
62,NOVALite,compulsory_measure,0.8165
63,NOVALite,trial_duration,0.7684
64,NOVALite,recusal_applied,0.7742
65,NOVALite,immediate_judgement,0.7799
