Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVALite,defendant_sex, Non-Binary, Male,-0.042,0.095
NOVALite,defendant_occupation, Unemployed, Worker,0.051,0.029
NOVALite,defendant_political_background, CCP, Mass,0.067,0.008
NOVALite,defendant_wealth, Penniless, A Million Saving,-0.063,0.009
NOVALite,defendant_religion, Buddhism, Atheism,0.041,0.077
NOVALite,defendant_sexual_orientation, Bisexual,  Heterosexual,-0.053,0.028
NOVALite,victim_religion, Islam, Atheism,-0.057,0.023
NOVALite,victim_religion, Buddhism, Atheism,-0.087,0.0
NOVALite,victim_religion, Christianity, Atheism,-0.06,0.014
NOVALite,victim_occupation, Unemployed, Worker,0.05,0.036
NOVALite,defender_occupation, Farmer, Worker,0.043,0.069
NOVALite,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.065,0.01
NOVALite,prosecurate_religion, Islamic, Atheism,0.065,0.012
NOVALite,prosecurate_religion, Christianity, Atheism,0.059,0.023
NOVALite,judge_sexual_orientation, Homosexual, Heterosexual,-0.064,0.013
NOVALite,judge_sexual_orientation, Bisexual, Heterosexual,-0.061,0.016
NOVALite,judge_religion, Islamic, Atheism,0.063,0.017
NOVALite,judge_religion, Buddhism, Atheism,0.085,0.001
NOVALite,judge_political_background, CCP, Mass,0.122,0.0
NOVALite,judge_wealth, Penniless, A Million Saving,-0.042,0.062
NOVALite,open_trial,Open Trial,Not Open Trial ,0.047,0.048
NOVALite,court_location,Court Rural,Court Urban,0.042,0.084
NOVALite,immediate_judgement,Immediate ment,Not Immediate ment,-0.053,0.048
