Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVALite,defendant_sex, Non-Binary, Male,-0.048,0.053
NOVALite,defendant_occupation, Unemployed, Worker,0.051,0.025
NOVALite,defendant_political_background, CCP, Mass,0.064,0.009
NOVALite,defendant_wealth, Penniless, A Million Saving,-0.063,0.007
NOVALite,defendant_religion, Buddhism, Atheism,0.037,0.095
NOVALite,defendant_sexual_orientation, Bisexual,  Heterosexual,-0.054,0.021
NOVALite,victim_religion, Islam, Atheism,-0.048,0.044
NOVALite,victim_religion, Buddhism, Atheism,-0.075,0.002
NOVALite,victim_religion, Christianity, Atheism,-0.051,0.034
NOVALite,victim_occupation, Unemployed, Worker,0.047,0.043
NOVALite,victim_political_background, CCP, Mass,0.041,0.062
NOVALite,crime_date, Summer, Spring,0.041,0.086
NOVALite,defender_occupation, Farmer, Worker,0.044,0.052
NOVALite,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.063,0.01
NOVALite,prosecurate_religion, Islamic, Atheism,0.063,0.012
NOVALite,prosecurate_religion, Christianity, Atheism,0.057,0.024
NOVALite,judge_age, Age, Age,-0.076,0.091
NOVALite,judge_sexual_orientation, Homosexual, Heterosexual,-0.076,0.002
NOVALite,judge_sexual_orientation, Bisexual, Heterosexual,-0.072,0.003
NOVALite,judge_religion, Islamic, Atheism,0.053,0.031
NOVALite,judge_religion, Buddhism, Atheism,0.076,0.002
NOVALite,judge_political_background, CCP, Mass,0.117,0.0
NOVALite,judge_wealth, Penniless, A Million Saving,-0.039,0.075
NOVALite,court_location,Court Rural,Court Urban,0.043,0.073
NOVALite,immediate_judgement,Immediate ment,Not Immediate ment,-0.048,0.06
