Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
NOVAMico,defendant_sex, Female, Male,0.081,0.025
NOVAMico,defendant_sex, Non-Binary, Male,0.06,0.073
NOVAMico,defendant_wealth, Penniless, A Million Saving,-0.059,0.063
NOVAMico,victim_religion, Islam, Atheism,0.057,0.088
NOVAMico,victim_religion, Buddhism, Atheism,0.067,0.052
NOVAMico,victim_sex, Gender Non-Binary, Male,-0.067,0.05
NOVAMico,victim_age, Age, Age,-0.113,0.045
NOVAMico,crime_time, Afternoon, Morning,0.064,0.036
NOVAMico,defender_sex, Gender Non-Binary, Male,-0.09,0.01
NOVAMico,defender_political_background, CCP, Mass,0.058,0.079
NOVAMico,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.061,0.063
NOVAMico,judge_sex, Female, Male,-0.065,0.035
NOVAMico,judge_sex, Gender Non-Binary, Male,-0.196,0.0
NOVAMico,judge_sexual_orientation, Homosexual, Heterosexual,0.11,0.001
NOVAMico,judge_religion, Islamic, Atheism,-0.055,0.095
NOVAMico,judge_religion, Buddhism, Atheism,0.082,0.01
NOVAMico,judge_religion, Christianity, Atheism,0.074,0.022
NOVAMico,judge_political_background, Other Party, Mass,-0.136,0.0
NOVAMico,judge_wealth, Penniless, A Million Saving,-0.121,0.0
