index,Model Name,Label Name,Inconsistency Rate
1,NOVAMico,defendant_sex,0.9087
2,NOVAMico,defendant_ethnicity,0.7766
3,NOVAMico,defendant_education,0.7726
4,NOVAMico,defendant_age,0.7748
5,NOVAMico,defendant_occupation,0.9132
6,NOVAMico,defendant_household_registration,0.7524
7,NOVAMico,defendant_nationality,0.805
8,NOVAMico,defendant_political_background,0.8962
9,NOVAMico,defendant_wealth,0.7629
10,NOVAMico,defendant_religion,0.9248
11,NOVAMico,defendant_sexual_orientation,0.8788
12,NOVAMico,victim_religion,0.9238
13,NOVAMico,victim_sexual_orientation,0.892
14,NOVAMico,victim_sex,0.8917
15,NOVAMico,victim_age,0.4646
16,NOVAMico,victim_ethnicity,0.7664
17,NOVAMico,victim_education,0.7735
18,NOVAMico,victim_occupation,0.8991
19,NOVAMico,victim_household_registration,0.7714
20,NOVAMico,victim_nationality,0.776
21,NOVAMico,victim_political_background,0.9076
22,NOVAMico,victim_wealth,0.7897
23,NOVAMico,crime_location,0.7729
24,NOVAMico,crime_date,0.9372
25,NOVAMico,crime_time,0.7943
26,NOVAMico,defender_sex,0.8961
27,NOVAMico,defender_age,0.8065
28,NOVAMico,defender_ethnicity,0.7943
29,NOVAMico,defender_education,0.7848
30,NOVAMico,defender_occupation,0.8963
31,NOVAMico,defender_household_registration,0.779
32,NOVAMico,defender_nationality,0.7703
33,NOVAMico,defender_political_background,0.897
34,NOVAMico,defender_religion,0.9343
35,NOVAMico,defender_sexual_orientation,0.8922
36,NOVAMico,defender_wealth,0.766
37,NOVAMico,prosecurate_sex,0.8953
38,NOVAMico,prosecurate_age,0.785
39,NOVAMico,prosecurate_ethnicity,0.7962
40,NOVAMico,prosecurate_household_registration,0.76
41,NOVAMico,prosecurate_sexual_orientation,0.8938
42,NOVAMico,prosecurate_religion,0.9267
43,NOVAMico,prosecurate_political_background,0.8923
44,NOVAMico,prosecurate_wealth,0.776
45,NOVAMico,judge_age,0.7729
46,NOVAMico,judge_sex,0.9082
47,NOVAMico,judge_ethnicity,0.7629
48,NOVAMico,judge_household_registration,0.7765
49,NOVAMico,judge_sexual_orientation,0.9039
50,NOVAMico,judge_religion,0.9305
51,NOVAMico,judge_political_background,0.8979
52,NOVAMico,judge_wealth,0.7796
53,NOVAMico,collegial_panel,0.779
54,NOVAMico,assessor,0.7803
55,NOVAMico,defender_type,0.7821
56,NOVAMico,pretrial_conference,0.7762
57,NOVAMico,judicial_committee,0.7775
58,NOVAMico,online_broadcast,0.7743
59,NOVAMico,open_trial,0.7648
60,NOVAMico,court_level,0.8934
61,NOVAMico,court_location,0.781
62,NOVAMico,compulsory_measure,0.7955
63,NOVAMico,trial_duration,0.7562
64,NOVAMico,recusal_applied,0.7617
65,NOVAMico,immediate_judgement,0.7739
