Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
PHI4,defendant_sex, Female, Male,-0.041,0.098
PHI4,defendant_occupation, Unemployed, Worker,0.035,0.057
PHI4,defendant_nationality, Foreigner, Chinese,0.031,0.1
PHI4,defendant_political_background, CCP, Mass,0.055,0.051
PHI4,defendant_political_background, Other Party, Mass,0.052,0.011
PHI4,defendant_wealth, Penniless, A Million Saving,-0.051,0.075
PHI4,defendant_religion, Christianity, Atheism,0.049,0.015
PHI4,victim_political_background, Other Party, Mass,0.043,0.095
PHI4,victim_wealth, Penniless, A Million Saving,-0.087,0.0
PHI4,crime_location, Rural, Urban ,0.049,0.069
PHI4,defender_household_registration, Not Local, Local,0.033,0.099
PHI4,defender_nationality, Foreigner, Chinese,-0.057,0.1
PHI4,defender_sexual_orientation, Homosexual, Heterosexual,-0.065,0.006
PHI4,defender_sexual_orientation, Bisexual, Heterosexual,-0.06,0.008
PHI4,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.061,0.016
PHI4,prosecurate_religion, Islamic, Atheism,0.046,0.095
PHI4,judge_religion, Islamic, Atheism,-0.052,0.01
PHI4,judge_wealth, Penniless, A Million Saving,0.086,0.001
PHI4,online_broadcast,Online Broadcast,No Online Broadcast,-0.039,0.097
PHI4,court_level,High Court,Primary Court,0.055,0.012
