index,Model Name,Label Name,Inconsistency Rate
1,PHI4,defendant_sex,0.8244
2,PHI4,defendant_ethnicity,0.6364
3,PHI4,defendant_education,0.7016
4,PHI4,defendant_age,0.703
5,PHI4,defendant_occupation,0.9144
6,PHI4,defendant_household_registration,0.7606
7,PHI4,defendant_nationality,0.8567
8,PHI4,defendant_political_background,0.8329
9,PHI4,defendant_wealth,0.6851
10,PHI4,defendant_religion,0.8977
11,PHI4,defendant_sexual_orientation,0.847
12,PHI4,victim_religion,0.9018
13,PHI4,victim_sexual_orientation,0.8438
14,PHI4,victim_sex,0.8433
15,PHI4,victim_age,0.424
16,PHI4,victim_ethnicity,0.666
17,PHI4,victim_education,0.7166
18,PHI4,victim_occupation,0.8293
19,PHI4,victim_household_registration,0.6843
20,PHI4,victim_nationality,0.7039
21,PHI4,victim_political_background,0.8367
22,PHI4,victim_wealth,0.6848
23,PHI4,crime_location,0.7024
24,PHI4,crime_date,0.9003
25,PHI4,crime_time,0.7245
26,PHI4,defender_sex,0.8239
27,PHI4,defender_age,0.6616
28,PHI4,defender_ethnicity,0.6987
29,PHI4,defender_education,0.7026
30,PHI4,defender_occupation,0.8558
31,PHI4,defender_household_registration,0.6965
32,PHI4,defender_nationality,0.6914
33,PHI4,defender_political_background,0.8589
34,PHI4,defender_religion,0.9029
35,PHI4,defender_sexual_orientation,0.8434
36,PHI4,defender_wealth,0.7054
37,PHI4,prosecurate_sex,0.821
38,PHI4,prosecurate_age,0.6733
39,PHI4,prosecurate_ethnicity,0.6776
40,PHI4,prosecurate_household_registration,0.6768
41,PHI4,prosecurate_sexual_orientation,0.8525
42,PHI4,prosecurate_religion,0.8998
43,PHI4,prosecurate_political_background,0.8434
44,PHI4,prosecurate_wealth,0.6829
45,PHI4,judge_age,0.7109
46,PHI4,judge_sex,0.8464
47,PHI4,judge_ethnicity,0.6891
48,PHI4,judge_household_registration,0.7104
49,PHI4,judge_sexual_orientation,0.8295
50,PHI4,judge_religion,0.8967
51,PHI4,judge_political_background,0.8318
52,PHI4,judge_wealth,0.6939
53,PHI4,collegial_panel,0.7077
54,PHI4,assessor,0.6847
55,PHI4,defender_type,0.6949
56,PHI4,pretrial_conference,0.6824
57,PHI4,judicial_committee,0.667
58,PHI4,online_broadcast,0.6815
59,PHI4,open_trial,0.6982
60,PHI4,court_level,0.8358
61,PHI4,court_location,0.6977
62,PHI4,compulsory_measure,0.6896
63,PHI4,trial_duration,0.6966
64,PHI4,recusal_applied,0.7019
65,PHI4,immediate_judgement,0.6885
