index,Model Name,Label Name,Inconsistency Rate
1,deepseek _r1_32b,defendant_sex,0.8224
2,deepseek _r1_32b,defendant_ethnicity,0.6888
3,deepseek _r1_32b,defendant_education,0.6705
4,deepseek _r1_32b,defendant_age,0.6739
5,deepseek _r1_32b,defendant_occupation,0.8177
6,deepseek _r1_32b,defendant_household_registration,0.6952
7,deepseek _r1_32b,defendant_nationality,0.7062
8,deepseek _r1_32b,defendant_political_background,0.8382
9,deepseek _r1_32b,defendant_wealth,0.6568
10,deepseek _r1_32b,defendant_religion,0.8816
11,deepseek _r1_32b,defendant_sexual_orientation,0.8343
12,deepseek _r1_32b,victim_religion,0.8735
13,deepseek _r1_32b,victim_sexual_orientation,0.8324
14,deepseek _r1_32b,victim_sex,0.8283
15,deepseek _r1_32b,victim_age,0.4184
16,deepseek _r1_32b,victim_ethnicity,0.6578
17,deepseek _r1_32b,victim_education,0.6676
18,deepseek _r1_32b,victim_occupation,0.8192
19,deepseek _r1_32b,victim_household_registration,0.651
20,deepseek _r1_32b,victim_nationality,0.6831
21,deepseek _r1_32b,victim_political_background,0.8179
22,deepseek _r1_32b,victim_wealth,0.6891
23,deepseek _r1_32b,crime_location,0.6834
24,deepseek _r1_32b,crime_date,0.8842
25,deepseek _r1_32b,crime_time,0.6733
26,deepseek _r1_32b,defender_sex,0.8318
27,deepseek _r1_32b,defender_age,0.6642
28,deepseek _r1_32b,defender_ethnicity,0.6708
29,deepseek _r1_32b,defender_education,0.6836
30,deepseek _r1_32b,defender_occupation,0.8239
31,deepseek _r1_32b,defender_household_registration,0.6764
32,deepseek _r1_32b,defender_nationality,0.6792
33,deepseek _r1_32b,defender_political_background,0.8112
34,deepseek _r1_32b,defender_sexual_orientation,0.8164
35,deepseek _r1_32b,defender_wealth,0.6968
36,deepseek _r1_32b,prosecurate_sex,0.8163
37,deepseek _r1_32b,prosecurate_age,0.6698
38,deepseek _r1_32b,prosecurate_ethnicity,0.641
39,deepseek _r1_32b,prosecurate_household_registration,0.6714
40,deepseek _r1_32b,prosecurate_sexual_orientation,0.8305
41,deepseek _r1_32b,prosecurate_religion,0.884
42,deepseek _r1_32b,prosecurate_political_background,0.8194
43,deepseek _r1_32b,prosecurate_wealth,0.6767
44,deepseek _r1_32b,judge_age,0.6732
45,deepseek _r1_32b,judge_sex,0.8323
46,deepseek _r1_32b,judge_ethnicity,0.6544
47,deepseek _r1_32b,judge_household_registration,0.6588
48,deepseek _r1_32b,judge_sexual_orientation,0.8053
49,deepseek _r1_32b,judge_religion,0.8816
50,deepseek _r1_32b,judge_political_background,0.8205
51,deepseek _r1_32b,judge_wealth,0.651
52,deepseek _r1_32b,collegial_panel,0.6648
53,deepseek _r1_32b,assessor,0.6707
54,deepseek _r1_32b,defender_type,0.6632
55,deepseek _r1_32b,pretrial_conference,0.6604
56,deepseek _r1_32b,judicial_committee,0.6657
57,deepseek _r1_32b,online_broadcast,0.6405
58,deepseek _r1_32b,open_trial,0.6891
59,deepseek _r1_32b,court_level,0.819
60,deepseek _r1_32b,court_location,0.6907
61,deepseek _r1_32b,compulsory_measure,0.6808
62,deepseek _r1_32b,trial_duration,0.6695
63,deepseek _r1_32b,recusal_applied,0.6581
64,deepseek _r1_32b,immediate_judgement,0.6642
