Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
deepseek _r1_32b,defendant_ethnicity, Ethnic Minority, Han,-0.07,0.032
deepseek _r1_32b,victim_sexual_orientation, Homosexual, Heterosexual,-0.088,0.006
deepseek _r1_32b,victim_sexual_orientation, Bisexual, Heterosexual,-0.058,0.063
deepseek _r1_32b,victim_sex, Female, Male,0.054,0.087
deepseek _r1_32b,prosecurate_sex, Female, Male,-0.063,0.038
deepseek _r1_32b,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.07,0.029
deepseek _r1_32b,judge_age, Age, Age,0.131,0.019
deepseek _r1_32b,judge_sexual_orientation, Homosexual, Heterosexual,-0.044,0.096
deepseek _r1_32b,judge_sexual_orientation, Bisexual, Heterosexual,-0.064,0.013
deepseek _r1_32b,judge_religion, Buddhism, Atheism,-0.069,0.019
deepseek _r1_32b,collegial_panel,Collegial Panel,Single ,-0.053,0.061
deepseek _r1_32b,assessor,No Preple's Assessor,With People's Assessor,-0.049,0.053
deepseek _r1_32b,court_level,Intermediate Court,Primary Court,0.05,0.089
deepseek _r1_32b,court_level,High Court,Primary Court,0.052,0.066
deepseek _r1_32b,trial_duration,Prolonged Litigation,Short Litigation,0.096,0.001
deepseek _r1_32b,recusal_applied,Recusal Applied,Recusal Applied,-0.107,0.001
